created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 06 19:41:30 +0000 2020,i liked this before u tweeted it,6.24,2.5,-0.6,89.75,1,1.57,2nd and 3rd grade
Sun Jul 05 18:54:03 +0000 2020,miss u all way more. love u love u love u.,0.55,0.5,-2.3,111.07,1,-2.64,0th and 1st grade
Wed Jul 01 22:10:12 +0000 2020,happy july vote,0.15,5.6,0.5,59.97,1,-0.46,0th and 1st grade
Mon Jun 29 15:32:21 +0000 2020,"another reminder colorado, you can still register to vote if you haven t already",7.71,7.6,8.1,65.73,1,9.45,7th and 8th grade
Sun Jun 28 16:46:30 +0000 2020,"outeverythinged the original. truly the best, most insane surprise ever. love u so much please post in my head next.",7.0,9.9,11.4,59.64,1,9.69,9th and 10th grade
Fri Jun 26 23:15:53 +0000 2020,thanks for the birthday wishes,7.04,2.9,5.6,83.32,1,8.44,1st and 2nd grade
Fri Jun 26 03:18:33 +0000 2020,almost 27,0.1,2.9,-1.7,77.91,1,-7.41,-1th and 0th grade
Tue Jun 23 19:39:54 +0000 2020,"sent some food and coffee trucks for everyone waiting in line please pull up, enjoy and use your voice today we need u",1.83,8.7,9.7,73.51,1,6.97,8th and 9th grade
Mon Jun 22 21:05:56 +0000 2020,reminder,19.48,8.4,16.8,36.62,1,1.0,-1th and 0th grade
Sun Jun 21 17:46:04 +0000 2020,i love u,0.15,-2.7,-10.6,119.19,1,-13.98,0th and 1st grade
Sat Jun 20 18:29:28 +0000 2020,two years love u,0.2,-2.3,-4.2,118.18,1,-4.36,-1th and 0th grade
Fri Jun 19 04:16:48 +0000 2020,i love u and this song so much experience out now a huge congratulations to my bestie forever,7.16,9.1,7.4,61.67,1,6.9,6th and 7th grade
Thu Jun 18 16:28:07 +0000 2020,join us as we work to register voters across the nation,8.49,5.2,3.3,77.23,1,5.26,5th and 6th grade
Thu Jun 18 16:23:24 +0000 2020,sending u all so much love,6.57,0.9,-2.0,99.23,1,-0.54,-1th and 0th grade
Tue Jun 09 17:07:05 +0000 2020,primaries today vote,9.05,5.6,8.3,59.97,1,9.23,9th and 10th grade
Mon Jun 08 20:33:08 +0000 2020,los angeles peoplesbudgetla defundthepolice,15.68,27.3,27.7,-93.33,1,34.8,27th and 28th grade
Mon Jun 08 18:03:49 +0000 2020,"new yorkers please support the repeal of 50 A, a new york law that blocks crucial information in the search for law enforcement accountability repeal50a",9.93,13.0,15.2,46.1,1,12.48,12th and 13th grade
Sat Jun 06 16:15:36 +0000 2020,and of course please continue to register yourselves and your friends and loved ones to vote,6.4,6.0,9.2,80.62,1,10.32,5th and 6th grade
Sat Jun 06 16:15:36 +0000 2020,here s an incredible link tree of petitions and other resources made by,7.93,7.2,6.5,66.74,1,8.16,7th and 8th grade
Sat Jun 06 16:15:35 +0000 2020,here s a growing list of black owned brands to support and purchase from,7.71,4.0,5.4,91.11,1,6.55,5th and 6th grade
Sat Jun 06 16:15:35 +0000 2020,the is a nonprofit news organization covering police accountability and exposing failures examining solutions for the justice system,13.3,18.6,17.7,-6.02,1,19.49,18th and 19th grade
Sat Jun 06 16:15:35 +0000 2020,the fund is a black run bail fund assisting members of the community who have been arrested during the peaceful protests,7.69,10.3,11.5,58.62,1,10.33,9th and 10th grade
Sat Jun 06 16:15:34 +0000 2020,black voters matter fund is expanding black voter engagement amp increasing progressive power,11.57,11.9,14.4,32.9,1,17.97,11th and 12th grade
Sat Jun 06 16:15:34 +0000 2020,8cantwait is a list of 8 policies to help reduce police violence that can be changed immediately to make our communities safer link to pre written emails addressed to your respective cities,9.17,14.6,17.8,47.46,1,11.96,17th and 18th grade
Sat Jun 06 16:15:34 +0000 2020,the is offering free virtual therapy for black americans who need help right now,8.84,8.8,8.1,57.27,1,9.91,8th and 9th grade
Fri Jun 05 16:58:07 +0000 2020,we demand justiceforbreonna sayhername,15.68,24.9,21.8,-76.41,1,27.55,21st and 22nd grade
Fri Jun 05 16:44:04 +0000 2020,birthdayforbreonna sayhername we are fighting for you to demand justice for her and her family text ENOUGH to 55156 or visit,8.44,12.7,12.4,41.7,1,11.43,12th and 13th grade
Wed Jun 03 20:38:28 +0000 2020,"today campaign zero launched 8cantwait, a list of 8 policies to reduce police violence that can be changed immediately and save lives. please check out your city to see what can be done locally.",9.04,14.2,17.9,53.89,1,10.28,9th and 10th grade
Wed Jun 03 20:31:33 +0000 2020,"progress was made but let s not get distracted. there is still so much to learn and do please make sure you are registered to vote and ready for your state s elections. also, note that voting from home is an option too thanks to",7.62,16.1,20.3,59.64,1,6.92,19th and 20th grade
Tue Jun 02 19:03:57 +0000 2020,today,0.05,8.4,2.6,36.62,1,-16.41,-1th and 0th grade
Tue Jun 02 00:17:15 +0000 2020,".... as u fill out your ballot, please research make informed choices. pay attention to how the candidates running have responded in this moment. let s do everything we can big or small to make the changes necessary to fix the system. pls stay safe.",8.69,18.1,22.5,43.74,1,9.42,8th and 9th grade
Tue Jun 02 00:16:49 +0000 2020,"speechless... nine states have primary elections on june 2nd. if u live in one of these states, please take things one step further by voting out the corrupt officials not just the president that are encouraging systematic racism and discrimination.",9.57,17.7,23.3,39.34,1,12.89,17th and 18th grade
Mon Jun 01 19:30:35 +0000 2020,thank you for continuing to be such an incredible leader to us. more so than anyone else. this is why it is of utmost importance to register to vote and get educated on ready for the primaries in your state. please register today if u haven t already,8.32,19.6,22.5,39.68,1,7.79,7th and 8th grade
Sun May 31 19:28:36 +0000 2020,"stay active, stay energized, keep sharing, keep learning sending strength and if you are protesting today please be safe and have shared more ways to help",8.57,9.9,14.9,70.47,1,11.15,11th and 12th grade
Sun May 31 18:28:26 +0000 2020,"hours and miles of peaceful protesting yesterday that got little to no coverage. all throughout beverly hills and west hollywood we chanted, people beeped and cheered along. we were passionate, we were loud, we were loving. cover this too please. BLACKLIVESMATTER",9.14,18.1,24.7,38.32,1,14.17,-1th and 0th grade
Fri May 29 19:10:03 +0000 2020,is. nine states have a primary on tuesday. the items on these ballots impact our day to day lives. we re voting for more than the president. use ur voice and check out for resources.,8.08,13.4,16.0,61.33,1,7.03,7th and 8th grade
Fri May 29 19:09:45 +0000 2020,"a lot of things feel scary, dangerous and uncertain right now... but there are things within our control voting, contacting lawmakers, and taking the census. the most important thing you can do right now to take the power back is become a voter and know when your next election..",8.97,20.0,25.3,38.66,1,9.88,19th and 20th grade
Fri May 29 18:02:36 +0000 2020,a murderer is being held in protective custody.,9.95,8.8,6.1,46.44,1,8.66,8th and 9th grade
Thu May 28 20:10:44 +0000 2020,"please keep signing these petitions, making donations, having conversations w family and friends about it, reading and sharing links and resources... gentle reminder that this doesn t end today or tomorrow or after you post about it once. blacklivesmatter",8.81,18.5,24.3,31.89,1,14.52,18th and 19th grade
Thu May 28 19:05:00 +0000 2020,outtakes in case u ever question my love for u please refer back to this.,6.49,5.6,4.6,81.63,1,4.57,5th and 6th grade
Thu May 28 17:34:24 +0000 2020,many,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Thu May 28 17:33:21 +0000 2020,thank u sm i did it,0.3,-1.5,-7.6,116.15,1,-7.33,-1th and 0th grade
Thu May 28 17:06:27 +0000 2020,i ll do anything to earn my umbrella back pls,0.5,3.7,0.5,86.71,1,2.12,3rd and 4th grade
Thu May 28 02:57:38 +0000 2020,justiceforGeorgeFloyd text FLOYD to 55156 to put pressure on DA Mike Freeman to charge and arrest these officers call 612 348 5550 and please sign the petition,8.48,11.5,15.3,60.99,1,11.61,11th and 12th grade
Wed May 27 04:44:15 +0000 2020,omg,0.05,-3.5,-6.9,121.22,1,-28.01,-1th and 0th grade
Tue May 26 23:39:39 +0000 2020,so excited. love u more mama.,0.3,4.5,0.4,73.85,1,0.45,-1th and 0th grade
Tue May 26 22:53:49 +0000 2020,i love himmmmmmmmm,9.05,24.5,5.2,-75.4,1,5.35,24th and 25th grade
Tue May 26 22:47:44 +0000 2020,mood,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Tue May 26 22:44:57 +0000 2020,i think so. or just alone.,0.3,-1.5,-2.0,116.15,1,-2.46,-3th and -2th grade
Tue May 26 21:29:57 +0000 2020,parched rainonme,11.63,8.8,14.9,35.61,1,12.9,11th and 12th grade
Tue May 26 18:53:28 +0000 2020,we love u UK thank u,0.3,-1.5,-6.8,116.15,1,-6.34,-1th and 0th grade
Mon May 25 20:13:12 +0000 2020,also rain on me makes me so mf happy thank u,0.55,2.9,-1.5,94.15,1,-0.55,4th and 5th grade
Mon May 25 20:07:46 +0000 2020,and just wanted to say thank u for everything u make this life so fun i can t wait to perform for u again and see u and make new memories okay bye,6.71,11.4,11.3,71.82,1,3.32,6th and 7th grade
Mon May 25 20:06:07 +0000 2020,hello i miss and love u all so much,0.45,0.9,-2.9,104.64,1,-1.67,3rd and 4th grade
Mon May 25 20:05:22 +0000 2020,same,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Sat May 23 18:01:39 +0000 2020,rain on me,0.15,-2.7,-7.5,119.19,1,-10.09,0th and 1st grade
Fri May 22 17:07:49 +0000 2020,rainonme music video out now on vevo,8.5,6.0,2.3,64.37,1,4.94,8th and 9th grade
Fri May 22 16:01:07 +0000 2020,1 hour rainonme music video,7.04,5.2,2.7,66.4,1,4.96,2nd and 3rd grade
Fri May 22 04:27:45 +0000 2020,MY ANGEL,0.1,2.9,-4.0,77.91,1,-10.31,-1th and 0th grade
Fri May 22 04:04:26 +0000 2020,"she then held my hand and invited me into the beautiful world of chromatica and together, we got to express how beautiful and healing it feels to mothafuckinnnn cry i hope this makes u all feel as uplifted as it does for us both. i love u u stunning superwoman",8.64,21.6,23.4,29.19,1,7.85,23rd and 24th grade
Fri May 22 04:04:26 +0000 2020,"one time ..... i met a woman who knew pain the same way i did... who cried as much as i did, drank as much wine as i did, ate as much pasta as i did and who s heart was bigger than her whole body. she immediately felt like a sister to me.",3.22,19.2,21.5,51.52,1,2.52,21st and 22nd grade
Fri May 22 04:04:25 +0000 2020,rain on me out now music video tomorrow at ten am pst one pm est,0.74,4.4,1.8,90.09,1,1.44,0th and 1st grade
Fri May 22 03:11:29 +0000 2020,really emotional day okay wish i could hug u rn onehour rainonme,8.18,8.0,5.4,59.3,1,7.47,7th and 8th grade
Fri May 22 03:01:06 +0000 2020,"this isn t real but fuck me i love it so much. i love u, u incredible, unstoppable woman one hour rainonme",6.88,9.5,7.8,66.07,1,4.35,7th and 8th grade
Fri May 22 01:00:08 +0000 2020,three hrs rainonme,9.05,5.6,5.2,59.97,1,5.35,5th and 6th grade
Fri May 22 00:04:37 +0000 2020,four,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Thu May 21 23:46:48 +0000 2020,always,0.05,8.4,7.3,36.62,1,-10.61,-1th and 0th grade
Thu May 21 23:00:28 +0000 2020,five hours rainonme,9.05,5.6,6.8,59.97,1,7.32,6th and 7th grade
Thu May 21 21:10:34 +0000 2020,gotta live my truth not keep it bottled in... so i don t lose my mind seven hrs rainonme,7.07,7.2,5.4,77.57,1,3.19,6th and 7th grade
Thu May 21 19:16:51 +0000 2020,thank u pop dancing queen mama,0.3,2.1,1.2,90.77,1,3.35,1st and 2nd grade
Thu May 21 19:00:30 +0000 2020,nine hrs rainonme,9.05,5.6,3.6,59.97,1,3.43,3rd and 4th grade
Thu May 21 18:36:50 +0000 2020,woaaah,0.05,-3.5,7.3,121.22,1,-10.61,-1th and 0th grade
Thu May 21 18:11:34 +0000 2020,"i love u so much more. nothing could stop us before either, we just had to realize it i m so excited thank u i m ready rainonme",6.15,10.7,9.4,68.44,1,3.32,10th and 11th grade
Thu May 21 17:17:26 +0000 2020,tonight rain on me,0.2,-2.3,-1.9,118.18,1,-1.46,-1th and 0th grade
Wed May 20 21:26:48 +0000 2020,love u,0.1,-3.1,-8.8,120.21,1,-16.11,-1th and 0th grade
Tue May 19 06:53:47 +0000 2020,u really have no idea,0.25,2.9,-3.0,83.32,1,-2.01,2nd and 3rd grade
Tue May 19 06:52:42 +0000 2020,really means a lot to me love u all more than u know,0.64,3.6,-0.5,92.12,1,-0.31,-1th and 0th grade
Tue May 19 06:50:41 +0000 2020,love amp appreciate u so so much my angel friend,5.71,4.8,1.9,78.25,1,3.86,4th and 5th grade
Mon May 18 16:00:51 +0000 2020,teardrops on my face rain on me 5 22,0.45,-0.4,-2.4,113.1,1,-1.03,-1th and 0th grade
Sun May 17 19:42:55 +0000 2020,love u most,0.15,-2.7,-5.9,119.19,1,-8.18,0th and 1st grade
Fri May 15 21:31:37 +0000 2020,rain on me may 22,0.25,-1.9,-6.8,117.16,1,-6.65,1st and 2nd grade
Thu May 14 20:57:18 +0000 2020,limited amount of signed singles by me amp justin available til midnight,8.18,5.6,8.5,76.22,1,11.3,5th and 6th grade
Wed May 13 22:58:11 +0000 2020,HAHAHAHAHAHAHAH,19.48,67.4,49.7,-386.39,1,41.6,-1th and 0th grade
Wed May 13 22:53:15 +0000 2020,jesus christ,11.63,2.9,5.5,77.91,1,1.3,-1th and 0th grade
Wed May 13 20:40:15 +0000 2020,hello same,0.1,2.9,0.8,77.91,1,-4.51,-1th and 0th grade
Wed May 13 20:34:32 +0000 2020,"don t get me wrong. it is so much fun to watch u all fight for it and i appreciate u sm. u are the fiercest angels alive. i just had to share. it was weighing on me and i appreciate u listening. i will never play dirty. i don t enjoy the game. however, i don t want to let u down.",7.76,23.1,26.4,41.37,1,2.86,-1th and 0th grade
Wed May 13 18:01:10 +0000 2020,love u most,0.15,-2.7,-5.9,119.19,1,-8.18,0th and 1st grade
Wed May 13 17:41:15 +0000 2020,thank u for your kindness and for nerding out over music with me. i had the best time love u amp thank u,1.83,6.4,6.9,90.43,1,3.43,6th and 7th grade
Wed May 13 17:39:08 +0000 2020,the biggest stan. love u always,6.57,2.1,2.0,90.77,1,3.35,1st and 2nd grade
Wed May 13 00:10:26 +0000 2020,love u my gill,0.2,-2.3,-6.6,118.18,1,-7.26,-1th and 0th grade
Tue May 12 23:14:15 +0000 2020,"my heart is quite full. a huge thank u to everybody that s been loving, streaming, buying, dancing to, supporting stuckwithu all week. we love uuuu.",8.57,11.1,13.8,62.01,1,8.88,8th and 9th grade
Tue May 12 22:46:47 +0000 2020,stuckwithu,19.48,8.4,26.2,36.62,1,12.6,-1th and 0th grade
Tue May 12 19:24:13 +0000 2020,spoke to about stuckwithu amp much more music airing tomorrow 9am pst on,6.71,6.0,6.8,75.2,1,8.63,6th and 7th grade
Mon May 11 22:07:29 +0000 2020,werk. i m in and more than happy to match the amount. stuckwithu,5.5,3.6,3.9,92.12,1,4.16,3rd and 4th grade
Sun May 10 22:27:56 +0000 2020,mothersonthefrontline firstrespondersstrong,19.53,44.2,78.5,-218.2,1,91.2,-1th and 0th grade
Sun May 10 21:50:06 +0000 2020,studio boy vocalproductionbymyron stuckwithu,15.68,21.4,28.8,-51.03,1,36.25,-1th and 0th grade
Sun May 10 16:38:34 +0000 2020,everything i love u forever,7.04,7.6,2.7,49.48,1,4.96,7th and 8th grade
Sat May 09 22:47:23 +0000 2020,miss u,0.1,-3.1,-8.8,120.21,1,-16.11,-1th and 0th grade
Sat May 09 18:29:44 +0000 2020,that s why when the suns up i m stayin,0.5,0.1,-2.9,112.09,1,-1.95,3rd and 4th grade
Sat May 09 18:27:18 +0000 2020,my heart,0.1,-3.1,-4.0,120.21,1,-10.31,-1th and 0th grade
Sat May 09 18:21:57 +0000 2020,stuckwithu new edit coming we love u,8.5,3.7,2.3,81.29,1,4.94,2nd and 3rd grade
Fri May 08 20:43:02 +0000 2020,stuckwithu song and video out now thank u for being a part of this,5.46,2.9,3.4,99.57,1,4.11,5th and 6th grade
Fri May 08 04:02:18 +0000 2020,stuckwithu out now proceeds to benefit thank u,9.95,5.2,5.6,71.82,1,8.66,5th and 6th grade
Fri May 08 03:40:22 +0000 2020,love u more i promise,0.25,0.5,-3.0,100.24,1,-2.01,1st and 2nd grade
Fri May 08 03:38:59 +0000 2020,mamaaaaaaaaaaaaa,19.48,8.4,54.4,36.62,1,47.4,-1th and 0th grade
Fri May 08 03:30:40 +0000 2020,missed moments like these with u all. love u so much. hope u enjoy.,5.46,2.9,3.8,99.57,1,3.24,5th and 6th grade
Fri May 08 03:18:40 +0000 2020,"me too it has been a long time comin and i m so glad we waited so patiently for this. it feels so special. love u, my friend. stuckwithu 1 hour",7.21,10.7,11.3,73.85,1,3.73,10th and 11th grade
Fri May 08 03:02:19 +0000 2020,one hour stuckwithu,9.05,0.9,6.8,93.81,1,7.32,0th and 1st grade
Fri May 08 02:37:15 +0000 2020,"u will see many many loved ones, you ll have to be on the lookout it makes me heart sing. stuckwithu",1.79,5.6,7.0,92.46,1,4.24,5th and 6th grade
Fri May 08 02:34:34 +0000 2020,screaming yes,11.63,2.9,7.8,77.91,1,4.2,-1th and 0th grade
Fri May 08 02:29:09 +0000 2020,k chill i m crying,7.04,0.5,-5.8,100.24,1,-5.49,1st and 2nd grade
