created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sat Jul 04 14:35:02 +0000 2020,Our founding promise has never been guaranteed. Each generation has been called to bring us a little closer to our highest ideals and history s calling on us right now. So let s all do whatever we can to help expand that promise to all Americans.,7.14,6.9,6.8,72.87,3,7.07,6th and 7th grade
Fri Jul 03 16:00:04 +0000 2020,"This holiday weekend, let s be safe and smart. It s going to take all of us to beat this virus. So wear a mask. Wash your hands. And listen to the experts, not the folks trying to divide us. That's the only way we ll do this together.",5.01,1.8,0.6,96.99,6,1.59,1st and 2nd grade
Mon Jun 29 14:00:17 +0000 2020,"Today I m tipping my hat to all the giants in the Negro Leagues, from Satchel Paige to Toni Stone and so many others. Their brave example, first set 100 years ago, changed America s pastime for the better opening it up for new generations of players and fans alike.",7.4,9.5,11.4,71.48,2,7.49,6th and 7th grade
Fri Jun 26 14:56:57 +0000 2020,"Jim s courage and persistence helped change America for the better. And so did every American who marched, organized, stood up, came out or changed their own heart because they love someone who did. Happy anniversary, everybody.",5.53,6.9,9.2,67.45,3,10.83,6th and 7th grade
Thu Jun 25 19:47:05 +0000 2020,Michelle and I want every kid in Chicago to grow up knowing even better opportunities than we had. We re happy to help Chicago Connected reach every kid in the city. This is where I found a purpose and a family and it ll always be our home.,6.07,7.2,5.5,72.16,3,5.39,7th and 8th grade
Mon Jun 22 16:30:58 +0000 2020,"I m joining my friend tomorrow to talk about everything that s at stake in this election. I hope you ll join us, too. This is a critical moment in our history and all of us have to do our part to build this country into what we know it can be.",5.41,6.5,4.6,79.3,3,3.42,6th and 7th grade
Fri Jun 19 16:51:15 +0000 2020,"Juneteenth has never been a celebration of victory, or an acceptance of the way things are. It's a celebration of progress. It's an affirmation that despite the most painful parts of our history, change is possible and there is still so much work to do.",6.13,6.8,7.9,73.17,3,8.17,8th and 9th grade
Thu Jun 18 15:24:24 +0000 2020,"...and now to stand up for those ideals, we have to move forward and elect and a Democratic Congress that does its job, protects DREAMers, and finally creates a system that s truly worthy of this nation of immigrants once and for all.",9.07,16.5,21.1,53.21,1,8.55,8th and 9th grade
Thu Jun 18 15:23:59 +0000 2020,"Eight years ago this week, we protected young people who were raised as part of our American family from deportation. Today, I'm happy for them, their families, and all of us. We may look different and come from everywhere, but what makes us American are our shared ideals",5.42,7.2,8.7,72.16,3,8.64,8th and 9th grade
Tue Jun 16 15:30:53 +0000 2020,"And here are two more essays that powerfully express the hope, heart, grief, and rage that are driving this moment of potential change. Racism Is Terrible. Blackness Is Not The Trayvon Generation",7.13,6.3,8.1,69.07,3,10.36,7th and 8th grade
Tue Jun 16 15:30:52 +0000 2020,These Nashville teenagers are representative of the remarkable leadership we re seeing from young people across the country and around the world.,7.6,10.7,16.1,57.61,1,15.14,13th and 14th grade
Tue Jun 16 01:06:17 +0000 2020,"Today reminds us that progress might be slow. It might take decades. But no matter what things might look like today, it s always possible. Happy Pride month, everybody.",0.91,2.6,5.1,89.45,4,7.08,2nd and 3rd grade
Thu Jun 11 18:30:59 +0000 2020,"This young generation makes me optimistic about our future. By protesting, they re speaking up and shining a light on injustice and one way we can support them is to vote for people who ll change the laws on every level.",7.35,8.9,9.5,67.59,2,7.78,7th and 8th grade
Thu Jun 11 18:30:58 +0000 2020,"In Columbia, Maryland, young people wielded social media to connect across boundaries, amplify voices, and enact some real change.",12.06,11.9,15.8,43.73,1,15.37,11th and 12th grade
Thu Jun 11 18:30:58 +0000 2020,This group of Nashville teens led a peaceful march with tens of thousands of people in their community.,7.16,8.0,10.1,70.13,1,9.8,9th and 10th grade
Thu Jun 11 18:30:57 +0000 2020,"Over the past few weeks, we ve seen young people in every corner of the country step up and become leaders. Through organization and mobilization, they re showing us how we can sustain this momentum to bring about real change.",7.0,9.9,10.6,59.64,2,9.28,9th and 10th grade
Wed Jun 10 15:10:15 +0000 2020,"It s too early to tell if it s permanent, but the changes brought on by COVID 19 are forcing many of us to reflect on what really matters in our lives.",7.2,12.2,12.2,64.38,1,4.71,11th and 12th grade
Sun Jun 07 23:25:01 +0000 2020,"As has always been true at key moments in history, it s going to depend on young people to go out there and rewrite what is possible. I couldn t be prouder of all the young people leading that change right now. Here s my advice for the Class of 2020",6.03,6.4,5.4,79.6,3,4.7,6th and 7th grade
Sat Jun 06 00:37:08 +0000 2020,"We ve seen the power that our voices have when we speak out about injustice but we also know the toll that it takes on our mental health. Today, I talked to Bryan Stevenson, and activists about ways to keep our mental health a priority at this time.",6.8,9.1,10.4,72.5,2,6.97,6th and 7th grade
Fri Jun 05 16:21:00 +0000 2020,"On National Gun Violence Awareness Day, we WearOrange to honor the victims and survivors of gun violence which continues to disproportionately harm Black communities. Then keep speaking up, voting, and changing laws across the country.",9.92,11.3,14.4,45.25,2,14.9,14th and 15th grade
Thu Jun 04 23:15:58 +0000 2020,"Third, every city in this country should be a community. We have 250 cities, counties, and tribal nations working to reduce barriers and expand opportunity for boys and young men of color. Join us",8.66,8.7,9.6,62.68,2,9.39,8th and 9th grade
Thu Jun 04 23:15:58 +0000 2020,"Second, every mayor should review their use of force policies with members of their community and commit to report on planned reforms. We need mayors, county executives, and those in positions of power to make this a priority. Take the pledge",7.78,8.6,8.6,57.57,3,9.97,9th and 10th grade
Thu Jun 04 23:15:57 +0000 2020,"First, there are specific evidence based reforms that would build trust, save lives, and lead to a decrease in crime, too. You can find clear, actionable recommendations right here",7.62,6.6,10.5,73.68,2,11.3,10th and 11th grade
Thu Jun 04 23:15:57 +0000 2020,"Real change requires protest to highlight a problem, and politics to implement practical solutions and laws. As I mentioned yesterday in our town hall, there are several steps our mayors and elected officials can take right now",9.25,10.5,12.1,52.7,2,12.18,12th and 13th grade
Thu Jun 04 13:04:56 +0000 2020,"In our town hall yesterday, I mentioned James Baldwin's The Fire Next Time. From 1962, it remains a seminal meditation on race by one of our greatest writers and relevant for understanding the pain and anger behind the protests. Excerpt",8.58,9.9,11.8,59.64,2,10.56,11th and 12th grade
Wed Jun 03 15:04:20 +0000 2020,"And third, an extraordinary essay by the former Chairman of the Joint Chiefs of Staff of the U.S. Armed Forces, Mike Mullen, explaining the values at risk when we start using our military to control domestic protests.",8.82,8.1,10.9,69.62,2,10.15,8th and 9th grade
Wed Jun 03 15:04:20 +0000 2020,"Second, a reminder of the difference politics and voting can make in changing who has the power to make real change in a community like Ferguson with a history of blatant discriminatory law enforcement practices.",9.88,18.1,20.0,27.49,1,12.49,19th and 20th grade
Wed Jun 03 15:04:19 +0000 2020,Here s a useful read a reminder of the importance of de escalation by police in their interactions with protestors.,8.58,12.3,11.2,42.72,1,10.27,10th and 11th grade
Mon Jun 01 23:59:01 +0000 2020,Let s do this another way. Let's stop thinking our voice don t matter and vote. Not just for the president...educate yourself and know who you re voting for. And that s how we're going to hit 'em.,5.77,3.5,3.0,87.21,4,3.68,3rd and 4th grade
Mon Jun 01 19:11:51 +0000 2020,Let s get to work.,0.25,-1.9,-5.8,117.16,1,-6.65,1st and 2nd grade
Mon Jun 01 19:11:51 +0000 2020,"I know the past few months have been hard and dispiriting. But watching the heightened activism of young people makes me hopeful. And if we can keep channeling our justifiable anger into peaceful, sustained, and effective action, this can be the moment when real change starts.",7.48,6.9,10.0,72.87,3,10.61,9th and 10th grade
Mon Jun 01 19:11:51 +0000 2020,"If you want to take concrete action, but you re not sure how, we ve created a site to connect you with useful resources and organizations who ve been fighting the good fight at the local and national levels for years.",9.14,16.9,19.4,46.78,1,8.2,16th and 17th grade
Mon Jun 01 19:11:50 +0000 2020,"5. The more specific we can make demands for criminal justice and police reform, the harder it will be for elected officials to just offer lip service to the cause and then fall back into business as usual once protests have gone away.",9.07,17.7,21.2,44.75,1,9.24,17th and 18th grade
Mon Jun 01 19:11:50 +0000 2020,"4. So if we want to bring about real change, the choice isn t between protest and politics we have to do both. We have to mobilize to raise awareness, and we have to organize and cast our ballots to make sure that we elect candidates who will act on reform.",7.07,9.7,10.4,70.97,2,5.98,9th and 10th grade
Mon Jun 01 19:11:50 +0000 2020,"3. To do that, we have to know which levels of government have the biggest impact. Changing the federal government is important. But the elected officials who matter most in reforming police departments and the criminal justice system work at the state and local levels.",8.94,9.1,9.7,56.25,3,10.61,9th and 10th grade
Mon Jun 01 19:11:50 +0000 2020,"2. The point of protest is to raise public awareness, to put a spotlight on injustice, and to make the powers that be uncomfortable. But eventually, we have to translate those aspirations into specific laws and institutional practices.",9.15,10.7,12.6,52.19,2,12.01,12th and 13th grade
Mon Jun 01 19:11:49 +0000 2020,1. The protests represent a genuine and legitimate frustration over a decades long failure to reform police practices and the broader criminal justice system. We should condemn the few who resort to violence not the overwhelming majority who deserve our respect and support.,11.31,12.9,14.8,41.19,2,13.63,14th and 15th grade
Mon Jun 01 19:11:49 +0000 2020,"Ultimately, it s going to be up to a new generation of activists to shape strategies that best fit the times. But I want to highlight some basic lessons from past efforts that are worth remembering",8.04,8.0,8.8,70.13,2,8.18,7th and 8th grade
Mon Jun 01 19:11:49 +0000 2020,"As millions of people across the country take to the streets and raise their voices in response to the killing of George Floyd and the ongoing problem of unequal justice, I ve heard many ask how we can sustain momentum to bring about real change.",9.03,17.3,22.2,51.18,1,9.36,9th and 10th grade
Mon Jun 01 14:15:57 +0000 2020,I wrote out some thoughts on how to make this moment a real turning point to bring about real change and pulled together some resources to help young activists sustain the momentum by channeling their energy into concrete action.,9.21,17.3,21.1,40.35,1,11.56,-1th and 0th grade
