created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 20 17:02:58 +0000 2020,Rice plantation done . .,9.05,12.7,11.5,9.21,1,9.23,12th and 13th grade
Sun Jul 19 18:37:27 +0000 2020,Farminggg,19.48,8.4,21.5,36.62,1,6.8,-1th and 0th grade
Thu Jul 16 09:55:03 +0000 2020,Happy bday Katrina. .,9.05,17.4,8.3,-24.64,1,5.35,-1th and 0th grade
Tue Jul 14 10:44:58 +0000 2020,Respect to all the farmers . .,10.2,7.6,3.7,49.48,1,3.8,3rd and 4th grade
Sat Jul 11 16:10:31 +0000 2020,Daane daane pe likha hota hai khane wale Ka naam... jai jawan jai kissan,5.46,2.9,5.4,99.57,1,5.33,5th and 6th grade
Wed Jul 01 08:09:03 +0000 2020,"Aaj DoctorsDay hai, meri taraf se saare doctors ko dil se shukriya. Aapke dedication, or aapke sacrifices k liye Thank you for being the strongest pillars of our country in this pandemic",8.38,8.4,9.4,63.7,2,9.97,8th and 9th grade
Sat Jun 27 07:00:53 +0000 2020,Swagat toh karo Aarya ka What a comeback and what a show Congratulations aur dher saara pyaar,7.27,7.6,8.4,71.14,1,8.7,8th and 9th grade
Sun Jun 21 08:58:16 +0000 2020,"Happy father's Day , the best gift ur father wud want from u is for u to live happily. Kids khush fathers khush....",5.62,4.0,4.0,85.69,2,4.21,3rd and 4th grade
Sat Jun 20 18:13:11 +0000 2020,A request to all my fans to stand with sushant's fans n not to go by the language n the curses used but to go with the emotion behind it. Pls support n stand by his family n fans as the loss of a loved one is extremely painful.,6.46,8.1,8.0,80.45,2,3.84,7th and 8th grade
Wed Jun 17 11:05:30 +0000 2020,My heart goes out to all brave hearts who hv laid down their lives at the Galwan valley. This sacrifice will not go to waste. I join their families in grief... JaiHind WeStandWithIndianArmy,6.57,5.2,6.5,77.23,3,8.27,6th and 7th grade
Sun Jun 14 14:32:29 +0000 2020,U will be missed ... RIPSushant,7.04,2.9,5.6,83.32,1,4.96,1st and 2nd grade
Sat Jun 13 12:36:18 +0000 2020,"Happy bday Aditya, wish u all the success and happiness. God bless",5.55,4.4,6.1,84.68,1,7.47,5th and 6th grade
Sat Jun 06 13:19:07 +0000 2020,Shukriya for all ur love for FRSH Ab FRSH milega aapko pe bhi Try nahi karoge Go get ur FRSH... ko follow karo for more updates RahoFRSHRahoSafe,7.31,10.3,12.7,69.45,1,7.72,7th and 8th grade
Mon Jun 01 07:25:38 +0000 2020,"Wajid Vil always love, respect, remember n miss u as a person n ur talent, Love u n may your beautiful soul rest in peace ...",6.77,10.7,9.9,63.02,1,4.82,9th and 10th grade
Sat May 30 08:44:18 +0000 2020,Thank u IndiaFightsCorona,9.05,12.7,16.2,9.21,1,18.92,12th and 13th grade
Fri May 29 04:21:02 +0000 2020,Aaj kal Salaam Namaste karne mein hi swag hai Harghoontmeinswag swagsesolo socialdistancing,9.5,9.2,16.0,50.84,1,20.52,9th and 10th grade
Thu May 28 07:15:15 +0000 2020,"Video toh dekh liya, now listen to BhaiBhaiAudio SaajanSingh",7.59,8.0,10.3,53.88,1,13.83,7th and 8th grade
Wed May 27 12:15:28 +0000 2020,. SaajanSingh,19.48,32.0,35.6,-132.59,1,18.4,31st and 32nd grade
Wed May 27 12:15:28 +0000 2020,"Thank u for the response on bhai bhai , please make the younger generation hear this song again n again , your younger siblings , your kids etc .thank u 1s again ,may God be vit u n protect u . BhaiBhai",7.18,14.6,17.5,58.29,1,6.98,6th and 7th grade
Mon May 25 16:12:31 +0000 2020,"Maine aap subb ke liye kuch banaya hai, dekh ke batana kaisa laga... Aap subb ko eid mubarakh ... BhaiBhai SaajanSingh",7.29,3.7,6.6,86.71,2,7.63,5th and 6th grade
Sun May 24 14:49:44 +0000 2020,"Launching my new grooming amp personal care brand FRSH Yeh hai aapka, mera, hum sabka brand jo layega aap tak behtareen products. Sanitizers aa chuke hain, jo milenge aapko yaha Toh try karo ko follow karo RahoFrshRahoSafe",9.25,9.3,11.5,61.16,2,11.26,11th and 12th grade
Sat May 23 06:27:39 +0000 2020,All d vry best Namashi for BadBoy. Poster lajawaab jayantilalgada sajidqureshi rajkumarsantoshi himeshreshammiya amrin namashichakraborty,12.43,9.8,20.9,38.48,2,27.51,9th and 10th grade
Sat May 16 05:30:06 +0000 2020,"Zubaan se zyaada akal hai fast, Ali karega comedy ka blast. Ghar baithe baithe dekhiye the World Television Premiere of Freaky Ali aaj raat 9 baje, only on FreakyAliOnANDPictures",8.17,6.6,10.2,73.68,2,11.53,6th and 7th grade
Fri May 15 18:46:36 +0000 2020,Lockdown ka waqt hai. Sab ghar par hain. Stress bhi hai. Toh aaiye phir milkar stress door kartein hai. Navratna tel ki champi karein aur Thanda Thanda Cool Cool rahein. NavratnaCoolChampi,6.49,1.0,5.7,99.02,5,8.12,5th and 6th grade
Wed May 13 16:21:05 +0000 2020,Mat karo rumours pe trust.... staysafe,6.57,0.9,7.5,99.23,1,7.18,6th and 7th grade
Wed May 13 07:00:07 +0000 2020,"Video dekh liya, ab audio bhi sun lo. TereBinaAudio out now AjayBhatia SaajanSingh IndiaFightsCorona StaySafe",9.27,8.6,12.1,46.94,2,16.31,8th and 9th grade
Tue May 12 06:36:09 +0000 2020,. AjayBhatia SaajanSingh IndiaFightsCorona StaySafe,15.68,24.9,35.9,-76.41,1,43.5,24th and 25th grade
Tue May 12 06:36:08 +0000 2020,"Maine yeh gaana banaya, gaya, shoot kiya aur post kiya aap ke liye, ab aap bhi yeh gaana suno, gaao, aur aap ke swag mai shoot karo ghar pe, post karo, share karo, tag karo n enjoy karo... TereBina",6.38,12.6,17.3,74.19,1,5.29,16th and 17th grade
Mon May 11 07:43:15 +0000 2020,Tere Bina...coming to you at this premiere link soon TereBinaOutTomorrow Click here to Watch the premiere AjayBhatia SaajanSingh,8.92,12.7,16.6,36.28,1,17.22,12th and 13th grade
Sun May 10 06:37:17 +0000 2020,Tere bina... wishing all mothers a v happy Mother s Day AjayBhatia SaajanSingh TereBinaTeaser,11.1,12.3,12.5,31.89,1,14.03,11th and 12th grade
