created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sun Jul 26 18:41:49 +0000 2020,"Today as we mark the 30th anniversary of the Americans with Disabilities Act, we must continue the work to make sure every American is afforded the fundamental right to dignity, independence, and financial security.",9.97,18.9,20.8,20.05,1,13.7,18th and 19th grade
Sat Jul 25 21:25:11 +0000 2020,"Last election, Trump sent troops to the border to stop the invasion. This election, he is sending troops to Portland to stop anarchists. Trump thrives on racism, hatred, divisiveness and fear mongering. For the sake of our democracy, he must be defeated.",8.29,6.2,7.7,69.28,4,9.43,7th and 8th grade
Sat Jul 25 18:28:56 +0000 2020,Nothing is more morally grotesque than hedge fund managers using a pandemic as an opportunity to make windfall profits off a potential COVID 19 vaccine. Anyone using insider information on this vaccine must be prosecuted to the fullest extent of the law.,9.57,11.5,12.9,50.16,2,11.84,11th and 12th grade
Sat Jul 25 13:56:25 +0000 2020,Join our day of action today to support progressives running for office across the country,7.54,8.0,9.9,64.71,1,11.53,7th and 8th grade
Fri Jul 24 23:45:48 +0000 2020,"What a hypocrite. Elon Musk has received billions in corporate welfare from U.S. taxpayers. Now he wants to stop 30 million Americans who lost jobs from receiving 600 a week in unemployment benefits, while his wealth has gone up by 46.7 billion over the past 4 months. Pathetic.",8.38,7.2,9.2,72.16,3,9.39,11th and 12th grade
Fri Jul 24 23:30:00 +0000 2020,. is a true progressive who we can trust to stand with working people and take on the corporate elite of this country.,6.88,9.5,10.1,66.07,1,7.49,9th and 10th grade
Fri Jul 24 22:23:19 +0000 2020,I am once again asking you to wear a mask.,5.71,1.3,-1.0,103.63,1,-0.21,3rd and 4th grade
Fri Jul 24 22:09:59 +0000 2020,"Thousands of airport workers in New York fought to pass the HealthyTerminalsAct. Once signed into law, this bill will give frontline airport workers access to affordable health care. Congratulations to and workers on this victory",7.37,7.9,10.6,59.6,3,13.38,7th and 8th grade
Fri Jul 24 20:51:31 +0000 2020,"After working for 15 years in the health care finance world, saw how health care companies prioritize their bottom line over people. Electing Julie to Congress will send a clear message that Texans are ready for Medicare for All.",7.84,8.5,11.4,68.6,2,10.68,10th and 11th grade
Fri Jul 24 18:31:03 +0000 2020,Today we have a president who does not believe in democracy. A president cannot send troops wherever he wants to quash dissent.,7.05,6.4,6.8,68.77,2,8.97,6th and 7th grade
Fri Jul 24 17:47:54 +0000 2020,"While we supposedly don't have enough money to protect workers, children and the sick, hedge fund billionaires who lost out on their risky and reckless bets get trillions in secret bailouts. We must stop Wall Street bailouts and protect working families.",7.35,8.9,13.4,67.59,2,12.3,11th and 12th grade
Fri Jul 24 17:28:26 +0000 2020,"I m also proud to endorse for Oakland County Prosecutor. She will take on a criminal justice system that criminalizes poverty, perpetuates institutionalized racism, and continues a failed war on drugs that has devastated communities of color.",10.1,14.0,14.1,27.32,2,14.39,13th and 14th grade
Fri Jul 24 17:28:26 +0000 2020,Today I m proud to endorse for Broward County State Attorney. Joe has witnessed first hand the devastation our criminal legal system causes. The people of Broward County have a huge opportunity to bring real change to their communities by electing him.,8.47,8.8,9.2,57.27,3,10.84,10th and 11th grade
