created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sat Jul 25 12:17:26 +0000 2020,"When I entered Downing Street, I pledged to support our teachers, nurses and police. Thank you to Emma Hollie Vicky and all our fantastic public servants who make this country the best place in the world to live.",8.32,7.2,9.8,77.57,2,8.82,8th and 9th grade
Fri Jul 24 16:03:02 +0000 2020,I took on the challenge of listing as many of the government s achievements as possible within 2 minutes. Watch how I did here.,7.52,5.6,5.0,76.22,2,6.48,5th and 6th grade
Fri Jul 24 12:05:35 +0000 2020,"A year ago, I stood on the steps of Downing Street and pledged to get Brexit done, and unite and level up the country. It s been a year of extraordinary and unprecedented challenges. But I believe we can be proud of our country and what we ve achieved together",6.04,6.3,6.8,79.9,3,6.44,6th and 7th grade
Fri Jul 24 11:12:26 +0000 2020,"Today we've announced the roll out of the most comprehensive programme of free flu vaccines, making these available for more people than ever before. It's so important that we all get the flu vaccine, to protect ourselves and our NHS.",7.0,8.7,11.6,68.1,2,10.1,8th and 9th grade
Thu Jul 23 21:31:57 +0000 2020,"We've got a fantastic, strong, united country. We're going to bounce forward together, stronger together.",5.06,7.4,10.9,55.4,2,12.83,5th and 6th grade
Thu Jul 23 08:00:16 +0000 2020,"While our brilliant athletes will have to wait another year for their chance at Olympic glory, I know that come next year, they will be ready to take Tokyo by storm Bring it on OneYearToGo Tokyo2020",7.18,12.6,17.9,68.78,1,9.24,12th and 13th grade
Wed Jul 22 13:28:30 +0000 2020,"It's a year since I stood on the steps of Downing St as the Prime Minister of this great country. In the face of so many challenges this year, we can be proud of what we have achieved together. We will continue to deliver on the people's priorities",6.73,6.0,6.3,80.62,3,6.09,5th and 6th grade
Wed Jul 22 09:06:36 +0000 2020,Yesterday I chaired the first meeting of our new Commission on Race and Ethnic Disparities. Thank you to all the members I hope this will really make the difference that we need right now.,6.34,7.6,8.5,71.14,2,8.52,8th and 9th grade
Wed Jul 22 07:15:02 +0000 2020,"We ve made great strides towards our net zero target over the last year, but it s more important than ever that we keep up the pace of change to fuel a green, sustainable recovery as we rebuild from the pandemic.",7.6,15.7,18.9,55.24,1,7.5,7th and 8th grade
Tue Jul 21 19:43:22 +0000 2020,"It was a pleasure to welcome to Downing Street today. We reaffirmed our countries strong relationship and commitment to working together on the fight against coronavirus, shared security concerns and a UK US free trade agreement.",8.92,10.3,13.0,53.21,2,13.22,11th and 12th grade
Tue Jul 21 19:19:01 +0000 2020,"We ve kept our promises. We have recruited thousands of nurses amp police officers, and invested billions more in our NHS amp schools. Of course there is much more to do. As we begin to recover from this pandemic, we will not lose sight of the country we have promised to build",7.01,4.8,5.6,83.66,4,6.48,5th and 6th grade
Tue Jul 21 09:51:08 +0000 2020,"I was delighted to meet with students amp teachers at the Discovery Primary School yesterday. We ve announced a 2.2bn package to help teachers support those who may have fallen behind, and to deliver a superb education for every student.",9.37,11.1,11.9,51.18,2,10.85,12th and 13th grade
Tue Jul 21 07:56:33 +0000 2020,"Our teachers, doctors, armed forces personnel, and public sector workers have responded to the unprecedented challenges of coronavirus. To recognise their efforts on the front line, we will be increasing their pay this year.",10.05,9.9,13.5,54.22,2,13.98,9th and 10th grade
Mon Jul 20 14:09:14 +0000 2020,"This is very positive news. A huge well done to our brilliant, world leading scientists amp researchers at There are no guarantees, we re not there yet amp further trials will be necessary but this is an important step in the right direction.",7.64,9.3,11.2,66.57,2,9.17,8th and 9th grade
Mon Jul 20 11:24:18 +0000 2020,"I m here today visiting Discovery Primary School in Kent, where I ve been speaking with students and teachers. We re delivering on our promise to increase per pupil funding for every student, with an additional 2.2 billion funding boost for schools in England.",9.39,10.7,12.8,57.61,2,10.68,10th and 11th grade
Sun Jul 19 15:47:54 +0000 2020,"As our lives slowly return to normal, there are some precautions we must take. From next Friday in England, we must all wear a face covering in shops and supermarkets, as well as on public transport. This will protect others and help stop the spread.",6.84,6.8,7.6,73.17,3,7.88,7th and 8th grade
Sat Jul 18 16:29:05 +0000 2020,"We're making sure the NHS has the resources it needs to prepare for winter. But even as we plan for the worst, I strongly believe we should also hope for the best.",5.42,4.8,6.0,89.08,2,5.62,5th and 6th grade
Sat Jul 18 14:28:00 +0000 2020,"This weekend, many of us will be seeing friends, going to the pub or going out to restaurants. As we open the economy back up, we must remember to follow social distancing guidelines. Keep yourself, your family and your community safe.",7.01,7.5,7.8,66.03,3,8.75,7th and 8th grade
Sat Jul 18 12:36:59 +0000 2020,9 But it has to be right that we take local action in response to local outbreaks there is no point shutting down a city in one part of the country to contain an outbreak in another part of the country.,8.37,15.7,17.7,55.24,1,6.4,15th and 16th grade
Sat Jul 18 12:36:59 +0000 2020,"8 I know that it will be hard going for people affected by these local measures. It isn t easy, and for some it may seem unjust that people just a short distance away can live their lives closer to normal.",7.35,7.7,7.8,76.05,2,5.63,7th and 8th grade
