created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 20 21:39:58 +0000 2020,"Now that I have some of your attention, let s Keep JusticeForBreonnaTaylor Going amp not let all the internet noise distract from her story.",6.8,11.5,13.6,55.58,1,10.8,11th and 12th grade
Mon Jul 20 19:56:02 +0000 2020,I ll never get tired of singing this song. I dedicate it to all of you today. Happy B Day Just The Way You Are. 10YearsYoung,5.28,2.0,0.9,96.48,3,2.05,1st and 2nd grade
Sun Jun 21 19:23:28 +0000 2020,Happy Father s Day Pops. I love you. let me borrow that one piece,0.35,1.3,-0.6,98.21,2,0.76,0th and 1st grade
Sun Jun 14 18:58:52 +0000 2020,They could ve easily called someone to take him home and protect his life instead of shooting him in the back like some chumps. I m sick.,5.48,3.8,4.7,91.61,2,5.56,4th and 5th grade
Thu Jun 11 14:11:06 +0000 2020,Everyone Please Watch JusticeForBreonnaTaylor,7.78,21.4,30.0,-51.03,1,37.7,-1th and 0th grade
Wed Jun 03 18:08:51 +0000 2020,Muhammad Ali,11.63,2.9,5.5,77.91,1,1.3,-1th and 0th grade
Sun May 31 18:49:27 +0000 2020,Thank you to all the protesters around the world fighting for whats right. Protect Black lives BlackLivesMatter.,6.84,4.2,9.4,79.77,2,12.72,6th and 7th grade
Sun May 31 18:48:31 +0000 2020,"Thank you for posting this. I m sure the history for a lot of folks comes with shame, but America needs to look in the mirror.",1.25,3.6,3.3,92.12,2,3.7,3rd and 4th grade
Sat May 30 00:08:22 +0000 2020,JusticeForGeorge JusticeForGeorge JusticeForGeorge,9.05,44.6,55.4,-219.22,1,67.23,44th and 45th grade
Sun May 10 21:57:09 +0000 2020,"Look at moms I remember when she bought this wig and swore she was Tina Turner . Happy Mothers Day to all the hard workin mamas out there. I hope you all feel the love today, tomorrow and forever.",5.93,4.7,4.5,83.96,3,5.32,4th and 5th grade
Sat May 09 20:08:25 +0000 2020,Love you Little Richard.,0.2,1.3,5.3,92.8,1,5.8,0th and 1st grade
Mon May 04 18:03:14 +0000 2020,Congrats on your 1 record Unc ForeverValentine Everyone show your love for the One and only,6.4,7.2,8.9,72.16,1,9.97,8th and 9th grade
Tue Apr 21 02:48:02 +0000 2020,I m writing everyday... I promise.,0.3,6.8,4.3,56.93,1,3.35,2nd and 3rd grade
Tue Apr 21 02:44:38 +0000 2020,Nah,0.05,-3.5,-6.9,121.22,1,-28.01,-1th and 0th grade
Tue Apr 21 02:42:12 +0000 2020,We all won tonight witnessing and go back and forth with pure greatness.,6.71,3.6,6.8,92.12,1,8.16,6th and 7th grade
Fri Apr 10 19:19:58 +0000 2020,If you re ever feeling yourself as a song writer take a look at BabyFace s catalogue and it will quickly remind you that you ain t shit Happy Birthday to one of the greatest I call him The Teacher. AKA,7.6,15.7,17.6,55.24,1,6.23,17th and 18th grade
Wed Mar 11 06:53:17 +0000 2020,Oh yeah Dwayne That s what you do,0.4,-0.8,-2.2,114.12,1,-0.81,-1th and 0th grade
Sun Mar 08 11:10:08 +0000 2020,Swipe to see all the vibes.,0.3,-1.5,-1.2,116.15,1,-0.54,-1th and 0th grade
Wed Feb 26 19:53:42 +0000 2020,On The One,0.15,-2.7,-7.5,119.19,1,-10.09,0th and 1st grade
Wed Feb 26 08:09:01 +0000 2020,Thanks Fellas.,11.63,2.9,10.2,77.91,1,4.2,-1th and 0th grade
Sun Feb 23 16:47:09 +0000 2020,All my love Thank you.,0.25,-1.9,-2.1,117.16,1,-2.01,1st and 2nd grade
Fri Feb 14 00:15:31 +0000 2020,LOOK AT EM ForeverValentine,7.78,3.7,8.8,75.88,1,11.6,11th and 12th grade
Wed Feb 12 21:10:27 +0000 2020,Beautiful Everyone go check out Uncle New video ForeverValentine,5.84,9.2,12.4,45.42,1,17.02,8th and 9th grade
Tue Feb 11 18:52:04 +0000 2020,LETS GOOOOO,0.1,-3.1,3.1,120.21,1,-1.61,-1th and 0th grade
Sun Feb 09 03:41:02 +0000 2020,Happy Birthday I Bought you some DVDs. let me know when u want me to drop it off.,0.89,4.4,4.3,95.51,1,2.38,4th and 5th grade
Fri Feb 07 01:43:57 +0000 2020,Let s go unc,0.2,-2.3,-8.9,118.18,1,-10.16,-1th and 0th grade
Thu Feb 06 17:34:50 +0000 2020,If your heart is in your dream No request is too extreme When you wish upon a Star MarsMeetsTheMouse ImGoingToDisneyland YESSS,7.69,10.3,12.9,58.62,1,12.01,12th and 13th grade
Tue Jan 28 04:07:34 +0000 2020,Happy birthday,0.1,8.8,10.2,35.61,1,7.1,-1th and 0th grade
Sun Jan 26 20:25:40 +0000 2020,Kobe was a real life super hero on that court amp I m sure he was one to his family. Sending love and prayers to them. This is heartbreaking.,5.75,2.4,1.8,95.47,3,3.22,4th and 5th grade
Mon Jan 20 22:31:35 +0000 2020,Wanted to wish everyone a Happy Martin Luther King Day,7.29,6.0,4.8,69.79,1,7.34,4th and 5th grade
Mon Jan 20 22:23:27 +0000 2020,Nah,0.05,-3.5,-6.9,121.22,1,-28.01,-1th and 0th grade
Sun Jan 19 20:40:13 +0000 2020,We must.,0.1,-3.1,-4.0,120.21,1,-13.21,-1th and 0th grade
Sun Jan 19 20:38:39 +0000 2020,I miss this.,0.15,-2.7,-4.3,119.19,1,-8.18,0th and 1st grade
Sun Jan 19 20:10:15 +0000 2020,Here s a little more sunshine for your Sunday. ForeverValentine By Charlie Wilson.,7.6,4.6,7.2,73.34,2,10.09,7th and 8th grade
Thu Jan 16 23:31:23 +0000 2020,The world could use a little love right about now and who better to bring it to you than one of the greatest of all time. Uncle charliewilson. I had the Honor to produce and sing a little background for him with my,5.8,7.0,8.2,83.49,2,5.63,5th and 6th grade
Wed Jan 15 22:35:29 +0000 2020,Look at You jus a lil baby angel James. Happy 1500 Day in LA,5.11,1.3,-2.2,98.21,2,-0.87,2nd and 3rd grade
Fri Jan 10 01:35:52 +0000 2020,Thank you congrats fellas,11.73,3.7,6.5,75.88,1,8.7,6th and 7th grade
Sun Jan 05 10:15:32 +0000 2020,Our generation gotta tighten up,13.36,10.0,6.5,32.56,1,9.6,9th and 10th grade
Sun Jan 05 10:12:35 +0000 2020,Sending love to Australia.,11.73,3.7,7.7,75.88,1,8.7,3rd and 4th grade
Tue Dec 24 22:41:10 +0000 2019,"Merry Christmas Hooligans. Sincerely, The Brunz",9.05,6.8,13.0,51.51,2,13.12,12th and 13th grade
Thu Dec 12 11:23:25 +0000 2019,just dramatic,11.63,8.8,7.8,35.61,1,4.2,11th and 12th grade
Thu Dec 12 11:11:50 +0000 2019,I m good. Thanks for checkin up.,0.17,-2.5,-2.3,118.68,2,-4.5,0th and 1st grade
Tue Nov 26 11:10:06 +0000 2019,Now watching,11.63,2.9,5.5,77.91,1,1.3,-1th and 0th grade
Mon Nov 25 08:51:59 +0000 2019,Thank you Hooligans and Thank you,6.57,0.9,3.6,99.23,1,6.25,6th and 7th grade
Mon Nov 18 18:27:25 +0000 2019,Good luck Tell them I m taller in person.,0.45,0.9,0.4,104.64,1,1.59,0th and 1st grade
Mon Nov 18 18:21:57 +0000 2019,I feel pretty.,0.15,0.9,-1.2,93.81,1,-4.29,0th and 1st grade
Mon Nov 18 18:17:03 +0000 2019,No this isn t fake I miss performing with the band and singing for beautiful people. So if you happen to be in Vegas... Let s ride,5.25,3.3,1.2,87.72,3,2.4,5th and 6th grade
Sun Nov 03 01:31:51 +0000 2019,SATURDAY NIGHT,0.1,8.8,10.2,35.61,1,7.1,0th and 1st grade
Thu Oct 31 20:55:29 +0000 2019,HAPPY HALLOWEEN,11.63,8.8,12.5,35.61,1,10.0,-1th and 0th grade
Fri Oct 25 05:36:46 +0000 2019,Ayyyeee Thank you and,7.78,1.3,1.8,92.8,1,2.9,1st and 2nd grade
Tue Oct 22 21:04:29 +0000 2019,Don t ever put your toes in another mans bath water Dwayne Now Baackk Baackk.,0.74,5.6,5.9,81.63,1,6.08,5th and 6th grade
Sat Oct 19 20:38:42 +0000 2019,HASHTAG VOIBES,11.63,2.9,10.2,77.91,1,7.1,-1th and 0th grade
Wed Oct 16 11:04:35 +0000 2019,Ohhh Nooooo...ohhhh no no no noooo,6.57,0.9,4.3,99.23,1,4.28,4th and 5th grade
