created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sat Jul 04 21:08:52 +0000 2020,I love this feeling,7.78,1.3,-0.7,92.8,1,0.0,-1th and 0th grade
Sat Jul 04 18:08:19 +0000 2020,Grande vittoria Abbiamo bisogno di questo spirito... FINO ALLA FINE,13.36,8.8,8.4,41.02,2,10.18,8th and 9th grade
Mon Jun 29 19:04:20 +0000 2020,What do you think about my look like my brother Panita,5.62,2.9,2.9,94.15,1,4.74,4th and 5th grade
Sat Jun 27 12:25:22 +0000 2020,Starting the weekend with a good vibe and a good style,7.05,2.9,2.9,94.15,1,4.74,4th and 5th grade
Fri Jun 26 22:24:38 +0000 2020,Vittoria importante Grandi ragazzi finoallafine,16.52,14.7,21.6,-1.29,1,28.16,14th and 15th grade
Thu Jun 25 18:22:44 +0000 2020,Enjoying this beautiful sunset torino,10.2,12.3,12.2,15.64,1,16.56,12th and 13th grade
Sun Jun 21 19:21:09 +0000 2020,"Never give up, always focused on the next step...All together finoallafine",7.05,7.6,11.5,60.31,1,13.15,7th and 8th grade
Wed Jun 17 09:02:37 +0000 2020,"Nem quero acreditar que o meu menino j tem 10 anos Como o tempo passou... e desde sempre foste motivo de orgulho do pai que tanto te ama. Muitos Parab ns, Filhote Um dia Feliz Amo te muito",9.98,8.3,6.8,69.11,2,4.99,9th and 10th grade
Mon Jun 15 17:41:37 +0000 2020,Get some Vitamin D,7.78,3.7,-1.9,75.88,1,-1.46,3rd and 4th grade
Fri Jun 12 13:41:47 +0000 2020,"Wherever you are, we'll always be together FinoAllaFine ForzaJuve",9.35,10.3,12.9,36.96,1,16.38,12th and 13th grade
Thu Jun 11 13:25:12 +0000 2020,Have a nice day thursdaystyle,7.04,0.5,4.6,100.24,1,7.28,1st and 2nd grade
Mon Jun 08 11:12:52 +0000 2020,Monday motivation The Competition is coming,9.2,13.9,11.4,6.17,1,15.88,15th and 16th grade
Fri Jun 05 18:01:52 +0000 2020,Let s rise to the challenge. What are you doing to ComeBackStronger Take part in the ClearResilienceChallenge at KeepaClearHead MentalHealthMatters,8.87,8.4,13.7,52.87,2,18.07,8th and 9th grade
Fri Jun 05 10:17:27 +0000 2020,Happy Birthday to my two sweeties Eva and Mateo We love you to the end of the world prouddad,7.07,7.2,6.4,77.57,1,5.28,6th and 7th grade
Wed Jun 03 11:32:53 +0000 2020,I fall in love every time I see these two dadysgirls,5.62,2.9,2.1,94.15,1,3.69,4th and 5th grade
Thu May 28 16:10:09 +0000 2020,Family Bike Ride,0.15,5.6,2.1,59.97,1,1.52,1st and 2nd grade
