created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri May 01 04:01:36 +0000 2020,DARK LANE DEMO TAPES,7.78,1.3,0.6,92.8,1,1.45,0th and 1st grade
Fri Apr 03 04:18:55 +0000 2020,TOOSIE SLIDE official video,7.78,3.7,8.8,75.88,1,11.6,11th and 12th grade
Fri Apr 03 04:00:14 +0000 2020,TOOSIE SLIDE,0.1,-3.1,5.5,120.21,1,1.3,-1th and 0th grade
Tue Feb 11 20:05:52 +0000 2020,URL x CAFFEINE Excited to announce this major step forward I managed to get and linked up with the objective of making battle rap easier to access in you home or on your mobile device and it s FREE to watch battles once you sign up. Greatness Simplified.,9.64,19.6,22.9,39.68,1,8.37,19th and 20th grade
Sat Jan 25 05:45:27 +0000 2020,Congrats to the cast and crew on their premiere at Honored to be a part of this.,7.27,5.2,4.8,88.06,1,3.94,4th and 5th grade
Fri Sep 13 04:05:56 +0000 2019,TOP BOY a selection of music inspired by the series Now Available Everywhere TOP BOY The Netflix Series Available 12am PST,8.44,10.3,12.0,58.62,1,10.91,10th and 11th grade
Sat Aug 31 22:38:10 +0000 2019,Almost that time TOP BOY,0.25,0.5,-0.2,100.24,1,1.48,1st and 2nd grade
Sun Aug 04 19:27:30 +0000 2019,TONIGHT EPISODE 8,0.15,-2.7,3.6,119.19,1,3.43,0th and 1st grade
Sun Jul 28 21:37:40 +0000 2019,TONIGHT EPISODE 7,0.15,-2.7,3.6,119.19,1,3.43,0th and 1st grade
Sun Jul 21 21:53:44 +0000 2019,TONIGHT EPISODE 6,0.15,-2.7,3.6,119.19,1,3.43,0th and 1st grade
Sun Jul 14 21:42:43 +0000 2019,TONIGHT EPISODE 5,0.15,-2.7,3.6,119.19,1,3.43,0th and 1st grade
Sun Jul 07 21:34:51 +0000 2019,TONIGHT EPISODE 4,0.15,-2.7,3.6,119.19,1,3.43,0th and 1st grade
Mon May 13 19:21:25 +0000 2019,"Supporting home grown businesses has always been a top priority of mine, so when an opportunity came up to get involved with Cargojet, a great Canadian company I was honored to do so.",9.1,16.2,16.6,37.98,1,9.3,16th and 17th grade
Thu Mar 28 17:03:08 +0000 2019,euphoria is coming soon to,7.04,5.2,1.8,66.4,1,3.8,7th and 8th grade
Fri Feb 15 05:02:03 +0000 2019,"So Far Gone the full original version of the mixtape, streaming everywhere for the first time",8.38,7.2,9.6,72.16,1,10.32,8th and 9th grade
Tue Jan 22 08:57:57 +0000 2019,ASSASSINATION VACATION UK and EU tour tickets on sale Friday Me and w opening sound set by,8.19,8.7,7.6,62.68,1,7.65,7th and 8th grade
Fri Jan 18 16:28:00 +0000 2019,Proud to present MONSTERS AND MEN with in UK and Irish cinemas and on digital platforms today Film of the Week. A powerhouse that couldn t be more timely or necessary Book tickets and download now,8.48,8.0,8.6,70.13,2,8.18,7th and 8th grade
Thu Oct 04 23:13:37 +0000 2018,Excited and honored to be a part of such an important film. I can t wait for everyone to experience it.,5.66,6.2,2.4,69.28,2,3.63,5th and 6th grade
Thu Sep 27 19:55:11 +0000 2018,I m excited and honored to be a part of such an important film. I can t wait for everyone to experience it. Monsters and Men hits theatres this Friday September 28th,6.14,6.3,3.6,69.07,3,5.49,5th and 6th grade
Mon Jul 30 16:30:22 +0000 2018,side effects include EUPHORIA. coming soon,11.83,8.0,10.6,48.47,1,13.97,10th and 11th grade
Fri Jun 29 06:30:06 +0000 2018,ScorpionSZN,19.48,20.2,30.9,-47.99,1,18.4,19th and 20th grade
Mon Jun 11 10:58:45 +0000 2018,NEW DATES ADDED...,0.15,-2.7,5.2,119.19,1,-0.46,-1th and 0th grade
Sun May 27 16:19:46 +0000 2018,I'm Upset,0.1,2.9,-1.7,77.91,1,-10.31,-1th and 0th grade
Fri May 18 13:02:31 +0000 2018,Tickets on sale now,7.78,1.3,-0.7,92.8,1,0.0,-1th and 0th grade
Thu Mar 15 04:57:59 +0000 2018,playing fort nite with,7.78,1.3,2.9,92.8,1,4.35,0th and 1st grade
Sat Feb 17 05:31:10 +0000 2018,GODS PLAN VIDEO,0.15,-2.7,0.5,119.19,1,-0.46,0th and 1st grade
Mon Oct 10 09:38:00 +0000 2016,Tickets Available October 14,11.73,9.6,10.0,33.58,1,13.05,9th and 10th grade
Mon Sep 26 05:32:59 +0000 2016,PleaseForgiveMe A Film Inspired by The Album Views. Available now only on,9.2,4.5,5.9,73.85,2,8.63,5th and 6th grade
Thu Sep 22 03:29:35 +0000 2016,This Friday at the Tickets Now Available,8.5,3.7,5.0,81.29,1,8.24,2nd and 3rd grade
Wed Sep 21 21:04:16 +0000 2016,Now Available On The App Store.,6.57,0.9,2.0,99.23,1,3.35,1st and 2nd grade
Wed Sep 07 01:13:50 +0000 2016,Featuring SummerSixteen Tour Merchandise amp Exclusive LA Pop Up Revenge Merchandise.,11.36,13.5,16.2,18.01,1,20.57,10th and 11th grade
Sun Sep 04 02:41:28 +0000 2016,Drake Childs Play Video now playing on the OVO Blog.,5.71,1.3,3.8,103.63,1,5.6,3rd and 4th grade
Thu Sep 01 00:10:28 +0000 2016,Featuring SummerSixteen Tour Merchandise amp Exclusive Revenge Merchandise.,13.9,17.0,22.6,-12.79,1,28.96,22nd and 23rd grade
Wed Aug 17 19:18:45 +0000 2016,PARTYNEXTDOOR 3 P3 Now Available.,10.2,2.9,8.4,83.32,1,10.76,1st and 2nd grade
Wed Aug 03 16:18:59 +0000 2016,Featuring SummerSixteen Tour Merchandise amp Exclusive NYC Pop Up Revenge Merchandise.,11.36,13.5,16.6,18.01,1,21.09,10th and 11th grade
Fri Jul 29 16:47:14 +0000 2016,Toronto OVO Store Locations,11.73,7.2,8.8,50.5,1,11.6,11th and 12th grade
Thu Jul 21 07:07:15 +0000 2016,All Summer Sixteen,0.15,5.6,5.2,59.97,1,5.35,5th and 6th grade
Thu Jun 30 21:10:43 +0000 2016,Seventh Annual OVOFEST TD Echo Beach Tickets On Sale Now Exclusively at TicketMaster,9.14,10.7,11.2,41.36,1,13.96,10th and 11th grade
Sun Jun 05 01:55:43 +0000 2016,forfree,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Tue May 24 14:59:52 +0000 2016,New Dates Added Canada Pre Sales Start Today With American Express SummerSixteenTour,8.18,10.3,13.2,42.38,1,17.1,10th and 11th grade
Fri May 20 17:01:17 +0000 2016,"New Dates Added US Pre Sales Start Mon May 23, 2016 With American Express SummerSixteenTour",6.49,8.0,10.2,64.71,1,11.53,8th and 9th grade
Sat May 07 00:03:14 +0000 2016,VIEWS Available Now.,9.05,0.9,8.3,93.81,1,7.32,0th and 1st grade
Fri May 06 00:00:16 +0000 2016,VIEWS Available Now.,9.05,0.9,8.3,93.81,1,7.32,0th and 1st grade
Thu May 05 01:09:08 +0000 2016,VIEWS Available Now.,9.05,0.9,8.3,93.81,1,7.32,0th and 1st grade
Tue May 03 23:53:28 +0000 2016,VIEWS Now Available,9.05,0.9,6.8,93.81,1,7.32,0th and 1st grade
Fri Apr 29 12:06:40 +0000 2016,New date added to Summer Sixteen Tour. Tickets on sale today at 10am local time.,6.11,2.7,3.0,89.24,2,5.12,2nd and 3rd grade
Fri Apr 29 03:16:54 +0000 2016,VIEWS Now Available On iTunes,7.04,0.5,4.6,100.24,1,7.28,1st and 2nd grade
Fri Apr 29 00:03:52 +0000 2016,Views gone viral,9.05,0.9,2.1,93.81,1,1.52,0th and 1st grade
Thu Apr 28 16:00:42 +0000 2016,VIEWS Eve.,0.1,-3.1,0.8,120.21,1,-7.41,-1th and 0th grade
Wed Apr 27 20:34:28 +0000 2016,VIEWS Tracklist,11.63,2.9,12.5,77.91,1,10.0,-1th and 0th grade
Wed Apr 27 13:00:17 +0000 2016,Additional shows have been added to the Summer Sixteen Tour. Pre sales begin at 10am local time today.,5.84,4.4,5.3,79.26,2,7.68,5th and 6th grade
Tue Apr 26 01:23:30 +0000 2016,Tune into OVOSOUND Radio on Beats 1 this Thursday at 7PM PST 10PM EST 3AM GMT VIEWS,0.84,5.2,5.6,88.06,1,5.28,5th and 6th grade
Mon Apr 25 11:02:07 +0000 2016,Drake. Future. SummerSixteenTour. Tickets on sale Friday 4 29.,9.35,9.2,11.3,45.42,1,13.19,8th and 9th grade
Mon Apr 25 11:00:29 +0000 2016,Seventh Annual OVOFEST,9.05,9.2,11.5,34.59,1,13.12,11th and 12th grade
Mon Apr 25 01:01:17 +0000 2016,To the city I love and the people in it...Thank you for everything VIEWS,0.69,5.2,5.4,82.65,1,5.33,5th and 6th grade
Sun Apr 24 19:59:26 +0000 2016,TORONTO TODAY VIEWS 567 QUEEN ST. W TORONTO. 5PM Powered by,6.78,3.1,2.3,82.81,2,3.64,1st and 2nd grade
Sat Apr 23 22:05:01 +0000 2016,PALM SPRINGS TODAY VIEWS Powered by,6.57,2.1,5.1,90.77,1,8.17,1st and 2nd grade
Thu Apr 21 22:01:19 +0000 2016,LOS ANGELES TODAY VIEWS 441 N Fairfax LA. 5PM Powered by,8.49,6.4,3.8,68.77,1,5.26,5th and 6th grade
Tue Apr 19 19:02:47 +0000 2016,MIAMI TODAY VIEWS 500 NW 23RD ST MIAMI. 5PM Powered by,7.05,6.4,2.9,68.77,1,4.21,6th and 7th grade
Mon Apr 18 18:01:48 +0000 2016,NYC TODAY VIEWS Powered by,7.04,2.9,1.8,83.32,1,3.8,1st and 2nd grade
