created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Thu Jul 23 22:26:37 +0000 2020,"A federal judge found the obvious weaponized DOJ retaliated against Michael Cohen for exercising his First Amendment rights. This, while DJT grants clemency to Roger Stone. An upside down, LAWLESS, Dept of Justice",8.49,6.4,9.9,68.77,3,12.45,9th and 10th grade
Thu Jul 23 20:17:48 +0000 2020,"Unacceptable maintenance backlogs at our national parks and other public lands have demanded attention for years. Thank you, for your leadership in gaining passage of the Great American Getting outdoors has never been more important.",8.11,11.3,14.1,45.25,2,14.9,12th and 13th grade
Sat Jul 18 17:31:23 +0000 2020,We shouldn t be surprised that is emulating the dictators he admires by deploying secret police to Portland and beyond. But we mustn t tolerate it. It s time for DJT to stop desecrating the United States of America.,7.93,7.2,6.5,66.74,3,7.7,7th and 8th grade
Sat Jul 18 14:00:20 +0000 2020,". was a giant who was bloodied, imprisoned and persecuted in his fight for a better nation. He has left us with a solemn obligation to continue that fight. A great man.",7.2,6.1,4.6,69.48,3,5.95,5th and 6th grade
Wed Jul 08 22:51:45 +0000 2020,Bill Weld Urges GOP Not to Shun Mail In Voting,5.71,1.3,1.0,103.63,1,2.7,3rd and 4th grade
Fri Jul 03 21:15:18 +0000 2020,". is afraid he ll lose the election in November if too many people vote. He may be right, but that s no reason for Republicans to join his crusade to suppress votes.",6.4,6.0,6.2,80.62,2,5.8,5th and 6th grade
Sun Jun 21 20:14:55 +0000 2020,"In my 5 yrs as US Attorney in Boston, we won 110 convictions in 111 corruption prosecutions. Such cases are complex, take months, and depend upon the commitment of the person in charge. The firing of SDNY s Berman and how it was done spits on the integrity of DOJ.",7.62,7.4,7.2,71.44,3,6.67,6th and 7th grade
Fri Jun 19 17:12:49 +0000 2020,". believes the greatest threat to his reelection is that too many people will vote. He s probably right. His fear notwithstanding, of Americans want the option of voting by mail.",8.34,6.0,6.8,69.79,3,8.91,8th and 9th grade
Thu Jun 18 21:39:02 +0000 2020,. has ads removed from Facebook for promoting organized hate. The ads featured a symbol used by the Nazis in WWII to denote political prisoners. Just take a moment to think about that.,8.61,6.3,6.3,69.07,3,8.39,8th and 9th grade
Wed Jun 17 20:06:35 +0000 2020,"Americans overwhelmingly want and deserve the freedom to vote by mail. The obsession by some Republicans, including Donald J. Trump, with restricting that freedom is nothing short of suppression.",8.47,8.3,10.5,53.17,3,13.66,13th and 14th grade
Mon Mar 23 19:22:31 +0000 2020,"In times of crisis, dedication to the Constitution and the rule of law may be tested, but it is in precisely such times that we must protect and defend those very principles that set us apart. Shredding fundamental rights will make no one safer.",7.6,9.5,11.2,66.07,2,8.82,7th and 8th grade
Wed Mar 18 20:14:21 +0000 2020,"With deep gratitude to all who have stood with me during the past eleven months in our effort to bring better government to Washington, D.C., I am today suspending my candidacy for President of the United States. My full statement here",7.35,10.1,11.2,59.13,2,9.57,9th and 10th grade
Mon Mar 09 15:34:09 +0000 2020,"The health and economic impacts of the coronavirus demand strong, calm and stable leadership, as well as the relationships to coordinate an effective international response. The proper role of government This is it.",9.24,12.1,13.0,37.81,2,13.86,12th and 13th grade
Sun Mar 08 19:26:51 +0000 2020,"InternationalWomensDay must not only be a day to honor the amazing achievements of women, but to be reminded that, all around the world, courageous women are still fighting for the equality they so richly deserve.",8.98,16.9,20.1,35.95,1,12.31,16th and 17th grade
Thu Mar 05 20:42:56 +0000 2020,". is an exceptionally fine American. We will all miss her on the campaign trail, and look forward to her continued ferocious service to our nation.",7.41,8.2,7.8,58.79,2,9.21,7th and 8th grade
Tue Mar 03 23:03:47 +0000 2020,Bill Weld on challenging Trump I'm an economic conservative,9.35,9.2,9.8,45.42,1,13.19,9th and 10th grade
Tue Mar 03 17:09:59 +0000 2020,"In Boston, we do lunch on election day and a lot of campaigning. If you haven't, get out and vote",6.5,2.5,1.9,95.17,2,2.7,2nd and 3rd grade
Tue Mar 03 14:31:10 +0000 2020,It's a beautiful day to vote Get out there and do it.,0.6,3.3,1.1,93.14,1,1.15,0th and 1st grade
Mon Mar 02 23:20:37 +0000 2020,"Thanks to Weymouth for a great tour, and to some future hockey stars for letting me hang out.",7.16,5.6,7.4,87.05,1,6.26,7th and 8th grade
Mon Mar 02 20:38:43 +0000 2020,Touring one of the many world class advanced manufacturing companies that call Massachusetts home.,9.97,11.1,14.2,40.35,1,16.93,10th and 11th grade
Mon Mar 02 17:08:28 +0000 2020,About to go live at in Marshfield. Tune in,5.84,0.9,0.9,104.64,1,2.23,0th and 1st grade
Mon Mar 02 16:58:45 +0000 2020,...voting for Bill Weld is a great way to send a message that many Utah Republicans are too smart to be ensnared by the party above all slogan.,7.28,10.7,12.1,68.44,1,6.22,12th and 13th grade
Mon Mar 02 16:30:01 +0000 2020,"Towns like Scituate, MA are on the front line of the fight to prevent climate change catastrophe.",8.19,8.7,9.5,62.68,1,9.39,8th and 9th grade
Mon Mar 02 01:43:56 +0000 2020,". brought a groundbreaking and refreshing voice to the presidential race. Congratulations for fighting the good fight, and for earning what I know will be a continuing role on the national stage.",8.48,9.3,11.2,55.74,2,12.35,10th and 11th grade
Sun Mar 01 14:32:53 +0000 2020,"Proud to have the endorsement of The Republican in Springfield, MA.",8.49,6.4,8.5,68.77,1,10.54,8th and 9th grade
Sat Feb 29 15:23:20 +0000 2020,Talking about a real plan to address climate change with fmr. State Sen. and MA. Sec. of Environmental Affairs Bob Durand.,7.74,4.8,5.0,72.83,3,6.85,4th and 5th grade
