created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 27 04:05:08 +0000 2020,"laughing and joking and enjoying life together... whatever that is, wherever that is...doesn t matter. That s the blessing I have in you... happy birthday 13...",6.71,8.4,9.5,58.28,2,8.8,9th and 10th grade
Mon Jul 27 04:05:07 +0000 2020,You are on TV right now and I m sitting here in the studio watching you and thinking about how I only want to be right here with you...,6.71,9.9,10.4,75.88,1,4.13,9th and 10th grade
Sun Jul 26 19:57:02 +0000 2020,Outtake from getting ready for the The Governor s Ball for the Academy... by Greg Williams,7.39,7.2,8.7,72.16,1,8.52,8th and 9th grade
Sun Jul 26 18:59:06 +0000 2020,They look great,0.15,-2.7,0.5,119.19,1,-0.46,0th and 1st grade
Sun Jul 26 15:41:27 +0000 2020,"TooManyShoes check It s time for another TikTok challenge, but this time with in celebration of my JLOJenniferLopez collection. Can t wait to see your videos DSWFinds MyDSW",7.15,6.4,10.0,74.19,2,11.77,9th and 10th grade
Sun Jul 26 04:12:18 +0000 2020,Exactly where we need to be ...,6.57,4.5,1.2,73.85,1,0.45,6th and 7th grade
Sat Jul 25 14:36:11 +0000 2020,Just finished a great post birthday celebration workout and helped to support hunger awareness NoLimitLegion Pelothon2020,10.35,10.7,17.8,46.78,1,20.88,10th and 11th grade
Sat Jul 25 05:39:47 +0000 2020,Birthday treats What s your fave bday cupcake Chocolate or vanilla,7.05,5.2,8.0,77.23,1,11.06,4th and 5th grade
Sat Jul 25 05:13:56 +0000 2020,Crying tears of joy Thank you for the best day,5.71,1.3,1.0,103.63,1,2.7,3rd and 4th grade
Fri Jul 24 19:51:32 +0000 2020,"....But what s the same is I still feel the love from all of you and I hope you feel it too Even though the world has changed so much, here is something that never will I love you, I love you, I love you It s mah birthday",2.43,16.5,19.7,64.04,1,3.27,19th and 20th grade
Fri Jul 24 19:51:19 +0000 2020,"Thank you so much for all of your beautiful birthday wishes As I watch and read through all of them, I can t help but think how I spent my last birthday with so many of you last summer celebrating and how this year is so different.....",3.0,16.9,21.0,57.61,1,6.17,16th and 17th grade
Thu Jul 23 17:41:12 +0000 2020,This week on you blew me away ICYM this week s episode,0.6,0.9,1.4,110.06,1,2.6,0th and 1st grade
Wed Jul 22 03:00:08 +0000 2020,What a battle Who do you want to bring back in the redemption round,5.46,4.0,3.8,91.11,1,4.52,3rd and 4th grade
Wed Jul 22 02:43:17 +0000 2020,"JLo, DHo, NeYo . Hahaha love you guys WorldOfDance",7.78,4.9,5.3,67.42,2,5.1,4th and 5th grade
Wed Jul 22 02:16:10 +0000 2020,That was one of the hardest rounds of the duels FightMode WorldOfDance,9.5,5.6,7.7,76.22,1,10.37,5th and 6th grade
Wed Jul 22 02:08:06 +0000 2020,Yes you did,0.15,-2.7,-5.9,119.19,1,-8.18,0th and 1st grade
Wed Jul 22 02:02:58 +0000 2020,These Juniors are such special little beings with SOOO much talent. So excited to see what they do tonight Who are you most excited to see WorldOfDance,7.23,6.2,7.1,74.69,2,8.75,6th and 7th grade
Wed Jul 22 01:04:53 +0000 2020,"East Coast We're back in just an hour. ICYMI, check out the latest BTS from WorldOfDance",6.99,2.9,4.0,88.74,2,5.76,5th and 6th grade
Tue Jul 21 23:55:03 +0000 2020,WODoutfitcheck,19.48,20.2,45.0,-47.99,1,35.8,19th and 20th grade
Tue Jul 21 23:55:02 +0000 2020,WODoutfitcheck,19.48,20.2,45.0,-47.99,1,35.8,19th and 20th grade
Tue Jul 21 23:55:01 +0000 2020,WODOutfitCheck I ve been lovvvving all of your recreations. You guys are too good. Check my next tweet for some of my faves. Who are you most excited to see tonight in WorldOfDance,5.48,1.8,3.8,96.89,4,6.11,5th and 6th grade
Tue Jul 21 23:31:14 +0000 2020,Love this Good luck to all tonight,0.35,-1.2,0.9,115.13,1,3.26,2nd and 3rd grade
Tue Jul 21 13:04:15 +0000 2020,Summertime shine Lulu,14.31,9.2,9.9,34.59,1,11.15,9th and 10th grade
Mon Jul 20 15:21:46 +0000 2020,"But it s not always easy, especially now. amp is an accessible solution with products and services that will keep you in charge of your own well being. You deserve it Check them out here HersPartner",7.16,8.0,8.9,70.13,2,8.18,7th and 8th grade
Mon Jul 20 15:18:22 +0000 2020,"Now more than ever, it s sooo important to advocate for your own health and wellness. Everyone deserves to look and feel their best ... self care is your right",5.99,5.4,6.9,82.14,2,7.13,5th and 6th grade
Mon Jul 20 02:37:13 +0000 2020,Family time,0.1,8.8,3.1,35.61,1,-1.61,0th and 1st grade
Fri Jul 17 18:16:58 +0000 2020,Don t believe me just watch. A lil flashback to one of my favorite dance breaks AMAs,4.99,1.9,1.7,96.69,2,3.5,1st and 2nd grade
Fri Jul 17 00:09:52 +0000 2020,Baby hairs and mo itos,7.04,0.5,-2.1,100.24,1,-0.85,1st and 2nd grade
Wed Jul 15 14:37:33 +0000 2020,Just for my JLovers...today is the last day to shop 50 off my footwear collection I can t wait to see all your LEWKS Post your photos using JLoJenniferLopez and I might reshare,7.67,12.6,15.6,63.36,1,8.08,7th and 8th grade
Wed Jul 15 03:02:11 +0000 2020,SAME,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Wed Jul 15 03:00:22 +0000 2020,It was NOT easy WorldofDance,7.04,2.9,3.7,83.32,1,6.12,2nd and 3rd grade
Wed Jul 15 02:59:20 +0000 2020,All you have in life is here and now you have to attack it like its the last minute you re gonna get. NBCWorldOfDance,1.85,7.9,9.0,80.96,1,5.52,5th and 6th grade
Wed Jul 15 02:44:36 +0000 2020,Did someone say redemption It s not over until it s over. Who do you want to bring back to battle it out NBCWorldOfDance,5.55,4.4,3.6,84.68,2,5.03,5th and 6th grade
Wed Jul 15 02:39:10 +0000 2020,There is just something so special about my boys from NBCWorldOfDance,7.05,6.4,9.3,68.77,1,12.62,5th and 6th grade
Wed Jul 15 02:12:11 +0000 2020,"This is gonna be tough, I can already tell . NBCWorldOfDance JakeandChau JoshandErica",7.88,8.0,10.2,48.47,2,13.5,7th and 8th grade
Wed Jul 15 02:07:33 +0000 2020,Trust me . You are not going to want to miss this round of the duels NBCWorldOfDance,6.4,7.2,6.6,72.16,1,6.73,6th and 7th grade
Wed Jul 15 01:35:21 +0000 2020,We re back in just 30 minutes Check out some my fave fashion moments from this season so far WorldOfDance,7.0,7.6,8.8,76.56,1,7.66,7th and 8th grade
Wed Jul 15 00:33:13 +0000 2020,We re back at 10 9c WorldOfDance,6.24,2.5,-0.6,89.75,1,1.57,-1th and 0th grade
Sun Jul 12 19:29:56 +0000 2020,Always grateful for a day in the sun. SundayFunday,5.84,6.8,5.1,62.34,1,7.39,6th and 7th grade
Sun Jul 12 03:15:07 +0000 2020,Pase lo que pase toy pa ti ... Are you ready,0.25,-0.8,-3.0,108.7,2,-3.75,-1th and 0th grade
Thu Jul 09 13:07:11 +0000 2020,"We re already halfway through the year. I know times have been tough amp as a gift to all of u for being the best, I have a little code for u to get 50 off my shoe collection All u have to do is enter code LOVEJLO for 50 off until 7 15. to shop JLovers",5.88,9.7,9.0,76.39,2,2.68,9th and 10th grade
Wed Jul 08 15:20:29 +0000 2020,Can t believe this interview was over 20 years ago and still stands true today . We re all human and that s that. EqualOpportunity,6.21,5.6,5.4,76.22,2,6.95,5th and 6th grade
Wed Jul 08 01:09:49 +0000 2020,Even though we're back with a repeat tonight I want to hear about some of your fav moments from so far Tweet me your favorite moments from this season and I might follow you WorldOfDance,6.27,12.2,16.5,69.79,1,8.31,7th and 8th grade
Wed Jul 08 00:52:23 +0000 2020,"Catch up with tonight In case you missed last weeks episode, we re back again with the duels NBCWorldOfDance",6.24,6.0,10.4,86.03,1,9.86,9th and 10th grade
Tue Jul 07 20:32:57 +0000 2020,Delaware and New Jersey Vote in your primaries,9.95,5.2,5.6,71.82,1,8.66,5th and 6th grade
Tue Jul 07 20:24:32 +0000 2020,BlackoutTuesday BlackoutDay2020,19.53,20.6,50.2,-49.0,1,56.4,20th and 21st grade
Mon Jul 06 21:05:13 +0000 2020,Monday ... back to work,0.2,3.7,2.9,75.88,1,0.0,-1th and 0th grade
Sat Jul 04 15:15:44 +0000 2020,"Many thanks to for starting her organization WhenWeAllVote, making it easier for people to register. And thank you for joining us by banding together to BE the change you want to see in the world.",7.66,8.9,9.1,62.17,2,8.76,8th and 9th grade
Sat Jul 04 15:15:03 +0000 2020,"This Independence Day, I am simply asking everyone to celebrate by getting LOUD. LetsGetLoud by using our voices, by changing the race and age voting gap, and driving everyone to the polls to vote this November.",8.92,10.3,10.6,53.21,2,9.97,10th and 11th grade
Fri Jul 03 16:04:08 +0000 2020,Virtual kisses to you all this Friday. Have an amazing day.,8.22,4.3,2.3,74.35,2,3.64,3rd and 4th grade
Wed Jul 01 21:59:35 +0000 2020,CONGRATULATIONS We are excited to see what the future brings and what you will bring to the future.,6.28,8.0,9.0,70.13,1,8.52,8th and 9th grade
