created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jul 24 20:55:50 +0000 2020,Glad the Liberals are taking some Green ideas helping women helps everyone,6.86,8.0,9.3,59.3,1,12.28,6th and 7th grade
Thu Jul 23 23:15:19 +0000 2020,Registration info is here,11.73,9.6,6.5,33.58,1,8.7,11th and 12th grade
Thu Jul 23 22:20:43 +0000 2020,Happening now Tune in to spot moderator Dunder Mifflin mug,10.45,8.4,6.6,52.87,1,9.66,9th and 10th grade
Wed Jul 22 03:44:34 +0000 2020,"In our Prairies townhall tonight, 2 of our leadership contestants were subject to abhorrent racist amp anti Semitic attacks from participants. Those behind the attacks were not GPC members, and never will be. We stand with you",7.66,6.9,8.9,67.45,3,11.01,6th and 7th grade
Tue Jul 21 18:14:04 +0000 2020,Had a great chat with MS Society of Canada and the Canadian Cancer Society last week. Thank you for fighting for a social safety net that catches us all,8.17,6.6,6.0,73.68,2,6.72,6th and 7th grade
Tue Jul 21 17:26:53 +0000 2020,Such an important discussion. NoOneLeftBehind TheFutureWeWant ReimagineOurFuture,12.83,17.6,30.1,-25.15,2,36.11,12th and 13th grade
Tue Jul 21 15:50:28 +0000 2020,Finally able to talk to a person I ve admired from a distance for years. You must hear Will post soon,5.66,2.7,2.0,94.66,2,3.34,4th and 5th grade
Tue Jul 21 01:57:04 +0000 2020,Maryam Monsef Rape kits in every hospital in Canada Sign the Petition via,7.93,7.2,7.2,66.74,1,9.03,7th and 8th grade
Tue Jul 14 22:58:49 +0000 2020,"Big news from A real hero who has shown leadership, courage and vision in challenging times.",7.39,7.2,9.2,72.16,1,9.63,6th and 7th grade
Tue Jul 14 22:57:17 +0000 2020,"Thank you for fortitude, vision and courage. Knowing when the time is right to shift roles is a sign of wisdom. So glad we can still seek your wise insights. All the best",6.44,1.8,2.4,96.89,4,4.2,4th and 5th grade
Tue Jul 14 18:54:13 +0000 2020,"We can t get distracted by partisan posturing. Canadian students, many from communities hit hardest by COVID 19, need our support. Now. The gov t should reallocate the 1 billion in funding to the Canada Summer Jobs program asap. cdnpoli",10.22,8.5,8.5,57.98,3,9.56,8th and 9th grade
Tue Jul 14 18:54:13 +0000 2020,"the program saw more than 35,000 applications within the first week, with 64 per cent of them coming from those identifying as visible minorities. Almost a quarter of applications were from rural Canada, while 10 per cent were individuals from LGBTQ2 communities.",8.44,11.5,14.0,50.16,2,12.71,13th and 14th grade
Mon Jul 13 17:17:11 +0000 2020,Canadians who are celebrating the news from Washington today let's make sure are next. ChangeTheName NotYourMascot,9.36,11.9,15.7,38.32,1,17.57,11th and 12th grade
Fri Jul 10 17:32:32 +0000 2020,I am baffled that the Liberal cabinet and their advisors thought that this was a good idea. This is Conflict of Interest 101. The PM owes Canadians answers to the questions piling up about his relationship to WE Charity. cdnpoli,9.03,7.3,7.5,66.44,3,8.8,7th and 8th grade
Fri Jul 10 16:59:00 +0000 2020,A wonderful evening all around. Great to see you both.,0.25,0.5,2.3,100.24,2,3.22,1st and 2nd grade
