created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jul 24 19:15:51 +0000 2020,"As we safely restart our economy, we re putting you and your family first. And through the Safe Restart Agreement with the provinces and territories, we re investing in affordable and high quality child care so your kids have a safe place to go when you head back to work.",7.4,9.5,12.1,71.48,2,8.42,9th and 10th grade
Fri Jul 24 19:15:40 +0000 2020,Vous et votre famille tes au c ur de notre Accord sur la relance s curitaire avec les provinces et les territoires. On investit donc dans des services de garde abordables et de qualit pour que vos enfants aient un endroit s r o aller quand vous retournerez au travail.,8.67,9.5,11.7,71.48,2,8.19,8th and 9th grade
Thu Jul 23 22:55:34 +0000 2020,"The events that unfolded in Nova Scotia on April 18th and 19th were horrific, and they have shaken Canadians across the country. To get the answers that the families of the victims deserve, Minister and have announced an Independent Review Panel. More here",9.48,10.5,12.8,58.11,2,11.02,10th and 11th grade
Thu Jul 23 22:55:20 +0000 2020,"Les v nements horribles qui ont eu lieu en N. . les 18 et 19 avril ont secou les Canadiens partout au pays. Pour obtenir les r ponses que m ritent les familles des victimes, le ministre et ont annonc la cr ation d un comit d examen ind pendant. D tails",8.31,9.7,9.9,70.97,2,5.29,9th and 10th grade
Thu Jul 23 18:36:30 +0000 2020,"Over the years, General Vance has defended our country and deployed overseas. He has helped people across the country and worked to make the more inclusive. I thank him for his dedication and leadership, and wish him the best in retirement.",7.01,6.3,8.4,74.49,3,9.74,7th and 8th grade
Thu Jul 23 18:36:30 +0000 2020,"One of the longest serving military commanders in Canada s history, General Jonathan Vance has served our country with distinction for nearly 40 years. In the coming months, he will retire as Chief of the Defence Staff and from the",7.79,9.9,11.2,59.64,2,10.1,9th and 10th grade
Thu Jul 23 18:36:23 +0000 2020,"Au fil des ans, il a d fendu notre pays ici et l tranger. Il a aid les Canadiens et a travaill pour rendre les plus inclusives. Je le remercie de son d vouement et son leadership, et je lui souhaite une tr s bonne retraite.",7.14,5.7,4.5,81.33,3,3.94,9th and 10th grade
Thu Jul 23 18:36:22 +0000 2020,"L un des commandants militaires canadiens comptant le plus d ann es de service, le g n ral Jonathan Vance a servi notre pays avec distinction pendant pr s de 40 ans. Il prendra sa retraite en tant que chef d tat major de la d fense ainsi que des",7.72,9.5,9.5,71.48,2,5.52,9th and 10th grade
Thu Jul 23 17:00:35 +0000 2020,"We re working with the provinces and territories to get you the support you need and keep you safe. Together, we re going to protect your health, help you head back to work safely, and prevent a potential second wave that s what our Safe Restart Agreement is all about.",7.4,9.5,11.8,71.48,2,7.96,11th and 12th grade
Thu Jul 23 17:00:22 +0000 2020,"On travaille avec les provinces et territoires pour vous soutenir et vous garder en s curit . On va prot ger votre sant , vous aider retourner au travail en toute s curit et pr venir une ventuelle deuxi me vague... comme le dit notre accord sur la relance s curitaire.",7.75,9.3,11.8,71.99,2,8.13,7th and 8th grade
Thu Jul 23 13:03:20 +0000 2020,"Today, we remember the thousands of Tamils who were killed as well as the countless others who were displaced during Black July and the ensuing conflict. We continue to stand with all who suffered and who are seeking lasting peace and reconciliation.",8.81,10.3,12.5,58.62,2,11.14,12th and 13th grade
Thu Jul 23 13:03:09 +0000 2020,"Aujourd hui, on se souvient des milliers de Tamouls qui ont t tu s et des nombreux autres qui ont t d plac s lors du Juillet noir et du conflit qui a suivi. On soutient ceux qui ont souffert et qui r clament une paix et une r conciliation durables.",8.31,9.7,9.6,70.97,2,5.17,9th and 10th grade
Wed Jul 22 22:28:23 +0000 2020,"Yesterday, members in the House of Commons passed legislation to make sure Canadians with disabilities can get the support they need during these tough times. This legislation is now headed to the Senate and we re going to keep working so no one gets left behind.",7.87,11.1,12.4,56.59,2,10.1,11th and 12th grade
Wed Jul 22 22:28:19 +0000 2020,"Hier, la Chambre a adopt un projet de loi pour que les Canadiens en situation de handicap obtiennent l aide dont ils ont besoin en cette p riode. Ce projet de loi sera maintenant tudi au S nat et on va continuer de travailler pour que personne ne soit laiss pour compte.",9.18,11.1,11.4,62.01,2,7.09,15th and 16th grade
Wed Jul 22 16:15:32 +0000 2020,"Two years ago, a terrible shooting on the Danforth cut short two lives and forever changed many more. Today, our hearts go out to the Fallon and Kozis families and we are keeping all who were affected by this tragedy in our thoughts. Together, we are still DanforthStrong.",7.06,7.2,8.7,72.16,3,8.87,8th and 9th grade
Wed Jul 22 16:15:17 +0000 2020,"Il y a 2 ans, une terrible fusillade Danforth a co t la vie de deux personnes et a chang jamais celle de beaucoup d autres. On est de tout c ur avec les familles Fallon et Kozis, et on pense tous ceux qui ont t touch s par cette trag die. On est encore DanforthStrong.",6.82,5.9,5.8,86.33,3,4.24,5th and 6th grade
Wed Jul 22 15:43:07 +0000 2020,"I ve spoken with twice over the past few months, and we touched base again last night. Our call focused on the pandemic, restarting our economies, Hong Kong, and other international developments and we agreed to keep working together.",7.44,8.5,12.0,68.6,2,10.97,10th and 11th grade
Wed Jul 22 15:43:00 +0000 2020,"J ai parl avec deux reprises au cours des derniers mois, et encore hier soir. On a discut de la pand mie, de la relance de nos conomies, de Hong Kong et d autres enjeux internationaux. On a convenu de continuer de travailler ensemble.",8.31,5.5,6.3,81.93,3,6.49,5th and 6th grade
Tue Jul 21 17:18:30 +0000 2020,COVID 19 remains a serious health threat. We re not out of the woods yet and we need to keep protecting each other. It s up to all of us to follow public health rules and stay two metres apart or wear a mask when that isn t possible so we don t lose the progress we ve made.,5.68,6.3,5.6,85.32,3,3.66,5th and 6th grade
Tue Jul 21 17:18:17 +0000 2020,"La COVID 19 reste une grave menace pour la sant . On n est pas encore sortis du bois et on doit se prot ger les uns les autres. C est nous de suivre les r gles et de respecter la distance de 2 m tres, ou porter un masque lorsque c est impossible, pour ne pas perdre nos progr s.",6.73,6.4,5.7,85.02,3,3.31,5th and 6th grade
Mon Jul 20 20:01:22 +0000 2020,Are you between the ages of 16 24 and ready to help shape the future of our country We re now accepting applications for the next wave of the PM s Youth Council have your voice heard and apply today by clicking here,7.97,16.5,19.0,53.21,1,6.92,18th and 19th grade
Mon Jul 20 20:00:46 +0000 2020,tes vous g entre 16 et 24 ans et pr t b tir l avenir de notre pays On accepte maintenant les candidatures pour le prochain Conseil jeunesse du PM. Faites entendre votre voix et postulez aujourd hui en cliquant ici,8.5,7.7,8.7,76.05,2,7.08,8th and 9th grade
