created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sun Jul 19 07:18:18 +0000 2020,Stunning WOW,11.63,2.9,5.5,77.91,1,1.3,-1th and 0th grade
Thu Jul 16 22:32:15 +0000 2020,Spice Girls,0.1,-3.1,3.1,120.21,1,-1.61,-1th and 0th grade
Thu Jul 16 21:35:19 +0000 2020,"Coming Soon Power Mesh invisible super strength mesh shapewear made to powerfully smooth and sculpt. Available in 5 colors and in sizes XXS 4X on Tuesday, July 21 at 9AM PT exclusively at Join the waitlist now to receive early access to shop.",7.64,10.5,11.2,58.11,2,9.28,10th and 11th grade
Wed Jul 15 17:06:35 +0000 2020,I hope everyone has a great day,0.35,2.5,-1.2,89.75,1,0.76,2nd and 3rd grade
Wed Jul 15 16:30:04 +0000 2020,Nyadhuor,19.48,8.4,16.8,36.62,1,1.0,-1th and 0th grade
Wed Jul 15 16:29:58 +0000 2020,Yvonne,0.05,-3.5,7.3,121.22,1,-10.61,-1th and 0th grade
Wed Jul 15 16:29:56 +0000 2020,Tsecha,0.05,-3.5,7.3,121.22,1,-10.61,-1th and 0th grade
Wed Jul 15 16:29:49 +0000 2020,Torin,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Wed Jul 15 16:29:43 +0000 2020,Taylor,19.48,8.4,7.3,36.62,1,-10.61,-1th and 0th grade
Wed Jul 15 16:29:42 +0000 2020,Talea,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Wed Jul 15 16:29:40 +0000 2020,Tabria,0.05,-3.5,7.3,121.22,1,-10.61,-1th and 0th grade
Wed Jul 15 16:26:27 +0000 2020,Sparkle,0.05,-3.5,12.0,121.22,1,-4.81,-1th and 0th grade
Wed Jul 15 16:26:20 +0000 2020,Solange,0.05,-3.5,12.0,121.22,1,-4.81,-1th and 0th grade
Wed Jul 15 16:26:15 +0000 2020,Sherica,19.48,20.2,12.0,-47.99,1,-4.81,19th and 20th grade
Wed Jul 15 16:26:10 +0000 2020,Seyna Jag Models,14.31,5.6,2.1,59.97,1,1.52,1st and 2nd grade
Wed Jul 15 16:26:05 +0000 2020,Seairra,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Wed Jul 15 16:25:59 +0000 2020,Sasha,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Wed Jul 15 16:25:57 +0000 2020,Sami,19.48,8.4,-2.2,36.62,1,-22.21,-1th and 0th grade
Wed Jul 15 16:25:50 +0000 2020,Sabey,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Wed Jul 15 16:25:48 +0000 2020,Rebekah,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Wed Jul 15 16:25:42 +0000 2020,Precious,19.48,8.4,16.8,36.62,1,1.0,-1th and 0th grade
Wed Jul 15 16:25:40 +0000 2020,Kaelani,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Wed Jul 15 16:25:38 +0000 2020,Hayley,19.48,8.4,7.3,36.62,1,-10.61,-1th and 0th grade
Wed Jul 15 16:25:37 +0000 2020,Daisha,0.05,-3.5,7.3,121.22,1,-10.61,-1th and 0th grade
Wed Jul 15 16:25:34 +0000 2020,Crystal,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Wed Jul 15 16:25:32 +0000 2020,Courtni,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Wed Jul 15 16:25:32 +0000 2020,Chloe,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Wed Jul 15 16:25:30 +0000 2020,Cassi,19.48,8.4,2.6,36.62,1,-16.41,-1th and 0th grade
Wed Jul 15 16:25:26 +0000 2020,Carmen,19.48,8.4,7.3,36.62,1,-10.61,-1th and 0th grade
Wed Jul 15 16:25:20 +0000 2020,Ashourina,19.48,20.2,21.5,-47.99,1,6.8,19th and 20th grade
Wed Jul 15 16:25:13 +0000 2020,Ariel,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Wed Jul 15 16:25:08 +0000 2020,Arame,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Wed Jul 15 16:25:03 +0000 2020,Angok Heroes Models,19.58,9.2,6.8,34.59,1,7.32,6th and 7th grade
Wed Jul 15 16:25:00 +0000 2020,Alexus,0.05,-3.5,7.3,121.22,1,-10.61,-1th and 0th grade
Wed Jul 15 16:24:58 +0000 2020,"Last week I highlighted some gorgeous models we ve photographed for Today, I d love to shine the spotlight on the black women we ve photographed for I encourage other brands to book these incredible women for jobs in the future.",8.75,16.9,20.7,46.78,1,9.94,16th and 17th grade
Wed Jul 15 02:02:48 +0000 2020,"If you watched the special on Julius Jones and want to help save an innocent man's life, contact or email the Pardon and Parole Board at Ask them to give Julius a commutation hearing and a chance to tell his story JusticeforJulius",7.98,16.1,20.8,54.23,1,9.42,9th and 10th grade
Tue Jul 14 18:18:07 +0000 2020,Happy Birthday I hope you re day is the best ever,0.55,4.0,0.8,85.69,1,2.13,0th and 1st grade
Tue Jul 14 16:16:30 +0000 2020,I hope you enjoy your first pair of SKIMS,0.45,0.9,0.4,104.64,1,2.23,0th and 1st grade
Tue Jul 14 16:00:13 +0000 2020,JUST DROPPED BODY sleek and sexy basics to take you through summer in style. Available now in 4 colors and in sizes XXS 4X at Photo,6.71,3.6,4.3,92.12,2,5.26,4th and 5th grade
Tue Jul 14 13:02:14 +0000 2020,I am praying that the Oklahoma Pardon amp Parole Board take the time to watch two hour program on the case of death row inmate Julius Jones tonight. I believe Julius is innocent and the state of Oklahoma must act now to save this man s life. JusticeforJulius,7.13,9.1,11.3,72.5,2,8.25,8th and 9th grade
Mon Jul 13 15:16:38 +0000 2020,"SKIMS BODY launching in 4 colors and in sizes XXS 4X tomorrow, Tuesday July 14 at 9AM PT 12PM ET exclusively at Join the waitlist now to receive early access to shop. Photo",8.14,13.8,15.0,54.9,1,7.56,13th and 14th grade
Sun Jul 12 15:17:40 +0000 2020,Tonight at 5 pm PT 7 pm CT on IG Live please join the DJ set to honor the fight for the life of Julius Jones in Oklahoma JusticeForJulius,6.16,9.9,10.8,75.88,1,5.12,9th and 10th grade
Fri Jul 10 19:56:38 +0000 2020,"On March 18, 2018 Stephon Clark was murdered by Sacramento police in his grandmother s backyard. He was a father of 2 amp shot over 20 times by the officers. Please sign this petition to demand justice for the family of Stephon Clark JusticeForStephonClark",7.24,6.7,8.7,73.47,3,9.79,6th and 7th grade
Fri Jul 10 18:24:10 +0000 2020,"For all of the things that could be trending, this is super funny to me that so many are concerned about a pic i posted 2 years ago. It s the sweet corn truffle pasta from the best restaurant ever, Georgio Baldi in Santa Monica. They are open for take out. I highly recommend.",8.11,5.0,4.8,83.15,4,5.44,4th and 5th grade
Wed Jul 08 14:14:38 +0000 2020,Happy Birthday Penelope I love you so much sweet silly girl I really can t believe you are 8 years old I couldn t have asked for a better bestie for North You two together are so loving and I know you will always have each other I love you so much,3.19,20.0,22.3,44.08,1,5.47,19th and 20th grade
Tue Jul 07 17:07:50 +0000 2020,Naressa The Lions Model Management LA,14.46,10.4,6.7,31.55,1,10.08,9th and 10th grade
Tue Jul 07 17:07:49 +0000 2020,Jamea Elite Los Angeles,7.78,3.7,4.1,75.88,1,5.8,3rd and 4th grade
Tue Jul 07 17:07:47 +0000 2020,Lyuana,19.48,8.4,7.3,36.62,1,-10.61,-1th and 0th grade
