created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sun Jul 26 18:26:55 +0000 2020,"If you guys want to learn more about what we re doing in Florida and how you can help, go check this out tonight.",6.14,6.8,8.2,89.42,1,4.3,6th and 7th grade
Fri Jul 24 20:04:25 +0000 2020,1st of many to come Love our families who enter our doors Village,5.5,4.8,4.3,83.66,1,5.5,5th and 6th grade
Fri Jul 24 19:30:09 +0000 2020,Shoutout to my brother for leadership on this issue for all of us.,6.71,4.8,4.6,83.66,1,5.5,4th and 5th grade
Fri Jul 24 19:29:29 +0000 2020,This is a fight about their constitutional right to vote being denied. Learn more about how you can help at,5.71,3.7,4.3,86.71,2,6.47,5th and 6th grade
Fri Jul 24 18:45:00 +0000 2020,A must watch to understand what this man was fighting for 60 years The right to vote should not come with a price tag CivilRightsICON,6.14,8.3,11.6,79.94,1,8.3,11th and 12th grade
Thu Jul 23 19:09:19 +0000 2020,Yo I was going to check on you but figured you didn t wanna be bothered at the moment.,7.07,7.2,4.9,77.57,1,3.19,7th and 8th grade
Thu Jul 23 17:44:47 +0000 2020,Now time to begin prepping for my night out of the town aka the Stage,5.43,3.2,3.4,98.55,1,3.41,2nd and 3rd grade
Thu Jul 23 17:43:45 +0000 2020,Just waking back up from my pregame nap to see about The Washington Football team . Is that real No way Oh man they had a thorough intense long board meeting about that one huh.,6.34,6.4,6.9,79.6,2,6.49,6th and 7th grade
Thu Jul 23 17:25:59 +0000 2020,x Mood.,0.1,-3.1,-6.4,120.21,1,-16.11,-1th and 0th grade
Wed Jul 22 21:35:23 +0000 2020,Congrats OH IO,9.05,0.9,-1.2,93.81,1,-2.38,0th and 1st grade
Mon Jul 20 22:21:08 +0000 2020,Go get em Queen We need your voice and your leadership more than ever. Good luck tonight and every night,1.29,2.5,3.6,95.17,2,5.6,5th and 6th grade
Mon Jul 20 21:15:39 +0000 2020,Salute homie JusticeForBreonnaTaylor,9.05,21.0,33.4,-50.02,1,40.15,20th and 21st grade
Mon Jul 20 19:59:47 +0000 2020,"I mean at this point, What More Do You Want From Me Tyrese voice",0.69,1.7,2.7,108.03,1,2.83,2nd and 3rd grade
Mon Jul 20 17:30:44 +0000 2020,Bro I swear I heard that for 15 years,0.45,-0.4,-1.9,113.1,1,-0.39,-1th and 0th grade
Sat Jul 18 04:27:56 +0000 2020,Rest. In. Paradise John Lewis. CivilRightsICON THANK YOU,7.78,3.7,9.4,75.88,2,10.15,6th and 7th grade
Fri Jul 17 21:32:13 +0000 2020,So so so so SORRY Breonna JusticeforBreonnaTalyor,8.5,15.5,11.0,-3.32,1,15.67,15th and 16th grade
Fri Jul 17 16:51:02 +0000 2020,This nap about to be so AMAZING SPECIAL I can feel it brewing. Ha,7.71,4.0,3.0,91.11,1,3.24,5th and 6th grade
Fri Jul 17 16:47:04 +0000 2020,7 Days A Week,0.2,-2.3,-7.8,118.18,1,-8.71,-1th and 0th grade
Fri Jul 17 16:46:26 +0000 2020,Facts. They ll make zero adjustments and he ll kill everyone of his kids confident throughout the whole game to a point they ll be ready to beat him up. But he may be strap so be aware of that.,6.21,6.4,6.7,85.02,2,4.64,6th and 7th grade
Sun Jul 12 21:45:48 +0000 2020,FreeWOJ,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Fri Jul 10 15:58:55 +0000 2020,I know who I am. This is what I am. GreatnessCode drops today on,5.0,0.4,-2.1,100.54,3,-1.73,4th and 5th grade
Thu Jul 09 21:08:01 +0000 2020,. She DOES,0.1,2.9,-1.7,77.91,1,-10.31,0th and 1st grade
Thu Jul 09 20:39:09 +0000 2020,Just left the crib to head to the bubble. Shit felt like I m headed to do a bid man Fr. Hated to leave the JamesGang .,5.89,2.0,-0.5,96.48,3,0.48,3rd and 4th grade
Wed Jul 08 17:17:50 +0000 2020,Take yo ass to sleep,0.25,-1.9,-4.0,117.16,1,-3.17,1st and 2nd grade
Wed Jul 08 17:11:26 +0000 2020,Straight Like That TheHeatles,7.78,3.7,11.2,75.88,1,14.5,11th and 12th grade
Tue Jul 07 19:10:29 +0000 2020,"So so damn sad man They are just innocent, beautiful, strong kids . What s wrong with people My thoughts and prayers goes out to each one of their families and May they REST IN PARADISE Kings Queens",5.83,5.8,8.3,86.54,2,7.49,5th and 6th grade
Mon Jul 06 23:35:03 +0000 2020,Welcome to the BEATS family,0.25,5.2,2.7,66.4,1,4.96,2nd and 3rd grade
Mon Jul 06 18:49:39 +0000 2020,Right HERE too with you As well as the next generation who follows in my foot steps Kings and Queens,6.21,6.4,7.6,85.02,1,6.21,5th and 6th grade
Sat Jul 04 18:56:24 +0000 2020,"This 4th of July is Yours, Not Mine Frederick Douglass StayWoke Powerful",8.18,8.0,8.5,59.3,1,10.83,7th and 8th grade
Sat Jul 04 02:03:53 +0000 2020,So nice man My goodness s to you my guy,0.5,1.3,-2.4,103.63,1,-1.37,3rd and 4th grade
Thu Jul 02 22:55:18 +0000 2020,NEVER,0.05,8.4,2.6,36.62,1,-16.41,-1th and 0th grade
Thu Jul 02 20:39:30 +0000 2020,Yes we are StriveForGreatness,7.78,7.2,11.2,50.5,1,14.5,7th and 8th grade
Wed Jul 01 19:45:49 +0000 2020,"Thank you to my guys Coach Coach Fiz, and for your help Our community is the most vulnerable to covid. BlackLivesMatter",6.93,9.1,11.3,67.08,1,9.52,9th and 10th grade
Wed Jul 01 19:06:53 +0000 2020,My GOODNESS Hahahaha. That Horns Twist was unguardable by the way,6.78,4.3,4.9,74.35,2,7.35,6th and 7th grade
Wed Jul 01 03:19:49 +0000 2020,My G s right there Happy Born Day aka The Showmenator,5.62,5.2,2.5,77.23,1,4.21,5th and 6th grade
Tue Jun 30 18:56:17 +0000 2020,The homie was NASTY . Sheesh My goodness,0.17,1.1,2.5,93.3,2,2.12,0th and 1st grade
Mon Jun 29 19:17:52 +0000 2020,Got one coming for all of you real soon GreatnessCode July 10 on,5.5,6.0,3.9,75.2,1,5.03,5th and 6th grade
Mon Jun 29 16:38:15 +0000 2020,Only the strong survive my brother,6.57,4.5,4.3,73.85,1,7.18,6th and 7th grade
Mon Jun 29 16:18:16 +0000 2020,BlackLivesMatter spritepartner,19.53,20.6,47.9,-49.0,1,53.5,20th and 21st grade
Mon Jun 29 10:43:22 +0000 2020,Thank you Honored,9.05,0.9,3.6,93.81,1,3.43,0th and 1st grade
Fri Jun 26 23:03:10 +0000 2020,No way gonna shut up and dribble . Great to see my Brother leading on this one.,6.01,2.9,1.1,88.74,2,2.45,2nd and 3rd grade
Fri Jun 26 15:25:46 +0000 2020,We d like to Welcome you all Take on this ride with US,0.64,2.5,0.3,100.58,1,0.57,0th and 1st grade
Thu Jun 25 21:40:49 +0000 2020,FACTS No question about it.,0.25,0.5,2.7,100.24,1,3.8,1st and 2nd grade
Thu Jun 25 21:17:26 +0000 2020,PREMIER LEAGUE CHAMPIONS LET S GO YNWA,10.75,6.0,3.6,64.37,1,6.56,3rd and 4th grade
Thu Jun 25 17:16:47 +0000 2020,Our leadership team is a reflection of our entire organization. I want to thank everyone at The Springhill Company for believing in our vision We closed this deal in March and I knew our work was going to keep getting more and more necessary. Let s continue greatness.,7.39,8.4,8.2,63.7,3,8.76,8th and 9th grade
Thu Jun 25 17:16:22 +0000 2020,"Incredibly proud of today s announcement We started building this company almost 5 years ago and while I love every project and story we tell I am most proud of our team. 100 employees, 64 people of color and 40 female in an industry that avg 25 .",7.98,19.3,22.1,40.69,1,7.91,7th and 8th grade
Tue Jun 23 18:56:13 +0000 2020,"on the Let s go And to all my other Beautiful, Powerful Black Queens continue to push the envelope, break thru barriers and defy expectations as Chiney says",7.28,13.0,14.3,51.52,1,9.35,12th and 13th grade
Tue Jun 23 16:21:14 +0000 2020,"The easiest way to keep us from changing anything is to keep us from voting. As athletes, we stand on the shoulders of giants. We must continue their fight on behalf our community. BlackLivesMatter",8.84,6.5,6.9,68.47,3,8.85,8th and 9th grade
Tue Jun 23 16:21:00 +0000 2020,To my brothers and sisters in sports and arts. We have incredible influence in our community. We need to use this moment to demand change. I gotta be honest I struggle with what to demand because so damn much needs to change. But I m starting with our right to vote.,6.93,4.9,3.6,78.04,5,5.25,4th and 5th grade
Tue Jun 23 02:28:16 +0000 2020,LETS GET IT BROTHER,0.2,1.3,-0.7,92.8,1,0.0,-1th and 0th grade
Tue Jun 23 02:00:18 +0000 2020,And...everyone welcome this game changer on and off the field to the family. Means a lot my Brother to have your voice in this with us. MoreThanAVote BlackLivesMatter,5.46,6.4,8.9,74.19,2,9.91,6th and 7th grade
Tue Jun 23 01:59:23 +0000 2020,We live Thank you to every incredible athlete and artist working to help us pull this together. Change doesn t happen sitting on the sideline. Use our site to register and join our fight against voter suppression. MoreThanAVote BlackLivesMatter,7.52,7.2,9.9,66.74,3,12.05,7th and 8th grade
Mon Jun 22 03:58:03 +0000 2020,Sickening my brother Know you don t stand alone I m right here with you as well as every other athlete. I just want to continue to say how proud I am of you for continuing to take a stand for change here in America and sports I salute you as well,6.14,9.9,9.2,70.47,2,4.65,9th and 10th grade
Sat Jun 20 21:40:29 +0000 2020,FACTS Mr. Chambers ain t with the bull jive Thank you Mr. Chambers,5.5,3.6,4.6,92.12,1,5.03,5th and 6th grade
Sat Jun 20 17:24:13 +0000 2020,Said it last week about GA. This is SYSTEMIC RACISM and OPPRESSION. So angry man. BlackLivesMatter MoreThanaVote,6.71,3.2,8.0,82.61,3,10.6,7th and 8th grade
Sat Jun 20 16:52:52 +0000 2020,Ha I m going to say I think you are Beautiful follow thru on that shot buddy,5.41,6.4,3.7,79.6,1,2.9,6th and 7th grade
Thu Jun 18 19:44:23 +0000 2020,Now we need a conviction and sentencing to the FULL AMOUNT JusticeForNakiaCrawford,8.18,10.3,12.5,42.38,1,16.17,7th and 8th grade
Thu Jun 18 19:42:37 +0000 2020,Music to Our ears for US who love and bleed the city of AKRON JusticeForNakiaCrawford,5.43,6.8,8.3,73.17,1,9.56,6th and 7th grade
Wed Jun 17 17:33:32 +0000 2020,Jason Heyward MoreThanAVote,14.31,5.6,19.3,59.97,1,22.75,0th and 1st grade
Wed Jun 17 17:01:46 +0000 2020,"Really proud to welcome all these leaders to the cause. Thank you for giving this your passion, leadership, and massive show of support. We re just getting started As mama always told me, Don t talk about it, be about it. BlackLivesMatter MoreThanAVote",6.92,6.5,8.7,73.88,3,9.5,6th and 7th grade
Wed Jun 17 01:15:36 +0000 2020,"Nah we ain t letting it slow down No Sir, Not Me . Somebody know something for sure. JUSTICE4Nakia",4.96,3.3,4.0,87.72,2,5.77,5th and 6th grade
Tue Jun 16 05:56:55 +0000 2020,Breaks my Heart,0.15,-2.7,0.5,119.19,1,-0.46,0th and 1st grade
Tue Jun 16 01:12:09 +0000 2020,VERY STRONG Salute . BLM,0.2,1.3,4.1,92.8,1,4.35,1st and 2nd grade
Mon Jun 15 20:11:33 +0000 2020,BEYOND EMBARRASSING Dont make no damn sense,8.5,6.0,7.0,64.37,1,10.74,8th and 9th grade
Mon Jun 15 19:49:52 +0000 2020,"Until You Understand The History of what s been going on to US in America, then you ll never understand why We are in Pain til this day",1.39,11.8,10.8,59.98,1,5.17,11th and 12th grade
Sat Jun 13 04:58:29 +0000 2020,And I wanna say THANK YOU Love you MoreThanAVote BlackQueensandKings,7.29,4.8,11.4,78.25,1,15.46,4th and 5th grade
Fri Jun 12 17:02:28 +0000 2020,We just getting started. MoreThanaVote,7.04,2.9,13.1,83.32,1,16.56,1st and 2nd grade
Wed Jun 10 17:06:52 +0000 2020,BIG S O,0.15,-2.7,-12.2,119.19,1,-15.89,0th and 1st grade
Tue Jun 09 19:08:47 +0000 2020,Everyone talking about how do we fix this They say go out and vote What about asking if how we vote is also structurally racist,6.77,9.5,10.5,71.48,1,6.91,6th and 7th grade
Tue Jun 09 00:04:55 +0000 2020,Can t Wait Less than an hour away.,0.4,-0.8,-1.6,114.12,1,-0.81,-1th and 0th grade
Sat Jun 06 02:12:40 +0000 2020,. Kimberly I m here for you And more importantly I hear you and will make change for US I will not stop until I see it. BlackLivesMatter,6.73,11.5,11.1,60.99,1,5.98,11th and 12th grade
Fri Jun 05 23:10:17 +0000 2020,You thought I would Yeah ooook. blacklifematters,6.24,3.7,10.3,81.29,1,14.04,3rd and 4th grade
Fri Jun 05 17:59:25 +0000 2020,BEAUTIFUL TOGETHER we shall prevail,7.04,10.0,10.3,32.56,1,14.24,9th and 10th grade
Fri Jun 05 16:35:54 +0000 2020,And I heard they put out a statement that he supposedly tripped and fell down. Man What Don t make no damn sense people. Don t matter what color your skin is if you re not angry seeing this you re part of the problem too,5.43,4.5,4.1,89.79,3,3.94,6th and 7th grade
