created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sat Jul 25 22:21:42 +0000 2020,"As Hurricane Hanna approaches South Texas, we urge everyone in the area to heed the advice and warnings of state and local officials and stay safe.",9.18,12.3,13.7,53.55,1,9.81,9th and 10th grade
Sat Jul 25 19:31:02 +0000 2020,"As we told on Nantucket, the people of Massachusetts slowed the spread and flattened the curve and MA now has lt 2 positivity rate. As said, we will continue to make sure MA has the resources and guidance to Open Up your Economy and your Schools",7.52,9.9,10.6,65.05,2,7.84,7th and 8th grade
Sat Jul 25 19:02:47 +0000 2020,Thank you for a good meeting today. We are here for you and we will get through this together. We remain strong in our message to states We will make sure you have what you need to see the people of Massachusetts through this virus.,1.09,4.4,5.8,90.09,3,5.97,5th and 6th grade
Fri Jul 24 22:28:21 +0000 2020,Thank you for your strong leadership during this time in our Nation. We are with you and we will stay with you until we put the Coronavirus in past.,5.99,4.2,5.3,90.6,2,5.73,5th and 6th grade
Fri Jul 24 21:14:47 +0000 2020,President and I are fully committed to reopening schools this fall. Thank you to all of the Higher Education Leaders at Marian University for the productive conversation around what it will look like to reopen classrooms this fall.,9.57,10.7,12.1,52.19,2,12.01,9th and 10th grade
Fri Jul 24 20:17:04 +0000 2020,"To Open Up America Again, we ve got to open up America s schools",0.69,5.2,2.7,82.65,1,2.83,5th and 6th grade
Fri Jul 24 20:15:36 +0000 2020,"We are grateful to and the plant in Kokomo who have produced more than 17,000 ventilators. Because of the public private partnerships President initiated, we have nearly 70,000 ventilators in the Strategic National Stockpile.",9.12,11.1,13.7,45.76,2,14.32,11th and 12th grade
Fri Jul 24 18:07:31 +0000 2020,Thanks to these great Hoosiers for the warm welcome back home TrumpPence2020,5.55,3.3,10.1,93.14,1,13.27,4th and 5th grade
Fri Jul 24 14:47:02 +0000 2020,"Congratulations to on being awarded the Presidential Medal of Freedom by President Jim s accomplishments as runner amp public servant are only matched by his devotion to God, his family, amp our great nation. Congratulations Jim, Anne amp the Ryun family",7.35,12.5,13.4,42.21,2,12.42,12th and 13th grade
Fri Jul 24 14:34:38 +0000 2020,Hello Indiana Great to be back in the Hoosier State with,5.62,4.0,3.8,85.69,1,5.78,5th and 6th grade
Fri Jul 24 14:15:58 +0000 2020,"Heading to Indiana with for a Coronavirus Briefing with Higher Education Leaders at Marian University. We cannot stress enough the importance of reopening schools this fall, not only will it benefit students but it will also help our economy come roaring back to life.",10.11,13.1,13.6,40.69,2,12.01,13th and 14th grade
Thu Jul 23 22:12:00 +0000 2020,Protecting Religious Freedom at home and abroad is a foreign policy priority for the United States of America. We cherish the faith and charitable works of the 1.5 million members of the Greek Orthodox Church in the United States.,8.25,10.9,11.5,51.68,2,10.85,10th and 11th grade
