created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Wed Jul 22 11:57:41 +0000 2020,"That shady side eye to y all who ain t wearing your recommended, in many places MANDATORY masks. Psh.",7.07,7.2,8.7,77.57,1,7.14,6th and 7th grade
Sat Jul 04 17:38:56 +0000 2020,"This was in 2017. Feels EVEN MORE relevant right NOW. It ain t a Party In The USA until we see LibertyandJusticeFORALL you heard me, FOR ALL fuckthefourthuntilthereisfreedom",5.79,5.7,7.8,70.5,3,10.58,5th and 6th grade
Sun Jun 28 03:18:28 +0000 2020,"I look forward to working w you and in the future This is not the end by any means, it is only the beginning.",6.14,9.1,7.4,72.5,1,3.32,9th and 10th grade
Sun Jun 28 02:21:57 +0000 2020,"Truly honored to be a part of making sure everyone has equal access to testing, treatments and vaccines. We will keep working together to help fight COVID 19 globalgoalunite",8.17,8.9,9.4,56.76,2,10.72,8th and 9th grade
Sat Jun 27 21:01:57 +0000 2020,"I dedicated this performance to everyone who is working tirelessly for testing, treatments and vaccines so all of us can come together in places like this empty stadium.... I can t wait to be together again GlobalGoalUnite",8.39,10.5,11.5,52.7,2,11.08,10th and 11th grade
Sat Jun 27 21:01:57 +0000 2020,"During this time of COVID 19, we are coming together in a different way...we are uniting with the goal of ensuring EVERYONE has access to the solutions to end this pandemic.",7.72,14.2,15.8,48.47,1,9.12,15th and 16th grade
Sat Jun 27 21:01:56 +0000 2020,"For me, the magic of performing is sharing and celebrating music together...being surrounded by people and feeling their energy",9.57,14.2,15.1,26.81,1,14.79,14th and 15th grade
Sat Jun 27 19:11:01 +0000 2020,Honored to join PM Solberg and to talk about the disproportionate impact of covid 19 on marginalized communities and how our generation is speaking up to demand action and change GlobalGoalUnite,10.78,16.6,19.0,31.55,1,13.99,16th and 17th grade
Sat Jun 27 17:24:15 +0000 2020,Starting soon GlobalGoalUnite,14.31,17.4,22.5,-24.64,1,26.63,14th and 15th grade
Fri Jun 26 21:15:40 +0000 2020,"I m joining amp for the GlobalGoalUnite Concert to fight for equal access to COVID 19 healthcare for everyone, everywhere. Join us tomorrow",7.64,7.8,8.3,59.8,2,10.54,7th and 8th grade
Mon Jun 22 17:48:30 +0000 2020,"At a time when we have seen the injustices in our societies increase even more, we now have the opportunity to unite and take a stand for equality and health for all Join me on June 27 for a performance that I m really excited about.",7.98,18.9,20.8,41.71,1,7.04,7th and 8th grade
Mon Jun 22 17:48:14 +0000 2020,"Honored to be a part of GlobalGoalUnite for Our Future hosted by to make sure that EVERYONE, EVERYWHERE has access to the solutions that will help end the COVID 19 pandemic testing, treatments, and vaccines.",9.88,15.8,19.3,44.41,1,11.33,15th and 16th grade
Thu Jun 18 19:13:22 +0000 2020,"...I couldn t stay Hannah Montana forever and they knew that, but they also didn t want me to make a mistake that couldn t be undone. Been so fortunate to have loyal fans like you who have always allowed me to experiment and evolve.",7.56,8.5,9.5,74.02,2,6.45,8th and 9th grade
Thu Jun 18 19:13:13 +0000 2020,First G.A.Y london performance I wore a dress I knew would piss everybody off and that was around the time I really began to spread my wings amp felt free. But....also it took a lot of guts because people around me were saying I would lose all my fans and my career would be over,6.15,10.5,11.6,68.94,2,5.98,11th and 12th grade
Thu Jun 18 17:45:11 +0000 2020,Heart beats for love feels even more relevant now. Celebrating pride month while being an out amp proud member of the LGBTQ community is such an honor and I am so lucky for those who paved the way for me to live a life full of freedom and love PrideWasAProtest,6.14,9.5,10.9,71.48,2,7.38,6th and 7th grade
