created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Thu Jul 23 23:10:26 +0000 2020,Why not babyyyy,0.15,-2.7,0.5,119.19,1,-0.46,0th and 1st grade
Thu Jul 23 21:59:45 +0000 2020,Emotion filled day today. The love from around the world 10 years on is amazing. Thank you for your loyal support as always. Crazy what 5 normal guys can achieve. Proud 10YearsfOneDirection,6.99,2.9,5.8,88.74,4,8.25,5th and 6th grade
Thu Jul 23 21:11:35 +0000 2020,It actually is,9.05,9.2,-1.2,34.59,1,-2.38,8th and 9th grade
Thu Jul 23 19:09:47 +0000 2020,Well you are a very lovely man x,0.4,0.5,-2.8,105.66,1,-1.5,0th and 1st grade
Thu Jul 23 18:42:54 +0000 2020,Why s that,0.15,-2.7,-7.5,119.19,1,-10.09,0th and 1st grade
Thu Jul 23 14:25:14 +0000 2020,"It s the 150 person crew of carpenters, lighting, riggers, sound, stage manager Mill that flew the globe with us. it s our band, our security boys, tour managers, our managers, our label, Sarah cooking our food for us on the road. Today is a day to celebrate those guys also.",7.07,10.9,12.1,62.51,2,7.26,7th and 8th grade
Thu Jul 23 13:13:51 +0000 2020,It s such a major part of our lives and always will be. Cheers to US today boys and thank you to all you beautiful people who have supported us over the last 10 years. 10YearsOfOneDirection,5.41,6.8,7.7,78.59,2,6.9,6th and 7th grade
Thu Jul 23 13:13:22 +0000 2020,when I met these four gents there was no way I thought we would go on to do what we did. So many unbelievable memories we shared together. We felt the adoration of millions from around the planet on a daily basis and it was mind blowing.,6.77,5.9,5.5,80.92,3,5.62,5th and 6th grade
Thu Jul 23 12:33:39 +0000 2020,Love you Payno,0.15,-2.7,-1.2,119.19,1,-2.38,0th and 1st grade
Thu Jul 23 12:32:57 +0000 2020,Love you,0.1,-3.1,-4.0,120.21,1,-10.31,-1th and 0th grade
Tue Jul 21 19:14:46 +0000 2020,Exactly . It s unbelievable on here,9.2,10.4,4.3,31.55,1,6.25,4th and 5th grade
Tue Jul 21 19:12:48 +0000 2020,Tell them to stop coming at me coz they know I ll win,0.64,2.5,-0.2,100.58,1,0.1,-1th and 0th grade
Tue Jul 21 19:11:17 +0000 2020,"Niall hasn t got a hickey, Niall has a spot on his neck like any other normal human",7.16,5.6,4.9,87.05,1,3.36,7th and 8th grade
Sun Jul 19 14:50:52 +0000 2020,That sums up our season. we re miles off.,0.45,0.9,0.4,104.64,1,0.9,0th and 1st grade
Sat Jul 18 18:01:20 +0000 2020,Yeh I ll take that,0.25,-1.9,-5.8,117.16,1,-5.49,1st and 2nd grade
Thu Jul 16 20:26:20 +0000 2020,Not fuckin wrong,0.15,-2.7,2.1,119.19,1,1.52,1st and 2nd grade
Thu Jul 16 10:08:25 +0000 2020,Congratulations Chris .,11.63,26.5,29.0,-91.3,1,27.4,26th and 27th grade
Tue Jul 14 18:58:23 +0000 2020,Tense night to be a fan Not for the first time by the way. Cmooonnnn,0.74,2.1,3.0,107.01,1,2.6,2nd and 3rd grade
Tue Jul 14 14:55:59 +0000 2020,Me,0.05,-3.5,-11.6,121.22,1,-33.81,-1th and 0th grade
Mon Jul 13 17:20:03 +0000 2020,My man Alec What a talent you are my friend.,5.71,1.3,0.1,103.63,1,0.96,0th and 1st grade
Fri Jul 10 23:14:04 +0000 2020,thanks for having myself and the lovely on tonight for our,0.55,4.0,4.6,85.69,1,6.82,4th and 5th grade
Fri Jul 10 13:52:47 +0000 2020,Oh lovelyyyyy,11.63,2.9,7.8,77.91,1,4.2,-1th and 0th grade
Fri Jul 10 13:52:21 +0000 2020,All good babessss,0.15,-2.7,3.6,119.19,1,3.43,0th and 1st grade
Fri Jul 10 13:51:53 +0000 2020,No but I can t wait,0.3,-1.5,-7.6,116.15,1,-7.33,-1th and 0th grade
