created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sun Jul 26 13:21:16 +0000 2020,Very relieved to report yet another day in Scotland with no deaths of people who had tested positive for COVID. The 4 new positive cases 0.2 of people newly tested will be looked at closely and followed up through Test amp Protect. Please keep following all the FACTS advice.,7.35,7.3,8.5,71.85,3,8.81,8th and 9th grade
Sat Jul 25 19:07:00 +0000 2020,"Long day of COVID decisions, so now a bit of Sat night chat to clear my head. Rodham by was everything I hoped for excellent. Now reading the new thanks to the Queen of Crime herself for early proof it s predictably magnificent so far.",6.13,5.6,6.0,81.63,3,6.26,5th and 6th grade
Sat Jul 25 17:44:57 +0000 2020,"Having reviewed the latest data earlier today, is also reimposing 14 day quarantine for travellers returning from Spain. This reinforces the point that these matters are subject to change at short notice amp so my advice is to be cautious about non essential foreign travel",10.02,12.1,13.8,48.64,2,12.25,13th and 14th grade
Sat Jul 25 15:50:23 +0000 2020,"Please remember that this is all subject to change. The fact that a country is not on quarantine list when you go there, is not a guarantee it won t be by time you come back. The virus is volatile, so my advice is to be cautious about non essential foreign travel just now.",6.58,6.8,6.7,78.59,3,5.51,6th and 7th grade
Sat Jul 25 15:25:27 +0000 2020,Another day of no deaths of confirmed cases. New cases being very closely monitored though. Positivity rate still under 1 but even small increases remind us threat of virus still very real. Please keep sticking to FACTS advice to help us keep it under control.,7.35,6.5,6.8,68.47,4,8.85,6th and 7th grade
Sat Jul 25 15:19:34 +0000 2020,"Sending you best wishes, Fidelma",13.36,7.6,7.4,49.48,1,9.6,9th and 10th grade
Fri Jul 24 20:46:44 +0000 2020,Lovely tribute from Bernard Ponsonby to the irreplaceable Johnny Beattie.,12.03,10.7,13.7,35.95,1,17.78,11th and 12th grade
Fri Jul 24 20:18:44 +0000 2020,Hope she s doing ok. Tell her I said hi and get well soon x,5.06,0.3,-3.7,106.16,2,-2.66,2nd and 3rd grade
Fri Jul 24 18:39:00 +0000 2020,"This is so last year, eh",0.3,-1.5,-3.6,116.15,1,-3.44,-1th and 0th grade
Fri Jul 24 14:07:07 +0000 2020,So true.,0.1,-3.1,-4.0,120.21,1,-13.21,-1th and 0th grade
Fri Jul 24 13:58:29 +0000 2020,"Another day in Scotland with no deaths of confirmed cases, and tests coming back positive still under 1 . But we must not drop our guard. Our economy has opened up a lot so it s more important than ever that we stick to FACTS",6.16,5.5,5.3,81.93,3,5.62,5th and 6th grade
Fri Jul 24 13:54:50 +0000 2020,"One death is too many, but these figures for July to date illustrate the progress Scotland has made against COVID. But with a virus, current performance gives no guarantee for the future. The virus will only stay under control if we all do the right things. FACTS",7.1,5.9,8.2,80.92,3,8.58,8th and 9th grade
Thu Jul 23 09:44:49 +0000 2020,"FOR INFO At today s daily COVID briefing, I ll give a further update to those of you who have been shielding. You can tune in at 12.15pm",6.59,5.2,3.9,82.65,2,4.11,5th and 6th grade
Thu Jul 23 07:04:44 +0000 2020,The sentiment of my last tweet neatly illustrated in today s cartoon,9.5,9.2,6.9,50.84,1,9.38,9th and 10th grade
Thu Jul 23 06:47:47 +0000 2020,"I welcome the PM to Scotland today. One of the key arguments for independence is the ability of Scotland to take our own decisions, rather than having our future decided by politicians we didn t vote for, taking us down a path we haven t chosen. His presence highlights that.",7.62,7.4,8.2,71.44,3,8.06,7th and 8th grade
