created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sat Jul 18 16:02:30 +0000 2020,This is one of his last interviews we recently did during the Covid quarantine about his new GoodTrouble. Thank you for showing us and teaching us what getting into good trouble looks like.,7.33,7.4,9.2,71.65,2,9.68,9th and 10th grade
Sat Jul 18 16:02:10 +0000 2020,I know for sure he heard me. I felt good about that. He understood and was so gracious.,4.81,0.9,-0.2,99.23,3,0.74,4th and 5th grade
Sat Jul 18 16:01:55 +0000 2020,I had a final chance to tell him what I ve said every time I ve been in his presence Thank you for your courage leading the fight for Freedom. My life as it is would not have been possible without you.,5.81,6.8,7.0,84.0,2,4.53,6th and 7th grade
Sat Jul 18 16:00:58 +0000 2020,"Last week when there were false rumors of Congressman John Lewis passing, Gayle and I called and were able to speak with him. He sounded weak but was surprisingly more alert than we expected.",7.27,6.4,9.0,79.6,2,8.87,8th and 9th grade
Sat Jul 18 01:26:37 +0000 2020,Another Great Tree has fallen. Rev C.T. Vivian died today after 95 years. I recall in the 80s and 90s having him on the Oprah Show many times trying to break down racial barriers. He was a powerful drum major for justice. And such a good and gentle man.,6.06,3.6,3.2,86.91,5,4.67,4th and 5th grade
Wed Jul 15 16:12:20 +0000 2020,Giving back is the best way to invest in your community.,7.05,6.4,3.8,68.77,1,5.26,5th and 6th grade
Wed Jul 15 00:17:39 +0000 2020,So proud of you,0.2,-2.3,-5.4,118.18,1,-5.81,-1th and 0th grade
Fri Jul 10 04:50:54 +0000 2020,"After 13 and a half days quarantined in my guest house, and her team released from Covid quarantine.",7.16,6.8,9.3,78.59,1,8.52,6th and 7th grade
Wed Jul 08 16:50:56 +0000 2020,"When the 1619Project came out almost a year ago, I stood in tearful applause for the profound offering that it was giving our culture and nation. Today, I am honored to be a part of vision to bring her transformative work to a global audience. Stay tuned, y all",8.31,7.3,7.2,71.85,3,7.02,8th and 9th grade
Wed Jul 01 02:43:40 +0000 2020,". father of 14 year old twins, reminds us the importance of VOTING. OWNSpotlight on",8.84,7.6,8.8,65.73,1,9.45,8th and 9th grade
Wed Jul 01 02:33:40 +0000 2020,". father of four children, says we shouldn t have people that don t look like the people in the community policing those communities by themselves. OWNSpotlight on",7.9,12.6,15.8,52.53,1,11.61,15th and 16th grade
Wed Jul 01 02:16:21 +0000 2020,"Like most parents, Frank Cooper says whether your kids are six, seven, or grown and out the house, you never stop worrying about them. OWNSpotlight on",7.36,9.9,14.2,70.47,1,9.81,9th and 10th grade
Wed Jul 01 02:11:13 +0000 2020,George Floyd s death has caused a lot of Black parents to have THE TALK earlier than they had planned. is a stay at home father of four who also found himself having it with his two kids recently. OWNSpotlight on,7.21,14.6,18.9,63.7,1,7.68,7th and 8th grade
Wed Jul 01 00:31:56 +0000 2020,Edwina what a great job as host Bravo . To you and all the cast,6.24,1.3,-1.5,98.21,2,-0.06,2nd and 3rd grade
Tue Jun 30 22:02:49 +0000 2020,"Joining me for this important conversation will be and fathers who are married, single, gay, professionals, and are stay at home. Tune in tonight for our OWNSpotlight special, Oprah amp 100 Black Fathers at 10 9c on",7.11,8.1,10.6,69.62,2,9.86,9th and 10th grade
Tue Jun 30 22:02:05 +0000 2020,"Today I m speaking with 100 Black fathers to better understand the emotional toll they endure and how they show up for their children, their family, and their community.",7.8,13.4,16.0,50.5,1,10.92,13th and 14th grade
Sun Jun 28 06:14:09 +0000 2020,Our family just finished the final episode of I Know This Much is True. How great were you,5.84,2.1,2.2,96.18,2,4.14,3rd and 4th grade
Wed Jun 24 04:42:49 +0000 2020,Greenleaf,19.48,8.4,21.5,36.62,1,6.8,-1th and 0th grade
Wed Jun 24 04:36:14 +0000 2020,I am. hey You Greenleaf,7.04,0.5,-1.1,100.24,1,-0.85,1st and 2nd grade
Wed Jun 24 03:13:05 +0000 2020,Hey Y all get ready to take your bows. This season EXCELLENCE shining Greenleaf,6.24,3.7,4.3,81.29,2,6.97,5th and 6th grade
Wed Jun 24 03:09:47 +0000 2020,So happy to see you Greenleaf family out here Trending,7.29,6.0,4.8,69.79,1,7.34,4th and 5th grade
Tue Jun 23 19:29:15 +0000 2020,They take us to the Mountaintop The fifth and final season of premieres tonight at 9 8c on Greenleaf,7.9,7.2,8.4,77.57,1,7.78,7th and 8th grade
Thu Jun 18 04:17:13 +0000 2020,You went all the way in I see. BlackoutBestsellerList,5.84,2.1,6.6,96.18,1,9.31,4th and 5th grade
Tue Jun 16 15:36:47 +0000 2020,"In championing this book, I also champion all Black authors during the BlackoutBestSellerList challenge. Readers are being called this week to buy two books by a Black writer to lift their voice. And this one is a great choice Download a copy here",6.92,5.3,8.2,82.34,3,9.39,8th and 9th grade
Tue Jun 16 15:35:49 +0000 2020,"My next pick, Deacon King Kong by James McBride, is a reminder that while we struggle with pain and trauma, we can always find shelter in one another just like the characters in this novel.",8.53,13.4,16.9,61.33,1,8.31,8th and 9th grade
Sat Jun 13 02:21:07 +0000 2020,"For my latest episode, I sit down with four of the Galvin children, who reveal their thoughts on the book and tell us what life was like inside the house at Hidden Valley Road. Watch our interview on ReadWithUs",6.22,7.4,9.1,77.06,2,7.83,6th and 7th grade
Sat Jun 13 02:19:49 +0000 2020,"Two months ago, I invited you to take a walk with through Hidden Valley Road by It told the story of the Galvins, a family of 12 kids, six whom developed schizophrenia at a time where no one knew how to treat it amp somehow still remained a family.",7.36,18.9,22.3,47.12,1,6.81,6th and 7th grade
Thu Jun 11 02:17:24 +0000 2020,We need to say We re going to breathe more life into this democracy because all these protests that we see is really justice trying to breathe. OWNSpotlight,7.28,11.8,14.3,59.98,1,9.52,9th and 10th grade
Thu Jun 11 02:02:19 +0000 2020,We also have a list of organizations to use as resources to learn more about the ongoing fight for racial and social justice. Visit for more. OWNSpotlight,7.81,6.2,7.6,74.69,2,9.21,7th and 8th grade
Thu Jun 11 02:01:45 +0000 2020,"If you missed part two of our OWNSpotlight special, Where Do we Go From Here on you can watch it now on my Facebook page here",6.75,7.5,9.7,87.39,1,5.11,9th and 10th grade
Thu Jun 11 02:00:50 +0000 2020,"Thank you to Dr. Jennifer Eberhardt, and DavidOyelowo for your words and actions. OWNSpotlight",9.62,3.7,9.3,81.29,2,12.36,2nd and 3rd grade
Thu Jun 11 01:54:24 +0000 2020,I want all the Karens to unite Call your manager about justice. Call somebody up about the things you want done. Take that on for yourself and stand in between what we want and the problem and kind of getting in its face. OWNSpotlight,5.44,4.3,6.3,90.39,3,6.89,6th and 7th grade
Thu Jun 11 01:51:02 +0000 2020,". understands more than anyone on this panel that voter suppression is real or else we d be referring to her as Governor Abrams today. Her ask from this moment Vote like your life depends on it because as we see every day, it does. OWNSpotlight",7.56,9.7,10.6,65.56,2,8.13,7th and 8th grade
Thu Jun 11 01:48:46 +0000 2020,". is the author of How to be an Antiracist, a book that is sold out and backordered because so many people have ordered it. His ask to move us forward Build an anti racist America. OWNSpotlight",6.72,8.0,8.1,70.13,2,7.07,7th and 8th grade
Thu Jun 11 01:42:58 +0000 2020,DavidOyelowo pointed out that Emmett Till s death was the precursor to the Montgomery Bus Boycott and the ask was about segregation. Bloody Sunday was the precursor to the Selma March and the ask was voting rights. The ask for George Floyd s death is police reform. OWNSpotlight,8.05,7.2,9.2,72.16,3,9.97,7th and 8th grade
Thu Jun 11 01:22:05 +0000 2020,I don't want you to be out in these streets because you re embarrassed. I don't want you to be out in these streets cause you re JUST against cruelty but not for my FULL equality. I want you to be ALL the way in with both feet. OWNSpotlight,5.73,4.9,5.2,88.77,3,4.58,4th and 5th grade
Thu Jun 11 01:12:41 +0000 2020,There s a way in which color blindness is offered to White Americans as a way to fight injustice but it actually promotes that injustice. Dr. Jennifer Eberhardt OWNSpotlight,9.26,8.9,9.4,56.76,2,10.72,8th and 9th grade
Thu Jun 11 01:11:06 +0000 2020,The beauty of this moment is that we re even discussing it and we re having a real discussion about what it means. And even how people can have that privilege and be completely oblivious to being empowered by that privilege. OWNSpotlight,7.31,10.3,11.1,58.62,2,9.52,9th and 10th grade
Thu Jun 11 01:06:26 +0000 2020,"White privilege is a difficult term to grasp for white people, especially for the middle class and working class folks, because the word privilege is associated with affluence. breaks it down. OWNSpotlight",8.68,15.8,20.2,39.0,1,14.11,15th and 16th grade
Wed Jun 10 22:57:02 +0000 2020,Join me tonight at 9 8c on or on my Facebook page at 10 9c.,5.43,3.2,0.2,98.55,1,-0.89,-1th and 0th grade
Wed Jun 10 22:56:55 +0000 2020,"How can we move forward So on part two of my OWNSpotlight special, Where Do We Go From Here we ll be discussing what white privilege really is and what we want as a result of this moment like Atlanta Mayor is explaining here .",8.33,16.9,20.1,52.2,1,7.33,16th and 17th grade
Wed Jun 10 22:56:15 +0000 2020,"We re going through a reckoning right now amp it s not only about police violence against Black people, but the systemic racism that s rooted in the soul of our country. For the first time it feels like people are waking up amp recognizing that, but in this moment, will we do better",6.73,10.3,12.1,69.45,2,7.32,6th and 7th grade
Wed Jun 10 02:23:21 +0000 2020,"You know my heart, do you",0.3,-1.5,-2.8,116.15,1,-2.46,-3th and -2th grade
Wed Jun 10 02:12:00 +0000 2020,Thanks for watching wheredowegofromhere Now watching JusticeforAll with Great interviews,10.45,9.6,20.8,44.41,1,27.06,9th and 10th grade
Wed Jun 10 02:03:31 +0000 2020,If you missed our OWNSpotlight special Where Do we Go From Here on you can watch it now on my Facebook page here,6.84,6.4,8.5,90.43,1,5.69,5th and 6th grade
Wed Jun 10 02:02:28 +0000 2020,We also have a list of organizations to use as resources to learn more about the ongoing fight for racial and social justice. Visit for more. OWNSpotlight,7.81,6.2,7.6,74.69,2,9.21,7th and 8th grade
Wed Jun 10 02:01:58 +0000 2020,Thank you for joining me for pt 1 of our OWNSpotlight special Where Do We Go From Here There s rightful focus on what's going on with the police in our communities but it s a broader issue. We need systemic change. Join us tomorrow at 9 8c on as we talk about the asks.,7.13,6.9,6.2,78.28,3,4.99,6th and 7th grade
Wed Jun 10 01:52:08 +0000 2020,"If your concern with the murder of Black people by police can be deterred or shifted because someone is taking a pair of jeans from a Target, then you ve got to look at how much you cared about the murder of the Black people by the police to begin with. OWNSpotlight",7.73,20.0,24.0,44.08,1,7.39,7th and 8th grade
Wed Jun 10 01:43:10 +0000 2020,. explains how all the Black lives lost to COVID 19 and George Floyd s death have led to this collective worldwide gasp. OWNSpotlight,7.52,8.7,12.6,73.51,1,10.28,12th and 13th grade
Wed Jun 10 01:39:17 +0000 2020,". addresses how the confluence of events, including the COVID 19 pandemic, have led to the awakening in this moment. And we must meet it. OWNSpotlight",8.05,7.0,8.4,67.25,2,9.67,7th and 8th grade
Wed Jun 10 01:32:51 +0000 2020,". is the Mayor of ATL where over 50 of the population is Black. Last week she stepped into the national spotlight when she said, I am a mother of four black children in America When I saw the murder of George Floyd, I hurt like a mother would. OWNSpotlight",6.14,9.3,10.7,71.99,2,6.91,6th and 7th grade
Wed Jun 10 01:29:36 +0000 2020,". is the President of the nation s largest online racial justice organization. He reminds us that many times we hit moments where we get a lot of attention but not a lot of change, so we need to leverage this to actually make good. OWNSpotlight",8.26,9.7,10.6,65.56,2,8.13,7th and 8th grade
Wed Jun 10 01:19:57 +0000 2020,"There s this memory we all have of Black people being lynched and being dragged through the town as an example. So when we see Black men being shot on camera and nothing happens, it retraumatizes us. Dr. Jennifer Eberhardt explains further. OWNSpotlight",7.65,6.5,8.9,73.88,3,9.91,8th and 9th grade
Wed Jun 10 01:17:06 +0000 2020,We're just tired as black people of having to prove our humanity only when the most inhumane thing happens to us. OWNSpotlight,7.6,10.7,12.0,57.61,1,9.86,9th and 10th grade
Wed Jun 10 01:12:45 +0000 2020,"After seeing the video of George Floyd, DavidOyelowo passed his son s bedroom and heard him crying over it. Although he s had THE TALK many Black parents have had with their children about interacting with the police, he couldn't find the words in that moment. OWNSpotlight",6.82,8.9,13.1,73.0,2,10.39,6th and 7th grade
Wed Jun 10 01:09:41 +0000 2020,". is a NYT columnist amp he recently wrote in an op ed, We must also recognize that to have to live in a world, in a society, in which you feel that your very life is constantly under threat because of the color of your skin is also a form of violence. OWNSpotlight",8.35,20.4,23.9,43.06,1,6.29,-1th and 0th grade
Tue Jun 09 21:20:13 +0000 2020,"Join me tonight for an OWNSpotlight special, Where Do We Go From Here at 9 8c on or on my Facebook page at 10 9c.",6.77,7.1,7.8,88.4,1,3.2,6th and 7th grade
Tue Jun 09 21:20:00 +0000 2020,Will people recognize systemic racism for the problem and evil that it is Where do we go from here So I m gathering critical thinkers like that match their words with actions because that s what we need ACTION.,8.41,15.0,18.8,57.27,1,8.72,18th and 19th grade
