created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Tue Jul 21 01:34:55 +0000 2020,"Our Government continues to have Australians backs as we all fight through the impacts of COVID19. The situation we re facing is unpredictable but this is about delivering the support Australians need and the policies our economy requires to reopen, recover and create jobs.",9.39,11.9,14.3,49.15,2,12.76,14th and 15th grade
Tue Jul 21 01:34:54 +0000 2020,These supports are a lifeline but our JobMaker plan is also setting Australia up for our country s recovery. Our focus remains on reopening the economy where it is safe to do so.,8.76,8.5,7.6,63.19,2,7.71,8th and 9th grade
Tue Jul 21 01:34:54 +0000 2020,"JobKeeper will be extended by six months to the end of March next year and the temporary supplement for those on income support will also be extended until the end of the year, we ve just announced auspol breaking",8.81,16.1,19.2,48.81,1,9.18,8th and 9th grade
Fri Jul 17 03:33:33 +0000 2020,Our Government remains resolute in holding those responsible to account. We will never forget that terrible day and stand firm for the justice the victims and their loved ones deserve.,7.54,9.1,10.4,56.25,2,11.71,8th and 9th grade
Fri Jul 17 03:33:33 +0000 2020,"Today we remember the victims of the downing of MH17, including the 38 Australians who perished. Our thoughts are with their friends and families today on the sixth anniversary of this dreadful event.",8.28,8.5,10.8,63.19,2,11.42,10th and 11th grade
Thu Jul 16 22:57:28 +0000 2020,"Our priority as a government, on top of dealing with this global pandemic, is creating jobs because that s what Australians need in these tough times.",8.57,12.3,14.2,53.55,1,10.22,9th and 10th grade
Tue Jul 14 08:15:57 +0000 2020,"Almost 40,000 people have registered interest in our HomeBuilder program so far. It s delivering jobs not just for tradies and apprentices, but all the other industries that feed into the home building industry and all the jobs that depend on that.",7.69,10.3,12.3,58.62,2,10.73,10th and 11th grade
Tue Jul 14 04:29:58 +0000 2020,A further 1000 Australian Defence Force personnel are being deployed to Victoria to support the state's coronavirus response. We will continue to help Victoria with whatever it takes to save lives amp livelihoods in the fight against this terrible virus,8.97,11.1,13.8,51.18,2,13.46,13th and 14th grade
Thu Jul 09 10:50:36 +0000 2020,"We discussed ways to work even more closely together and with likeminded partners and friends to ensure a free, open, inclusive and prosperous Indo Pacific.",10.56,13.0,15.9,46.1,1,12.94,12th and 13th grade
Thu Jul 09 10:50:35 +0000 2020,"Thanks to PM Shinzo Abe of Japan for a very warm Leaders meeting this evening. We have developed a very strong relationship over the last two years. We re closely aligned in values and on our approach to the many post COVID challenges, especially in our Indo Pacific region.",8.31,7.3,8.4,71.85,3,8.7,8th and 9th grade
