created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 27 00:36:09 +0000 2020,"Private equity firms are using the crisis to line their pockets. They bleed companies dry, kill jobs, hurt communities, amp threaten our economy. I told two SEC nominees we need an SEC with the courage to stand up to private equity amp StopWallStreetLooting.",8.39,7.7,9.4,65.42,3,10.43,8th and 9th grade
Sun Jul 26 22:03:33 +0000 2020,Today we celebrate the 30th anniversary of the landmark Americans with Disabilities Act. But people with disabilities are still fighting for equal opportunity amp economic security. Let s recommit to building a truly inclusive world. ADA30,9.06,10.3,11.3,42.38,3,14.2,10th and 11th grade
Sun Jul 26 19:08:04 +0000 2020,My bill to EndCorruptionNow forces anyone who submits a study to a regulator to disclose who s paying for it. Sham studies should be thrown out. This is a nerdy but important way to stop Big Tech amp other rich amp powerful corporations from rigging the rules in their favor.,6.99,7.4,8.2,71.44,3,8.29,8th and 9th grade
Sun Jul 26 19:08:04 +0000 2020,"Here s what you won t read in Big Tech's bought and paid for research Amazon, Google, Facebook amp Apple have too much power over our economy, society amp democracy. They think they're too big to be held accountable. We need to break up Big Tech amp stop mergers that kill competition.",7.23,6.5,8.4,79.3,3,7.65,10th and 11th grade
Sun Jul 26 19:08:04 +0000 2020,Big Oil funds junk research that climate change isn t real. Wall Street peddles sham studies that banking rules hurt the economy. And Amazon amp Google pay for a think tank to say Big Tech isn't too big amp too powerful. This is thinly disguised corruption.,7.64,4.2,6.0,85.18,4,7.64,5th and 6th grade
Fri Jul 24 23:10:14 +0000 2020,"Big Ag companies have crushed competition and risked their workers' lives while regulators look the other way. They can't be trusted. We need to massively reform our broken food and farm system to give workers, farmers, and consumers real bargaining power.",8.94,8.6,10.2,57.57,3,11.71,8th and 9th grade
Fri Jul 24 23:10:14 +0000 2020,"If meatpacking companies say they re doing everything required to protect workers from COVID 19, but workers are still getting sick amp dying, then voluntary guidance isn t enough. The next relief bill must include an Emergency Temporary Standard for COVID 19.",9.19,10.3,13.6,58.62,2,12.42,13th and 14th grade
Fri Jul 24 23:10:14 +0000 2020,"Giant meatpackers used COVID 19 to jack up prices amp exploit workers while exporting record amounts of meat to China. If they were actually concerned about their workers, they would have provided real answers to the serious concerns amp I raised.",8.5,10.1,12.6,59.13,2,11.6,12th and 13th grade
Fri Jul 24 22:16:01 +0000 2020,"Venezuela was already suffering from a political, economic, amp humanitarian crisis before COVID 19 hit. It would be dangerous amp cruel to force Venezuelans in the US to return right now. The Senate should finally do what the House did a year ago this week amp pass VenezuelaTPSNow.",7.06,8.4,9.7,63.7,3,10.32,9th and 10th grade
Fri Jul 24 21:15:14 +0000 2020,Let s be clear about who is most at risk to lose their homes because of the GOP's failure to act communities of color. Failing to institute an eviction moratorium would further deepen existing racial injustices.,8.48,9.1,10.6,61.67,2,10.32,8th and 9th grade
Fri Jul 24 21:14:57 +0000 2020,The federal eviction moratorium ends TONIGHT. Millions could lose their homes because the GOP can t get their act together to pass a bill. My bill to extend amp expand the eviction moratorium for all renters is ready to go. The needs to stop blocking it amp pass it now.,6.47,4.6,5.6,84.17,4,7.0,6th and 7th grade
Fri Jul 24 14:23:09 +0000 2020,"I m fighting right now to keep people in their homes during this crisis. And I m also still fighting for my bill to help homebuyers in formerly redlined areas. We should be confronting our history of govt backed housing discrimination, not repeating it.",7.95,7.8,8.4,65.01,3,9.27,7th and 8th grade
Fri Jul 24 14:23:08 +0000 2020,"Housing discrimination still exists, and the Black white wealth gap is bigger now than when housing discrimination was legal. It's unbelievable that is ripping up the rule that helps communities address the ugly legacy of segregation and housing discrimination.",8.25,13.3,15.3,34.76,2,15.32,12th and 13th grade
Fri Jul 24 14:23:08 +0000 2020,Black and Brown Americans hit hardest by COVID 19 are facing a wave of evictions. Americans are demanding an end to systemic racism. And Trump and think now's the time to gut civil rights laws like the Fair Housing Act. This is disgusting.,7.11,4.0,5.5,85.89,4,7.46,5th and 6th grade
Fri Jul 24 01:36:50 +0000 2020,I asked to investigate the role of Attorney General Barr amp in the sickening Lafayette Square attacks. I m glad that IG Horowitz has agreed to review this ugly propaganda event amp the appalling attacks in Portland.,7.54,9.3,10.7,61.16,2,10.62,10th and 11th grade
Thu Jul 23 22:43:06 +0000 2020,"Trump amp his team have repeatedly belittled COVID 19 risks, but more than 140,000 are dead amp we can't pretend long term risks like heart damage amp strokes don t exist. We want to know what the administration is doing about COVID s chronic health impacts.",7.52,8.7,11.9,73.51,2,9.23,11th and 12th grade
Thu Jul 23 21:37:01 +0000 2020,"About 628,000 tribal households don't have access to reliable internet, and COVID 19 has made it difficult for tribal nations to apply under a rapidly approaching deadline. I urge the to extend the 2.5GHz Rural Tribal Priority Window for tribal connectivity. ConnectTribes",10.32,12.7,15.0,41.7,2,13.81,13th and 14th grade
Thu Jul 23 19:09:08 +0000 2020,Americans can t wait any longer for the GOP to get their act together on another relief bill. The federal eviction moratorium ends TOMORROW. I m heading to the Senate floor to urge my colleagues to pass my bill to extend amp expand that moratorium.,7.89,8.0,7.4,64.71,3,8.05,7th and 8th grade
Thu Jul 23 17:32:45 +0000 2020,"I agree with now more than ever, Congress should pass our bill to help millions of Americans getting crushed with student loan debt.",7.52,8.7,12.6,73.51,1,10.28,12th and 13th grade
Thu Jul 23 16:45:26 +0000 2020,"In 2017, I joined protesters at Logan Airport amp Copley Square to fight Trump's MuslimBan. Today, I m very glad to celebrate the House passage of the NoBanAct with amp many colleagues. McConnell let's vote on it amp repeal this immoral policy.",8.84,6.4,8.3,74.19,3,9.21,8th and 9th grade
Thu Jul 23 15:57:14 +0000 2020,"Donald Trump and Betsy DeVos have failed our students and failed our schools. Yesterday I told our Massachusetts teachers we will not allow the lives of students, teachers, and school staff to be used as a bargaining chip to get them the funding they need.",7.56,9.7,12.0,65.56,2,9.81,9th and 10th grade
Thu Jul 23 01:03:28 +0000 2020,"This important new climate study shows we can t let Trump roll back rules for giant corporate polluters amp hope everything will be ok. It won t. We need bold action now to fight the ClimateCrisis amp its threats to our country, planet, amp future generations.",7.14,6.9,8.2,72.87,3,8.63,8th and 9th grade
Thu Jul 23 00:30:05 +0000 2020,The federal eviction moratorium is set to expire on Friday. It is critical that we pass my bill with to extend and expand that moratorium for all renters before millions of people are thrown out of their homes.,7.9,9.5,9.5,60.65,2,8.82,9th and 10th grade
Wed Jul 22 23:24:42 +0000 2020,"Our child care system is on the brink of collapse, and it s hitting women of color the hardest. I've been fighting for a 50 billion child care bailout since April. No more delays we need to pass the Child Care is Essential Act right now.",7.14,4.5,5.9,89.79,3,5.73,5th and 6th grade
Wed Jul 22 22:43:41 +0000 2020,I told Pence in May that the federal government needed to prepare for a double punch of coronavirus on top of a bad flu season. We can t ignore this possibility any longer.,6.85,8.5,6.8,63.19,2,6.67,6th and 7th grade
Wed Jul 22 21:03:38 +0000 2020,Tune in on Facebook now for my live conversation with and on the principles that Massachusetts educators are fighting for to safely reopen schools.,10.09,12.7,14.9,47.12,1,12.77,12th and 13th grade
Wed Jul 22 20:46:35 +0000 2020,"I m still fighting for comprehensive COVID 19 demographic data so communities of color get the resources they need. If the Trump administration doesn t start taking this virus seriously, more Americans will die. A disproportionate share will be seniors and people of color.",8.31,10.2,10.5,48.09,3,11.94,11th and 12th grade
Wed Jul 22 19:32:08 +0000 2020,"As COVID 19 cases keep rising, I want to know if will use its authority to implement public health measures like mask requirements and limits on gatherings, especially in states that aren't doing enough to stop the virus.",9.26,16.9,20.4,41.37,1,10.8,10th and 11th grade
Wed Jul 22 18:40:50 +0000 2020,I introduced legislation before Trump was sworn in to require that Presidents divest from their businesses including golf courses. It s part of my big bill to EndCorruptionNow. Congress could put an end to this blatant corruption by passing that bill.,9.32,8.6,9.7,57.57,3,11.53,11th and 12th grade
Wed Jul 22 18:40:50 +0000 2020,"Tell us, Mr. President are you working for the American people, or are you lining your pockets running a golf course We shouldn t have to ask. EndCorruptionNow",7.15,7.6,7.8,65.73,2,8.63,7th and 8th grade
Tue Jul 21 23:21:42 +0000 2020,"Back in March 2017, amp I asked the to clarify whether Ivanka Trump is subject to federal employee ethics rules. She is. So OGE should investigate whether she violated those rules by tweeting an endorsement of Goya beans.",7.9,8.3,10.9,69.11,2,10.21,7th and 8th grade
Tue Jul 21 22:11:38 +0000 2020,This is good news for Massachusetts residents. Now Congress needs to extend and expand the federal eviction moratorium for all renters by passing my bill.,9.94,8.2,9.3,58.79,2,11.53,9th and 10th grade
Tue Jul 21 17:28:14 +0000 2020,It is flagrantly unconstitutional to exclude people from the Census count based on their immigration status. The Constitution requires that every person be counted. This is another attempt by Trump to use scaremongering against immigrants amp rig the system.,9.54,10.7,11.6,41.36,3,14.08,11th and 12th grade
Tue Jul 21 15:47:23 +0000 2020,"Our democracy has been beaten up badly. But when people ask me why I m still hopeful that we can make real change, I remind them of what happened 10 years ago today. We took on an impossible David vs Goliath fight to hold Wall Street accountable and won. And we can do it again.",5.76,5.1,4.6,82.85,4,5.21,5th and 6th grade
Tue Jul 21 15:47:22 +0000 2020,We also wouldn t have a strong without people like you. The financial industry spent 1 million a day fighting Wall Street reform especially the agency. But people amp groups all across the country jumped into the fight amp made their voices heard. And it made a difference.,6.53,5.6,6.8,76.22,4,8.69,6th and 7th grade
Tue Jul 21 15:47:22 +0000 2020,"We wouldn t have a strong today without President amp Vice President They believed in my idea for the agency, fought to keep it in the bill, and helped to get it across the finish line. I m eternally grateful their leadership.",6.56,7.9,9.8,75.54,2,7.72,7th and 8th grade
Tue Jul 21 15:47:22 +0000 2020,"Here s the way I see it before the ink from President pens were dry, Wall Street s army of lawyers amp lobbyists were already out to kill the agency. Trump s team has spent 3 years trying their hardest to break it. But the is still here amp here to stay.",6.01,5.3,5.6,87.76,3,4.64,5th and 6th grade
Tue Jul 21 15:47:22 +0000 2020,Things aren't easy at the right now. amp Kraninger gutted the office that fights lending discrimination amp have given the green light for payday lenders to trap consumers in cycles of debt.,8.18,13.4,18.0,55.92,1,11.62,13th and 14th grade
Tue Jul 21 15:47:21 +0000 2020,I talk amp tweet about the every chance I get because I'm proud of that new agency. It has handled more than 2 million complaints amp returned billions back into the pockets of Americans cheated by big banks amp financial institutions. That s government that works for the people.,7.67,7.3,9.0,71.85,3,9.39,8th and 9th grade
Tue Jul 21 15:47:21 +0000 2020,"Ten years ago today, I ran out of a hearing, jumped into car, amp we raced as fast as we could across town to watch President sign the Dodd Frank Wall Street reform bill into law. I'll never forget it because that's how the was born.",1.83,7.5,9.3,81.97,2,5.81,5th and 6th grade
Tue Jul 21 13:36:36 +0000 2020,"The Senate needs to act now to contain this virus and provide the funding so our economy, schools, and families can begin to recover. Here s my must do list in the",7.88,6.0,6.0,80.62,2,5.8,5th and 6th grade
Tue Jul 21 01:04:06 +0000 2020,We will not contain this deadly virus if Congress allows our most vulnerable Americans to be thrown out of their homes right now. The Senate must pass my bill to extend and expand the eviction moratorium before it expires.,9.46,9.7,10.6,60.14,2,9.81,9th and 10th grade
Tue Jul 21 00:05:22 +0000 2020,"Millions of families are going to fall off the economic cliff if the doesn t wake up and extend unemployment benefits. You re only making this crisis within a crisis worse by dragging your feet, McConnell.",8.92,9.1,9.8,61.67,2,9.34,8th and 9th grade
Mon Jul 20 23:26:11 +0000 2020,I'm all in.,0.15,-2.7,-5.9,119.19,1,-12.06,0th and 1st grade
Mon Jul 20 20:58:16 +0000 2020,"Canceling student debt will provide real relief to millions of families during this crisis, help lift a financial burden that is holding back a whole generation of Americans, fight the racial wealth gap, and boost our economy. Let s do this.",9.66,10.1,11.9,59.13,2,10.44,9th and 10th grade
Mon Jul 20 19:51:54 +0000 2020,I introduced a bill in June with amp to restrict amp disclose lobbying amp political spending for COVID 19 relief funds. Congress should include our CORE Act in the next relief bill to StopCOVIDCorruption.,9.12,8.7,10.9,62.68,2,11.42,10th and 11th grade
Mon Jul 20 19:04:25 +0000 2020,"I stand in solidarity with workers who are participating in the StrikeForBlackLives for higher wages, health care, paid sick leave, and the right to join a union. We must dismantle the systemic racism that exploits Black workers and hurts Black families.",8.12,10.1,13.4,59.13,2,12.3,12th and 13th grade
Sun Jul 19 23:07:05 +0000 2020,"Too many Americans have died because Donald Trump and his team were too arrogant to listen to the public health experts, too slow to recognize they were wrong, too stubborn to change direction, and too cowardly to take responsibility.",8.41,17.3,21.8,40.35,1,11.85,-1th and 0th grade
Sun Jul 19 00:02:03 +0000 2020,"Trump s multitude of failures have resulted in a public health catastrophe. If he sabotages our federal efforts to contain this virus, it will be his fault when more Americans die. The GOP must finally stand up to their President so that doesn't happen.",7.95,7.8,8.4,65.01,3,9.16,7th and 8th grade
Sat Jul 18 17:52:37 +0000 2020,"Senator McConnell should honor with more than words, and finally hold a vote this week on the Voting Rights Advancement Act to restore the key voting protections that John Lewis fought and bled for in the 1965 Voting Rights Act.",7.99,16.5,20.8,47.8,1,10.46,16th and 17th grade
Sat Jul 18 04:02:02 +0000 2020,"John Lewis was a true American hero and the moral compass of our nation. May his courage and conviction live on in all of us as we continue to make good trouble for justice and opportunity. Rest in power, John.",6.66,6.1,5.4,74.9,3,6.08,6th and 7th grade
Fri Jul 17 20:06:50 +0000 2020,"Great. Now it s time for Congress to pass my proposal in the defense bill to remove all names, symbols, and monuments honoring the Confederacy from all military property.",9.43,14.6,16.1,42.04,1,10.92,10th and 11th grade
Fri Jul 17 18:17:42 +0000 2020,Dozens of lobbyists who worked for Trump s campaign and administration have helped clients secure billions in COVID 19 relief funds. The Special IG for Pandemic Recovery Brian Miller should investigate this Lobbying Palooza for conflicts of interest.,10.4,10.7,14.5,52.19,2,14.91,14th and 15th grade
Fri Jul 17 17:27:45 +0000 2020,Coronavirus doesn t care about state borders. is putting the lives of Georgians and all Americans at risk with this reckless lawsuit. Wearing a mask saves lives. Period.,8.84,6.4,9.4,74.19,2,10.72,8th and 9th grade
Fri Jul 17 16:57:17 +0000 2020,I thought we d already covered this after the attacks in Lafayette Square the US government should not be using unidentified federal officers as a secret police force to terrorize US citizens amp violate their constitutional rights. This is outrageous.,8.97,12.3,13.7,42.72,2,13.34,13th and 14th grade
Fri Jul 17 01:12:16 +0000 2020,"Canceling student loan debt would stimulate our economy through this pandemic, give relief to millions of Americans, and address systemic racism by helping to close the racial wealth gap. This is about economics, but it's also about our values.",9.46,9.7,13.2,60.14,2,12.47,12th and 13th grade
Fri Jul 17 01:12:16 +0000 2020,People outside of Washington get it one way to address the economic crisis facing working families is to broadly cancel student loan debt. That's why I'm fighting with and others to include it in the next relief package.,9.57,9.5,10.8,60.65,2,10.04,10th and 11th grade
Thu Jul 16 23:36:22 +0000 2020,"If Facebook is committed to fighting disinformation on Facebook amp Instagram like they claim they are, they must immediately acknowledge in their fact checking process that the ClimateCrisis is not a matter of opinion amp take steps to stop the spread of climate disinformation.",9.77,20.5,25.8,26.82,1,14.46,20th and 21st grade
Thu Jul 16 23:36:22 +0000 2020,"The ClimateCrisis is too important to let conspiracy theorists, corporate polluters, amp armies of lobbyists, bought and paid for researchers, amp climate denying politicians spread deliberate lies. ClimateChange is an existential threat to communities amp economies around the world.",10.27,13.3,18.0,34.76,2,18.39,17th and 18th grade
Thu Jul 16 23:36:22 +0000 2020,Trump isn t the only one who gets a pass to spread disinformation on Facebook. Facebook has a new fact checking loophole to allow blatant lies about the ClimateCrisis. amp I want answers from Mark Zuckerberg.,8.04,8.0,10.2,70.13,2,9.8,9th and 10th grade
Thu Jul 16 23:04:52 +0000 2020,"Our country is about to face an avalanche of evictions during the pandemic that will hit Black, Brown, amp low income communities the worst. The Senate must keep people in their homes by passing my bill to extend amp expand the eviction moratorium.",8.01,9.3,11.9,66.57,2,9.98,11th and 12th grade
Thu Jul 16 19:46:45 +0000 2020,Next week marks the 10th anniversary of President Obama signing Dodd Frank the Wall Street reform bill that created the I hope you ll join amp me tomorrow for a conversation with about the future of consumer protection.,9.68,16.9,20.1,41.37,1,10.92,10th and 11th grade
Thu Jul 16 18:15:36 +0000 2020,HHS claimed Trump got an amazing deal on the COVID 19 drug remdesivir but the US is paying the highest prices in the world. We want HHS to explain why it got such a bad deal and why it didn't use its legal authorities to keep prices down.,6.8,7.9,9.3,80.96,2,5.75,5th and 6th grade
