created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 06 20:14:13 +0000 2020,I send my love to Amanda Kloots and Elvis on their unthinkable loss. My heart breaks for Nick Cordero s family and friends. your strength through Nick s struggle with COVID 19 has been inspiring. You are in my heart today.,5.86,3.9,6.3,91.41,3,7.3,6th and 7th grade
Mon Jul 06 18:07:52 +0000 2020,"Happy birthday, I hope you re not celebrating by camping in your backyard.",7.93,7.2,7.5,66.74,1,8.63,7th and 8th grade
Mon Jul 06 15:07:30 +0000 2020,"You are strong, you are beautiful, and you are intelligent. I love this so much.",5.06,2.7,3.0,89.24,2,4.31,2nd and 3rd grade
Fri Jul 03 23:22:11 +0000 2020,Getting ready to watch Hamilton for the first time. Hamilfilm,7.29,3.7,8.1,86.71,1,10.82,3rd and 4th grade
Fri Jul 03 19:15:19 +0000 2020,He s got some great material.,6.57,4.5,0.4,73.85,1,1.38,6th and 7th grade
Fri Jul 03 16:51:19 +0000 2020,This Friday I m highlighting The Innocence Project. I hope you ll consider supporting them.,8.22,6.2,6.5,63.86,2,9.35,6th and 7th grade
Thu Jul 02 00:53:41 +0000 2020,"Seeing everyone s posts about Carl Reiner makes you realize what an incredible legacy of laughter he left behind. I was inspired by his talent and his humanity, and I send love to his family.",8.11,8.9,8.5,62.17,2,7.94,8th and 9th grade
Tue Jun 30 14:16:15 +0000 2020,Go vote,0.1,-3.1,-6.4,120.21,1,-13.21,-1th and 0th grade
Mon Jun 29 21:40:23 +0000 2020,Young CEO Trey Brown got the surprise of a lifetime when he got to meet backstage at my show.,6.24,6.0,6.7,86.03,1,5.28,5th and 6th grade
Sat Jun 27 15:41:21 +0000 2020,"The Season 3 finale of OMKalen is here. I am so proud of you,",5.11,0.1,-1.9,106.67,2,-0.87,-1th and 0th grade
Sat Jun 27 03:16:19 +0000 2020,"Congratulations to everyone on my show for winning the Emmy for Outstanding Daytime Talk Show I knew you were all outstanding, including who was out standing in my yard for much of the season.",8.11,15.4,17.6,45.43,1,10.11,17th and 18th grade
Fri Jun 26 18:43:09 +0000 2020,"June is LGBTQ pride month, and today I am celebrating the inspiring Black celebrities and visionaries I've had on my show. Black lives matter, including LGBTQ Black lives. Here are some organizations you can donate to",7.3,6.8,8.4,67.76,3,10.37,6th and 7th grade
Fri Jun 26 16:57:13 +0000 2020,"Join me in supporting Pride Live's Stonewall Day, a global livestream event today to benefit LGBTQ organizations most affected by COVID 19. prideliveofficial",8.9,13.4,17.7,39.67,1,16.31,17th and 18th grade
Fri Jun 26 16:29:01 +0000 2020,Happy birthday to the very funny,0.3,4.5,2.8,73.85,1,5.27,4th and 5th grade
Thu Jun 25 19:52:06 +0000 2020,Tamir Rice would have been 18 today. He was killed by police when he was 12 years old. There have still been no charges filed. Think of all the things he could have been. BlackLivesMatter,0.89,0.8,3.5,104.84,4,5.65,0th and 1st grade
Wed Jun 24 17:21:59 +0000 2020,"Read what happened to ElijahMcClain, and ask yourself what you would do if it happened to someone you knew. JusticeForElijahMcClain",7.0,12.3,14.9,42.72,1,14.62,11th and 12th grade
Tue Jun 23 16:11:47 +0000 2020,Live here Go vote,0.2,-2.3,-3.0,118.18,1,-2.91,-1th and 0th grade
Mon Jun 22 22:50:49 +0000 2020,Emeka is one of my favorite guests from all 17 seasons of my show.,6.59,4.0,3.4,91.11,1,3.65,3rd and 4th grade
Mon Jun 22 19:24:59 +0000 2020,We have to make voting more accessible. Pay attention to what s happening. Speak up. And VOTE. AllEyesOnKentucky,7.59,5.6,7.9,70.8,2,10.29,7th and 8th grade
Mon Jun 22 15:25:07 +0000 2020,Here are some of my favorite LGBTQ moments from my show. You can support some of these black led LGBTQ organizations here. Happy Pride tgijustice,6.57,4.2,5.5,79.97,3,8.26,6th and 7th grade
Sun Jun 21 15:22:46 +0000 2020,Happy FathersDay,11.63,14.7,14.9,-6.7,1,12.9,14th and 15th grade
Sat Jun 20 17:30:15 +0000 2020,Adorable.,0.05,-3.5,21.5,121.22,1,1.0,-1th and 0th grade
Fri Jun 19 18:57:44 +0000 2020,It s the Juneteenth episode of OMKalen. I hope you ll watch.,5.25,-0.4,0.8,107.69,2,1.9,1st and 2nd grade
Fri Jun 19 14:50:17 +0000 2020,"For Juneteenth, is taking over my Instagram all day. Go check it out.",6.39,2.3,2.4,90.26,2,3.83,2nd and 3rd grade
Thu Jun 18 22:45:12 +0000 2020,"Tomorrow is Juneteenth, and my friend is taking over my Instagram. That's two reasons to celebrate.",7.98,6.4,7.3,63.36,2,9.35,7th and 8th grade
Thu Jun 18 19:04:38 +0000 2020,"LeadWithLove. Thanks, P amp G.",7.04,0.5,5.6,100.24,1,4.96,1st and 2nd grade
Wed Jun 17 21:54:23 +0000 2020,"Happy birthday, I love this performance and I love you.",5.71,4.8,5.2,78.25,1,6.76,4th and 5th grade
Wed Jun 17 19:14:15 +0000 2020,I love it every time I get to talk to BurningQuestions,5.62,4.0,2.9,85.69,1,4.74,5th and 6th grade
Wed Jun 17 00:33:44 +0000 2020,I think this shot is worth 8 points.,0.4,-0.8,-0.4,114.12,1,0.65,-1th and 0th grade
Tue Jun 16 20:09:34 +0000 2020,All are welcome.,0.15,0.9,2.1,93.81,1,-0.46,0th and 1st grade
Tue Jun 16 18:45:57 +0000 2020,Jordan Waller is a dedicated 2nd grade teacher who had a whole lot more cash in her pocket after this game. ThanksSponsor,6.88,9.5,11.0,66.07,1,8.82,10th and 11th grade
Mon Jun 15 23:17:43 +0000 2020,Jennifer Garner s cat might be the luckiest animal alive.,8.87,7.2,6.2,61.33,1,8.5,8th and 9th grade
Mon Jun 15 22:07:25 +0000 2020,"How ever you do it, please remember to wear a mask. Infection numbers are still climbing.",6.99,4.1,4.4,80.28,2,6.1,3rd and 4th grade
Mon Jun 15 15:23:32 +0000 2020,Historic.,19.48,8.4,21.5,36.62,1,1.0,-1th and 0th grade
Fri Jun 12 23:58:01 +0000 2020,This is appalling. Please make sure you re registered to vote in November.,6.39,3.5,4.3,81.8,2,6.56,3rd and 4th grade
Fri Jun 12 22:08:59 +0000 2020,"Couldn t imagine a world where we couldn t look the ones we love in their eyes. Where we couldn t hold hands. 53 years ago today, this country witnessed how love wins. Happy LovingDay2020, everybody.",5.55,4.4,6.0,84.68,3,7.29,5th and 6th grade
Fri Jun 12 18:37:32 +0000 2020,My friend shares his realization about white privilege.,7.98,6.4,10.8,63.36,1,14.46,7th and 8th grade
Fri Jun 12 00:45:34 +0000 2020,"BreonnasLaw unanimously passed. We can effect change. Let s keep going. Thanks for the text, Juniyah Palmer",7.57,3.8,5.9,75.57,4,6.79,6th and 7th grade
Thu Jun 11 20:31:21 +0000 2020,This was one of my favorite graduation gifts I ve ever given.,5.55,6.8,4.2,67.76,1,5.5,5th and 6th grade
Thu Jun 11 18:05:26 +0000 2020,I got to speak with before the Georgia primary debacle. Go to to help fight for voting rights.,7.59,4.4,3.2,79.26,2,5.13,4th and 5th grade
Wed Jun 10 22:51:48 +0000 2020,"I m so happy to be sharing my mic with Co Founder of the BlackLivesMatter movement, I ve been grateful for the influence her voice has had on me. Now it s her turn to share it with all of you, on my Instagram. ShareTheMicNow",6.86,8.5,8.7,74.02,2,5.69,8th and 9th grade
Wed Jun 10 16:13:04 +0000 2020,Do you know what happened to BreonnaTaylor JusticeForBreonnaTaylor SayHerName,11.1,16.2,19.2,-5.35,1,25.43,16th and 17th grade
Tue Jun 09 22:00:31 +0000 2020,This is amazing.,9.05,0.9,2.1,93.81,1,-0.46,0th and 1st grade
Tue Jun 09 20:55:10 +0000 2020,"I love you, Rickey. BlackTransLivesMatter",10.2,7.6,15.9,49.48,1,18.88,9th and 10th grade
Tue Jun 09 19:08:31 +0000 2020,Mayor talks about the president.,7.04,5.2,7.4,66.4,1,9.6,9th and 10th grade
Tue Jun 09 17:55:11 +0000 2020,"If you live in one of these states, there s an election today VOTE",5.46,2.9,3.4,99.57,1,3.65,5th and 6th grade
Tue Jun 09 16:57:51 +0000 2020,This is a new company my friend started. What a smart idea.,5.25,2.1,0.4,90.77,2,1.38,2nd and 3rd grade
Mon Jun 08 22:40:57 +0000 2020,. has fought for civil rights his entire life. It was an honor to talk with him today.,5.92,3.1,1.9,88.23,2,3.15,3rd and 4th grade
Mon Jun 08 19:51:28 +0000 2020,. discussed the profound impact of George Floyd's death.,9.95,5.2,10.8,71.82,1,13.01,3rd and 4th grade
Mon Jun 08 17:39:31 +0000 2020,. told me how recent events have changed his marriage to,5.71,3.7,5.2,86.71,1,7.34,3rd and 4th grade
Sun Jun 07 20:12:15 +0000 2020,"Join me tonight LIVE with amp at OnlineProtest aims to drive real, tangible change. Starts at 7pm ET. I m on at 8. Let s amplify the calls for justice for GeorgeFloyd, BreonnaTaylor AhmaudArbery BlackLivesMatter",7.68,5.5,6.8,71.0,4,9.42,6th and 7th grade
Fri Jun 05 22:59:57 +0000 2020,Dr. on the resounding words of her father.,6.01,4.1,3.2,80.28,1,4.31,3rd and 4th grade
Fri Jun 05 19:01:45 +0000 2020,. discusses the need for police reform.,9.2,8.0,7.5,48.47,1,9.15,7th and 8th grade
Fri Jun 05 13:59:11 +0000 2020,"Today would have been Breonna Taylor s 27th birthday. A medical worker on the frontline, she wanted to become a nurse. She was shot by police eight times in her home. They had the wrong address. No one has been charged. You can support her family here.",6.04,2.8,3.1,88.94,6,4.89,2nd and 3rd grade
Thu Jun 04 22:16:35 +0000 2020,. on common ground.,9.05,5.6,5.2,59.97,1,1.52,5th and 6th grade
Thu Jun 04 20:12:07 +0000 2020,I loved getting to talk with Mayor,0.35,2.5,0.9,89.75,1,3.26,2nd and 3rd grade
Thu Jun 04 17:23:44 +0000 2020,The problem with saying nothing.,10.2,5.2,7.4,66.4,1,9.6,1st and 2nd grade
Thu Jun 04 00:13:58 +0000 2020,My guests over the next few days are Mayor and I hope you ll watch.,0.74,3.2,2.7,98.55,1,2.25,2nd and 3rd grade
Wed Jun 03 17:15:40 +0000 2020,This.,0.05,-3.5,2.6,121.22,1,-22.21,-1th and 0th grade
Mon Jun 01 21:01:36 +0000 2020,Sign a petition. Make a donation. Get informed. Make a phone call. Do it all from here.,6.64,1.4,0.4,92.49,4,-0.41,6th and 7th grade
Mon Jun 01 18:36:43 +0000 2020,"It's PrideMonth. The protests that came before me allowed me to be the out, successful person I am. I support the protestors demanding change now. We can do better, and I'm starting with myself. I m committed to using my platform to effect change. BlackLivesMatter",8.06,6.5,7.2,68.47,4,8.74,8th and 9th grade
Sun May 31 22:18:22 +0000 2020,"I am making a donation to the George Floyd Memorial Fund, the and the in support of them, and I hope you will join me if you are able. BlackLivesMatter",7.23,11.5,12.7,66.41,1,6.34,11th and 12th grade
Sun May 31 22:18:11 +0000 2020,I support the protestors who are exercising their rights and standing up against the horrible injustices that Black people in America face everyday. BlackLivesMatter,9.43,15.0,18.5,30.2,1,17.12,18th and 19th grade
Fri May 29 23:08:51 +0000 2020,From my dear friend,0.2,-2.3,-0.7,118.18,1,0.0,-1th and 0th grade
Fri May 29 00:30:11 +0000 2020,Can't wait,0.1,-3.1,0.8,120.21,1,-7.41,-1th and 0th grade
Thu May 28 22:09:25 +0000 2020,The most adorable EdbyEllen model.,10.2,2.9,9.3,83.32,1,11.92,1st and 2nd grade
Thu May 28 21:23:00 +0000 2020,Thanks for doing this for us. I can t wait to share it,5.17,-0.2,-3.1,107.18,2,-1.98,-1th and 0th grade
Thu May 28 21:11:27 +0000 2020,. won't let quarantine stop her from providing us with ridiculous beauty tips.,8.18,8.0,10.5,59.3,1,12.28,7th and 8th grade
Thu May 28 19:10:05 +0000 2020,Who let the cows in Who,0.3,-1.5,-4.4,116.15,1,-3.44,-1th and 0th grade
Thu May 28 17:37:37 +0000 2020,"James Marsden is here to tell us about his fairy godmother, Julia Roberts.",6.71,4.8,7.5,83.66,1,8.63,6th and 7th grade
Wed May 27 21:45:35 +0000 2020,The L.A. Regional Food Bank is incredible. They re helping so many families in need right now.,7.77,5.4,4.4,71.31,2,5.88,4th and 5th grade
Wed May 27 21:05:26 +0000 2020,"Jennifer Aniston, come over and watch a Friends marathon with me. is here",6.71,3.6,7.2,92.12,1,8.16,6th and 7th grade
Wed May 27 19:20:12 +0000 2020,A brand new episode of momsplaining is here with the bells of the ball and Watch more on today ThanksSponsor,6.21,6.4,9.5,85.02,1,8.53,9th and 10th grade
Wed May 27 18:14:58 +0000 2020,Happy BikeMonth It should also be Helmet Month.,6.01,5.2,6.1,71.82,1,8.66,5th and 6th grade
Wed May 27 17:01:48 +0000 2020,". recovered from his eye surgery, and the first thing he wanted to see was me.",6.49,5.6,5.9,81.63,1,5.33,5th and 6th grade
Wed May 27 02:31:07 +0000 2020,"Listen to the voices of the people closest to a tragedy, then use your voice to lift theirs. GeorgeFloyd SayHisName",7.79,8.7,11.2,68.1,1,9.98,9th and 10th grade
Tue May 26 22:58:00 +0000 2020,"You answered WhatImDoingFirst after the quarantine, and these were too good not to read on TV.",7.39,8.4,9.8,63.7,1,10.32,8th and 9th grade
Tue May 26 20:41:11 +0000 2020,"Who doesn t love a TikTokTuesday starring Will Smith, and",7.29,4.8,6.2,78.25,1,8.5,4th and 5th grade
Tue May 26 19:21:49 +0000 2020,There s nothing better than starting your week on a Tuesday with a laugh from the spectacularly hilarious,7.16,10.3,10.6,53.21,1,10.79,10th and 11th grade
Tue May 26 16:54:56 +0000 2020,"If you haven t seen videos on the internet, you need to.",5.55,3.3,2.2,93.14,1,2.6,2nd and 3rd grade
Mon May 25 22:12:44 +0000 2020,"Cute, cute, cute, cute, cute",0.25,-1.9,3.7,117.16,1,1.48,1st and 2nd grade
Mon May 25 21:13:26 +0000 2020,My staff has a lot of beautiful additions to their families. Clearly they had to be rated. EllenRateMyBaby,8.47,8.0,6.3,53.88,2,8.96,7th and 8th grade
Mon May 25 19:51:02 +0000 2020,You are brilliant and hilarious. You are brilliantly hilarious.,9.12,9.8,9.6,33.07,2,11.85,9th and 10th grade
Mon May 25 18:04:56 +0000 2020,You d think would be the best quarantine companion. His family thinks otherwise.,6.39,5.8,6.5,64.88,2,9.22,8th and 9th grade
Mon May 25 00:14:45 +0000 2020,Wow. The season finale of LittleBigShots is tonight,7.98,4.1,8.5,80.28,1,11.56,2nd and 3rd grade
Sun May 24 20:54:28 +0000 2020,It s NationalBrothersDay It also happens to be Tiara Day and Asparagus Day. What a lucky coincidence that I have this photo.,7.77,7.6,6.1,60.31,2,8.16,7th and 8th grade
Sun May 24 13:46:09 +0000 2020,"I asked YouTuber amp host of Craftopia, to share some stories behind her most interesting Instagram photos.",7.27,8.7,12.3,62.68,1,12.82,8th and 9th grade
