created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 27 04:46:22 +0000 2020,"I m always intrigued by true stories. A common man s extraordinary journey to save his love....this looks very promising , looking forward to KhudaHaafiz",8.18,8.0,9.9,59.3,2,11.59,7th and 8th grade
Mon Jul 20 08:43:17 +0000 2020,Go about your life normally but follow the safenormal.,7.59,4.4,7.1,79.26,1,9.94,7th and 8th grade
Thu Jul 16 06:03:04 +0000 2020,This woman can pull off any character with ease. Looking forward to watch the effortlessly amazing in and as ShakuntalaDevi. All the best,7.45,5.1,6.0,72.12,3,8.83,8th and 9th grade
Sun Jul 12 02:32:03 +0000 2020,Get well soon brother. Lots of love,0.17,-1.3,-0.3,110.22,2,-1.19,-1th and 0th grade
Sun Jul 12 02:31:31 +0000 2020,Praying for your speedy recovery Sir. Love and prayers,7.37,1.5,4.9,92.29,2,6.69,1st and 2nd grade
Tue Jul 07 13:17:15 +0000 2020,He s got the lyrics bang on Too cute,0.45,-0.4,-2.4,113.1,1,-1.03,-1th and 0th grade
Mon Jul 06 04:30:08 +0000 2020,Looking forward to doing what we do best Time we get back to work Bellbottom to go on floors next month,6.93,6.8,7.7,84.0,1,5.63,6th and 7th grade
Sun Jul 05 17:22:52 +0000 2020,Brilliant news Now that s a progressive move by the government in the right direction. I hope rest of the occupations in the country follow suit.,6.1,7.2,6.8,66.74,2,8.16,7th and 8th grade
Fri Jul 03 02:27:25 +0000 2020,"Woke up to the sad news that legendary choreographer SarojKhan ji is no more. She made dance look easy almost like anybody can dance, a huge loss for the industry. May her soul rest in peace",5.99,4.4,4.9,84.68,3,6.31,5th and 6th grade
Mon Jun 29 17:00:21 +0000 2020,Thank you,0.1,-3.1,-1.7,120.21,1,-7.41,-1th and 0th grade
Mon Jun 29 16:59:54 +0000 2020,Thank you,0.1,-3.1,-1.7,120.21,1,-7.41,-1th and 0th grade
Mon Jun 29 16:59:26 +0000 2020,Thank you,0.1,-3.1,-1.7,120.21,1,-7.41,-1th and 0th grade
Mon Jun 29 16:56:58 +0000 2020,Thank you Diljit paaji,7.78,1.3,2.9,92.8,1,4.35,0th and 1st grade
Mon Jun 29 12:34:16 +0000 2020,TussharEntertainmentHouse CapeOfGoodFilms,19.53,44.2,73.8,-218.2,1,85.4,-1th and 0th grade
Mon Jun 29 12:34:02 +0000 2020,Watch First day First show of LaxmmiBomb from the comfort of your homes. Do baatein guaranteed hai hassoge bhi aur darroge bhi Only on with DisneyPlusHotstarVIPMultiplex.,7.32,7.2,11.4,66.74,2,13.73,6th and 7th grade
Mon Jun 29 06:36:41 +0000 2020,Big news coming today Tune into twitter handle today at 4 30 PM,5.5,7.2,3.5,66.74,1,4.57,5th and 6th grade
Wed Jun 24 09:20:51 +0000 2020,"That s very kind of you, thank you Claudia Its a great initiative that you ve started to help people get fit during this lockdown. Sending my best wishes to you for this wonderful endeavour.",7.66,7.8,8.3,70.63,2,7.77,7th and 8th grade
Tue Jun 23 11:11:40 +0000 2020,Great work Samiksha Those are my favourite dialogues as well Keep it up. Love and prayers always,5.92,1.9,5.0,96.69,2,7.62,5th and 6th grade
Tue Jun 23 04:45:17 +0000 2020,"Teri Mitti is a song which always gives me goosebumps, no matter how many times I hear it, this time was no different Thank you Rajat ji for sharing. CopThatSings",7.76,11.5,14.4,66.41,1,8.43,11th and 12th grade
Mon Jun 22 05:31:43 +0000 2020,"Hamari duniya 71 paani se bani hai lekin uss mein se sirf 2.5 hai fresh paani.Yani har ek boond hai priceless Zaroorat hai ki paani sirf store nahi,secure karein.Apne 30 saal ke PVC piping systems ke experience se Prince Pipes lekar aaye hain Storefit PaaniKaBank",9.03,17.3,24.0,51.18,1,11.33,9th and 10th grade
Sun Jun 21 10:14:50 +0000 2020,"I m sure watching your child fall asleep in your arms gives you as much peace as practicing yoga Wishing all the amazing fathers, Happy FathersDay and Happy InternationalYogaDay everyone",9.34,16.2,18.2,32.57,1,13.47,15th and 16th grade
Wed Jun 17 17:43:42 +0000 2020,"Loved it Please tell Aditya thank you, I m honoured he chose me for his first sketch . Love and prayers always",1.27,1.5,3.8,103.12,2,5.25,4th and 5th grade
Tue Jun 16 16:28:33 +0000 2020,Deeply saddened by the death of our bravehearts in GalwanValley. We will forever be indebted to them for their invaluable service to the nation. My heartfelt condolences to their families,9.4,7.2,8.4,61.33,3,11.4,11th and 12th grade
Mon Jun 15 04:40:42 +0000 2020,"Kudos to not for profit student organization formed by Class X,XI amp XII students to help the underprivileged.These bright young minds have distributed 2.4 lakh masks amp 3.8 lakh sanitary pads so far Help save lives,one mask at a time.Donate",9.17,17.7,22.6,39.34,1,12.02,17th and 18th grade
Sun Jun 14 09:21:04 +0000 2020,"Honestly this news has left me shocked and speechless...I remember watching SushantSinghRajput in Chhichhore and telling my friend Sajid, its producer how much I d enjoyed the film and wish I d been a part of it. Such a talented actor...may God give strength to his family",7.83,10.1,13.0,64.54,2,9.93,12th and 13th grade
Mon Jun 08 08:29:44 +0000 2020,CapeOfGoodFilms,19.48,32.0,49.7,-132.59,1,41.6,31st and 32nd grade
Mon Jun 08 08:29:22 +0000 2020,"The Batras are waiting to meet you again GoodNewwz is all set to re release in Dubai on 11th June, see you there StaySafe StayEntertained KareenaKapoorKhan",8.57,9.9,15.1,70.47,1,11.78,11th and 12th grade
Sun Jun 07 05:40:00 +0000 2020,Very excited about the launch of my friend autobiographical play KuchBhiHoSaktaHai on his digital platform an artistic showcase of his values amp life lessons of how people go through challenges amp failures to achieve success My best wishes,9.68,18.1,22.9,32.91,1,14.46,22nd and 23rd grade
Sat Jun 06 09:31:28 +0000 2020,"Couldn t agree more , it s the need of the hour... BeStrong, this too shall pass.",5.02,0.5,1.7,105.66,2,1.75,1st and 2nd grade
Fri Jun 05 13:53:47 +0000 2020,"How can I forget Abbas Mustan bhai...it s not just a film for me but a stepping stone in my career, a title which is now synonymous with me. Thank you for giving me Khiladi",6.76,6.6,5.9,79.09,2,4.46,6th and 7th grade
Fri Jun 05 08:35:16 +0000 2020,"This WorldEnvironmentDay, let s join hands to restore our bond with Mother Earth. DhakkDhakkDharti",7.71,8.8,14.2,57.27,1,16.52,7th and 8th grade
Fri Jun 05 05:27:14 +0000 2020,"Patience is a virtue but in this fight against coronavirus, it has been the most powerful weapon for Here s RakhTuHausla echoing a similar sentiment, a video tribute to all our frontline warriors.",9.58,13.8,18.5,54.9,1,11.62,9th and 10th grade
Thu Jun 04 07:53:56 +0000 2020,"Securing your future goes hand in hand with securing the future of our nation. Aao milkar banayein, ApnaGharApnaDesh. BuildingABetterLife",9.09,8.2,12.8,53.37,2,16.38,9th and 10th grade
Thu Jun 04 05:38:50 +0000 2020,"As IndiaFightsCorona,a short film from me to you about getting back to work but only when ur city state officials advise you to do so.And don t forget to do it safely India, , l SwachhBharatSwasthBharat",8.08,15.8,18.5,44.41,1,10.34,15th and 16th grade
Wed Jun 03 14:01:35 +0000 2020,"Sunsets are proof that no matter what happens, every day can end beautifully. ReadItSomewhere",8.84,11.1,12.5,40.35,1,14.43,10th and 11th grade
Wed Jun 03 12:47:56 +0000 2020,"Maybe animals are less wild and humans less human. What happened with that elephant is heartbreaking, inhumane and unacceptable Strict action should be taken against the culprits. AllLivesMatter",9.97,9.9,13.6,48.81,2,16.12,9th and 10th grade
Tue Jun 02 16:44:47 +0000 2020,"For any queries and concerns regarding the cyclone, dial 1916 and press 4.",9.14,6.0,7.5,75.2,1,8.63,8th and 9th grade
Tue Jun 02 16:15:39 +0000 2020,"The much awaited Mumbai rains are here but this year we have an uninvited guest, CycloneNisarga In case it does hit us, here are some precautions shared by we will get through this as well. Praying for everyone s well being",6.96,8.9,9.8,67.59,2,8.18,8th and 9th grade
Mon Jun 01 04:12:49 +0000 2020,"Shocked and saddened to hear about the untimely demise of WajidKhan, talented and ever smiling...gone too soon. May God give strength to his family in this difficult time",7.71,7.6,9.6,65.73,2,10.72,7th and 8th grade
Sun May 31 13:14:21 +0000 2020,"This news about me booking a charter flight for my sister and her two kids is FAKE from start to end.She has not travelled anywhere since the lockdown and she has only one child Contemplating legal action,enough of putting up with false, concocted reports",9.05,18.1,23.3,43.74,1,11.16,18th and 19th grade
Sat May 30 06:31:00 +0000 2020,Corona ke samay fake news toh bahot sunni ab fake casting bhi ho rahi hai Filhall yeh padhiye FakeNewsAlert FakeCastingAlert desimelodies CapeOfGoodFilms,11.9,11.9,17.8,49.15,1,17.52,11th and 12th grade
Fri May 29 05:45:20 +0000 2020,"It s always a pleasure talking to you and if you ever feel low again TensionNot, you know whom to call",6.18,7.9,7.4,75.54,1,5.11,7th and 8th grade
Thu May 28 13:18:32 +0000 2020,"Please mere pet pe laat mat maro Missed tagging the team. Apologies to my producer, director RBalki and the man without whom Padman wouldn t be made",7.81,5.0,6.6,83.15,2,7.88,7th and 8th grade
Thu May 28 11:37:47 +0000 2020,"It s been 2 years to PadMan and I m glad we managed to push the envelope a little on this taboo subject. This MenstrualHygieneDay, I hope we move a step closer towards ending period poverty and breaking taboos surrounding menstruation.",8.12,11.3,11.2,50.67,2,9.86,11th and 12th grade
Thu May 28 10:34:35 +0000 2020,"Time ke saath badalne mein hi samajhdari hain, isliye DollarBadalGaya hai. Take a look at Dollar s new look",6.6,4.6,5.4,78.75,2,7.51,4th and 5th grade
Tue May 26 15:16:41 +0000 2020,"Aapko bahot badhai ho Amit, aap khoob tarakki karein. Meri shubhkaamnaye hamesha aap ke saath hain",9.95,4.1,7.0,80.28,2,9.7,9th and 10th grade
Mon May 25 04:19:33 +0000 2020,"Saddened to hear about the demise of hockey legend BalbirSingh ji. Have had the good fortune of meeting him in the past, such an amazing personality My heartfelt condolences to his family",8.38,8.4,9.6,63.7,2,10.32,8th and 9th grade
Thu May 21 07:34:26 +0000 2020,"A great cause needs your support. Covid doesn t stop periods, help provide sanitary pads to underprivileged women across Mumbai. Every donation counts",8.82,7.5,8.6,55.2,3,11.85,9th and 10th grade
Tue May 19 06:32:55 +0000 2020,"This pandemic has only strengthened my belief that in times of crisis,it s your family,your loved ones amp your home that always stands by you. In my home with my family,I always feel safe amp protected amp I am sure so do you.Aakhir Apna Ghar Apna hi hota hai. ApnaGharApnaDesh",7.4,10.7,12.6,63.02,2,8.88,8th and 9th grade
Thu May 14 09:48:03 +0000 2020,Thank you my favourite films from the 90s would have to be Sangharsh and Andaz Apna Apna. I m further tagging and to share theirs. 90slove,6.71,3.6,5.6,92.12,2,6.6,5th and 6th grade
Sun May 10 12:04:27 +0000 2020,"Everyday I hear incidents of bravery of our frontline workers who are putting fear amp exhaustion aside and putting us first. One such hero is our Maharashtra Police, I m changing my DP to theirs as a mark of respect.Join in, together let s say DilSeSalute to them",7.46,10.3,11.9,64.04,2,8.77,8th and 9th grade
Sun May 10 09:53:20 +0000 2020,"Even in this day and age, you re the only one whose one hand on my head can comfort me in troubled times because I know there s nothing I can t do with your blessings maa. Happy MothersDay",6.79,13.8,16.2,65.73,1,5.29,16th and 17th grade
Wed May 06 03:10:42 +0000 2020,Wish you a very Happy birthday Love and prayers always,0.5,3.7,4.8,86.71,1,7.34,3rd and 4th grade
Tue May 05 08:11:06 +0000 2020,"Umeed hai sab theek hoga wapas, Umeed hai tum sab ho salamat StayHomeStaySafe",7.93,6.0,8.6,75.2,1,10.37,6th and 7th grade
Mon May 04 11:49:22 +0000 2020,"From our hearts to yours. Thank you for watching.Thank you for responding.Thank you for donating. IForIndia started out as a concert. But it can be a movement. Let s continue to build a safe, healthy amp strong India. I For India. Please donate",7.3,2.6,4.3,89.55,6,6.1,5th and 6th grade
Sun May 03 08:50:55 +0000 2020,"We bring you India s biggest at home concert IforIndia. Click the donate button and make a difference. Sunday, 3rd May, 7 30pm IST. Watch it LIVE Donate now 100 of proceeds go to the India COVID Response Fund by",6.5,3.7,3.8,86.71,4,5.48,3rd and 4th grade
Thu Apr 30 04:23:59 +0000 2020,"It seems like we re in the midst of a nightmare...just heard the depressing news of RishiKapoor ji passing away, it s heartbreaking. He was a legend, a great co star and a good friend of the family. My thoughts and prayers with his family",6.13,5.6,6.4,81.63,3,6.26,5th and 6th grade
Wed Apr 29 07:11:33 +0000 2020,"Such terrible news...saddened to hear about the demise of IrrfanKhan, one of the finest actors of our time. May God give strength to his family in this difficult time",6.53,5.4,8.2,82.14,2,8.75,8th and 9th grade
Tue Apr 28 06:24:49 +0000 2020,"Thank you so much for making and sharing this, brought out the sentiments in such a beautiful way",6.28,6.8,8.5,78.59,1,7.89,6th and 7th grade
