created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jun 26 19:53:42 +0000 2020,Happy Pride Month Put on your dancing shoes and listen to my exclusive Mood Ring playlist on . sending love to you all,6.16,8.3,10.1,74.53,1,7.78,7th and 8th grade
Fri Jun 26 04:03:49 +0000 2020,Bringing you some cool Mood Ring energy . with two new remixes I hope these make you all want to dance Listen here,6.88,8.3,9.3,74.53,1,6.73,6th and 7th grade
Tue Jun 23 22:20:45 +0000 2020,Happy Pride Month I love my LGBTQ fans so much . you all bring me so much joy and I am proud to support you PS Sam,1.9,7.5,7.5,87.39,1,2.45,7th and 8th grade
Tue Jun 23 00:50:49 +0000 2020,All you need is love and the beach .,0.4,0.5,-1.0,105.66,1,-0.05,-1th and 0th grade
Tue Jun 02 00:49:33 +0000 2020,PS if you d like to help . text FLOYD to 55156 and donate to organizations like BlackLivesMatter if you are able to. God Bless You ALL TheShowMustBePaused,6.65,6.2,7.5,74.69,2,8.98,6th and 7th grade
Tue Jun 02 00:49:33 +0000 2020,To start I will be participating in BlackoutTuesday tomorrow .. I won t be posting on social media and I ask you all to do the same. We should use the time away from our devices to focus on what we can do to make the world a better place . for ALL of us,6.6,6.7,5.1,78.89,3,3.77,6th and 7th grade
Tue Jun 02 00:49:32 +0000 2020,What the world needs now is love my heart breaks for my friends in the black community . and for everything going on in our country. Right now I think we all should do what we can to listen . learn do better . and use our voices for good. Photo Credit danicagim,6.04,6.3,6.6,79.9,3,6.09,6th and 7th grade
Fri May 29 04:14:16 +0000 2020,Repurposed this since we didn t use it You folks wanted a new album cover .. ta da there you go What was requested next is out now .. I hope you turn MoodRing up sooooooo loud,6.31,6.6,6.0,79.09,2,4.81,6th and 7th grade
Tue May 19 20:43:03 +0000 2020,Number ONE Thank you . what an honor,0.35,3.7,1.6,81.29,1,3.26,2nd and 3rd grade
Sat May 16 17:45:55 +0000 2020,Hey .. I received your gift. I know it s been 20 years since we met on Mars and I just wanted to say .. aww you shouldn t have Have fun up there,5.42,3.6,2.9,97.54,2,1.62,3rd and 4th grade
Sat May 16 16:51:51 +0000 2020,20 years since the Oops album . the anticipation and the butterflies I felt before it came out were crazy . all of my expectations were exceeded And it s all thanks to you folks . thank you for sticking with me and growing with me. I am one Lucky girl .,7.13,10.3,10.4,64.04,2,6.8,6th and 7th grade
Wed May 13 23:43:20 +0000 2020,Smiling for my haters,7.78,1.3,1.8,92.8,1,2.9,1st and 2nd grade
Sat May 09 00:53:57 +0000 2020,You asked for a new Glory cover and since it went to number one we had to make it happen Couldn t have done it without you all,1.39,9.5,9.2,76.9,1,3.55,9th and 10th grade
Tue May 05 01:29:42 +0000 2020,Happy B day mamma Dear God we ve shared the best laughs known to mankind ... I don t care I will say it .... I Fucking love ya And I won t say the F word anymore ughhhhh,5.53,3.4,1.4,92.83,3,1.26,5th and 6th grade
Sun May 03 23:26:48 +0000 2020,I m having the best day ever .... THANK YOU,0.45,3.3,0.9,87.72,1,0.26,3rd and 4th grade
Tue Apr 07 21:51:08 +0000 2020,Enough said and thank you to all of the healthcare workers tirelessly working to keep us safe during this time WorldHealthDay ThanksHealthHeroes,9.03,9.5,15.9,66.07,1,15.14,9th and 10th grade
Sat Mar 28 01:08:30 +0000 2020,Oops how did 20 years go by so fast I can t believe it. I remember that red suit was so freaking hot but the dance was fun and it made the shoot fly by You have all shown so much support for this song amp I thank you for it sending love to you all,5.87,8.3,8.7,85.36,2,2.79,8th and 9th grade
Fri Mar 27 22:37:13 +0000 2020,Happy Birthday You are one of the main reasons I started singing ... your Butterfly album never gets old even after 20 years it s simply a classic and I will be listening to it today as I work out in the gym Have a wonderful birthday God bless.,7.99,19.6,21.8,39.68,1,6.81,19th and 20th grade
Sat Feb 01 01:28:26 +0000 2020,"Listen to the new and remix of Toxic, released today in celebration of the opening of",8.38,8.4,7.2,63.7,1,7.42,7th and 8th grade
Sat Nov 02 17:12:56 +0000 2019,Coming soon I can t wait to see all of the pics you guys take at .... it s going to be so fun Hope you re having a happy Saturday so far friends,1.64,11.4,10.9,71.82,1,2.1,10th and 11th grade
Fri Nov 01 20:25:56 +0000 2019,OMG this looks so cool I can t wait to see it,0.6,0.9,-2.2,110.06,1,-1.76,0th and 1st grade
Fri Aug 23 02:05:19 +0000 2019,The flowers outside my bookstore,10.2,5.2,7.4,66.4,1,10.76,1st and 2nd grade
Tue Aug 20 22:23:57 +0000 2019,"My daddy loves Mitch, and and we both can t wait to see this movie. Congrats to everyone involved It opens Sept 12",5.58,3.1,3.2,93.64,2,4.21,4th and 5th grade
Sat May 04 00:43:51 +0000 2019,photo credit,19.53,8.8,5.5,35.61,1,1.3,-1th and 0th grade
Sat Jan 12 18:17:31 +0000 2019,"Can you believe that this album was released 20 years ago today I can t. It s been the journey of a lifetime, but I m grateful for every moment. Getting to know you all over the years has been such an incredible experience. Thank you for all your support BabyOneMoreTime20",6.44,5.9,5.4,75.4,4,6.6,6th and 7th grade
Fri Jan 04 17:09:32 +0000 2019,"I appreciate your prayers and support for my family during this time. Thank you, and love you all always.",5.77,4.6,4.9,78.75,2,6.58,4th and 5th grade
Fri Jan 04 17:09:32 +0000 2019,I had to make the difficult decision to put my full focus and energy on my family at this time. I hope you all can understand. More information on ticket refunds is available on,7.45,6.5,4.2,68.47,3,5.78,6th and 7th grade
Fri Jan 04 17:09:32 +0000 2019,"However, it s important to always put your family first and that s the decision I had to make. A couple of months ago, my father was hospitalized and almost died. We re all so grateful that he came out of it alive, but he still has a long road ahead of him.",5.41,6.7,5.6,78.89,3,4.17,10th and 11th grade
Fri Jan 04 17:09:31 +0000 2019,"I don t even know where to start with this, because this is so tough for me to say. I will not be performing my new show Domination. I ve been looking forward to this show and seeing all of you this year, so doing this breaks my heart.",5.73,4.9,4.7,88.77,3,3.94,7th and 8th grade
Sun Dec 30 19:22:12 +0000 2018,Can t wait to see you in Vegas,6.01,0.5,-4.0,105.66,1,-2.95,2nd and 3rd grade
Sat Dec 29 18:01:11 +0000 2018,See you in Vegas,7.78,1.3,-4.2,92.8,1,-4.36,0th and 1st grade
Wed Dec 26 19:52:32 +0000 2018,Happy early birthday Can't wait to celebrate with you,5.84,6.8,6.6,62.34,1,9.31,6th and 7th grade
Wed Dec 26 19:50:43 +0000 2018,See you all in Vegas,7.04,0.5,-4.0,100.24,1,-3.17,1st and 2nd grade
Wed Dec 26 19:47:45 +0000 2018,Aw is so sweet Can't wait to see you all in Vegas,5.55,2.1,-0.6,101.6,1,-0.31,-1th and 0th grade
Tue Dec 25 17:49:32 +0000 2018,I hope everyone has a very very merry Christmas today. Celebrate and be grateful for all the good things you have in your life. I love you all,1.03,3.4,2.6,87.42,3,4.38,2nd and 3rd grade
Fri Dec 21 17:46:35 +0000 2018,Choose your own identity and desires MyPrerogative,10.75,9.6,11.7,38.99,1,16.54,11th and 12th grade
Thu Dec 20 17:55:01 +0000 2018,This is one of the most exquisite things I ve ever seen Sister Golden Shop,5.43,5.6,4.9,81.63,1,5.33,5th and 6th grade
Thu Dec 20 01:54:02 +0000 2018,Excited to get back on stage in Vegas BritneyDomination,7.59,10.3,7.7,36.96,1,11.22,7th and 8th grade
Wed Dec 19 01:18:00 +0000 2018,Love wearing my favorite 3D shoes during the holidays,7.59,6.8,6.6,62.34,1,9.94,6th and 7th grade
Tue Dec 18 20:32:41 +0000 2018,Working hard and having some fun in rehearsals with these amazing mates BritneyDomination,9.14,9.5,13.0,49.82,1,16.17,9th and 10th grade
Tue Dec 18 18:01:41 +0000 2018,Bold. Provocative. Desirable. That s the scent of MyPrerogative,9.35,8.0,11.8,53.88,1,14.47,11th and 12th grade
Mon Dec 17 18:13:33 +0000 2018,"Here s another little throwback to celebrate BabyOneMoreTime20 On this day in 1999, the official video for From the Bottom of My Broken Heart premiered Baby One More Time limited edition picture disc vinyl is out now",8.89,16.5,20.0,42.38,1,11.38,19th and 20th grade
Thu Dec 13 00:55:36 +0000 2018,Joy to the world,0.2,-2.3,-4.2,118.18,1,-4.36,-1th and 0th grade
Wed Dec 12 22:16:40 +0000 2018,I was freaking hungry,7.78,3.7,1.8,75.88,1,2.9,1st and 2nd grade
