created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sun Jul 26 23:31:58 +0000 2020,Magical moments captured by me The First Thing You See Bruno Major,8.18,5.6,6.1,76.22,1,8.4,5th and 6th grade
Sun Jul 26 02:30:26 +0000 2020,YALL DON T RUIN PLL FOR ME PLS,6.01,0.5,-4.0,105.66,1,-2.95,2nd and 3rd grade
Sun Jul 26 00:24:37 +0000 2020,"No babe, THE TEA",0.2,-2.3,-4.2,118.18,1,-5.81,-1th and 0th grade
Sun Jul 26 00:22:20 +0000 2020,You honestly just wanna use the term receipts again,9.35,4.4,5.6,79.26,1,8.67,8th and 9th grade
Sun Jul 26 00:21:43 +0000 2020,HAHAHAHAHAHA,19.48,55.6,35.6,-301.79,1,24.2,55th and 56th grade
Sun Jul 26 00:21:14 +0000 2020,just followed my Fianc on Twitter... let s just say when I take a twitter break I mean it,7.07,6.0,5.7,86.03,1,3.48,5th and 6th grade
Fri Jul 24 18:53:21 +0000 2020,Feeling so grateful so I wrote something...,6.24,3.7,7.0,81.29,1,8.24,2nd and 3rd grade
Fri Jul 24 18:52:53 +0000 2020,took this after telling me to close my eyes on the way to propose to me Love you honey..,5.41,6.0,5.4,86.03,1,3.48,5th and 6th grade
Thu Jul 23 14:48:26 +0000 2020,My partner. Here s to our future Ps. THANK YOU FOR HIDING BEHIND ROCKS AND CAPTURING THE ENTIRE THING I love you boo,6.95,4.2,3.6,85.18,2,4.74,4th and 5th grade
Thu Jul 23 14:48:26 +0000 2020,You never pressure me to be anything other than myself.And you make me want to be the best version of myself. I m honored to accept your hand in marriage. I love you more than a caption could express but I m ecstatic to start a family and life with you. I love you forever my baby,6.56,5.3,4.2,82.34,4,4.52,6th and 7th grade
Thu Jul 23 14:48:25 +0000 2020,else s partner. I knew I loved you the moment I met you. It was something I can t describe to anyone who hasn t experienced it firsthand but luckily you did too.. I ve never felt so unconditionally loved by someone in my life other than my parents flaws and all,5.8,6.0,4.1,75.2,4,4.8,5th and 6th grade
Thu Jul 23 14:48:23 +0000 2020,"When I was a little girl, my birth dad always called me his little partner something that might ve sounded strange without his southern cowboy like accent. To me it made perfect sense. And today that word makes perfect sense again but today I m officially going to be someone",5.73,7.4,8.2,71.44,3,8.29,7th and 8th grade
Tue Jul 21 19:01:17 +0000 2020,Do NOT pretend to know about someone s mental illness if you do not personally know them. Check yourself.,7.9,8.3,9.6,69.11,1,8.65,7th and 8th grade
