created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jul 17 10:34:26 +0000 2020,Aur for the last 1 year amp 6 months Dono ghar pe hain...,0.64,1.3,1.4,109.04,1,0.57,0th and 1st grade
Fri Jul 03 09:07:02 +0000 2020,"My first genuine teacher in the film industry. She taught me for hours how to do the dip for film dancing. One of the most caring, loving amp inspiring persona i have ever met. Will miss you Sarojji. May Allah bless her soul. Thank u for looking after me.",6.94,2.9,2.5,88.53,6,4.31,2nd and 3rd grade
Sun Jun 28 06:33:47 +0000 2020,28 years and counting... and thank u for capturing this moment.,7.05,5.2,6.8,77.23,1,7.35,6th and 7th grade
Sun Jun 28 06:33:16 +0000 2020,Don t know when my passion became my purpose and then turned into my profession. Thank u all for so many years of allowing me to entertain you. More than my professionalism I believe my passionalism will see me through many more years of service to all of you.,6.7,7.3,7.1,71.85,3,7.19,6th and 7th grade
Sun Jun 14 11:23:41 +0000 2020,"He loved me so much...I will miss him so much. His energy, enthusiasm and his full happy smile. May Allah bless his soul and my condolences to his near and dear ones. This is extremely sad....and so shocking",6.6,3.5,4.4,87.21,4,5.19,4th and 5th grade
Mon Jun 01 11:09:08 +0000 2020,Thank you all for getting us in touch with the little one. We all pray he finds strength to deal with the most unfortunate loss of a parent. I know how it feels...Our love and support is with you baby.,5.48,3.8,4.3,91.82,3,4.45,5th and 6th grade
Fri May 29 10:09:05 +0000 2020,"Kolkata, with unity comes strength and resilience. Let s get through this together and help out those affected by Amphan.",7.29,4.8,7.6,78.25,2,9.95,4th and 5th grade
Tue May 26 09:16:51 +0000 2020,All my career my friend colleague and absolutely madly talented is the one person who I have always looked upto and have learnt my craft from. What a lovely voice amp how beautiful is she Awesome.,7.6,8.0,8.6,70.13,2,8.06,7th and 8th grade
Mon May 25 18:39:38 +0000 2020,"May the blessings of Allah see us through these times. In the end, it s Faith that keeps us going... Eid Mubarak to all. May He shower all with love, peace and prosperity always.",5.45,1.9,2.9,96.69,4,4.02,4th and 5th grade
Fri May 22 11:06:39 +0000 2020,"My prayers, thoughts amp love to those affected by the devastation caused by cyclone Amphan in Bengal amp Odisha. The news has left me feeling hollow. Each amp everyone of them is my own. Like my family. We must stay strong through these testing times until we can smile together again.",6.31,4.9,5.5,78.04,5,7.4,5th and 6th grade
Fri May 15 18:36:20 +0000 2020,Lockdown lessons...,11.63,2.9,22.0,77.91,1,12.9,-1th and 0th grade
Fri May 15 17:45:04 +0000 2020,"We all started the journey of making films with Dreamz Unlimited. Abhijeet was my most resilient amp solid ally. V did some good, some wrong but always believed v will sail through because strong team members like him were there to look after the rest of us. Will miss u my friend.",6.71,4.8,5.9,83.66,4,6.95,6th and 7th grade
Thu May 14 10:22:32 +0000 2020,Let s support the brave health officials and medical teams that are leading the fight against the coronavirus by contributing towards supplies and personal protective equipment PPE . A little help can go a long way.,9.02,8.9,11.5,62.17,2,11.95,11th and 12th grade
Thu May 14 07:23:57 +0000 2020,"Watch the Dil Se Shukriya concert 14th May 2020, 7 PM onwards. Organised by the this virtual concert is to express gratitude to the Corona Warriors who are working at all times to ensure that we remain safe. DilSeShukriya",9.06,8.5,10.4,68.6,2,9.52,8th and 9th grade
Sun May 10 14:27:53 +0000 2020,"I stand in solidarity with Maharashtra police Thank u to for relentless efforts in the face of this adversity. Very grateful to doctors, medical staff, health workers who are leading the fight against the virus on the frontlines.",8.73,10.7,11.9,52.19,2,11.43,11th and 12th grade
Sat May 09 12:19:40 +0000 2020,"Since we ve all got a bit of time on our hands in quarantine, thought I can get us all to work a bit... in a fun, creative and... spooky way SpookSRK Read on for more details.",7.18,11.8,14.8,76.22,1,3.67,11th and 12th grade
Fri May 08 10:47:12 +0000 2020,. collaborated with HADCO Ltd. to 'Do the Knight thing' amp distribute as many as 1k food hampers to the needy who are struggling because of the lockdown in Trinidad amp Tobago. Proud of u my boys,7.6,8.0,8.5,70.13,2,7.42,7th and 8th grade
Fri May 08 06:10:53 +0000 2020,"How far would you go to battle the demons within Our second web series, Betaal, a horror thriller, releases May 24, PatrickGraham SKGlobal",9.58,11.1,13.8,56.59,1,11.26,9th and 10th grade
Wed May 06 08:18:29 +0000 2020,Saw the film when it was doing Festival rounds and it touched a chord with the whole team at Am so moved you appreciate. It s a sad truth that character actors get forgotten. Look after yourself my friend and be safe amp healthy,6.16,5.5,5.7,81.93,3,6.26,5th and 6th grade
Sun May 03 20:55:11 +0000 2020,"Extremely grateful to IforIndia, amp for music, lyrics amp for working overnight. Thanks Sunil for the edit. All so that I could sing. Ab bhai,lockdown mein mujhe gaate hue bhi jhelna padhega. AbRam is saying 'papa enough now Par Sab Sahi Ho Jaayega",7.37,3.1,5.5,88.13,5,7.5,5th and 6th grade
Sun May 03 04:14:35 +0000 2020,"Happy to participate in IForIndia... a concert to raise funds for those affected by Covid 19. Sunday, 3rd May, 7 30 PM IST. Concert dekhiye aur yaad rakhiye... Sab Sahi Ho Jayega. Watch it LIVE here",5.31,2.6,3.5,89.55,5,4.53,2nd and 3rd grade
Thu Apr 30 16:36:04 +0000 2020,Heartfelt condolences to the Kapoor khandaan. May Allah give you all the strength to deal with your loss.,7.59,3.3,6.1,87.72,2,8.67,5th and 6th grade
Wed Apr 29 09:28:47 +0000 2020,"My friend...inspiration amp the greatest actor of our times. Allah bless your soul Irrfan bhai...will miss you as much as cherish the fact that you were part of our lives. , , Love u",7.39,6.0,8.5,80.62,2,7.6,7th and 8th grade
Mon Apr 20 11:20:48 +0000 2020,Thank you all for AskSrk Need to get back to doing nothing. Please stay at home. Physical distancing. Hygiene. And respect all who r doing amazing work on ground. Just Love a lot more and do nothing...because Jo kuch nahi karte woh kamaal karte hain..,6.65,4.2,5.9,85.39,4,6.94,5th and 6th grade
Mon Apr 20 11:15:06 +0000 2020,I paid lots of attention to my teachers growing up...,7.29,4.8,4.3,78.25,1,5.02,4th and 5th grade
Mon Apr 20 11:14:07 +0000 2020,Medium ko jawaab hi nahi deta...sirf Maximum ko deta hoon.,8.87,6.0,6.6,69.79,1,7.34,7th and 8th grade
Mon Apr 20 11:12:40 +0000 2020,Yeah I should copy paste them again na,0.4,-0.8,0.8,114.12,1,2.86,2nd and 3rd grade
Mon Apr 20 11:11:26 +0000 2020,God was wondering when someone will ask me this pertinent question Black.,6.86,6.8,8.9,67.76,1,11.3,6th and 7th grade
Mon Apr 20 11:09:55 +0000 2020,Wow both are awesome and I have met them...but Raju apna sa lagta hai...nahi,8.84,6.4,6.8,74.19,1,5.73,5th and 6th grade
Mon Apr 20 11:04:51 +0000 2020,Bhai kamaal ka Single aur Singer hai...,6.24,2.5,4.3,89.75,1,4.94,2nd and 3rd grade
Mon Apr 20 11:03:43 +0000 2020,Really...khajanchi hai kya,9.05,9.2,17.8,34.59,1,15.03,1st and 2nd grade
Mon Apr 20 11:02:17 +0000 2020,Bhai social aur physical distancing mein...Mass ki baat mat bol please...will do everything don t worry.,7.39,9.5,12.8,55.24,1,12.18,9th and 10th grade
Mon Apr 20 11:00:35 +0000 2020,Yeah I remember Tom Cruise saying the same... you complete me..,7.05,5.2,6.8,77.23,1,6.82,6th and 7th grade
Mon Apr 20 10:58:59 +0000 2020,Sabr ka phal acchha hi hota hai...mostly.,8.5,6.0,5.6,64.37,1,5.75,5th and 6th grade
Mon Apr 20 10:57:44 +0000 2020,God bless her. She is very pretty.,0.17,-1.3,-0.9,110.22,2,-2.88,-1th and 0th grade
Mon Apr 20 10:56:24 +0000 2020,I think we will all have to press Pause...Reset and then Play our worlds going forward.,5.42,4.8,7.8,89.08,1,7.07,6th and 7th grade
Mon Apr 20 10:54:42 +0000 2020,Yaar yehi pehle aap...pehle aap mein pista jaa raha hoon...kya karoon.,7.05,2.9,9.7,94.15,1,9.49,4th and 5th grade
Mon Apr 20 10:53:25 +0000 2020,Most of last year...,0.2,-2.3,0.6,118.18,1,-2.91,0th and 1st grade
Mon Apr 20 10:51:06 +0000 2020,Wouldn t know....try asking a superstar. I am just a King unfortunately...,7.88,5.6,6.3,65.39,2,5.73,5th and 6th grade
Mon Apr 20 10:49:35 +0000 2020,Will tell her Hi when she comes in my dreams tonight.,0.55,0.5,2.5,111.07,1,3.69,0th and 1st grade
Mon Apr 20 10:43:44 +0000 2020,Don t tire yourself. It s obvious I will do some films...it s obvious they will be made..and it s obvious you all will know.,1.25,5.8,3.7,75.71,2,3.41,6th and 7th grade
Mon Apr 20 10:42:04 +0000 2020,Is it alright if I can forward the scripts to you also. Don t stress will do lots of films my man.,1.26,1.7,0.6,102.61,2,1.31,1st and 2nd grade
Mon Apr 20 10:40:22 +0000 2020,Hope we overcome the virus...faster than the number of movies I have done. Insha Allah,7.54,5.6,8.7,81.63,1,8.4,5th and 6th grade
Mon Apr 20 10:36:09 +0000 2020,That we all need to slow down a bit. Look and feel life and nature a bit more than just seeking instant gratification 24 7,6.15,4.6,3.3,84.17,2,4.34,5th and 6th grade
Mon Apr 20 10:34:33 +0000 2020,Damn couldn t tell which characters at all. Ha ha really cool thank you,5.11,2.5,1.6,89.75,2,3.66,5th and 6th grade
Mon Apr 20 10:33:23 +0000 2020,All the best to everyone appearing for exams as and when.,7.05,6.4,4.2,68.77,1,5.78,6th and 7th grade
Mon Apr 20 10:32:52 +0000 2020,Abe sign to kar doon...abhi shooting kaun karega,9.95,5.2,6.7,71.82,1,7.9,6th and 7th grade
Mon Apr 20 10:29:28 +0000 2020,Eh...you are looking for answers in the wrong place my friend. Best of luck with your endeavour.,6.84,3.1,5.0,88.23,2,6.23,5th and 6th grade
Mon Apr 20 10:28:03 +0000 2020,".. , ,",0.0,-15.7,0.0,206.84,1,-15.81,-1th and 0th grade
Mon Apr 20 10:24:59 +0000 2020,"Inspite of contributing to the population boom, having three kids to be with is a treat. They r in all shapes and sizes, so the day goes by being with them each for a couple of hours. Then spend rest of the day cleaning up their toys",6.1,4.7,5.2,89.38,3,4.99,7th and 8th grade
Mon Apr 20 10:19:20 +0000 2020,Ok it s a good idea. Let s do AskSRK but not too long please because I have to go and do....nothing...for a bit before I do some more of it later. Let s begin...please use the hashtag.,5.1,3.5,3.1,92.42,3,2.31,5th and 6th grade
