created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 06 21:29:15 +0000 2020,"When we protest racism in America, people think we are protesting America itself. Why is that the reaction Because America was built by men who believed in and benefitted from racism. Plain and simple. If we plan to move forward, these confederate monuments must come down.",6.27,6.6,7.7,68.26,4,9.55,6th and 7th grade
Mon Jun 08 18:42:01 +0000 2020,ARREST THE COPS THAT KILLED BREONNATAYLOR. And outlaw no knock warrants in every state right after that.,6.84,5.4,7.2,71.31,2,10.0,6th and 7th grade
Sat May 30 22:06:03 +0000 2020,Please join me in supporting the Minneapolis protestors by donating to the The freedom fund is combatting the harms of incarceration by paying bail for low income individuals who cannot otherwise afford,9.66,18.1,19.7,22.08,1,14.28,-1th and 0th grade
Thu May 07 05:40:52 +0000 2020,"If you re not outraged, you should be. Justice for AhmaudArbery.",8.22,4.3,4.4,74.35,2,5.78,5th and 6th grade
Fri May 01 02:16:19 +0000 2020,"Spring Summer 2020. Thanks for this, Internet.",6.07,2.3,7.2,84.84,2,6.3,6th and 7th grade
Thu Apr 30 01:15:37 +0000 2020,Made a playlist of some stuff I m listening to right now,5.55,3.3,2.2,93.14,1,3.58,5th and 6th grade
Sun Apr 12 00:53:39 +0000 2020,my new movie TrollsWorldTour came out yesterday...and now it's time for our online SocialDistancing party. here's my thanks to for setting this up. TheOtherSide,7.46,11.5,17.5,55.58,1,14.45,11th and 12th grade
Fri Apr 10 22:09:44 +0000 2020,FBF... also me rn. I m sorry you re welcome. HAPPY TROLLS DAY Who s watching,4.89,1.8,-0.9,91.48,3,-1.13,1st and 2nd grade
Fri Apr 10 17:10:32 +0000 2020,Yeeeeah,0.05,-3.5,12.0,121.22,1,-4.81,-1th and 0th grade
Thu Apr 09 18:40:34 +0000 2020,Doot Doola Doot Doo,0.2,-2.3,-0.7,118.18,1,0.0,-1th and 0th grade
Thu Apr 09 18:26:56 +0000 2020,I m not sure why I did this and I ma let y all finish but I didn t touch that water or that milk once and I would like this to go down as one of the finest athletic performances of ALL TIME. hotones,6.92,16.1,17.2,59.64,1,3.33,16th and 17th grade
Thu Apr 09 17:45:10 +0000 2020,Everything you need know about the making of the TrollsWorldTour soundtrack coming up in 15 minutes on Listen at,7.07,8.3,11.4,69.11,1,11.43,7th and 8th grade
Mon Apr 06 15:02:56 +0000 2020,DON T SLACK,0.15,-2.7,-5.9,119.19,1,-8.18,0th and 1st grade
Sun Apr 05 20:11:03 +0000 2020,"On set for DON T SLACK, playing everything but DON T SLACK Just tryin to bring some joy.... Video is finally out tomorrow Ps I know Anna s in pajamas, but this was filmed pre social distancing",6.69,8.1,7.7,69.62,2,6.21,7th and 8th grade
Sat Apr 04 19:00:02 +0000 2020,Ask me anything... I'm answering one week from today. with amp,5.34,3.1,3.6,82.81,2,3.64,3rd and 4th grade
Sun Mar 29 00:02:42 +0000 2020,TrollsWorldTour comes out 4 10... and I ll be on doing an when it releases. Send your questions here,7.43,3.5,3.7,87.21,2,4.78,3rd and 4th grade
Sun Mar 15 16:47:26 +0000 2020,"Link below if you're looking for ways to donate or volunteer in your own community. Stay healthy, stay calm, and help everyone stay fed. Spread the word.",6.42,4.4,5.2,79.26,3,6.93,6th and 7th grade
Wed Mar 11 17:00:46 +0000 2020,". you re the kindest, sweetest, most generous, and most love spreading. ALSO, you got moves ... Spread some love . Tweet a compliment to a friend using TrollingForGood and will donate 1 per tweet to up to 50K.",7.59,4.4,5.4,79.26,4,6.7,6th and 7th grade
Wed Mar 11 05:39:09 +0000 2020,NewMusicDaily,19.48,43.8,40.3,-217.19,1,30.0,43rd and 44th grade
Tue Mar 10 16:01:20 +0000 2020,We made a song DON T SLACK for TrollsWorldTour is out right now...,5.5,2.5,4.6,100.58,1,4.57,4th and 5th grade
Fri Mar 06 19:55:25 +0000 2020,tinydiamond,19.48,32.0,30.9,-132.59,1,18.4,31st and 32nd grade
Thu Mar 05 20:46:01 +0000 2020,"Devastated for this city so many of my friends and family call home. But Tennesseans are some of the strongest people out there, and I know we ll stick together and rebuild. Join me in supporting and donating to this incredible community while it recovers. NASHVILLESTRONG",7.48,8.1,9.5,64.41,3,10.26,9th and 10th grade
Mon Mar 02 17:21:55 +0000 2020,Turn up to The Other Side from Trolls World Tour on,0.55,1.7,1.6,102.61,1,3.17,1st and 2nd grade
Fri Feb 28 04:25:07 +0000 2020,Samoas vs Thin Mints... FOOD FOR THOUGHT.,0.17,-2.5,3.9,118.68,2,1.31,0th and 1st grade
Wed Feb 26 17:07:31 +0000 2020,The Other Side is officially out and I m SO excited for you to hear the World Premiere of my new song with on,6.14,9.1,7.4,72.5,1,3.78,6th and 7th grade
Wed Feb 26 16:17:12 +0000 2020,TURN THIS UP,0.15,-2.7,-4.3,119.19,1,-6.26,0th and 1st grade
Wed Feb 26 15:42:44 +0000 2020,countdown 11am EST,9.05,0.9,5.2,93.81,1,5.35,0th and 1st grade
Wed Feb 26 11:05:45 +0000 2020,THE OTHER SIDE OUT NOW Video dropping 8am PT 11am ET,5.62,2.9,2.1,94.15,1,3.69,4th and 5th grade
Fri Feb 21 15:07:02 +0000 2020,believechallenge,19.48,20.2,54.4,-47.99,1,47.4,19th and 20th grade
Tue Feb 18 15:59:51 +0000 2020,TROLLSWORLDTOUR Volume up,14.31,5.6,16.2,59.97,1,18.92,0th and 1st grade
Thu Feb 13 15:07:51 +0000 2020,"That s a long list. I wanted to show it to you guys before anyone else, so HERE YOU GO. TrollsWorldTour is coming very very soon",5.28,2.0,1.6,96.48,3,2.98,2nd and 3rd grade
Thu Feb 13 15:07:06 +0000 2020,TrollsWorldTour,19.48,8.4,49.7,36.62,1,41.6,-1th and 0th grade
Sat Feb 08 18:31:53 +0000 2020,Well played.,0.1,-3.1,5.5,120.21,1,-1.61,-1th and 0th grade
Sat Feb 08 17:46:50 +0000 2020,Yep,0.05,-3.5,-6.9,121.22,1,-28.01,-1th and 0th grade
Sat Feb 08 17:45:22 +0000 2020,I wanna know. Tell us what you Believe in. Retweeting you too.,6.47,1.3,0.6,92.8,3,0.0,0th and 1st grade
Sat Feb 08 17:41:34 +0000 2020,"I Believe in the power of music and how it can bring people together. I Believe in working hard. And, I Believe in whoever is reading this right now Dream big",5.17,4.9,3.2,77.94,3,4.61,4th and 5th grade
Fri Feb 07 20:39:00 +0000 2020,BELIEVE,0.05,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Fri Feb 07 05:57:04 +0000 2020,.,0.0,-15.7,0.0,206.84,1,-15.81,-1th and 0th grade
Mon Dec 30 18:37:28 +0000 2019,What a year. Happy birthday,0.25,2.9,2.7,83.32,1,3.8,2nd and 3rd grade
Thu Nov 14 14:59:50 +0000 2019,TrollsWorldTour New trailer drops in ONE HOUR,8.5,2.5,8.3,89.75,1,12.36,2nd and 3rd grade
