created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jul 03 16:20:20 +0000 2020,. and I had a vision for this project and made it a reality. Thank you God for opening the right doors Thank you to everyone else who made this project a reality,5.91,6.0,5.6,80.62,2,5.45,5th and 6th grade
Sat Jun 27 19:25:23 +0000 2020,Thanks for answering the call . I m a proud Canadian. Look forward to performance today,7.04,5.2,3.7,66.4,3,5.37,8th and 9th grade
Sat Jun 27 17:59:02 +0000 2020,GlobalGoalUnite concert 2pm est,11.73,13.1,13.5,8.2,1,17.4,11th and 12th grade
Fri Jun 26 14:36:14 +0000 2020,My big brother just dropped Icry Proceeds from the record will be donated to in support of Black owned businesses. Also watch his performance Sat during GlobalGoalUnite concert. usher icry blacklivesmatter,8.99,9.3,12.9,55.74,2,14.79,12th and 13th grade
Fri Jun 26 14:34:12 +0000 2020,Happy birthday,0.1,8.8,10.2,35.61,1,7.1,-1th and 0th grade
Tue Jun 23 00:16:41 +0000 2020,"I m joining the GlobalGoalUnite for Our Future concert on June 27th to combat the disproportionate impact COVID 19 has on communities of color and call on world leaders to make testing, treatments amp vaccines available to everyone everywhere",10.83,19.7,22.7,23.43,1,13.53,19th and 20th grade
Mon Jun 22 00:59:48 +0000 2020,Every claim of sexual abuse should be taken very seriously and this is why my response was needed. However this story is factually impossible and that is why I will be working with twitter and authorities to take legal action.,8.58,11.1,10.6,51.18,2,9.57,10th and 11th grade
Mon Jun 22 00:57:13 +0000 2020,I won t be using mike lowery anymore as an alias,8.49,4.0,0.3,85.69,1,1.55,3rd and 4th grade
Mon Jun 22 00:56:50 +0000 2020,On march 10th selena left for work and I stayed at the Westin as the receipts clearly showed with my friends nick and john before I left town. Once again not at the four seasons. We booked it for a couple days to stay for the defjam show but I bailed on the 11th to head back home,6.5,6.1,6.3,85.73,3,4.82,6th and 7th grade
Mon Jun 22 00:45:47 +0000 2020,The Pics I showed of me and Selena march 9 in Austin should make it clear that we were together that night and went from the venue to our Airbnb and never went to the four seasons. This is our airbnb receipt where we crashed with our friends,5.81,6.8,9.6,89.42,2,6.33,5th and 6th grade
Mon Jun 22 00:34:27 +0000 2020,We have also confirmed with the Four Seasons regional manager that I was never on property on the 9th of March 2014 and never a guest on the 9th or the 10th and I welcome all press to inquire with them if needed or wanted.,8.32,17.3,19.7,51.18,1,6.4,19th and 20th grade
Mon Jun 22 00:33:09 +0000 2020,Furthermore I stayed with Selena and our friends at an airbnb on the 9th and on the 10th stayed at a Westin because our hotel reservation at L Quinta and not the four seasons was messed up. Here are the receipts for the hotel on the 10th,7.15,8.9,9.4,73.0,2,6.45,8th and 9th grade
Mon Jun 22 00:31:10 +0000 2020,However I never stayed at the four seasons on the 9th or the 10th. This person put another tweet up earlier saying they saw me at the restaurant the following night not the hotel,6.34,7.6,7.1,71.14,2,7.02,7th and 8th grade
Mon Jun 22 00:30:07 +0000 2020,The other reason this story might say I was staying at the four seasons was because a tweet from 2014 on March 10th not the the 9th says they saw me there . This is that tweet,5.41,5.6,5.8,87.05,2,4.64,5th and 6th grade
Mon Jun 22 00:29:02 +0000 2020,Here is article that shows we didn t arrive in Austin that night from Selena s show in Houston until late in the night.,6.8,9.1,9.4,72.5,1,5.98,6th and 7th grade
Mon Jun 22 00:27:48 +0000 2020,These photos clearly show me on stage with my assistant sidestage and the other with both of us in the streets of Austin afterwards on March 9 2014,6.72,10.7,12.8,68.44,1,7.9,12th and 13th grade
Mon Jun 22 00:26:37 +0000 2020,This article from 2014 talks about Selena being there with me.,7.05,6.4,6.3,68.77,1,8.45,6th and 7th grade
Mon Jun 22 00:25:55 +0000 2020,As her story told I did surprise a crowd in Austin at Sxsw where I appeared on stage with my then assistant side stage and sang a few songs. What this person did not know was that I attended that show with my then gf Selena Gomez,6.15,7.7,8.6,81.46,2,5.46,5th and 6th grade
Mon Jun 22 00:24:27 +0000 2020,"In the past 24 hours a new Twitter appeared that told a story of myself involved with sexual abuse on March 9, 2014 in Austin Texas at the Four seasons hotel. I want to be clear. There is no truth to this story. In fact as I will soon show I was never present at that location.",6.01,4.1,4.0,90.8,4,4.11,6th and 7th grade
Mon Jun 22 00:19:50 +0000 2020,Rumors are rumors but sexual abuse is something I don t take lightly. I wanted to speak out right away but out of respect to so many victims who deal with these issues daily I wanted to make sure I gathered the facts before I made any statement.,7.79,9.1,10.0,72.5,2,6.68,9th and 10th grade
Mon Jun 22 00:15:42 +0000 2020,I don t normally address things as I have dealt with random accusations my entire career but after talking with my wife and team I have decided to speak up on an issue tonight.,9.04,14.2,15.4,53.89,1,7.56,14th and 15th grade
Thu Jun 18 16:08:27 +0000 2020,"This is an action that can make change In 2020, it s time to take back the power. Join us as we work to register voters across the nation MarchOnBallotBoxes",7.01,6.8,6.0,73.17,2,6.31,6th and 7th grade
Tue Jun 16 16:22:46 +0000 2020,Thanks,0.05,-3.5,7.3,121.22,1,-10.61,-1th and 0th grade
Tue Jun 16 16:17:51 +0000 2020,Wild,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Mon Jun 15 18:55:05 +0000 2020,8 years since Believe . Thanks,0.25,2.9,4.6,83.32,1,6.12,1st and 2nd grade
Mon Jun 15 18:54:35 +0000 2020,Congrats class of 2020...know it wasn t the way you expected it but this one's for you. Have fun.,6.24,6.0,7.7,86.03,1,4.99,5th and 6th grade
Thu Jun 11 19:23:21 +0000 2020,Canada. We gotta stand up for each other at home and people around the world. Join me and to help ask to commit to fight coronavirus worldwide with other nations. Take action here GlobalGoalUnite,7.91,5.3,6.7,76.93,3,8.68,6th and 7th grade
Thu Jun 11 19:09:34 +0000 2020,Changes or Forever Or....,7.78,3.7,6.5,75.88,1,2.9,6th and 7th grade
Thu Jun 11 11:41:07 +0000 2020,Thank you,0.1,-3.1,-1.7,120.21,1,-7.41,-1th and 0th grade
Thu Jun 11 11:33:31 +0000 2020,This little guy can dance. Facts,0.3,0.9,2.8,99.23,1,4.28,0th and 1st grade
Wed Jun 10 03:51:20 +0000 2020,Justin does not have reception where he is so he has asked us to post this tonight so his platform can be used to expose live voter suppression in Georgia tonight . WATCH,7.69,12.2,14.9,64.38,1,8.14,7th and 8th grade
Sat May 30 03:42:50 +0000 2020,Thank you for the conversation,7.04,5.2,5.6,66.4,1,8.44,5th and 6th grade
Sat May 30 01:50:55 +0000 2020,Live,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Sun May 24 03:37:09 +0000 2020,In these streets,0.15,-2.7,2.1,119.19,1,1.52,1st and 2nd grade
Fri May 22 16:54:54 +0000 2020,Make your own StuckwithU merch,7.04,0.5,5.6,100.24,1,8.44,1st and 2nd grade
Wed May 20 02:33:26 +0000 2020,Thank you India,9.05,0.9,0.5,93.81,1,-0.46,0th and 1st grade
Tue May 19 01:56:46 +0000 2020,Honored to support this cause,10.2,2.9,4.6,83.32,1,7.28,1st and 2nd grade
Fri May 15 17:25:30 +0000 2020,I remember performing at Capital's Summertime Ball in 2012. Tune in to BestOfCapitalSTB Saturday,8.5,11.9,10.0,22.07,2,13.64,13th and 14th grade
Fri May 15 17:24:30 +0000 2020,The newest limited edition flavor is inspired by Yummy,14.61,9.2,7.1,45.42,1,10.58,10th and 11th grade
Thu May 14 23:08:02 +0000 2020,Next 5 hours only and only a certain amount as we can t do too many lol. If we run out we run out. But we hear you and all for a great cause so let s do it. STUCKWITHU 4 new covers signed by me and all for,1.25,2.2,-0.3,101.29,4,0.04,4th and 5th grade
Thu May 14 17:14:34 +0000 2020,Heads up .,0.1,2.9,-1.7,77.91,1,-10.31,0th and 1st grade
Thu May 14 16:45:46 +0000 2020,STUCKWITHU,19.48,8.4,26.2,36.62,1,12.6,-1th and 0th grade
Thu May 14 16:04:01 +0000 2020,Who got them Limited supply so not likely to last the whole 24 hours. All for a great cause so thank you.,5.62,2.9,2.1,94.15,2,3.17,2nd and 3rd grade
Thu May 14 16:02:33 +0000 2020,Yep,0.05,-3.5,-6.9,121.22,1,-28.01,-1th and 0th grade
Thu May 14 16:01:51 +0000 2020,No idea,0.1,-3.1,-6.4,120.21,1,-13.21,-1th and 0th grade
Thu May 14 16:01:37 +0000 2020,All good,0.1,-3.1,-4.0,120.21,1,-10.31,-1th and 0th grade
Thu May 14 16:01:01 +0000 2020,You re welcome,0.15,0.9,-1.2,93.81,1,-2.38,0th and 1st grade
Thu May 14 16:00:46 +0000 2020,Hi,0.05,-3.5,-11.6,121.22,1,-33.81,-1th and 0th grade
Thu May 14 16:00:37 +0000 2020,Followed,19.48,8.4,16.8,36.62,1,1.0,-1th and 0th grade
Thu May 14 16:00:26 +0000 2020,Don t be sad,0.2,-2.3,-8.9,118.18,1,-10.16,-1th and 0th grade
Thu May 14 16:00:15 +0000 2020,Yep. That happened,9.05,0.9,5.2,93.81,1,3.43,0th and 1st grade
Thu May 14 16:00:01 +0000 2020,Love u. Bye,0.15,-2.7,-5.9,119.19,1,-10.09,0th and 1st grade
Thu May 14 15:59:50 +0000 2020,Me too,0.1,-3.1,-8.8,120.21,1,-16.11,-1th and 0th grade
Thu May 14 15:59:32 +0000 2020,Ok,0.05,-3.5,-11.6,121.22,1,-33.81,-1th and 0th grade
Thu May 14 15:57:37 +0000 2020,You are good to go,0.25,-1.9,-5.8,117.16,1,-5.49,1st and 2nd grade
Thu May 14 15:55:41 +0000 2020,Still here,0.1,-3.1,0.8,120.21,1,-4.51,-1th and 0th grade
Thu May 14 15:45:50 +0000 2020,Done,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Thu May 14 15:45:27 +0000 2020,Hi,0.05,-3.5,-11.6,121.22,1,-33.81,-1th and 0th grade
Thu May 14 15:42:59 +0000 2020,Limited time and limited cds. It ends tonight but at the rate it s going I don t know how much longer it will last today. Almost sold out. Hope that helps. All for a great cause,0.79,1.5,0.2,97.8,5,1.52,1st and 2nd grade
Thu May 14 15:41:33 +0000 2020,Thank you,0.1,-3.1,-1.7,120.21,1,-7.41,-1th and 0th grade
