created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sat Jul 04 18:04:34 +0000 2020,There s many ways to celebrate the FourthOfJuly One way is celebrating the stories of the incredible men and women who protect our freedoms every day. So proud of orlandobloom for portraying a real hero. Check out,7.54,9.3,10.3,61.16,2,10.15,9th and 10th grade
Sat Jul 04 16:29:50 +0000 2020,bb you re a firework and also BlackLivesMatter,7.98,6.4,5.6,63.36,1,8.66,7th and 8th grade
Fri Jul 03 19:44:14 +0000 2020,when I get my smile back... it s over for you hoes,0.6,0.9,-0.2,110.06,1,-0.78,0th and 1st grade
Thu Jul 02 04:39:56 +0000 2020,Thank you friend,0.15,-2.7,2.1,119.19,1,1.52,1st and 2nd grade
Wed Jul 01 18:06:55 +0000 2020,Thought it was appropriate to bring it back to my roots for this one Acoustic Daisies is out now,6.24,6.0,7.4,86.03,1,6.56,5th and 6th grade
Wed Jul 01 05:46:38 +0000 2020,The Moore the merrier,7.78,3.7,1.8,75.88,1,2.9,1st and 2nd grade
Wed Jul 01 05:39:20 +0000 2020,"love him, his strength makes me smile",0.35,-1.2,2.9,115.13,1,4.94,2nd and 3rd grade
Tue Jun 30 23:13:53 +0000 2020,Ignite the disco light amp let it shine for your 4th of July lewk dont forget that 10 from the sale of every shoe and handbag from the website will go to to support their efforts in empowering more BIPOC LGBTQ students shoesdaytuesday,9.07,16.5,21.1,53.21,1,9.53,9th and 10th grade
Tue Jun 30 07:49:40 +0000 2020,People that say they don t pick their nose are straight up LIARS,0.64,2.5,3.9,100.58,1,5.03,5th and 6th grade
Sat Jun 27 03:42:52 +0000 2020,these the deep deep trax,0.25,-1.9,-0.2,117.16,1,1.48,1st and 2nd grade
Sat Jun 27 03:34:08 +0000 2020,it can my angel,0.2,1.3,-5.4,92.8,1,-5.81,0th and 1st grade
Sat Jun 27 01:01:46 +0000 2020,Live,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Fri Jun 26 05:15:16 +0000 2020,ICYMI CANTCANCELPRIDE,19.53,14.7,26.7,-6.7,1,27.4,26th and 27th grade
Thu Jun 25 13:21:13 +0000 2020,"Lots of things are cancelled rightfully so, trust but u CANTCANCELPRIDE amp u cant cancel dance remixes w some of ya fav songs okur Grab ya hairbrush aka mop aka dance partner amp join me, and tonight at 9pm ET",7.99,14.2,18.7,64.72,1,7.79,7th and 8th grade
Tue Jun 23 18:02:32 +0000 2020,"Perfect shoe for when u wanna let ur hair down, have a few rounds amp just let go like... don t forget 10 from the sale of every shoe and handbag from the site will go to amp their efforts in empowering more BIPOC LGBTQ students shoesdaytuesday",8.32,18.1,21.9,49.15,1,7.56,7th and 8th grade
Mon Jun 22 21:01:50 +0000 2020,"The band s back together and we re doing it live LIVE live, like you can hear me mouth breathing between songs because I m THAT pregnant Save the date in ur calendars, I ll be performing on this Friday at 9pm ET",7.61,16.5,18.6,53.21,1,6.11,18th and 19th grade
Mon Jun 22 16:01:55 +0000 2020,...Told them your dancefloor dreams and... they all started dancin... Here s the remix of Daisies and catch this new vibe and much more glamour from motha on CantCancelPride this Thursday night,6.4,4.8,10.4,89.08,2,10.15,7th and 8th grade
Mon Jun 22 06:29:21 +0000 2020,babycat and I love daddy orlandobloom for his heart but of course always very proud of him and his incredibly talented contributions rolling out this summer... Retaliation is a powerful one coming July 24th Mark,7.21,10.1,11.2,53.71,2,11.25,11th and 12th grade
Fri Jun 19 00:36:26 +0000 2020,Are you watching DemocracySummer2020 I ll be on at 6 45p PT. Join us as we kick off our movement to the polls this November. Go to to both watch AND to register to vote,6.02,4.3,2.4,84.98,3,3.4,5th and 6th grade
Wed Jun 17 04:04:04 +0000 2020,i ve got to shed all this skin if I want the distance let the sun in pull out the weeds and focus my vision,6.77,7.1,6.7,88.4,1,2.27,6th and 7th grade
Wed Jun 17 00:22:52 +0000 2020,Sending love and light this ShoesdayTuesday I will be donating 10 from the sale of every shoe and handbag from in June and July to to support their efforts in empowering more BIPOC LGBTQ students,8.98,14.6,17.7,52.87,1,9.99,9th and 10th grade
Tue Jun 16 18:11:23 +0000 2020,"Very proud to be able to lift up my LGBTQ brothers and sisters this Pride month with Can t Cancel Pride Helping LGBTQ People in Need. Be sure to save the date, June 25th. CantCancelPride",6.76,5.4,7.8,87.55,2,7.13,7th and 8th grade
Mon Jun 15 19:34:43 +0000 2020,"I was like, not today Satan",6.57,2.1,-1.2,90.77,1,-0.54,1st and 2nd grade
Mon Jun 15 16:38:01 +0000 2020,"I'm excited to be a part of this kickoff to Democracy Summer 2020 with so many amazing talents, activists and speakers. The young people of America are speaking loud and clear on the streets and online, and come",7.9,8.3,9.6,69.11,2,8.65,8th and 9th grade
Sun Jun 07 17:56:29 +0000 2020,"DearClassof2020, I hope in the midst of all that is happening in the world, you can take a moment to celebrate the accomplishment of graduating. You are the future, and I know you will take everything you ve learned",7.03,8.5,9.7,68.6,2,8.47,8th and 9th grade
Fri Jun 05 22:56:07 +0000 2020,dear full moon tonight please... be... gentle...,0.35,0.1,10.3,106.67,1,7.37,-1th and 0th grade
Fri Jun 05 18:57:49 +0000 2020,I signed and it took 2 minutes Katycats go JusticeForBreonna HappyBirthdayBreonna,9.92,14.7,14.4,9.55,1,18.95,14th and 15th grade
Thu Jun 04 18:04:35 +0000 2020,"There are a lot of ways to help the movement towards justice and equality and I believe this is where we could make the most change RIGHT NOW Yesterday, campaignzero launched 8CantWait, a list of policies",8.05,13.8,18.7,60.32,1,10.22,13th and 14th grade
Tue Jun 02 07:04:03 +0000 2020,"I try to live my life to answer the question, How can I be of service I have spent the last few days watching, listening and reflecting about how to utilize my privilege and platform. I hope that BlackoutTuesday",7.03,8.5,9.2,68.6,2,8.01,8th and 9th grade
Sun May 31 00:51:53 +0000 2020,I guess you re outta your mind till it actually happens... incredible congrats to spacex astro bobbehnken and Elon on a successful launch after so many years of hard work,8.81,12.6,15.7,57.95,1,9.99,15th and 16th grade
Sat May 30 20:33:58 +0000 2020,powerful,0.05,20.2,16.8,-47.99,1,1.0,0th and 1st grade
Sat May 30 19:58:00 +0000 2020,take me with you,0.2,-2.3,-4.2,118.18,1,-4.36,-1th and 0th grade
Fri May 29 16:03:42 +0000 2020,Some of u with sharp ears caught a glimpse of this remix earlier this week Major thanks to for kicking off the first Daisies dance party of the summer... we will dance even if it s at home,6.35,13.4,16.3,66.75,1,5.87,5th and 6th grade
Fri May 29 07:23:19 +0000 2020,BLACKLIVESMATTER,19.48,32.0,54.4,-132.59,1,47.4,31st and 32nd grade
Wed May 27 22:24:06 +0000 2020,"Welp. Today s SpaceLaunchLive was BUMPED due to weather, but what s two days when spacex has been waiting for 18 years... Let s pray it s in the cards for Saturday Set your alarm for the 3 22pm EDT launch, and",1.79,6.8,7.9,84.0,2,5.11,6th and 7th grade
Wed May 27 18:10:11 +0000 2020,Going live from the on and right now SpaceLaunchLIVE,5.84,3.3,6.1,87.72,1,9.31,5th and 6th grade
Wed May 27 17:27:00 +0000 2020,12 yrs ago when I wrote a new song I d go to to work it out for an audience that wasnt Kitty Purry When invited me to do their Living Room Concert Series I took it back to where it all started Watch at 4p PT,7.98,16.9,18.2,57.61,1,3.5,16th and 17th grade
Wed May 27 14:32:32 +0000 2020,"Over the moon to be able to participate in the launch in my own, 1 in 7 billion small way. Tune in to or at 11am PT to see this historic moment GO OFF SpaceLaunchLIVE",6.31,5.4,5.1,87.55,2,3.94,5th and 6th grade
Wed May 27 06:07:32 +0000 2020,I m starting to look like shrek now just forewarning u,7.05,4.0,2.9,85.69,1,4.74,5th and 6th grade
Wed May 27 05:58:26 +0000 2020,same,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Tue May 26 22:28:27 +0000 2020,"Gather your shoe friends around and tune in to at 9 00pm ET tonight And see a sneak preview of the special set we built because when you can t go to the Q, ya build it urself ShoesdayTuesday",7.19,13.8,16.4,65.73,1,5.76,16th and 17th grade
Tue May 26 04:09:26 +0000 2020,Last week I was in a live action version of this animation created by and I m happy to reveal the next dimension of Daisies with this lyric video,8.34,12.2,12.1,58.96,1,6.69,11th and 12th grade
Mon May 25 16:37:56 +0000 2020,A picture is worth a thousand words... or maybe a few lyrics. Stay tuned tomorrow for it all to make even more sense,0.57,3.1,3.6,93.64,2,4.21,4th and 5th grade
Sun May 24 20:32:30 +0000 2020,It s been 1 week since my first TV performance of Daisies and I know a lot of y all have been curious about how we did it... here s a look at how XR studios transported me to that animated that u may or may not see again soon,7.7,18.1,20.1,54.57,1,3.68,-1th and 0th grade
Fri May 22 23:41:53 +0000 2020,"ICYMI I had the honor of kicking off the Summer Concert Series this morning from my favorite tree in my backyard For all the sleepyheads who hit snooze too many times, watch my performance of Daisies here amp check out NRO while ur at it",8.32,17.3,21.3,51.18,1,8.37,-1th and 0th grade
Fri May 22 00:48:57 +0000 2020,The show should be renamed We Have Much More Sex Than NORMAL PEOPLE,6.71,3.6,5.0,92.12,1,6.37,4th and 5th grade
Thu May 21 21:37:58 +0000 2020,". is a Santa Barbara based org coordinating with public health authorities, nonprofit organizations and businesses throughout the U.S. and globally to provide personal protective equipment and essential medical items to health workers responding to COVID 19",12.88,22.1,25.5,1.1,1,18.29,12th and 13th grade
Thu May 21 21:36:39 +0000 2020,"Are you into following the rules Daisies promo supporting a worthy charity Check out for Daisies merch, including this face mask, whose proceeds all go to",8.57,12.3,14.9,53.55,1,11.32,14th and 15th grade
Wed May 20 20:34:03 +0000 2020,When life hands you canyon sunflowers you make daisies because you still believe in magic BTS from the Daisies music video shot by globaliza,6.14,9.1,13.6,72.5,1,11.32,13th and 14th grade
Wed May 20 03:07:57 +0000 2020,I know we re all sheltering in place but if u really wanna go on a trip why don t u BAG a mushroom purse 10 of every purchase will be donated to to assist their efforts in providing essential items to those impacted by COVID 19 KatyPursey,9.64,19.6,21.3,39.68,1,6.69,19th and 20th grade
