created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jun 26 14:00:25 +0000 2020,"If you've purchased a ticket already, you'll find all of the new information in your email inbox. I can't wait to see you there Keep dancing at home in the meantime",6.44,5.8,6.7,81.12,2,6.55,6th and 7th grade
Fri Jun 26 14:00:24 +0000 2020,"The Chromatica Ball is officially moving to Summer 2021 We've been working hard to figure out the safest and soonest way to bring this show to you, but most importantly want everyone to be healthy and able to dance together at the shows as we always have.",7.65,19.3,23.0,40.69,1,9.01,-1th and 0th grade
Thu Jun 25 20:38:19 +0000 2020,"I've welcomed you into my world of Chromatica amp now I want to see what Chromatica looks like through your eyes. Use your favorite creative app and design your Chromatica. You could win 10,000 and a copy of your work signed by me LadyGagaxAdobe",6.16,6.7,7.5,73.47,3,8.23,7th and 8th grade
Thu Jun 25 04:30:11 +0000 2020,Thanks for partying at our Fundrager for Please donate Thank u,8.49,5.2,6.3,77.23,1,8.97,5th and 6th grade
Thu Jun 25 03:46:55 +0000 2020,Is me ClubQuarantine Chromatica,11.73,13.1,13.5,8.2,1,17.4,13th and 14th grade
Mon Jun 22 19:15:29 +0000 2020,Change in the music industry begins now.,8.5,6.0,5.0,64.37,1,7.37,8th and 9th grade
Fri Jun 19 23:12:48 +0000 2020,Taking the day to reflect on Juneteenth in the spirit of celebrating and making more progress. Sending my love to the Black community today as we rest upon an anniversary that is both significant and heartbreaking. We have to do more. There must be more change.,6.95,6.6,6.5,68.26,4,8.27,6th and 7th grade
Tue Jun 16 19:21:45 +0000 2020,Shop the SourCandy collection,11.73,9.6,11.2,33.58,1,14.5,11th and 12th grade
Tue Jun 16 19:21:23 +0000 2020,SourCandy lyric video out now,7.04,2.9,4.6,83.32,1,7.28,2nd and 3rd grade
Sun Jun 14 03:25:57 +0000 2020,What is happening in America right now is appalling and beyond inflammatory. I wish for everyone as much peace as possible while we witness the rotten fruits of prejudice.,7.62,8.9,9.0,56.76,2,10.32,9th and 10th grade
