created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 27 04:06:51 +0000 2020,Best wishes to Maharashtra CM Shri Uddhav Thackeray Ji on his birthday. I pray for Uddhav Ji s long and healthy life.,7.05,5.2,4.6,77.23,2,6.3,5th and 6th grade
Mon Jul 27 04:04:49 +0000 2020,Greetings to all personnel on the 82nd Raising Day of this outstanding Force. CRPF is at the forefront of keeping our nation safe. The courage and professionalism of this force are widely admired. May the CRPF achieve even greater heights in the coming years.,7.77,5.2,7.2,77.23,4,9.49,7th and 8th grade
Sun Jul 26 12:13:49 +0000 2020,"At 4 30 PM on Monday, 27th July, high throughput COVID 19 testing facilities will be launched. These high throughput testing facilities being set up in Noida, Mumbai and Kolkata will help in further ramping up our testing capacity.",7.44,9.7,11.6,60.14,2,10.68,9th and 10th grade
Sun Jul 26 10:06:01 +0000 2020,"Youngsters like Kaniga and her sister personify the spirit of New India, where success is not merely determined by the family one is born in, the school college one studied, the big city one lives in. Hardwork and perseverance gives results. India is changing. MannKiBaat",8.59,8.0,9.8,64.71,3,10.61,7th and 8th grade
Sun Jul 26 10:02:04 +0000 2020,"Mathematics, his mischievous brother and writing make Usman happy. All mathematics lovers like Usman should consider Vedic Maths classes I am sure it would be a great learning experience. MannKiBaat",8.06,9.1,12.6,56.25,2,14.2,8th and 9th grade
Sun Jul 26 10:00:00 +0000 2020,Vinayak s secret to success is hardwork and proper time management. He is also a very lucky person because he is not on social media yet. MannKiBaat,7.23,6.2,6.6,74.69,2,7.88,6th and 7th grade
Sun Jul 26 09:59:04 +0000 2020,"Meet Kritika from Haryana She aspires to become a doctor. Apart from studies, she enjoys basketball. She is also very proud of her Mother. MannKiBaat",7.21,4.2,6.3,79.97,3,8.72,6th and 7th grade
Sun Jul 26 09:57:43 +0000 2020,"A special oath taking in Suriname, thousands of miles away from India India congratulates President Chan Santokhi and wishes him the very best for his Presidential term. We are very proud of the long standing and deep rooted cultural linkages with Suriname. MannKiBaat",9.48,10.5,14.1,58.11,2,12.82,12th and 13th grade
Sun Jul 26 09:55:11 +0000 2020,India will always remember how our rural areas have shown remarkable fighting spirit in the battle against COVID 19. Here are some efforts from Jammu and Kashmir that are outstanding. MannKiBaat,8.99,8.2,11.2,64.2,2,12.76,8th and 9th grade
Sun Jul 26 09:54:22 +0000 2020,Madhubani art themed masks. Bamboo products from the Northeast. Lemongrass farming in Jharkhand. Fruit cultivation in Kutch and Ladakh. India is full of exceptional people doing exceptional things. MannKiBaat,9.37,6.7,10.7,57.13,5,14.14,6th and 7th grade
