created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Tue Jul 07 02:46:02 +0000 2020,President Trump champions American greatness in his Mount Rushmore speech.,10.45,9.6,14.2,44.41,1,18.36,9th and 10th grade
Tue Jul 07 02:32:35 +0000 2020,"The highly respected Henry Ford Health System just reported, based on a large sampling, that HYDROXYCHLOROQUINE cut the death rate in certain sick patients very significantly. The Dems disparaged it for political reasons me . Disgraceful. Act now",10.1,11.7,14.4,44.24,2,14.68,14th and 15th grade
Tue Jul 07 02:00:12 +0000 2020,"Wall is moving fast in Texas, Arizona, New Mexico and California. Great numbers at the Southern Border. Dems want people to just flow in. They want very dangerous open Borders",7.17,5.0,5.3,72.32,4,7.61,7th and 8th grade
Mon Jul 06 20:17:46 +0000 2020,"Why does the Lamestream Fake News Media REFUSE to say that China Virus deaths are down 39 , and that we now have the lowest Fatality Mortality Rate in the World. They just can t stand that we are doing so well for our Country",6.52,8.3,8.9,74.53,2,6.33,6th and 7th grade
Mon Jul 06 20:11:42 +0000 2020,"Corrupt Joe Biden and the Democrats don t want to open schools in the Fall for political reasons, not for health reasons They think it will help them in November. Wrong, the people get it",5.86,6.6,7.9,79.09,2,7.31,6th and 7th grade
Mon Jul 06 18:44:09 +0000 2020,"The Democrats would not have BANNED travel from heavily infected China, especially so early, therefore, far more people would have died. Corrupt Joe Biden now admits this",8.4,7.4,10.4,66.23,2,12.23,7th and 8th grade
Mon Jul 06 18:40:10 +0000 2020,SCHOOLS MUST OPEN IN THE FALL,0.3,-1.5,0.4,116.15,1,2.37,-1th and 0th grade
Mon Jul 06 18:36:59 +0000 2020,"...of 2,541 patients hospitalized between March 10 and May 2, 2020 across the system s six hospitals, the study found 13 of those treated with hydroxychloroquine alone died compared to 26.4 not treated with hydroxychloroquine.",8.53,15.8,21.9,44.41,1,13.82,21st and 22nd grade
Mon Jul 06 18:36:59 +0000 2020,"Treatment with hydroxychloroquine cut the death rate significantly in sick patients hospitalized with COVID 19 and without heart related side effects, according to a new study published by Henry Ford Health System. In a large scale retrospective analysis...",9.98,11.9,15.3,43.73,2,15.55,15th and 16th grade
Mon Jul 06 18:36:50 +0000 2020,"BREAKING NEWS The Mortality Rate for the China Virus in the U.S. is just about the LOWEST IN THE WORLD Also, Deaths in the U.S. are way down, a tenfold decrease since the Pandemic height and, our Economy is coming back strong .",8.35,17.3,20.3,45.77,1,8.03,19th and 20th grade
Mon Jul 06 18:24:06 +0000 2020,"Deaths from the China Virus are down 39 , while our great testing program continues to lead the World, by FAR Why isn t the Fake News reporting that Deaths are way down It is only because they are, indeed, FAKE NEWS",7.21,15.7,19.0,55.24,1,7.68,7th and 8th grade
Mon Jul 06 18:13:16 +0000 2020,"They name teams out of STRENGTH, not weakness, but now the Washington Redskins amp Cleveland Indians, two fabled sports franchises, look like they are going to be changing their names in order to be politically correct. Indians, like Elizabeth Warren, must be very angry right now",8.21,11.1,14.1,56.59,2,11.78,11th and 12th grade
Mon Jul 06 13:39:13 +0000 2020,NASDAQ HITS ALL TIME HIGH,7.04,0.5,0.9,100.24,1,2.64,0th and 1st grade
Mon Jul 06 13:31:53 +0000 2020,"This is no longer about peaceful protesting, this is about angry, violent, criminal mobs taking over certain Democrat run cities. It is a lack of political leadership in that city. Chad Wolf",7.39,8.4,10.0,63.7,2,10.32,8th and 9th grade
Mon Jul 06 13:17:46 +0000 2020,"New York City and Chicago play the Sanctuary City card, where criminals are protected. Perhaps they will have to start changing their ways and thinking .",8.05,5.8,8.9,75.71,2,10.83,6th and 7th grade
Mon Jul 06 12:33:07 +0000 2020,"Has apologized to all of those great NASCAR drivers amp officials who came to his aid, stood by his side, amp were willing to sacrifice everything for him, only to find out that the whole thing was just another HOAX That amp Flag decision has caused lowest ratings EVER",8.32,20.0,24.3,38.66,1,9.42,19th and 20th grade
Mon Jul 06 12:28:26 +0000 2020,China has caused great damage to the United States and the rest of the World,0.74,4.4,5.5,90.09,1,6.08,5th and 6th grade
Mon Jul 06 12:26:47 +0000 2020,"If you want your 401k s and Stocks, which are getting close to an all time high NASDAQ is already there , to disintegrate and disappear, vote for the Radical Left Do Nothing Democrats and Corrupt Joe Biden. Massive Tax Hikes They will make you very poor, FAST",6.82,8.9,11.6,73.0,2,8.54,8th and 9th grade
Mon Jul 06 12:13:52 +0000 2020,Statue of Frederick Douglass Torn Down in Rochester via This shows that these anarchists have no bounds,8.19,7.6,11.2,71.14,1,12.12,11th and 12th grade
Sun Jul 05 22:34:33 +0000 2020,"New China Virus Cases up because of massive testing , deaths are down, low and steady . The Fake News Media should report this and also, that new job numbers are setting records",6.95,7.0,8.4,72.66,2,8.81,6th and 7th grade
Sun Jul 05 21:29:36 +0000 2020,Democrats want to Defund amp Abolish Police. This despite poor crime numbers in cities that they run. CRAZY,7.59,3.3,6.6,87.72,2,9.31,3rd and 4th grade
Sun Jul 05 21:20:51 +0000 2020,"Chicago and New York City crime numbers are way up. 67 people shot in Chicago, 13 killed. Shootings up significantly in NYC where people are demanding that amp act now. Federal Government ready, willing and able to help, if asked",6.66,6.1,7.6,74.9,3,8.51,6th and 7th grade
Sun Jul 05 21:05:50 +0000 2020,. weekend afternoons is the worst Getting into and MSDNC territory. Watch amp instead. Much better,8.22,9.8,8.4,38.48,2,11.27,10th and 11th grade
Sun Jul 05 20:47:26 +0000 2020,". gladly puts up the phony suppression polls as soon as they come out. We are leading in the REAL polls because people are sick amp tired of watching the Democrat run cities, in all cases, falling apart. Also, now 96 Approval Rating in the Republican Party. Another 2016",7.72,8.4,8.4,63.7,3,8.41,7th and 8th grade
Sun Jul 05 05:32:20 +0000 2020,"Wow. got caught cold manipulating the words and meaning of my 4th of July Speech. They were brazen, desperate. Watch what happens",6.87,3.8,5.4,80.99,3,7.49,6th and 7th grade
Sun Jul 05 03:48:54 +0000 2020,"On this wonderful day, we celebrate our history, our heroes, our heritage, our flag, and our FREEDOM. Happy Fourth of July to Everyone SaluteToAmerica",6.86,9.2,9.5,50.84,2,11.06,9th and 10th grade
Sat Jul 04 20:19:07 +0000 2020,Will be speaking at 7 00 P.M. Thank you for all of the nice comments on the Mount Rushmore speech last night,6.34,1.7,2.7,102.61,2,3.92,3rd and 4th grade
Sat Jul 04 20:14:51 +0000 2020,Big 4th of July Air Show soon coming down the East Coast. Get ready to look up to the sky. Check local listings,5.39,1.6,0.6,97.5,3,2.28,2nd and 3rd grade
Sat Jul 04 20:03:59 +0000 2020,Would lead to disaster,7.78,3.7,2.9,75.88,1,4.35,3rd and 4th grade
Sat Jul 04 20:03:07 +0000 2020,....The Fake News Media is being laughed at all over the world,5.55,3.3,4.6,93.14,1,4.57,4th and 5th grade
Sat Jul 04 19:56:04 +0000 2020,"This would be the beginning of the end. He has no clue, but he wouldn t be calling the shots",0.5,2.5,0.8,95.17,2,1.83,0th and 1st grade
Sat Jul 04 19:52:47 +0000 2020,"...And if the Federal Government wasn t getting ready to go in, and we were all set, it would still be a squatter s anarchist s mess",6.73,10.3,10.6,69.45,1,4.71,10th and 11th grade
Sat Jul 04 18:49:57 +0000 2020,"....In a certain way, our tremendous Testing success gives the Fake News Media all they want, CASES. In the meantime, Deaths and the all important Mortality Rate goes down. You don t hear about that from the Fake News, and you never will. Anybody need any Ventilators",6.91,5.5,6.6,76.42,4,7.46,6th and 7th grade
Sat Jul 04 18:49:56 +0000 2020,"Cases, Cases, Cases If we didn t test so much and so successfully, we would have very few cases. If you test 40,000,000 people, you are going to have many cases that, without the testing like other countries , would not show up every night on the Fake Evening News.....",6.14,9.3,12.0,71.99,2,7.38,6th and 7th grade
Sat Jul 04 17:57:48 +0000 2020,Change Hearts Not Stones. There is no end to historical purification. Great historian Doug Wead,7.04,5.2,6.5,66.4,3,8.85,8th and 9th grade
Sat Jul 04 17:38:54 +0000 2020,Thank you my friend. America loves India,6.07,2.3,3.2,84.84,2,2.93,2nd and 3rd grade
Sat Jul 04 17:37:21 +0000 2020,Great,0.05,-3.5,2.6,121.22,1,-16.41,-1th and 0th grade
Sat Jul 04 17:20:00 +0000 2020,The is a very corrupt and dishonest media outlet that suffers TDS at a level rarely seen. They will lose any remaining credibility on the evening of November 3rd.,8.17,7.8,7.6,65.22,2,8.52,7th and 8th grade
Sat Jul 04 16:56:07 +0000 2020,"An amazing guy. Burgess is what we need in Washington, tough and smart",6.39,1.1,2.8,98.72,2,4.76,2nd and 3rd grade
Sat Jul 04 16:48:25 +0000 2020,"Sara, the Silent Majority will speak on NOVEMBER 3rd. You are doing a Great job amp , together with some very well known others who got it right on Russia, Russia, Russia, should get a now very discredited Pulitzer Prize. Committee should get them back from those that got it wrong",6.36,7.4,8.7,71.44,3,8.41,8th and 9th grade
Sat Jul 04 16:07:59 +0000 2020,Thank you Tammy. You have quickly become a great voice for freedom,5.25,2.1,3.1,90.77,2,5.27,1st and 2nd grade
Sat Jul 04 05:16:37 +0000 2020,Jim Banks New York Times Damaged National Security to Hurt Trump via Thank you Jim. They are Fake News,6.6,3.5,4.1,87.21,2,6.29,3rd and 4th grade
Fri Jul 03 21:12:48 +0000 2020,Congressman Jeff Van Drew is a Courageous Leader who defended me against Pelosi s Impeachment Scam and is a conservative who shares our Republican values. Jeff is a fighter for South Jersey and will always put America First. Vote for Jeff,7.78,7.5,8.2,66.03,3,9.85,7th and 8th grade
Fri Jul 03 21:12:29 +0000 2020,"Congressman is a tremendous supporter of our MAGA agenda He is Strong on the Wall, Law Enforcement and the Second Amendment, and he always puts America First Paul has my Complete and Total Endorsement. AZ04",9.88,15.8,19.2,44.41,1,11.33,18th and 19th grade
Fri Jul 03 21:12:20 +0000 2020,"Tony Gonzales will be a GREAT Congressman for Texas A Navy veteran, he is Strong on the Economy, Life and the Second Amendment. We need him to defeat the Radical Left in November. Tony has my Complete and Total Endorsement TX23",7.78,7.5,6.9,66.03,3,8.0,7th and 8th grade
Fri Jul 03 21:11:56 +0000 2020,"...talks big for the worker, but never delivers. Tim Ryan was a failed Presidential candidate and he keeps failing Ohio. Vote for Christina Hagan, who has my Complete and Total Endorsement OH13",8.61,6.3,7.7,69.07,3,9.61,9th and 10th grade
Fri Jul 03 21:11:55 +0000 2020,"Christina Hagan will be an incredible Congresswoman for the working families of Northeast Ohio. An early supporter of our MAGA agenda, she is Strong on Jobs, Border Security and your Second Amendment. Christina is running against an absolute failure, Tim Ryan, who...",9.97,9.9,10.9,48.81,3,12.11,10th and 11th grade
Fri Jul 03 21:09:12 +0000 2020,....I know Ronny well. He will NEVER let you down. Solid as a rock. Ronny has my Complete and Total Endorsement TX13 MAGA,8.04,3.2,1.7,82.51,4,2.37,1st and 2nd grade
Fri Jul 03 21:09:12 +0000 2020,". is a spectacular man. An Admiral in the Navy, he is a brave and loyal Warrior who loves our Military and Vets. As a medical doctor, Ronny is great on HealthCare and he is Strong on Cutting Taxes, the Border and the Second Amendment...",8.31,7.8,6.4,65.01,3,6.26,7th and 8th grade
