created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Wed Jul 01 01:05:37 +0000 2020,"8 years. we miss you more each year, and Bravo still talks about how you guys met every time I see him. GranGranDolly Clara",6.14,6.8,10.2,89.42,1,6.45,6th and 7th grade
Fri Jun 26 23:22:16 +0000 2020,"yerrrrr , where we at with this my brother",6.01,4.1,2.6,80.28,1,4.31,3rd and 4th grade
Tue Jun 02 21:50:13 +0000 2020,VOTE. Ya ain t got shit else to do man Get yo ass off the couch and go vote I don t wanna hear another excuse Stop believing that your vote and voice don t matter This the illest way to protest...vote for the change you want,3.0,15.7,19.9,66.07,1,5.07,19th and 20th grade
Tue Jun 02 06:11:19 +0000 2020,we ain t buying shit and we ain t selling shit neither gang gang BLACKOUTTUESDAY AF,7.39,6.0,6.6,80.62,1,7.07,6th and 7th grade
Sat May 30 03:36:28 +0000 2020,If intentional MURDER is the fit consequence for drugs or resisting arrest ....then what s the fit consequence for MURDER GeorgeFloyd AhmaudArbery BreonnaTaylor,9.58,14.6,18.3,31.21,1,16.83,17th and 18th grade
Thu May 14 23:03:11 +0000 2020,"the Jet Blacks are for life, but this Milky Way is sumn sexy Coded",5.46,2.9,3.4,99.57,1,3.65,5th and 6th grade
Thu May 14 22:43:56 +0000 2020,introducing the Coded sunnies from,13.36,10.0,9.3,32.56,1,13.08,9th and 10th grade
Tue May 12 20:45:53 +0000 2020,I mean...sheesh OffRecord,9.05,5.6,16.2,59.97,1,13.12,0th and 1st grade
Mon May 11 18:23:46 +0000 2020,get into this bra tho...like I m usually humble but not about lingerie,6.71,7.2,6.1,66.74,1,6.37,6th and 7th grade
Mon May 11 18:02:18 +0000 2020,"New Savage for de gal dem Wanted to give y all an extra drop cause we turned 2 years old and you guys have been incredible supporters, believed in our brand, appreciated what we stood for, and Ofcourse bought hella Thank you from all of us SavageXSummer",8.66,19.3,22.8,40.69,1,8.78,8th and 9th grade
Fri May 08 23:11:31 +0000 2020,SHOTSANDSWATCHES Cheeks Out. Cream Blush. 10 shades. Full video on,5.38,-0.2,7.1,101.97,3,6.64,6th and 7th grade
Fri May 08 22:46:53 +0000 2020,This SHOTSANDSWATCHES game is no joke y all just have to watch and see. We are showing you all 10 sheer amp buildable Cheeks Out Cream Blush shades Full video up on,5.91,3.6,6.2,97.54,2,6.38,5th and 6th grade
