created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jul 17 15:05:27 +0000 2020,Wow you guys continue to amaze me Thank you so much for always supporting me. Love you all,5.84,3.3,2.2,87.72,2,4.14,5th and 6th grade
Thu Jul 16 21:04:20 +0000 2020,Sometimes technology and art are the perfect match.,7.98,6.4,8.5,63.36,1,11.56,7th and 8th grade
Thu Jul 16 21:04:05 +0000 2020,"Check out how we shot the Past Life music video while still social distancing. This thing is called the Scan Truck. I stepped into it on my own and it scanned my face up close, which is why the music video looks so real",1.45,4.3,4.7,90.39,3,4.92,4th and 5th grade
Tue Jul 14 16:02:02 +0000 2020,The official video for Past Life is out now What do you guys think,5.46,2.9,3.4,99.57,1,4.11,2nd and 3rd grade
Mon Jul 13 19:00:45 +0000 2020,The official video for Past Life premieres Tuesday at 9 am PT 12 pm ET,6.49,5.6,3.6,81.63,1,3.76,5th and 6th grade
Fri Jul 10 19:00:54 +0000 2020,Coming soon.,0.1,2.9,5.5,77.91,1,-1.61,-1th and 0th grade
Sat Jul 04 01:02:37 +0000 2020,I love all of YOU guys,0.3,-1.5,-5.2,116.15,1,-4.43,-1th and 0th grade
Fri Jul 03 16:32:20 +0000 2020,Listen to Past Life on Today s Top Hits on,0.5,2.5,-1.0,95.17,1,0.38,3rd and 4th grade
Mon Jun 29 20:49:59 +0000 2020,"Tomorrow is ElectionDay in CO, UT, and OK Don t forget to return your VoteByMail or absentee ballot by your state s deadline. If you plan to vote in person in OK or CO, find your polling place to vote tomorrow Follow for more information and resources",7.15,10.1,10.9,64.54,2,7.84,7th and 8th grade
Mon Jun 29 18:36:31 +0000 2020,Listen to Past Life on AListPop,6.57,4.5,2.0,73.85,1,4.28,4th and 5th grade
Fri Jun 26 22:04:30 +0000 2020,"Check out the new Past Life Merch in my official store, with 100 on net proceeds going to the Black Equality Fund",6.88,8.3,9.3,74.53,1,6.73,6th and 7th grade
Fri Jun 26 21:05:49 +0000 2020,Listen to Past Life with on NewMusicFriday.,6.24,6.0,7.0,64.37,1,9.87,5th and 6th grade
Fri Jun 26 16:06:26 +0000 2020,Watch the lyric video for Past Life with,0.4,-0.8,2.0,114.12,1,4.31,-1th and 0th grade
Fri Jun 26 05:52:51 +0000 2020,This makes me so happy I m so thankful for each and every one of you. Sending so much love and I miss you,1.25,3.3,0.7,93.14,2,1.44,4th and 5th grade
Fri Jun 26 04:20:15 +0000 2020,I had so much fun Love the song,0.4,-0.8,-3.4,114.12,1,-2.26,-1th and 0th grade
Fri Jun 26 04:05:57 +0000 2020,Past Life with is out now,0.3,-1.5,-2.8,116.15,1,-1.53,-1th and 0th grade
Thu Jun 25 18:23:45 +0000 2020,PAST LIFE AT MIDNIGHT,0.2,1.3,1.8,92.8,1,2.9,1st and 2nd grade
Thu Jun 25 16:02:51 +0000 2020,Past Life is out tomorrow Watch the lyric video at midnight ET,0.6,4.4,4.6,84.68,1,6.48,4th and 5th grade
