created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Thu Jul 23 19:05:27 +0000 2020,Shak se une al reto del y regal la chaqueta dorada que luci en el show de la Super Bowl para recaudar fondos para organizaciones que combaten la inseguridad alimentaria. Para pujar Les compartimos un video del como se hizo ShakHQ,10.82,12.5,10.5,42.21,2,9.34,10th and 11th grade
Thu Jul 23 19:00:36 +0000 2020,"Shak is auctioning her custom made gold jacket which she wore at the Super Bowl HT Show for the at Watch our exclusive behind the scenes film with the incredible Peter Dundas, who designed Shak's Super Bowl outfits. ShakHQ",9.21,16.1,20.3,48.81,1,10.22,10th and 11th grade
Mon Jul 20 14:42:51 +0000 2020,Shak s accepted the ALLINCHALLENGE by donating her custom made gold jacket worn at the Super Bowl LIV HT Show to the auction The winning bidder also gets to meet Shak at a future show All proceeds to battle food insecurity. ShakHQ,9.86,18.5,20.8,37.31,1,9.59,9th and 10th grade
Sat Jul 11 12:06:35 +0000 2020,"I say, get a new hobby in your life Pon un nuevo hobby en tu vida",7.39,6.0,1.3,80.62,1,0.17,5th and 6th grade
Fri Jul 10 15:48:55 +0000 2020,You guys blow me away with your talent Beautiful drawing by,5.62,5.2,5.0,77.23,1,7.35,5th and 6th grade
Tue Jul 07 13:37:38 +0000 2020,Se necesitan m s empresas con este tipo de conciencia. Nuestro mundo ser a m s equitativo y equilibrado si todos los empresarios y profesionales confeccionaran proyectos sociales para cuidar de su comunidad.,11.15,12.1,11.8,37.81,2,12.82,11th and 12th grade
Mon Jun 29 12:24:43 +0000 2020,Aqu les compartimos un par de fotos de la participaci n de Shakira en el concierto de GlobalGoalsUnite que se grab en una azotea de Barcelona. Pueden recuperar la actuaci n aqu ShakHQ,8.28,8.5,8.4,63.19,2,8.81,8th and 9th grade
Mon Jun 29 12:22:51 +0000 2020,Check out some pics from Shak s performance on a Barcelona rooftop for GlobalGoalsUnite concert and watch it at ShakHQ,7.0,8.7,11.9,68.1,1,11.43,11th and 12th grade
Sun Jun 28 21:52:28 +0000 2020,"Gracias Jaume amigo, como siempre, por dar lo mejor de ti en la realizaci n de mi parte del concierto GlobalGoalUnite",9.94,10.3,10.8,58.62,1,8.94,9th and 10th grade
Sun Jun 28 16:20:15 +0000 2020,I was honored to be a part of a group of artists who are raising their voices in this critical moment of our history. Fue un honor formar parte de este grupo de artistas sum ndose en este momento vital de nuestra historia. GlobalGoalUnite,8.68,10.7,10.4,57.61,2,8.18,10th and 11th grade
Sun Jun 28 11:55:12 +0000 2020,Feliz cumple a mi querido tu pasi n por la m sica es tu superpoder Gracias por ser tan buen amigo y motor,8.21,8.7,7.1,73.51,1,3.95,8th and 9th grade
Sat Jun 27 20:13:29 +0000 2020,Debemos permanecer unidos y activos. Cuando menos piensas sale el sol. GlobalGoalUnite,11.83,8.0,11.0,48.47,2,14.43,10th and 11th grade
Sat Jun 27 17:25:04 +0000 2020,Un honor poder participar hoy en el concierto GlobalGoalunite y cantar para ustedes. Les invito a que se sumen y convoquen a nuestros l deres a garantizar un tratamiento para COVID 19 disponible para todos.,9.47,10.1,10.4,53.71,2,10.61,10th and 11th grade
Sat Jun 27 17:24:39 +0000 2020,Such a joy to perform for you guys at tonight s GlobalGoalUnite concert. Join us to call on world leaders to make COVID 19 treatment available to all.,7.71,5.2,6.2,82.65,2,7.18,6th and 7th grade
Fri Jun 26 20:16:22 +0000 2020,"Ma ana por la noche s bado , Shak se suma al concierto GlobalGoalUnite para combatir el impacto del COVID 19 en las comunidades m s necesitadas y para hacer un llamado a los l deres mundiales para incrementar el n mero de tests, tratamientos y vacunas para tod ShakHQ",10.26,21.2,24.0,30.2,1,9.19,-1th and 0th grade
Fri Jun 26 20:15:17 +0000 2020,"Tomorrow night Saturday , Shak s joining the GlobalGoalUnite Concert to combat the impact of COVID 19 on marginalized communities and calling on world leaders to make testing, treatments amp vaccines available to all. More info at",10.23,11.5,13.0,44.75,2,13.22,11th and 12th grade
Fri Jun 26 18:18:19 +0000 2020,"Ten years ago today, Shak played Festival Check out some highlights below and if you re in the UK her full set is on BBC iPlayer . Hoy hace 10 a os de la actuaci n de Shakira en el Festival de Glastonbury Aqu les compartimos un resumen de este concierto ShakHQ",7.69,10.9,10.6,62.51,2,6.56,10th and 11th grade
Thu Jun 25 19:05:30 +0000 2020,4 classic vids added to Shak's YouTube 4 videos cl sicos de Shak a adidos en su YouTube HAY AMORES gt THE ONE gt OBJECTION TANGO gt NO CREO gt SHQ tbt,7.2,11.1,12.1,72.84,1,4.71,11th and 12th grade
Thu Jun 25 15:22:11 +0000 2020,Many people around the world don't know where their next meal will come from and now it s made worse by COVID19. The world is on the verge of a global hunger crisis if we don t act. Take quiz to learn more amp act now,1.45,3.4,3.9,98.25,3,3.41,3rd and 4th grade
Tue Jun 23 15:21:31 +0000 2020,"La crisis educativa de Covid 19 fue alimentada por desigualdades preexistentes y los pa ses no han prestado suficiente atenci n a los m s necesitados. La educaci n debe ser para todos, no para pocos. Apoyo las solicitudes de inclusi n en el de AllmeansAll",8.86,9.3,7.8,55.95,3,8.23,8th and 9th grade
Tue Jun 23 15:20:35 +0000 2020,"The Covid 19 education crisis was fuelled by pre existing inequalities, but countries have not paid enough attention to the marginalized in their responses. Education should be built for all not a few. I support the calls for inclusion in the AllmeansAll",8.09,7.6,9.4,65.73,3,11.13,7th and 8th grade
Mon Jun 22 07:56:29 +0000 2020,"El pr ximo 27 de Junio, Shak se suma a y a la en el concierto GlobalGoalUnite. Un evento que unir a cient ficos, fil ntropos, artistas y m s para luchar para un acceso igualitario a tratamientos de COVID19 ShakHQ",8.89,8.9,8.6,67.59,2,6.5,8th and 9th grade
Mon Jun 22 07:54:10 +0000 2020,"On June 27, Shak is joining amp for the GlobalGoalUnite Concert, an event bringing together scientists, philanthropists, artists, comedians and more to fight for equal access to COVID 19 healthcare ShakHQ",9.76,15.4,20.5,40.01,1,14.92,20th and 21st grade
Sun Jun 21 20:57:01 +0000 2020,Feliz d a papito Te quiero mucho,10.75,6.0,-0.6,64.37,1,1.57,8th and 9th grade
Fri Jun 19 23:02:04 +0000 2020,"Listen now to Shak's brand new song with GirlLikeMe Stream download everywhere at La nueva canci n de Shakira con los GirlLikeMe, ya est disponible en todas las plataformas de descarga stream. ShakHQ",9.1,13.8,18.9,54.9,1,12.14,13th and 14th grade
Fri Jun 19 14:22:45 +0000 2020,"I'm so happy for you This is an incredible achievement. I'm so excited to see what you do next but until then, enjoy some me you time",5.48,5.0,4.0,83.15,2,4.23,4th and 5th grade
Fri Jun 19 13:16:50 +0000 2020,". it was also a pleasure to work with you guys The story behind this song, your vision, your talent and passion make this experience an absolute highlight in my career BEPTranslation GirlLikeMe",9.66,15.8,18.3,39.0,1,11.96,11th and 12th grade
Tue Jun 16 14:38:50 +0000 2020,My new hobby it was either this or pottery,7.59,3.3,0.9,87.72,1,2.87,3rd and 4th grade
Mon Jun 15 20:26:18 +0000 2020,"Les paso, un reciente art culo de mi padre de 89 a os que creo nos cae como anillo al dedo",9.19,7.9,4.8,75.54,1,1.8,7th and 8th grade
Mon Jun 15 17:23:18 +0000 2020,"PM in 2017 we stood together w after Canada stepped up for global health. Now the world needs your leadership more than ever to help end COVID19. Will you step up again to fund tests, treatments amp vaccines GlobalGoalUnite",6.71,6.0,7.4,75.2,3,8.92,6th and 7th grade
Sat Jun 13 17:31:59 +0000 2020,"TENEMOS MUY BUENAS NOTICIAS Shak se une a los Black Eyed Peas en una nueva canci n, GIRL LIKE ME que estar disponible el pr ximo 19 de junio. La canci n formar parte del nuevo lbum de los BEPTranslation reservar ShakHQ",9.19,9.1,8.9,67.08,2,6.91,8th and 9th grade
Sat Jun 13 17:29:08 +0000 2020,"WE HAVE BIG NEWS Shak is teaming up with Black Eyed Peas for a brand new song, GIRL LIKE ME. The track is out on June 19th and will feature on the new album, BEPTranslation pre order ShakHQ",6.24,6.0,6.9,86.03,2,5.46,5th and 6th grade
Thu May 28 18:48:39 +0000 2020,"I believe that where you live shouldn t affect your access to life saving treatment. That s why I'm supporting Global Goal Unite For Our Future, which calls on world leaders to fund COVID 19 relief for anyone who needs it. GlobalGoalUnite",8.44,9.1,11.2,67.08,2,9.4,8th and 9th grade
Wed May 27 19:56:04 +0000 2020,Y yo a ti,0.2,-2.3,-12.5,118.18,1,-14.51,-1th and 0th grade
Wed May 27 19:38:33 +0000 2020,Congratulations to my cousin for her new album which is so full of our heritage,7.54,6.8,6.5,73.17,1,7.24,6th and 7th grade
Wed May 27 18:32:58 +0000 2020,Felicidades a mi prima hermana por su nuevo lbum que contiene tanto de nuestra herencia,12.8,10.3,9.0,47.79,1,10.37,8th and 9th grade
Tue May 26 20:01:13 +0000 2020,I ve read your tweets bosses I m on it,5.71,1.3,-2.9,103.63,1,-1.95,3rd and 4th grade
Mon May 25 14:25:11 +0000 2020,Just heard that the Waka video has reached 2.5 BILLION views. Incredible. You guys really are amazing. Thank you,7.43,4.6,6.6,78.75,2,8.44,4th and 5th grade
Wed May 20 14:38:13 +0000 2020,So much fun to be back on yesterday TheVoice,0.45,2.1,1.9,96.18,1,4.14,4th and 5th grade
Tue May 19 22:43:11 +0000 2020,Who s excited about Shak s special guest appearance on tonight s Finale ShakHQ TheVoice,7.54,6.8,9.0,73.17,1,10.37,8th and 9th grade
Fri May 15 19:58:41 +0000 2020,Felicidades de nuestro equipo en este D aDelMaestro por su inconmensurable esfuerzo,10.81,12.7,12.8,25.46,1,16.63,12th and 13th grade
Fri May 15 19:58:12 +0000 2020,"Los maestros son los pilares de la sociedad. Con su dedicaci n construyen cada d a un mundo con igualdad de oportunidades para todos los ni os y ni as, inspir ndolos a desarrollar su m ximo potencial en la vida Ahora m s que nunca su labor se hace imprescindible 1 2",10.91,12.4,10.8,53.04,2,6.22,10th and 11th grade
Thu May 14 15:24:17 +0000 2020,Mustered up the strength to put on some makeup for my day job of homeschool teacher smallvictories,8.19,8.7,9.8,62.68,1,10.38,8th and 9th grade
Mon May 11 15:14:44 +0000 2020,Check out Shak's performance of Try Everything from Zootopia on last night's DisneyFamilySingalong on No se pierdan la participaci n de anoche de Shak en el DisneyFamilySingalong de ABC donde cant Try Everything de Zootopia ShakHQ,7.18,17.3,22.1,34.94,1,14.4,17th and 18th grade
Sun May 10 21:11:24 +0000 2020,Check out the Family Singalong today on 7 6c where I ll be performing with my friend Gazelle. Happy Mother s Day disneyfamilysingalong,6.27,7.8,7.3,59.8,2,9.55,9th and 10th grade
Sun May 10 18:33:13 +0000 2020,todo nuestro amor y agradecimiento por todo lo que han hecho y contin an haciendo por nosotros,10.05,8.7,8.7,62.68,1,9.05,8th and 9th grade
Sun May 10 18:32:59 +0000 2020,Happy Mother's Day En este d a de la Madre valoramos m s que nunca el valor de un abrazo. A todas las madres que como la m a por el confinamiento est n lejos y a aquellas que est n en primera l nea en los hospitales y centros de salud 1 2,8.19,10.3,8.2,69.45,2,2.68,7th and 8th grade
Thu May 07 17:56:29 +0000 2020,"En el throwbackthursday de hoy recordamos esta foto de Shak con el co protagonista de Zootopia, Nick Wilde No se olviden que este domingo en la noche Shakira participar en el especial de disneyfamilysingalong",10.43,17.7,19.8,28.51,1,13.01,17th and 18th grade
Thu May 07 17:55:56 +0000 2020,"TBT Shak with her Zootopia co star Nick Wilde Remember, try everything to tune into on Sunday night to see Shak appearing as one of the special guests on the DisneyFamilySingalong.",6.7,14.2,16.9,48.47,1,10.98,14th and 15th grade
Wed May 06 14:45:02 +0000 2020,"Multi tasking, meeting with the CEO of while dedicating time to personal grooming. Haciendo m ltiples tareas al mismo tiempo, de reuni n con el CEO de Sony Music Latin mientras dedico tiempo a los cuidados personales.",10.96,10.5,10.9,52.7,2,10.44,10th and 11th grade
Sat May 02 08:55:38 +0000 2020,Gazelle is back DisneyFamilySingalong. ShakHQ,7.04,10.0,19.7,32.56,1,24.68,9th and 10th grade
Thu Apr 30 20:47:44 +0000 2020,"Gracias a ustedes y al equipo de Alcald a por su trabajo, a las manos Barranquilleras que me enorgullecen fabricando mascarillas para proteger nuestra poblaci n en riesgo y por ese mensaje lleno de cari o Me emociona cuando me dicen Shaki",11.73,19.7,21.7,28.85,1,10.69,19th and 20th grade
Thu Apr 30 15:31:22 +0000 2020,"Gracias al equipo de Alcald a por ayudarnos a coordinar este esfuerzo, espero que mas sigamos sumando recursos para proteger a los nuestros",12.33,13.4,14.0,39.67,1,12.25,12th and 13th grade
Tue Apr 28 19:50:43 +0000 2020,Qu gran talento y carisma Me he vuelto una Corituber,10.45,6.0,3.8,69.79,1,6.18,5th and 6th grade
Sat Apr 25 14:04:06 +0000 2020,"These videos are incredible and I m so honored this song of mine that now is yours, can be so uplifting in a such difficult times. Thank you frontline heroes for all you re doing",7.66,6.6,6.7,79.09,2,5.97,6th and 7th grade
Thu Apr 23 15:54:03 +0000 2020,"Acabo de graduarme de un curso de filosof a antigua. Ya s que mis hobbies no son pr cticos pero me tom horas despu s de poner a dormir a los ni os. Gracias a Plat n, sus predecesores y a la Universidad de Pennsylvania por la diversi n de estas 4 semanas",8.98,7.8,5.3,70.43,3,4.12,10th and 11th grade
Thu Apr 23 15:52:52 +0000 2020,"I just graduated from my 4 week Ancient Philosophy course with the University of Pennsylvania I know... my hobbies are very impractical, but it took a lot of hours after the kids were asleep. Thank you Plato and predecessors for all the fun over the past month",7.83,11.3,11.8,56.08,2,8.83,14th and 15th grade
Wed Apr 22 14:55:16 +0000 2020,Last night we received two gold awards for the El Dorado World Tour film at the in the categories of Performing Arts Special and Special Event Thank you team for your incredible work on the film and also to everyone who watched it,7.97,16.5,20.7,53.21,1,8.95,20th and 21st grade
Thu Apr 16 16:56:47 +0000 2020,"Que llegu mandando a todo el mundo Yooo Nunca, tbt",10.45,6.0,2.9,69.79,1,4.44,7th and 8th grade
Wed Apr 15 16:48:19 +0000 2020,Wearing a tie dye t shirt my son Milan made for me Hoy con una camiseta tie dye que me hizo Milan,7.6,7.2,5.8,82.99,1,2.73,7th and 8th grade
Wed Apr 08 15:52:50 +0000 2020,I think my son Sasha wants to be a photographer Creo que mi hijo Sasha quiere ser fot grafo,6.24,6.0,6.2,86.03,1,4.99,5th and 6th grade
Tue Apr 07 17:53:06 +0000 2020,Gracias por tu trabajo y tu luz,8.5,3.7,-1.2,81.29,1,0.76,3rd and 4th grade
Tue Apr 07 17:45:53 +0000 2020,stayhome,19.48,8.4,16.8,36.62,1,1.0,-1th and 0th grade
Tue Apr 07 17:44:55 +0000 2020,nimo a todos mis amigos en M xico,11.93,5.2,-2.2,71.82,1,-0.81,-1th and 0th grade
Tue Apr 07 17:38:23 +0000 2020,El trabajo que est s haciendo nos enorgullece a todos Jes s Gracias a ti y a tus compa eros,9.37,8.7,5.5,68.1,1,3.6,8th and 9th grade
Tue Apr 07 17:36:12 +0000 2020,Now this is is solidarity. Thank you,6.24,6.0,2.3,64.37,1,4.07,5th and 6th grade
Tue Apr 07 17:33:30 +0000 2020,Cuanto lo siento tu hermano era y sigue siendo un h roe. Pensemos en aquellos como l antes de salir de casa.,9.21,5.2,2.7,77.23,2,3.92,4th and 5th grade
Tue Apr 07 17:32:26 +0000 2020,Mothers know a thing or two about selflessness. Thank you to your mother for caring for those who need it,6.5,3.7,3.8,86.71,2,5.89,5th and 6th grade
Tue Apr 07 17:20:09 +0000 2020,Barranquilleros unidos,11.63,8.8,29.0,35.61,1,30.3,11th and 12th grade
Tue Apr 07 17:18:53 +0000 2020,Big thank you to your husband,0.3,0.9,0.4,99.23,1,2.37,0th and 1st grade
Tue Apr 07 17:17:29 +0000 2020,Congratulations and thank you,7.78,9.6,11.2,33.58,1,14.5,11th and 12th grade
Tue Apr 07 17:14:07 +0000 2020,Gracias Sarita y Nerea por su dedicaci n,9.95,5.2,2.0,71.82,1,4.31,3rd and 4th grade
Tue Apr 07 17:05:09 +0000 2020,"It s World Health Day, so let s honor those health care workers on the frontlines who are true heroes. Tell me your story or tag a health care worker you know so we can thank them for all for their bravery and selflessness.",6.52,7.2,8.8,82.99,2,6.04,6th and 7th grade
Tue Apr 07 14:38:42 +0000 2020,Feliz cumplea os a mi amada Barranquilla nimos en estos tiempos dif ciles que estamos enfrentando juntos y gracias por quedarse en casa y de esta manera seguir protegiendo a los m s vulnerables.,11.82,16.6,17.9,36.97,1,10.63,11th and 12th grade
