created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Fri Jun 19 17:09:36 +0000 2020,Can t wait to watch on today Executive produced by who is extraordinary Who else is gonna watch,7.16,9.1,8.0,61.67,1,7.54,7th and 8th grade
Fri Jun 19 04:01:22 +0000 2020,"For my family, everything that has transpired recently gives us an opportunity to reflect, listen, and reprogram any part of our lives that hasn t been loudly and ferociously anti racist, and to never let privilege lie dormant when it could be used to stand up for what s right.",9.27,21.6,25.1,29.19,1,9.59,9th and 10th grade
Fri Jun 19 04:01:22 +0000 2020,"Personally, I ve made the decision to give all of my employees June 19th off in honor of Freedom Day from now on, and to continue to educate myself on the history that brought us to this present moment.",7.6,16.1,17.9,48.81,1,7.27,7th and 8th grade
Fri Jun 19 04:01:21 +0000 2020,"Happy Juneteenth I want to thank and for allowing me to post this video about the significance of today, June 19th, and why it should be celebrated as a National holiday.",7.72,14.2,15.4,48.47,1,8.95,14th and 15th grade
Mon Jun 15 17:24:59 +0000 2020,"YES Thank you to the Supreme Court Justices who voted in favor and all the advocates who have fought so hard for this We still have a long way to go to reach equality, but this is a beautiful step forward.",7.21,14.6,18.0,63.7,1,6.69,6th and 7th grade
Fri Jun 12 20:07:58 +0000 2020,"When you fight to honor racists, you show black Tennesseans and all of their allies where you stand, and you continue this cycle of hurt. You can t change history, but you can change this.",6.31,5.4,8.0,87.55,2,7.13,7th and 8th grade
Fri Jun 12 20:07:58 +0000 2020,I m asking the Capitol Commission and the Tennessee Historical Commission to please consider the implications of how hurtful it would be to continue fighting for these monuments.,11.23,16.6,18.0,26.14,1,14.1,21st and 22nd grade
Fri Jun 12 20:07:57 +0000 2020,We need to retroactively change the status of people who perpetuated hideous patterns of racism from heroes to villains. And villains don t deserve statues.,8.68,8.2,9.7,58.79,2,11.99,8th and 9th grade
Fri Jun 12 20:07:57 +0000 2020,"Taking down statues isn t going to fix centuries of systemic oppression, violence and hatred that black people have had to endure but it might bring us one small step closer to making ALL Tennesseans and visitors to our state feel safe not just the white ones.",9.33,19.3,23.5,40.69,1,9.77,9th and 10th grade
Fri Jun 12 20:07:57 +0000 2020,"His statue is still standing and July 13th is Nathan Bedford Forrest Day. Due to social pressure, the state is trying to overrule this, and Tennesseans might no longer have to stomach it. Fingers crossed.",9.47,6.6,10.2,79.09,2,9.74,6th and 7th grade
Fri Jun 12 20:07:57 +0000 2020,"Then we get to this monstrosity. Nathan Bedford Forrest was a brutal slave trader and the first grand wizard of the Ku Klux Klan who, during the Civil War, massacred dozens of black Union soldiers in Memphis.",8.82,8.1,9.7,69.62,2,9.05,9th and 10th grade
Fri Jun 12 20:07:56 +0000 2020,Replacing his statue is a waste of state funds and a waste of an opportunity to do the right thing.,7.0,8.7,7.4,68.1,1,5.63,11th and 12th grade
Fri Jun 12 20:07:56 +0000 2020,"FYI, he was a white supremacist newspaper editor who published pro lynching editorials and incited the arson of the office of Ida B. Wells who actually deserves a hero s statue for her pioneering work in journalism and civil rights .",9.76,12.3,11.3,42.72,2,10.27,10th and 11th grade
Fri Jun 12 20:07:54 +0000 2020,Edward Carmack s statue was sitting in the state Capitol until it was torn down last week in the protests. The state of Tennessee has vowed to replace it.,7.62,5.4,6.3,82.14,2,6.95,6th and 7th grade
Fri Jun 12 20:07:54 +0000 2020,"As a Tennessean, it makes me sick that there are monuments standing in our state that celebrate racist historical figures who did evil things. Edward Carmack and Nathan Bedford Forrest were DESPICABLE figures in our state history and should be treated as such.",9.11,10.5,13.2,58.11,2,11.72,13th and 14th grade
Tue Jun 09 19:09:57 +0000 2020,We need to fight for mail in voting for the 2020 election. No one should have to choose between their health and having their voice heard.,5.5,3.6,5.6,92.12,2,6.6,5th and 6th grade
Tue Jun 09 19:09:57 +0000 2020,This article written by is a fascinating read about changing policy at the state and local levels.,10.05,9.9,9.8,54.22,1,10.03,9th and 10th grade
Tue Jun 09 19:09:56 +0000 2020,"Racial injustice has been ingrained deeply into local and state governments, and changes MUST be made there. In order for policies to change, we need to elect people who will fight against police brutality and racism of any kind. BlackLivesMatter",7.39,8.7,13.0,68.1,2,12.18,11th and 12th grade
Fri May 29 15:33:41 +0000 2020,"After stoking the fires of white supremacy and racism your entire presidency, you have the nerve to feign moral superiority before threatening violence When the looting starts the shooting starts We will vote you out in November.",9.31,17.7,21.7,33.92,1,13.24,17th and 18th grade
Mon May 25 02:11:02 +0000 2020,VERY STOKED about this cover of lwymmd on by Jack leopards amp the dolphin club,7.54,5.6,6.5,81.63,1,7.24,5th and 6th grade
Tue May 19 20:31:11 +0000 2020,I personally really relate to this tweet.,8.5,9.6,5.6,38.99,1,8.24,8th and 9th grade
Mon May 18 19:58:45 +0000 2020,The City Of Lover concert is streaming on And the live songs are available now TaylorSwiftCityOfLover,8.38,8.4,11.9,63.7,1,13.63,7th and 8th grade
Mon May 18 03:10:13 +0000 2020,Addy I had to google YGG but a now I know what it means b YGG back c tell your mom hi she seems cool,1.87,6.0,5.4,96.86,1,0.65,5th and 6th grade
Mon May 18 03:04:52 +0000 2020,MY HEART,0.1,-3.1,-4.0,120.21,1,-10.31,-1th and 0th grade
Mon May 18 02:42:52 +0000 2020,THIS PIC IS SO AWW,0.25,-1.9,-5.8,117.16,1,-5.49,1st and 2nd grade
Mon May 18 02:35:30 +0000 2020,Thank you so much for everything you do and how hard you re working to keep us safe,5.41,5.6,4.9,87.05,1,3.71,5th and 6th grade
Mon May 18 02:25:31 +0000 2020,I m so sorry it s been hard and I m so touched and flattered that the show is making you smile,1.81,6.0,5.2,91.45,1,1.98,1st and 2nd grade
Mon May 18 02:17:47 +0000 2020,Aww thanks bud,0.15,-2.7,-1.2,119.19,1,-2.38,0th and 1st grade
Mon May 18 02:09:40 +0000 2020,Cute cute cute,0.15,-2.7,-1.2,119.19,1,-2.38,0th and 1st grade
Mon May 18 02:09:08 +0000 2020,YAY Glad you re watching,7.04,0.5,-0.2,100.24,1,1.48,1st and 2nd grade
Sun May 17 17:15:45 +0000 2020,Stoked to relive our Paris show tonight when the City of Lover concert airs at 10pm ET 9pm CT on then tomorrow on and It was the best album release party I could ve wished for love you guys,7.19,13.8,16.3,65.73,1,5.76,15th and 16th grade
Fri May 15 15:07:21 +0000 2020,City Of Lover Concert Airing this Sunday at 10p ET on and streaming the next day on and TaylorSwiftCityOfLover Dave Hogan,7.69,9.1,11.7,67.08,1,10.62,11th and 12th grade
Thu May 14 22:02:11 +0000 2020,when you re proud of your buns so you post them on the internet,5.46,2.9,2.4,99.57,1,2.83,2nd and 3rd grade
Mon May 11 01:58:56 +0000 2020,"PS for those of you who are separated from your loved ones or struggling with this day, my heart is with you",6.16,7.2,8.2,82.99,1,5.4,5th and 6th grade
Mon May 11 01:58:55 +0000 2020,My conversations with my mom have always been and will always be some of my favorite memories from when I was 10 months old in this video from Oct. 1990 to now talking every day on the phone. Our talks are everything to me. Myyyyyy goodness I love you Mom. Happy Mother s Day,5.18,5.0,4.7,83.15,4,5.56,4th and 5th grade
Fri May 08 12:47:13 +0000 2020,Excited to announce the City of Lover Concert We filmed my show in Paris in September and thought it d be fun to share it with you May 17 at 10p ET on and available the next day on and TaylorSwiftCityOfLover,7.21,15.7,18.2,55.24,1,7.21,15th and 16th grade
Thu May 07 21:25:42 +0000 2020,"I m absolutely devastated and horrified by the senseless, cold blooded, racially motivated killing of Ahmaud Arbery. JusticeForAhmaud",13.3,16.2,17.9,10.91,1,18.85,18th and 19th grade
Thu May 07 17:27:50 +0000 2020,biiig isolation,19.53,20.6,12.5,-49.0,1,10.0,12th and 13th grade
Sun May 03 21:41:43 +0000 2020,Oh I love this so much,0.3,-1.5,-5.2,116.15,1,-4.43,-1th and 0th grade
Mon Apr 27 21:08:40 +0000 2020,Not a lot going on at the moment,0.4,2.9,-2.8,88.74,1,-1.5,2nd and 3rd grade
Thu Apr 23 00:47:53 +0000 2020,Captain Olivia Benson off duty like,6.57,4.5,5.1,73.85,1,8.17,4th and 5th grade
Sat Apr 18 18:26:33 +0000 2020,heavenly,19.48,20.2,16.8,-47.99,1,1.0,0th and 1st grade
Fri Apr 17 17:00:09 +0000 2020,"I'm so sad I won't be able to see you guys in concert this year, but I know this is the right decision. Please, please stay healthy and safe. I ll see you on stage as soon as I can but right now what s important is committing to this quarantine, for the sake of all of us.",5.68,6.1,5.7,85.73,3,3.43,5th and 6th grade
Tue Apr 14 18:17:17 +0000 2020,Love this so much,0.2,-2.3,-3.0,118.18,1,-2.91,-1th and 0th grade
Fri Apr 10 18:18:54 +0000 2020,"It s National Siblings Day My brother is one of my best pals, and I m really proud of him because he s in a film that came out today called We Summon The Darkness which he co produced . Photo by Gigi. My facial expression by 3 glasses of wine. nationalsiblingsday",7.27,8.7,6.7,62.68,3,6.09,8th and 9th grade
Fri Mar 27 13:15:38 +0000 2020,My Women s History Month playlist is nostalgic comfort vibes by women I adore,5.46,7.6,7.1,65.73,1,8.63,7th and 8th grade
