created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 27 00:38:24 +0000 2020,It was great catching up with you my friend.,5.84,0.9,1.9,104.64,1,3.51,3rd and 4th grade
Sat Jul 25 17:02:57 +0000 2020,"Had an amazing time, thank you for all you do to fight for your community",6.49,5.6,4.6,81.63,1,4.57,5th and 6th grade
Sat Jul 25 13:43:57 +0000 2020,Deux faits sur les joueurs et l'organisation de 1 Les champions du monde et 2 Les champions des gens.,6.24,8.3,8.7,69.11,1,7.43,8th and 9th grade
Sat Jul 25 13:40:54 +0000 2020,Two facts about the players and organization 1 World Champs amp 2 The People's Champs. BlackLivesMatter RTZ,8.19,8.7,12.3,62.68,1,12.82,8th and 9th grade
Sat Jul 25 00:50:09 +0000 2020,Je comprends votre douleur et les injustices que vous avez subies je suis avec vous dans votre qu te de justice. L'un des premiers pas sur la voie de la justice est la reconnaissance du g nocide perp tr par le Sri Lanka contre le peuple tamoul.,8.5,8.9,10.1,73.0,2,7.09,8th and 9th grade
Sat Jul 25 00:50:09 +0000 2020,Je me souviens du Juillet noir. 37 ans apr s que des repr sentants de l' tat sri lankais ont pris pour cible les Tamouls par des actes de violence g nocidaire. 37 ans de r silience d montr e par les survivant es.,8.69,15.7,18.7,60.66,1,5.36,18th and 19th grade
Sat Jul 25 00:39:03 +0000 2020,I understand your pain and the injustices you have endured I stand with you in your pursuit of justice. One of the first steps on the path to justice is acknowledging the genocide perpetrated by Sri Lanka against the Tamil people.,7.73,8.9,10.6,67.59,2,9.34,8th and 9th grade
Sat Jul 25 00:39:03 +0000 2020,I remember Black July. 37 years since Sri Lankan state officials targeted Tamil with acts of genocidal violence. 37 years of resilience exhibited by survivors.,9.3,13.0,16.5,46.1,1,13.64,12th and 13th grade
Fri Jul 24 23:43:46 +0000 2020,"chaque tape, les lib raux ont essay de faire le moins possible. Nous les avons pouss s chaque tape en faire plus pour les gens. Et nous ne nous arr terons pas. Nous continuerons forcer les lib raux faire ce qu il faut afin que personne ne soit laiss pour compte.",5.2,2.4,4.5,100.78,4,5.38,4th and 5th grade
Fri Jul 24 23:41:21 +0000 2020,"At every step of the way, the Liberal government tried to do the least possible. We ve pushed them every step of the way to do more for people. And we won t stop. We'll keep forcing the Liberals to do what's right for families so that no one is left behind.",5.5,4.8,3.7,83.66,4,4.05,4th and 5th grade
Fri Jul 24 19:52:39 +0000 2020,Des gens comme la mairesse Toni Boot sont une source d'inspiration a pris position pour refuser la haine et au racisme tout espace dans sa communaut Construire un monde sans haine signifie que nous devons le remettre en question chaque fois qu'il se pr sente,9.03,18.5,23.5,42.72,1,10.93,10th and 11th grade
Fri Jul 24 19:49:42 +0000 2020,People like Mayor Toni Boot are an inspiration took a stand to deny hate and racism any space in her community Building a world free from hate means we must challenge it every time it rears its head,7.18,14.6,17.5,58.29,1,7.9,7th and 8th grade
Wed Jul 22 21:49:50 +0000 2020,"Les gens s'inqui tent de la fa on dont ils vont payer leurs factures Dans quelques semaines, la PCU expirera et le PM Trudeau n'a pas de plan pour continuer aider les gens qui en ont besoin Les gens qui ne peuvent pas retourner au travail, doivent savoir qu'ils seront aid s",9.25,20.0,24.8,44.08,1,7.91,19th and 20th grade
Wed Jul 22 21:45:20 +0000 2020,"People are worried about how they re going to pay their bills at the end of the month In a few short weeks, the CERB will expire and PM Trudeau doesn t have a plan to continue to help people who need it People who can t go back to work, need to know they can count on help",7.37,20.4,25.2,53.89,1,4.43,-1th and 0th grade
Wed Jul 22 19:04:03 +0000 2020,La d cision rendue aujourd'hui est une victoire importante pour les droits des demandeurs d'asile Il a d clar sans quivoque que le PM Trudeau et le gouvernement lib ral avaient tort Ils doivent accepter cette d cision et se retirer de l'Entente sur les tiers pays s rs,9.29,18.9,24.2,47.12,1,9.3,23rd and 24th grade
Wed Jul 22 19:02:32 +0000 2020,The Federal Court decision today is an important victory for the rights of asylum seekers It stated unequivocally that PM Trudeau and the Liberal government were wrong They must accept this important decision and immediately withdraw from the Safe Third Country Agreement,9.48,22.0,25.4,11.93,1,15.39,21st and 22nd grade
Wed Jul 22 18:43:29 +0000 2020,tudiants es Cliquez sur le lien ci dessous pour nous envoyer vos id es,6.59,5.2,4.7,82.65,1,5.73,5th and 6th grade
Wed Jul 22 18:43:29 +0000 2020,"J'ai demand comment le contrat de 912 millions de dollars que les lib raux ont donn UNIS pourrait tre utilis pour aider les tudiants es Jusqu' pr sent, personne n'a sugg r que l'argent soit envoy une organisation qui g re des actifs immobiliers",10.13,18.1,22.1,43.74,1,9.42,10th and 11th grade
Wed Jul 22 18:30:51 +0000 2020,"I asked for ideas on how the 912 million contract the Liberals gave to WE could be used to help students So far, no one has suggested the money should be sent to a real estate holding company Students Click on the link below to send us your ideas",8.0,18.9,22.1,47.12,1,6.92,18th and 19th grade
Wed Jul 22 18:20:02 +0000 2020,"In this movement to fight systemic racism in policing, people are demanding change PM Trudeau took a knee, but has yet to take a stand",7.4,8.3,11.8,79.94,1,8.07,11th and 12th grade
Wed Jul 22 18:17:20 +0000 2020,"Dans ce mouvement de lutte contre le racisme syst mique dans les services de police, les gens demandent des changements Le premier ministre Trudeau s est agenouill , mais n a pas encore pass l action",9.88,14.6,18.2,52.87,1,10.17,9th and 10th grade
Tue Jul 21 20:28:37 +0000 2020,Le manque de services de garde est la raison pour la plus faible participation des femmes au march du travail dans 30 ans C est essentiel pour la relance conomique Investissons dans un programme universel pour aider les parents retourner au travail,9.86,17.3,22.8,45.77,1,12.2,-1th and 0th grade
Tue Jul 21 20:21:42 +0000 2020,"Lack of child care is causing the lowest participation rate of women in the workforce in 30 years This shows child care is essential to restarting our economy Let's invest in a universal child care program to help women, and parents, get back to work",9.73,18.5,22.6,42.72,1,9.77,9th and 10th grade
Tue Jul 21 20:14:26 +0000 2020,"Jesse, you did a courageous thing helping to bring the people responsible for killing my uncle to justice. My family is eternally grateful. Sharing your story was also an act of courage. Thank you for sharing it with us all.",6.5,4.8,5.4,78.25,4,7.34,4th and 5th grade
Tue Jul 21 17:20:16 +0000 2020,"Quand vous voyez quelque chose qui n'est pas correct, pas quitable, pas juste, vous devez le dire. Vous devez dire quelque chose vous devez faire quelque chose. John Lewis Reposer au pouvoir",5.65,2.7,7.3,94.45,3,9.26,5th and 6th grade
Tue Jul 21 17:17:05 +0000 2020,"When you see something that is not right, not fair, not just, you have to speak up. You have to say something you have to do something. John Lewis Rest in Power",0.53,1.6,2.9,102.91,3,4.04,3rd and 4th grade
Tue Jul 21 16:39:52 +0000 2020,"Elles ont besoin de soins de sant et d'une assistance sociale, et non d'accusations criminelles et de peines de prison.",8.58,8.7,12.1,68.1,1,10.56,8th and 9th grade
Tue Jul 21 16:39:52 +0000 2020,"Fier de la position du premier ministre sur la d criminalisation des drogues usage personnel. Les personnes arr t es pour usage personnel sont souvent confront es des difficult s mentales, la pauvret et ou la toxicomanie.",10.53,11.7,11.4,44.24,2,11.26,10th and 11th grade
Tue Jul 21 16:36:34 +0000 2020,"Proud of Premier stand on decriminalization of drugs for personal use. People arrested for personal use are often facing mental challenges, poverty and or addiction. They need health care and social work, not criminal charges and jail time.",8.42,8.2,10.1,58.58,3,12.05,7th and 8th grade
Tue Jul 21 14:48:21 +0000 2020,"tudiant es, je veux vous entendre M. Trudeau a donn pr s d un milliard ses ami es d UNIS Et l , il fait l objet d une enqu te Je veux vous entendre directement Comment 900 millions pourraient tre utilis s pour mieux vous aider",7.87,8.7,8.5,73.51,2,5.35,8th and 9th grade
