created_at,text
Sat Jul 04 14:35:02 +0000 2020,Our founding promise has never been guaranteed. Each generation has been called to bring us a little closer to our highest ideals—and history’s calling on us right now. So let’s all do whatever we can to help @JoeBiden expand that promise to all Americans. https://t.co/5zby4l3W5H
Fri Jul 03 16:00:04 +0000 2020,"This holiday weekend, let’s be safe and smart. It’s going to take all of us to beat this virus. So wear a mask. Wash your hands. And listen to the experts, not the folks trying to divide us. That's the only way we’ll do this—together.
https://t.co/UwNKAzL8JU"
Mon Jun 29 14:00:17 +0000 2020,"Today I’m tipping my hat to all the giants in the Negro Leagues, from Satchel Paige to Toni Stone and so many others. Their brave example, first set 100 years ago, changed America’s pastime for the better––opening it up for new generations of players and fans alike. https://t.co/05jWocKs17"
Fri Jun 26 23:11:31 +0000 2020,"RT @MichelleObama: Thinking back to that day reminds me of how much strength we can find in one another, in good times and in bad. We’ve se…"
Fri Jun 26 17:30:03 +0000 2020,"RT @ObamaFoundation: In the afternoon of June 26, 2015, @BarackObama traveled to Charleston to eulogize Reverend Pinckney after a racist sh…"
Fri Jun 26 14:56:57 +0000 2020,"Jim’s courage and persistence helped change America for the better. And so did every American who marched, organized, stood up, came out—or changed their own heart because they love someone who did. Happy anniversary, everybody. https://t.co/t8ULh2c0P5"
Thu Jun 25 19:47:05 +0000 2020,Michelle and I want every kid in Chicago to grow up knowing even better opportunities than we had. We’re happy to help Chicago Connected reach every kid in the city. This is where I found a purpose and a family––and it’ll always be our home. https://t.co/ofSCxK8cJC
Wed Jun 24 22:05:14 +0000 2020,RT @UniNoticias: 👉 En exclusiva el expresidente @BarackObama envió un mensaje especial a los hispanos sobre la importancia de salir a votar…
Mon Jun 22 16:30:58 +0000 2020,"I’m joining my friend @JoeBiden tomorrow to talk about everything that’s at stake in this election. 

I hope you’ll join us, too. This is a critical moment in our history––and all of us have to do our part to build this country into what we know it can be. https://t.co/diQxk3uFH2"
Fri Jun 19 16:51:15 +0000 2020,"Juneteenth has never been a celebration of victory, or an acceptance of the way things are. It's a celebration of progress. It's an affirmation that despite the most painful parts of our history, change is possible––and there is still so much work to do.
https://t.co/5XCRdnk3iR"
Thu Jun 18 15:24:24 +0000 2020,"...and now to stand up for those ideals, we have to move forward and elect @JoeBiden and a Democratic Congress that does its job, protects DREAMers, and finally creates a system that’s truly worthy of this nation of immigrants once and for all."
Thu Jun 18 15:23:59 +0000 2020,"Eight years ago this week, we protected young people who were raised as part of our American family from deportation. Today, I'm happy for them, their families, and all of us. We may look different and come from everywhere, but what makes us American are our shared ideals…"
Tue Jun 16 15:30:53 +0000 2020,"And here are two more essays that powerfully express the hope, heart, grief, and rage that are driving this moment of potential change. 

Racism Is Terrible. Blackness Is Not: https://t.co/64b0Xms1LE

The Trayvon Generation: https://t.co/HtnRelulCP"
Tue Jun 16 15:30:52 +0000 2020,"These Nashville teenagers are representative of the remarkable leadership we’re seeing from young people across the country and around the world. 

https://t.co/TMA2BmKyq9"
Tue Jun 16 01:06:17 +0000 2020,"Today reminds us that progress might be slow. It might take decades. But no matter what things might look like today, it’s always possible. Happy Pride month, everybody. https://t.co/ey7p2TgEEf"
Thu Jun 11 18:30:59 +0000 2020,"This young generation makes me optimistic about our future. By protesting, they’re speaking up and shining a light on injustice––and one way we can support them is to vote for people who’ll change the laws on every level.
https://t.co/3Ng1IC73nY"
Thu Jun 11 18:30:58 +0000 2020,"In Columbia, Maryland, young people wielded social media to connect across boundaries, amplify voices, and enact some real change.  
https://t.co/RWcfVwdv4j"
Thu Jun 11 18:30:58 +0000 2020,"This group of Nashville teens led a peaceful march with tens of thousands of people in their community. 
https://t.co/KWVsI0Z53E"
Thu Jun 11 18:30:57 +0000 2020,"Over the past few weeks, we’ve seen young people in every corner of the country step up and become leaders. Through organization and mobilization, they’re showing us how we can sustain this momentum to bring about real change. https://t.co/UKnowQM2Lj"
