created_at,text
Mon Jul 20 17:02:58 +0000 2020,Rice plantation done . . https://t.co/uNxVj6Its4
Sun Jul 19 18:37:27 +0000 2020,Farminggg https://t.co/RZREIOEHo4
Thu Jul 16 09:55:03 +0000 2020,Happy bday Katrina. . https://t.co/LFLVUHGgzk
Tue Jul 14 10:44:58 +0000 2020,Respect to all the farmers . . https://t.co/5kTVcVE7kt
Sat Jul 11 16:10:31 +0000 2020,Daane daane pe likha hota hai khane wale Ka naam... jai jawan ! jai kissan ! https://t.co/07nZAJoTqi
Wed Jul 01 08:09:03 +0000 2020,"Aaj #DoctorsDay hai, meri taraf se saare doctors ko dil se shukriya. Aapke dedication, or aapke sacrifices k liye! Thank you for being the strongest pillars of our country in this pandemic!"
Sat Jun 27 07:00:53 +0000 2020,"Swagat toh karo Aarya ka! What a comeback and what a show! Congratulations @thesushmitasen aur dher saara pyaar! 
@DisneyplusHSVIP https://t.co/DSdDfpM0AA"
Sun Jun 21 08:58:16 +0000 2020,"Happy father's Day , the best gift ur father wud want from u is for u to live happily. Kids khush fathers khush.... https://t.co/LCAN0aSbvl"
Sat Jun 20 18:13:11 +0000 2020,A request to all my fans to stand with sushant's fans n not to go by the language n the curses used but to go with the emotion behind it. Pls support n stand by his family n fans as the loss of a loved one is extremely painful.
Wed Jun 17 11:05:30 +0000 2020,My heart goes out to all brave hearts who hv laid down their lives at the Galwan valley. This sacrifice will not go to waste. I join their families in grief... #JaiHind #WeStandWithIndianArmy
Sun Jun 14 14:32:29 +0000 2020,U will be missed ... #RIPSushant
Sat Jun 13 12:36:18 +0000 2020,"Happy bday Aditya, wish u all the success and happiness. God bless @AUThackeray"
Sat Jun 06 13:19:07 +0000 2020,"Shukriya for all ur love for FRSH!
Ab FRSH milega aapko @Flipkart pe bhi!
Try nahi karoge?
Go get ur FRSH... https://t.co/rGttxAf25g

@FrshGrooming ko follow karo for more updates!

#RahoFRSHRahoSafe https://t.co/2vEKSx6VbW"
Mon Jun 01 07:25:38 +0000 2020,"Wajid Vil always love, respect, remember n miss u as a person n ur talent, Love u n may your beautiful soul rest in peace ..."
Sat May 30 08:44:18 +0000 2020,Thank u 🙏 @CMOMaharashtra @Iamrahulkanal @MumbaiPolice  #IndiaFightsCorona https://t.co/GtBL3UrTWC
Fri May 29 04:21:02 +0000 2020,Aaj kal Salaam Namaste karne mein hi swag hai @PepsiIndia #Harghoontmeinswag #swagsesolo #socialdistancing https://t.co/ATY041bHkT
Thu May 28 07:15:15 +0000 2020,"Video toh dekh liya, now listen to #BhaiBhaiAudio

https://t.co/R5jXzTFdhS

@SajidMusicKhan @wajidkhan7 @RuhaanArshad @adityadevmusic @danishsabri12 @NiketanMadhok #SaajanSingh @TaaleemMusic"
Wed May 27 12:15:28 +0000 2020,".
@SajidMusicKhan @wajidkhan7 @RuhaanArshad @adityadevmusic @danishsabri12 @NiketanMadhok #SaajanSingh @TaaleemMusic"
Wed May 27 12:15:28 +0000 2020,"Thank u for the response on bhai bhai , please make the younger generation hear this song again n again , your younger siblings  , your kids etc .thank u 1s again ,may God be vit u n protect u .

#BhaiBhai

https://t.co/NpmD2HsaGI"
Mon May 25 16:12:31 +0000 2020,"Maine aap subb ke liye kuch banaya hai, dekh ke batana kaisa laga... Aap subb ko eid mubarakh ... #BhaiBhai

https://t.co/6giZeG0IhG

@SajidMusicKhan @wajidkhan7 @RuhaanArshad @adityadevmusic @danishsabri12 @NiketanMadhok #SaajanSingh @TaaleemMusic"
Sun May 24 14:49:44 +0000 2020,"Launching my new grooming &amp; personal care brand FRSH! @FrshGrooming
Yeh hai aapka, mera, hum sabka brand jo layega aap tak behtareen products. Sanitizers aa chuke hain, jo milenge aapko yaha https://t.co/L3U5PlsGlt 
Toh try karo!
@FrshGrooming ko follow karo! #RahoFrshRahoSafe https://t.co/iuteEphLzd"
