created_at,text
Mon Jul 27 00:34:50 +0000 2020,"RT @IlhanMN: Join @BernieSanders, @RashidaTlaib, me, and more for our Day of Action live stream! https://t.co/QJv7J1wfe4"
Sun Jul 26 19:17:23 +0000 2020,"RT @IlhanMN: There’s still time to sign up for tonight’s campaign’s Day of Action!

Help us get out the vote with a text bank — then join m…"
Sun Jul 26 18:41:49 +0000 2020,"Today as we mark the 30th anniversary of the Americans with Disabilities Act, we must continue the work to make sure every American is afforded the fundamental right to dignity, independence, and financial security. https://t.co/GUsHdnsjFf"
Sat Jul 25 21:25:11 +0000 2020,"Last election, Trump sent troops to the border to stop the ""invasion."" This election, he is sending troops to Portland to stop ""anarchists."" Trump thrives on racism, hatred, divisiveness and fear-mongering. For the sake of our democracy, he must be defeated."
Sat Jul 25 18:40:29 +0000 2020,"RT @CoriBush: 😍😍😍

Our primary is almost here! I’m so proud, as always, to stand side by side with Sen. Sanders. Together we can and will m…"
Sat Jul 25 18:40:08 +0000 2020,"RT @JulieOliverTX: Texas has the most to gain by moving to Medicare for All. 

We eliminate waste, alleviate the strain on our rural hospit…"
Sat Jul 25 18:28:56 +0000 2020,"Nothing is more morally grotesque than hedge fund managers using a pandemic as an opportunity to make windfall profits off a potential COVID-19 vaccine. Anyone using insider information on this vaccine must be prosecuted to the fullest extent of the law.
https://t.co/u3fbmimLcT"
Sat Jul 25 13:56:25 +0000 2020,Join our day of action today to support progressives running for office across the country: https://t.co/vVrHWAACRH
Fri Jul 24 23:45:48 +0000 2020,"What a hypocrite. Elon Musk has received billions in corporate welfare from U.S. taxpayers. Now he wants to stop 30 million Americans who lost jobs from receiving $600 a week in unemployment benefits, while his wealth has gone up by $46.7 billion over the past 4 months. Pathetic. https://t.co/hECaTul3ZI"
Fri Jul 24 23:30:00 +0000 2020,.@CoriBush is a true progressive who we can trust to stand with working people and take on the corporate elite of this country. https://t.co/Q8DMIV7q2A
Fri Jul 24 22:23:19 +0000 2020,I am once again asking you to wear a mask.
Fri Jul 24 22:09:59 +0000 2020,"Thousands of airport workers in New York fought to pass the #HealthyTerminalsAct. Once signed into law, this bill will give frontline airport workers access to affordable health care. Congratulations to @32BJSEIU and workers on this victory! https://t.co/A5UPYqTvCI"
Fri Jul 24 20:51:31 +0000 2020,"After working for 15 years in the health care finance world, @JulieOliverTX  saw how health care companies prioritize their bottom line over people. Electing Julie to Congress will send a clear message that Texans are ready for Medicare for All. https://t.co/bI5TubbazW"
Fri Jul 24 18:31:03 +0000 2020,Today we have a president who does not believe in democracy. A president cannot send troops wherever he wants to quash dissent. https://t.co/lzSoGGXZIn
Fri Jul 24 17:47:54 +0000 2020,"While we supposedly don't have enough money to protect workers, children and the sick, hedge fund billionaires who lost out on their risky and reckless bets get trillions in secret bailouts. We must stop Wall Street bailouts and protect working families.https://t.co/UuZFmvodLt"
Fri Jul 24 17:28:26 +0000 2020,"I’m also proud to endorse @kdmcdonald2020 for Oakland County Prosecutor. She will take on a criminal justice system that criminalizes poverty, perpetuates institutionalized racism, and continues a failed war on drugs that has devastated communities of color. https://t.co/Ow3am0rUJX"
Fri Jul 24 17:28:26 +0000 2020,Today I’m proud to endorse @joekimok for Broward County State Attorney. Joe has witnessed first-hand the devastation our criminal legal system causes. The people of Broward County have a huge opportunity to bring real change to their communities by electing him. https://t.co/2YY4a1h2mZ
Fri Jul 24 14:56:58 +0000 2020,"The fact that Jeff Bezos increased his wealth by $13 billion in 1 day during a pandemic, while his employees struggle to make ends meet and 50 million Americans are filing for unemployment, tells you a great deal about how our economy is rigged in favor of the billionaire class."
Fri Jul 24 14:05:28 +0000 2020,"One of the most important things you can do right now is to make sure progressives win primaries at all levels of government. Sign up for our day of action tomorrow to support candidates like @BethDoglio, @PramilaJayapal and @CoriBush: https://t.co/2PVjAIB7Ca"
Thu Jul 23 23:10:43 +0000 2020,"RT @CoriBush: It’s GO TIME, y’all 💪🏾

This Saturday, join @BernieSanders and me for a day of action! We’ll be on the phones from 11am-5pm C…"
Thu Jul 23 23:09:25 +0000 2020,RT @IlhanMN: We've taken on corporations that put profit over people. A campaign system fueled by corporate cash. A justice system that doe…
Thu Jul 23 20:40:02 +0000 2020,RT @sunrisemvmt: Sign up for our Wide Awake leadership program! https://t.co/NAMoNh1GZQ https://t.co/3uEmgAxAme
Thu Jul 23 19:31:53 +0000 2020,"Trump wants to give wealthy businessmen a tax break to go out to fancy restaurants, but opposes nutrition assistance to millions of low-income Americans who are going hungry. Yes. Trump loves corporate socialism for his rich friends, unfettered capitalism for everyone else."
Thu Jul 23 00:29:33 +0000 2020,"If we stand together, we can pass a Green New Deal and protect the planet for future generations. Join our organizing call with @sunrisemvmt and @CoriBush live now: https://t.co/oA6YOAAvet"
Wed Jul 22 23:07:27 +0000 2020,Join our day of action on Saturday! Let’s continue the political revolution and expand our movement by electing strong candidates across the country. https://t.co/jHVF8KavyW
Wed Jul 22 20:28:18 +0000 2020,"Today, almost half of the Senate Democratic Caucus voted to cut Pentagon spending by 10% and invest in human needs. We'll continue building a movement which understands the importance of investing in working people, not spending more on defense than the next 11 nations combined."
Wed Jul 22 16:29:27 +0000 2020,"TONIGHT: Join me, @sunrisemvmt, and @CoriBush for an important organizing call. 

Together, we can win a progressive agenda and a Green New Deal.

RSVP at https://t.co/cYus6ur84q. https://t.co/6Cn69MJynF"
Wed Jul 22 13:14:12 +0000 2020,"22 million people are in danger of eviction.

50 million have filed for unemployment.

This is not the time to spend more than the next 11 nations combined on the military.

Tell your senator to support my amendment to cut the military budget by 10% by calling 202-224-3121."
Wed Jul 22 13:11:05 +0000 2020,"RT @CoriBush: I’m hyped y’all! 

I’ll be joining @BernieSanders and @sunrisemvmt TOMORROW at 7:30pm CT / 8:30pm ET to talk about the next s…"
Tue Jul 21 23:38:52 +0000 2020,"Rep. Ted Yoho should spend his time fighting for the thousands of Floridians who are about to lose unemployment benefits and face evictions, not denigrate and insult a champion of working families like @AOC. We need more AOC and less Yoho in Congress."
Tue Jul 21 21:36:56 +0000 2020,"Tomorrow night, join me, @sunrisemvmt, and congressional candidate @CoriBush for an important call on continuing our movement to advance a progressive agenda and a Green New Deal. RSVP at https://t.co/Qfsdfb9IvM. https://t.co/08PXEoCxJY"
