created_at,text
Mon Jul 20 21:39:58 +0000 2020,"Now that I have some of your attention, let’s Keep #JusticeForBreonnaTaylor Going &amp; not let all the internet noise distract from her story."
Mon Jul 20 21:24:43 +0000 2020,🥂✨ https://t.co/Z6KWfqi42Q
Mon Jul 20 19:56:02 +0000 2020,I’ll never get tired of singing this song. I dedicate it to all of you today. ❤️  Happy B-Day Just The Way You Are. #10YearsYoung https://t.co/lsvQpD1zz5
Mon Jul 13 19:14:12 +0000 2020,RT @BET: #SayHerName! Sandra Bland died in police custody 5 years ago today after being arrested in a traffic stop. We remember her today a…
Sun Jun 21 19:23:28 +0000 2020,Happy Father’s Day Pops. I love you.    let me borrow that one piece 😂 https://t.co/b6H1VWCQNs
Sat Jun 20 09:05:56 +0000 2020,RT @AndersonPaak: 🗣 WHO SAID IT WAS A #LOCKDOWN?!? Video and song out now EVERYWHERE! Directed by the goat himself Dave Meyers. Many thanks…
Fri Jun 19 05:52:26 +0000 2020,✨✨✨ https://t.co/Ly3JfvwKmw
Sun Jun 14 18:58:52 +0000 2020,They could’ve easily called someone  to take him home and protect his life instead of shooting him in the back like some chumps. I’m sick. https://t.co/uALcvoXSeg
Thu Jun 11 14:11:06 +0000 2020,Everyone Please Watch! #JusticeForBreonnaTaylor https://t.co/dr81kWpxzH
Sat Jun 06 05:19:10 +0000 2020,RT @sarahannwithanh: Hawai’i for #BlackLivesMattters . https://t.co/yffpNU5lTJ
Wed Jun 03 18:08:51 +0000 2020,~Muhammad Ali https://t.co/TubTtSmdFL
Wed Jun 03 17:25:25 +0000 2020,RT @BET: “Daddy changed the world”- George Floyd’s daughter ❤️ #JusticeForGeorgeFloyd #BlackLivesMatter https://t.co/sTnzY8leBN
Sun May 31 18:49:27 +0000 2020,Thank you to all the protesters around the world fighting for whats right.  Protect Black lives #BlackLivesMatter.
Sun May 31 18:48:31 +0000 2020,"Thank you @MrChuckD for posting this. I’m sure the history for a lot of folks comes with shame, but America  needs to look in the mirror. https://t.co/35hrpV2gMh"
Sat May 30 00:08:22 +0000 2020,#JusticeForGeorge #JusticeForGeorge #JusticeForGeorge
Sun May 10 21:57:09 +0000 2020,"Look at moms!! I remember when she bought this wig and swore she was Tina Turner😂. Happy Mothers Day to all the hard workin mamas out there. I hope you all feel the love today, tomorrow and forever. 🌹 https://t.co/fV4L3shroa"
Sat May 09 20:08:25 +0000 2020,Love you Little Richard. https://t.co/ql5PedKvzG
Mon May 04 18:03:14 +0000 2020,Congrats on your #1 record Unc! #ForeverValentine!  Everyone show your love for the One and only @CharlieWilson !!! 💐 👏 💐 👏 💐 https://t.co/3Xzjl4xSxy
Tue Apr 21 02:48:02 +0000 2020,I’m writing everyday... I promise.  ❤️ https://t.co/FbzDUfKIFY
Tue Apr 21 02:44:38 +0000 2020,Nah https://t.co/TaVNB6PH5z
Tue Apr 21 02:42:12 +0000 2020,We all won tonight witnessing @KennyEdmonds and @TeddyRiley1  go back and forth with pure greatness.
Fri Apr 10 19:19:58 +0000 2020,If you’re ever feeling yourself as a song writer take a look at BabyFace’s catalogue and it will quickly remind you that you ain’t shit! Happy Birthday to one of the greatest! I call him The Teacher. AKA… https://t.co/cGMSH9dtYk
