created_at,text
Sat Jul 04 21:08:52 +0000 2020,I love this feeling 😉💪🏼 https://t.co/Aj6uHZfUjF
Sat Jul 04 18:08:19 +0000 2020,Grande vittoria! Abbiamo bisogno di questo spirito... FINO ALLA FINE 💪🏼👏🏼 https://t.co/WyhD4JnVDF
Mon Jun 29 19:04:20 +0000 2020,What do you think about my look like my brother Panita ?! 🤔🤪 https://t.co/OUpYQApFfT
Sat Jun 27 12:25:22 +0000 2020,Starting the weekend with a good vibe and a good style🤪 https://t.co/EXHMtk25UT
Fri Jun 26 22:24:38 +0000 2020,Vittoria importante! Grandi ragazzi! 👏🏼💪🏼 #finoallafine https://t.co/k4JMrV4pt4
Thu Jun 25 18:22:44 +0000 2020,Enjoying this beautiful sunset 😃👌🏻🌅 #torino https://t.co/TjPlusRJiX
Sun Jun 21 19:21:09 +0000 2020,"Never give up, always focused on the next step...All together 💪🏼 #finoallafine https://t.co/uBITkFZaar"
Wed Jun 17 09:02:37 +0000 2020,"Nem quero acreditar que o meu menino já tem 10 anos! Como o tempo passou... e desde sempre foste motivo de orgulho do pai que tanto te ama.
Muitos Parabéns, Filhote! Um dia Feliz! Amo-te muito! 🎂🎉❤️🙏 https://t.co/Jq2jVB60zd"
Mon Jun 15 17:41:37 +0000 2020,Get some Vitamin D ☀️ https://t.co/Y86OHwZj3b
Fri Jun 12 13:41:47 +0000 2020,"Wherever you are, we'll always be together 💪🏼#FinoAllaFine #ForzaJuve https://t.co/BQPJ5fRcMD"
Thu Jun 11 13:25:12 +0000 2020,Have a nice day 😉👌🏻 #thursdaystyle https://t.co/HC21fCptQI
Mon Jun 08 11:12:52 +0000 2020,Monday motivation!💪🏻 The Competition is coming ⚽️😀 https://t.co/mdVq45pz8s
Fri Jun 05 18:01:52 +0000 2020,"Let’s rise to the challenge. What are you doing to #ComeBackStronger? Take part in the #ClearResilienceChallenge at https://t.co/9qzG1XJp1O
#KeepaClearHead #MentalHealthMatters https://t.co/sOHWLZ1vQx"
Fri Jun 05 10:17:27 +0000 2020,Happy Birthday to my two sweeties Eva and Mateo! 👧🏻🎉👶🏻🎉 We love you to the end of the world💕🙏 #prouddad https://t.co/0YnvN2QxNy
Wed Jun 03 11:32:53 +0000 2020,I fall in love every time I see these two😍🙌👨‍👧‍👧 #dadysgirls https://t.co/0rPaSsAhnh
Thu May 28 16:10:09 +0000 2020,Family Bike Ride 🚴🏼👌🏼❤️ https://t.co/mYrnDpEChQ
Tue May 26 16:51:26 +0000 2020,Approved ? 🤔 https://t.co/FsWDUuMGx4
Fri May 22 15:48:48 +0000 2020,Work hard play hard 💪🏼 https://t.co/lsRIikp7Jg
Tue May 19 17:40:14 +0000 2020,"When we become patient and consistent, we find the way to get through the difficulties ⚽️💪🏻
#backontrack #beresponsible https://t.co/5hFiwr2J2X"
Sat May 16 17:10:35 +0000 2020,Our health is the most important thing we have 👍 How are you practicing good #fitness and #nutrition habits? @Herbalife Nutrition. https://t.co/z0JEzyxHnz
Fri May 15 08:00:00 +0000 2020,"Home workout with EMS training gear SIXPAD. Stay Fit and Stay Positive!
@sixpadeurope
https://t.co/a1KWPXzoxe
#SIXPAD #traininggear #Homeworkout #stayfit https://t.co/lU60WsYfXr"
Sat May 09 18:48:20 +0000 2020,Well done my friend! 🙌🏽 https://t.co/XqTFitr5tI
Thu May 07 16:24:11 +0000 2020,The greatest love... 🙏🏼❤️ https://t.co/ffSjOVHJDC
Tue May 05 17:04:29 +0000 2020,We’ll be back 💙🙏 #family #madeiraisland https://t.co/Gm1ifjnkfi
Fri May 01 12:00:00 +0000 2020,"Today is day 1 of Clear’s 14 day resilience challenge to #ComeBackStronger. Follow @HaircareClear over the next two weeks for skills, hacks and tips on how to build your resilience. https://t.co/fUFYAu32QV  #KeepaClearHead #MentalHealthMatters https://t.co/yOXFVgkXTd"
Tue Apr 28 11:00:01 +0000 2020,These are challenging times. Let’s make sure we stay on top of our game so we can all #comebackstronger. Be part of the Clear 14 Days Resilience Challenge from May 1st at @HaircareClear . I know I will. #keepaclearhead #resilience #mentalhealthmatters https://t.co/ByvTfKlKTF
Mon Apr 27 12:15:27 +0000 2020,Morning workout with a cycling session....these wheels are on fire 🔥 😂💪🏼 https://t.co/lcHnUbGQ8m
Sat Apr 25 11:41:16 +0000 2020,Keep strong guys! Lets go! 💪🏼🏋🏽‍♂️ #stayactive https://t.co/XFsHlXiJqm
Mon Apr 20 18:20:36 +0000 2020,Workout to improve mind and body 🚴🏻💪🏻#stayactive https://t.co/89cXZn3WoB
Sat Apr 18 12:02:57 +0000 2020,The best way to start the day 🙏❤️ https://t.co/iQd99vAGbR
Fri Apr 17 18:17:09 +0000 2020,Like father like son 😂👨‍👦❤️ #siiiimmmmm https://t.co/7Tmmno0tO7
