created_at,text
Fri May 15 16:09:44 +0000 2020,RT @OVOSound: DEM TIMES @RoyWoods out Now ⏰ https://t.co/bM0i6vVn7F https://t.co/oqx36tjrXF
Thu May 07 16:36:31 +0000 2020,"RT @OVOSound: DARK LANE DEMO TAPES @DRAKE 
https://t.co/ZNaBllv0e3 https://t.co/fdH8WftQl9"
Fri May 01 04:01:36 +0000 2020,DARK LANE DEMO TAPES https://t.co/nLLgCmPlN1 https://t.co/9uqYhDWxlc
Thu Apr 30 23:56:44 +0000 2020,RT @OVOSound: Dark Lane Demo Tapes @Drake available Everywhere 12AM EST https://t.co/nXTUE0qHtG
Fri Apr 17 04:10:38 +0000 2020,"RT @dvsn: Our Album ""A Muse in Her Feelings"" OUT NOW! ➗
https://t.co/7hmL1X2PWC https://t.co/TfaqtETDUe"
Fri Apr 03 04:18:55 +0000 2020,TOOSIE SLIDE (official video) https://t.co/CKhTIXdVT1
Fri Apr 03 04:00:14 +0000 2020,TOOSIE SLIDE https://t.co/JTDrEtJsjX https://t.co/JgDRAUM2SG
Thu Apr 02 22:15:03 +0000 2020,RT @partynextdoor: TBT.... FERINA NAVY @rihanna https://t.co/XQKtlwA216 https://t.co/HG2dAuiaBX
Fri Mar 27 04:09:44 +0000 2020,RT @partynextdoor: BELIEVE it w/ @rihanna out now https://t.co/XQKtlwA216 https://t.co/p4tKngMT4s
Fri Mar 27 04:08:43 +0000 2020,RT @partynextdoor: PARTYMOBILE out now https://t.co/y1X0F05nih https://t.co/YaBfoQJsMo
Thu Mar 26 16:21:58 +0000 2020,RT @partynextdoor: 📳📳📳 TRACKLIST... ALBUM OUT TONIGHT 12AM EST https://t.co/YwkuBN8vD0 #PARTYMOBILE https://t.co/hbgxsi2yvA
Sun Mar 01 04:22:03 +0000 2020,RT @OVOSound: . @Drake When to Say When &amp; Chicago Freestyle (Video) https://t.co/ZIAX2R3UCY
Tue Feb 11 20:05:52 +0000 2020,"URL x CAFFEINE
Excited to announce this major step forward!! I managed to get @urltv and @caffeine linked up with the objective of making battle rap easier to access in you home or on your mobile device and it’s FREE to watch battles once you sign up. Greatness Simplified. https://t.co/0XqosqiN1Q"
Fri Feb 07 05:21:59 +0000 2020,RT @partynextdoor: LOYAL remix ft. @Drake &amp; @sanbenito https://t.co/mNd5IuZi9x https://t.co/Oi7KHIISW5
Sat Jan 25 05:45:27 +0000 2020,Congrats to the cast and crew on their premiere at @sundancefest. Honored to be a part of this. https://t.co/gou3DPVd2w
Tue Dec 24 05:36:18 +0000 2019,"RT @OVOSound: Drake “War” (Video) 
https://t.co/taDWx4vY6p"
Fri Dec 20 06:06:00 +0000 2019,"RT @PopcaanMusic: We going live right now #VANQUISH out now #876GUD 
https://t.co/X3w58HmQvA https://t.co/N3YI6o1EQN"
Fri Dec 06 20:31:50 +0000 2019,"RT @CargoJetAirways: A night of Champions celebrating Champions. Our sincerest thanks to our loyal customers as well as Kyle Lowry, Serge I…"
Fri Nov 22 05:21:53 +0000 2019,RT @partynextdoor: Loyal feat. @Drake out now https://t.co/aGmBC4jFmu https://t.co/U2Olu9JRdQ
Wed Nov 06 17:15:54 +0000 2019,"RT @OVOSound: Kevin o Chris “Ela É do Tipo Remix” ft. @Drake @KevinOChris 

https://t.co/mjDvMdJkho https://t.co/YAUAlR3O9e"
Thu Sep 26 18:25:38 +0000 2019,RT @OVOSound: TOP BOY Music from the Show &amp; Soundtrack @topboynetflix https://t.co/mWKC5grdln
Fri Sep 13 04:05:56 +0000 2019,"TOP BOY (a selection of music inspired by the series) Now Available Everywhere! @OVOSound 
TOP BOY - The Netflix Series
Available 12am PST @topboynetflix    https://t.co/dJzSFs5rs0"
Wed Sep 11 17:30:48 +0000 2019,"RT @OVOSound: TOP BOY
  Friday Sept 13 https://t.co/tSkdWi32XV"
Sat Aug 31 22:38:10 +0000 2019,Almost that time!!! TOP BOY https://t.co/0wDyY4rk5r
Mon Aug 26 16:44:24 +0000 2019,RT @OVOSound: MONEY IN THE GRAVE. (Video) @Drake @RickRoss https://t.co/IYsKrZ3dIi
Sun Aug 04 19:27:30 +0000 2019,TONIGHT @euphoriaHBO EPISODE 8 https://t.co/CaGAvTu8ZM
Fri Aug 02 04:11:47 +0000 2019,RT @OVOSound: “Some of our most important moments together available in one place” @Drake Care Package https://t.co/bH2C65lk3l
Sun Jul 28 21:37:40 +0000 2019,TONIGHT @euphoriaHBO EPISODE 7 https://t.co/F6aEmh3v0W
Sun Jul 21 21:53:44 +0000 2019,TONIGHT @euphoriaHBO EPISODE 6 https://t.co/VWmfCcYw7d
Sun Jul 14 21:42:43 +0000 2019,TONIGHT @euphoriaHBO EPISODE 5 https://t.co/X0c1h3HVh0
Sun Jul 07 21:34:51 +0000 2019,TONIGHT @euphoriaHBO EPISODE 4 https://t.co/TRDwHoNVsH
Sat Jun 15 07:03:13 +0000 2019,RT @OVOSound: The Best In The World Pack @Drake https://t.co/39GzXua3Va
Mon May 13 19:21:25 +0000 2019,"Supporting  home grown businesses has always been a top priority of mine, so when an opportunity came up to get involved with Cargojet, a great Canadian company I was honored to do so. @CargoJetAirways @ajayvirmani1 https://t.co/orrLpuHwOL"
Thu Mar 28 17:03:08 +0000 2019,#euphoria is coming soon to @HBO https://t.co/KbKYd1wx66
Fri Feb 15 05:02:03 +0000 2019,"So Far Gone the full original version of the mixtape, streaming everywhere for the first time  https://t.co/3Rxoxuv3MC"
Tue Jan 22 08:57:57 +0000 2019,ASSASSINATION VACATION 😈🏝 UK and EU tour tickets on sale Friday!!! Me and @torylanez w/ opening sound set by @tiffanycalver 🇬🇧 🇮🇪 🇳🇱 🇫🇷 🇧🇪 https://t.co/IaQoWRounT
Fri Jan 18 17:20:34 +0000 2019,RT @guardian: Monsters and Men review – boys from the hood take a stand on the street https://t.co/grqrFeO0a5
Fri Jan 18 16:29:08 +0000 2019,RT @guardianfilm: Monsters and Men review – boys from the hood take a stand on the street https://t.co/KdT8y1SUUZ
Fri Jan 18 16:28:00 +0000 2019,"Proud to present MONSTERS AND MEN with @AltitudeFilms in UK and Irish cinemas and on digital platforms today!

@Guardian’s Film of the Week. “A powerhouse that couldn’t be more timely or necessary” @RollingStone

Book tickets and download now - https://t.co/lWdPKMqkRS https://t.co/Fd2SLVsAul"
Mon Nov 19 18:25:14 +0000 2018,https://t.co/SqQVPvx0HK @RED https://t.co/1Yono6OE6i
