created_at,text
Mon Jul 27 04:05:08 +0000 2020,"laughing and joking and enjoying life together... whatever that is, wherever that is...doesn’t matter. That’s the blessing I have in you... happy birthday 13...  @AROD"
Mon Jul 27 04:05:07 +0000 2020,You are on TV right now and I’m sitting here in the studio watching you and thinking about how I only want to be right here with you... https://t.co/7D7mbVY8Rr
Sun Jul 26 19:57:02 +0000 2020,Outtake from @BritishVogue getting ready for the The Governor’s Ball for the Academy... 📸 by Greg Williams https://t.co/IiipDHyEbo
Sun Jul 26 18:59:17 +0000 2020,RT @ElixExotic: My mom loving her @JLo x DSW shoes I gifted her ✨💛✨ https://t.co/RtVmjzDyJq
Sun Jul 26 18:59:06 +0000 2020,@Jessa_JLover @JLO_House They look great!!!
Sun Jul 26 15:41:27 +0000 2020,"#TooManyShoes check! 👠 ✨👟 It’s time for another TikTok challenge, but this time with @dsw_us in celebration of my #JLOJenniferLopez collection. Can’t wait to see your videos! #DSWFinds #MyDSW https://t.co/QlsrdTtG69"
Sun Jul 26 04:12:18 +0000 2020,Exactly where we need to be ... https://t.co/J6tRWAvrHW
Sat Jul 25 18:02:14 +0000 2020,"RT @onepeloton: Official reminder that it’s time to retake our @JLo classes, stat."
Sat Jul 25 14:36:11 +0000 2020,Just finished a great post-birthday celebration workout and helped to support hunger awareness! ✨💪❤️ #NoLimitLegion #Pelothon2020 @onepeloton https://t.co/nNWZueiymn
Sat Jul 25 05:39:47 +0000 2020,Birthday treats! What’s your fave bday cupcake? Chocolate 🍫 or vanilla🍦!? https://t.co/zz1z5Y2nq9
Sat Jul 25 05:13:56 +0000 2020,Crying tears of joy! Thank you for the best day! https://t.co/tW4FHw6NPS
Fri Jul 24 23:32:50 +0000 2020,"RT @kristijlover: where i’d rather be right now 🥺 happy birthday ⁦@JLo⁩, the world is a much better place because you’re in it, thanks for…"
Fri Jul 24 23:30:53 +0000 2020,RT @NastjaJ: @JLo Happy birthday to you My Queen!!!! Be happy today and always!!!
Fri Jul 24 23:30:42 +0000 2020,RT @jrodfam13: POV: You are a cameraman/women that has been recording Jennifer since she first started and now that she has accomplished so…
Fri Jul 24 19:51:32 +0000 2020,"....But what’s the same is I still feel the love from all of you and I hope you feel it too! Even though the world has changed so much, here is something that never will: I love you, I love you, I love you!!! It’s mah birthday!!! ❤️✨"
Fri Jul 24 19:51:19 +0000 2020,"Thank you so much for all of your beautiful birthday wishes! As I watch and read through all of them, I can’t help but think how I spent my last birthday with so many of you last summer celebrating and how this year is so different.....
https://t.co/nsrKNYGp4N"
Fri Jul 24 19:48:50 +0000 2020,RT @SonyPictures: Let’s get loud for @JLo’s birthday today! ✨✨ https://t.co/hdNJ9KKSHG
Fri Jul 24 19:48:47 +0000 2020,"RT @unifamosos: @JLo llega a los 51 años más guapa que nunca, le deseamos lo mejor. ¡Felicidades! 🎂 🎁 🎉 https://t.co/VqN9mw35bC"
Fri Jul 24 19:48:42 +0000 2020,"RT @GlobalGrind: Happy Birthday, Jennifer Lopez!
@JLo 🥰🥰 https://t.co/98aRTb9iwk"
Fri Jul 24 19:48:37 +0000 2020,"RT @MTVNEWS: Today is @JLo's 51st birthday! Back in 1999, she talked to us about the gift of inspiring people with her work, and doing what…"
Fri Jul 24 02:50:28 +0000 2020,RT @AROD: LET'S GOOOOOO!!!! #OpeningDay
Fri Jul 24 02:50:20 +0000 2020,RT @SairenKhay: My new babies @JLo 💛😍 can't wait to wear them. #JLoJenniferLopez ✨ https://t.co/yrjQJBBSWY
Thu Jul 23 17:41:12 +0000 2020,This week on @NBCWorldofDance! @savannahmanzel you blew me away!♥️ ICYM this week’s episode: https://t.co/xIEAnVyhl0 https://t.co/lPtTjfjocH
Wed Jul 22 05:56:44 +0000 2020,"RT @NBCWorldofDance: .@JLo is taking you behind the scenes of #WorldofDance. 💥 
https://t.co/6DOvLHboIR"
Wed Jul 22 03:05:17 +0000 2020,RT @KrisJLover4Life: Can we fast forward to next week now?? I’m ready for more duels💃🏼 @JLo #WorldOfDance
Wed Jul 22 03:05:07 +0000 2020,RT @Josefiine_: @JLo @NBCWorldofDance @egt239 😍😍 I'm excited to see everyone! I can't choose one 🤷🙈 Those duels are so exciting to watch an…
Wed Jul 22 03:00:08 +0000 2020,What a battle… Who do you want @official_tWitch to bring back in the redemption round?!!? @NBCWorldofDance @egt239
Wed Jul 22 02:43:17 +0000 2020,"JLo, DHo, NeYo…. Hahaha love you guys 😂♥️ @NeYoCompound @derekhough @egt239 #WorldOfDance @nbcworldofdance"
Wed Jul 22 02:16:10 +0000 2020,That was one of the hardest rounds of the duels… #FightMode #WorldOfDance @NBCWorldofDance @egt239
Wed Jul 22 02:08:53 +0000 2020,RT @AROD: It’s that time again! On my couch with my popcorn ready for #WorldOfDance! Who else is watching? @JLO @egt239 @NBCWorldofDance
Wed Jul 22 02:08:06 +0000 2020,Yes you did! https://t.co/hfSpyPLg4M
Wed Jul 22 02:02:58 +0000 2020,These Juniors are such special little beings with SOOO much talent. So excited to see what they do tonight! Who are you most excited to see?! ✨ #WorldOfDance @NBCWorldofDance @egt239
Wed Jul 22 01:04:53 +0000 2020,"East Coast!!! We're back in just an hour. ICYMI, check out the latest BTS from @NBCWorldofDance 👉https://t.co/IpETF9OtVp #WorldOfDance @egt239"
Tue Jul 21 23:55:03 +0000 2020,#WODoutfitcheck https://t.co/WXjU88lgcj
Tue Jul 21 23:55:02 +0000 2020,#WODoutfitcheck https://t.co/UMFsDUkpw3
Tue Jul 21 23:55:01 +0000 2020,#WODOutfitCheck!!!! I’ve been lovvvving all of your recreations. You guys are too good. Check my next tweet for some of my faves. 👀💋❤️👏🏼 Who are you most excited to see tonight in @NBCWorldOfDance?!? #WorldOfDance @egt239 https://t.co/nzhIvxr8fh
Tue Jul 21 23:36:20 +0000 2020,RT if you’re ready for a new episode of @NBCWorldofDance TONIGHT !!! Live tweet with me using #WorldOfDance starting at 10pm EST! @derekhough @NeYoCompound @egt239 ✨
Tue Jul 21 23:31:14 +0000 2020,Love this!!! Good luck to all tonight  ✨✨✨ https://t.co/Ex8kfrVTR6
Tue Jul 21 13:04:15 +0000 2020,Summertime shine ✨🌟 #Lulu https://t.co/NVBRMS87Rz
Tue Jul 21 05:53:19 +0000 2020,@brooke ❤️❤️
Tue Jul 21 03:57:48 +0000 2020,RT @people: Jennifer Lopez and Alex Rodriguez Partner with Company Hims &amp; Hers on Accessible Healthcare​ https://t.co/7XIDkoUF2o
Tue Jul 21 03:23:21 +0000 2020,RT @NBCWorldofDance: Dropping this GIF here because we can. 🔥 https://t.co/t9tiMol4vP
Mon Jul 20 15:21:46 +0000 2020,"But it’s not always easy, especially now. 
@wearehims &amp; @wearehers is an accessible solution with products and services that will keep you in charge of your own well-being. You deserve it!!!!! 💗Check them out here: https://t.co/vg42WYtV8x #HersPartner"
Mon Jul 20 15:18:22 +0000 2020,"Now more than ever, it’s sooo important to advocate for your own health and wellness. 🤍 Everyone deserves to look and feel their best ... self-care is your right! https://t.co/vvMl1j6pal"
Mon Jul 20 14:14:11 +0000 2020,"RT @NBCWorldofDance: You'll get goosies the second @mdc3official starts dancing. 

Catch #WorldofDance TOMORROW 10/9c on @nbc. https://t.co…"
Mon Jul 20 02:37:13 +0000 2020,Family time ❤️❤️❤️ https://t.co/ObdoZeYxls
Fri Jul 17 18:16:58 +0000 2020,Don’t believe me just watch. 👀🎼 A lil flashback to one of my favorite dance breaks! #AMAs 🤍 https://t.co/NgOrVDI0Xy
Fri Jul 17 05:13:59 +0000 2020,RT @AROD: https://t.co/3XwNQIuNNS
Fri Jul 17 00:09:52 +0000 2020,Baby hairs and moñitos ✨✨ https://t.co/oDbfm7IFii
Thu Jul 16 06:03:57 +0000 2020,"RT @AROD: Get motivated. 💪 Turn it UP. 🔥 Keep going.🏃 

Drop a 💪 below if you’re motivated to be your best self this week. https://t.co/6F0…"
Wed Jul 15 14:37:33 +0000 2020,Just for my #JLovers...today is the last day to shop 50% off my @dsw_us footwear collection!!!! 🖤🖤🖤 I can’t wait to see all your LEWKS! Post your photos using #JLoJenniferLopez and I might reshare! 💋 https://t.co/mXFVrx3TLU https://t.co/5cTVsccOUC
Wed Jul 15 03:02:11 +0000 2020,SAME!!!! ♥️♥️♥️♥️ https://t.co/nJc7z63tAi
Wed Jul 15 03:01:55 +0000 2020,RT @NBCWorldofDance: Styles and Emma are back with another amazing performance. 😍 https://t.co/lmgpBpvRql
Wed Jul 15 03:00:22 +0000 2020,It was NOT easy! @NBCWorldofDance #WorldofDance https://t.co/y2eILPquNV
Wed Jul 15 02:59:20 +0000 2020,"All you have in life is here and now… you have to attack it like its the last minute you’re gonna get. 🙏🏼✨@egt239 
#NBCWorldOfDance @nbcworldofdance"
Wed Jul 15 02:58:28 +0000 2020,"RT @official_tWitch: Woooooooo, now that’s a redemption performance right there!! #worldofdance"
Wed Jul 15 02:46:35 +0000 2020,RT @AROD: 😱😱😱 - me watching @GeometrieV #WorldOfDance @NBCWorldofdance @JLO @egt239
Wed Jul 15 02:44:36 +0000 2020,"Did someone say redemption? It’s not over until it’s over. Who do you want @official_tWitch to bring back to battle it out?! 🤔
#NBCWorldOfDance @nbcworldofdance"
Wed Jul 15 02:39:10 +0000 2020,There is just something so special about my boys from @Geometriev. ✨#NBCWorldOfDance @nbcworldofdance
Wed Jul 15 02:12:11 +0000 2020,"This is gonna be tough, I can already tell…. #NBCWorldOfDance @nbcworldofdance @egt239 #JakeandChau #JoshandErica"
Wed Jul 15 02:07:33 +0000 2020,Trust me…. You are not going to want to miss this round of the duels… ✨#NBCWorldOfDance @nbcworldofdance @egt239
Wed Jul 15 01:35:21 +0000 2020,We’re back in just 30 minutes! Check out some my fave fashion moments from this season so far!!! @NBCWorldofDance #WorldOfDance ✨https://t.co/WKWXLOtlVi
Wed Jul 15 00:33:13 +0000 2020,We’re back at 10/9c @nbcworldofdance 😉 #WorldOfDance @derekhough https://t.co/6RibLC4AGl
Sun Jul 12 20:26:41 +0000 2020,"RT @NBCWorldofDance: We can't get enough of @JLo, @DerekHough, and @NeYoCompound. 😂 https://t.co/98yIbqQcVb"
Sun Jul 12 19:29:56 +0000 2020,Always grateful for a day in the sun. ☀️❤️ #SundayFunday https://t.co/3fCS19Yo4w
