created_at,text
Sun Jul 26 20:35:22 +0000 2020,RT @hannahbethbell: Been there. Done that.
Fri Jul 24 20:55:50 +0000 2020,"Glad the Liberals are taking some Green ideas 👏 helping women helps everyone!

👉 https://t.co/a33eIs3Sjs https://t.co/Ir3jd65eht"
Fri Jul 24 12:34:23 +0000 2020,"RT @amarapossian: ""I believe having a daughter does not make a man decent. Having a wife does not make a decent man. Treating people with d…"
Thu Jul 23 23:15:19 +0000 2020,@haddy_laura @JenicaAtwin Registration info is here! https://t.co/0iYhBZrDE7
Thu Jul 23 22:20:43 +0000 2020,"Happening now! Tune in to spot moderator 
@JenicaAtwin's Dunder Mifflin mug 😉 https://t.co/rXIhqGHyY5"
Wed Jul 22 21:29:48 +0000 2020,"RT @CanadianGreens: The Green Party of Canada strongly condemns the racist, sexist and anti-Semitic attacks which occurred during our onlin…"
Wed Jul 22 19:34:05 +0000 2020,"RT @ElizabethMay: Last night, during a zoom debate between leadership candidates, vile, hateful, racist, misogynist and anti-Semitic commen…"
Wed Jul 22 19:08:55 +0000 2020,"RT @paulmanly: As @CanadianGreens, our party has zero tolerance for hate, racism and discrimination. 

@AnnamiePaul and @MeryamHd2020 - I s…"
Wed Jul 22 16:40:08 +0000 2020,"RT @DanielGreen_PVC: Des propos racistes, sexistes et haineux dans le chat lors des débats sur Zoom des candidat.e.s à la course à la cheff…"
Wed Jul 22 03:44:34 +0000 2020,"In our Prairies townhall tonight, 2 of our leadership contestants were subject to abhorrent racist &amp; anti-Semitic attacks from participants.

Those behind the attacks were not GPC members, and never will be.

We stand with you @annamiepaul @meryamhd2020

https://t.co/X2mY8MKvM0 https://t.co/eavzL0sCcM"
Tue Jul 21 18:14:04 +0000 2020,"Had a great chat with MS Society of Canada and the Canadian Cancer Society last week. 

Thank you for fighting for a social safety net that catches us all!

@MSSocietyCanada @cancersociety  

https://t.co/spDu6zHb8D"
Tue Jul 21 17:26:53 +0000 2020,Such an important discussion. #NoOneLeftBehind #TheFutureWeWant #ReimagineOurFuture https://t.co/U44zKNnrPz
Tue Jul 21 15:50:28 +0000 2020,Finally able to talk to a person I’ve admired from a distance for years. You must hear @NicESpurling   Will post soon https://t.co/eYi0MwbARV
Tue Jul 21 01:57:04 +0000 2020,Maryam Monsef: Rape kits in every hospital in Canada - Sign the Petition! https://t.co/U3MH01jq0J via @CdnChange
Tue Jul 14 22:58:49 +0000 2020,"Big news from @billmckibben. A real hero who has shown leadership, courage and vision in challenging times. https://t.co/HWpQLmMNGE"
Tue Jul 14 22:57:17 +0000 2020,"@billmckibben @350 Thank you @billmckibben for fortitude, vision and courage. Knowing when the time is right to shift roles is a sign of wisdom. So glad we can still seek your wise insights. All the best! 🌍👏💚"
Tue Jul 14 19:21:07 +0000 2020,"RT @CanadianGreens: Students were relying on the government for summer jobs 
and the government failed them. 

The clock is ticking. https:…"
Tue Jul 14 18:54:13 +0000 2020,"We can’t get distracted by partisan posturing. Canadian students, many from communities hit hardest by COVID-19, need our support. Now.

The gov’t should reallocate the $1 billion in funding to the Canada Summer Jobs program asap. #cdnpoli 

https://t.co/R52UgWUFR3"
Tue Jul 14 18:54:13 +0000 2020,"“…the program saw more than 35,000 applications within the first week, with 64 per cent of them coming from those identifying as visible minorities. Almost a quarter of applications were from rural Canada, while 10 per cent were individuals from LGBTQ2 communities.”"
Tue Jul 14 02:19:27 +0000 2020,"RT @peterbevanbaker: This is a great interview about how well placed PEI is to go first with a Basic Income Guarantee, and provide dignity…"
Mon Jul 13 17:56:13 +0000 2020,"RT @ElizabethMay: ""If there is not enough childcare, mothers are the most likely to stay home from work. This is an economic blow that we c…"
Mon Jul 13 17:17:11 +0000 2020,"Canadians who are celebrating the news from Washington today: let's make sure @EdmontonEsks are next.

#ChangeTheName #NotYourMascot https://t.co/Igi4pNwhR4"
