created_at,text
Mon Jul 27 00:49:19 +0000 2020,"RT @TeamJoe: We have just 100 DAYS until Election Day, and we need all hands on deck for this final stretch. So today, we’re kicking off 10…"
Sun Jul 26 23:20:00 +0000 2020,"In 100 days, we’re going to make Donald Trump a one-term president. https://t.co/vTrPRrHhwm"
Sun Jul 26 20:26:00 +0000 2020,"Women have decided the course of history with grit, clarity, and courage. This election is no different.

We have just 100 days to get out the vote, unite the country, and vote Donald Trump out of the White House.

Join us, and let's get to work: https://t.co/gnaFCACYrW https://t.co/9CnwM9wEDM"
Sun Jul 26 19:45:00 +0000 2020,"Thirty years on, we still have work to do to realize the full aspiration of the Americans with Disabilities Act. We need to ensure that every American has the chance to live independently and free from discriminatory systems and practices. #ADA30 https://t.co/BIMyE5Hy3h"
Sun Jul 26 17:45:00 +0000 2020,"Folks, we have just 100 days until Election Day. Now, more than ever, we have to do everything we can to make Donald Trump a one-term president.

Register to vote: https://t.co/Hy8C4mIL2M

Donate: https://t.co/Iimssjnz4A

Volunteer: https://t.co/GCxsKwFY4h

Let’s get to work. https://t.co/aa1BsTsdu9"
Sun Jul 26 15:30:00 +0000 2020,"In 100 days, we have the chance to set our nation on a new path. One where we finally live up to our highest ideals and everyone has a fair shot at success.

Join us: https://t.co/gnaFCAUzju https://t.co/fkmLEpLvJR"
Sun Jul 26 13:00:01 +0000 2020,100 days.
Sun Jul 26 00:45:00 +0000 2020,"As Hurricane Hanna makes landfall, Jill and I are sending our prayers to the people of South Texas. We must ensure that affected residents get the support they need — and get it quickly. If you are in an impacted region, please heed the advice of local officials and seek shelter."
Sat Jul 25 23:30:00 +0000 2020,"I know firsthand how hard it can be to take care of an aging family member. It's why as president, I'll ease the financial burden on families and expand access to dignified care for older Americans. https://t.co/Z8FOorRgLe"
Sat Jul 25 21:00:01 +0000 2020,No one should have to work more than one job to make ends meet. We have to raise the minimum wage to $15 an hour and build an inclusive middle class that brings everyone along.
Sat Jul 25 19:00:00 +0000 2020,There is no quit in America — and you deserve a president who won’t quit on you.
Sat Jul 25 17:00:01 +0000 2020,"President Trump ordered his administration to slow down coronavirus testing, he tried to block CDC funding, and he has ignored the experts from day one. His actions defy both logic and humanity.
 
What kind of president actively undercuts efforts that will save lives?"
Sat Jul 25 14:32:00 +0000 2020,"Every American family deserves access to affordable, high-quality child care.

Here's how I'll make that happen: https://t.co/Z8FOorRgLe https://t.co/4woudaAGqo"
Sat Jul 25 13:24:06 +0000 2020,"RT @TeamJoe: 🚨 Sunday marks 100 days until Election Day 🚨

To kick off the final stretch, we’re hosting a #CelebrationForChange! It will be…"
Sat Jul 25 00:15:00 +0000 2020,"I know times are tough, but I want you to know you're not alone. We're all in this fight together. And together, we'll emerge stronger than before."
Fri Jul 24 22:20:00 +0000 2020,"The President has a duty to care for us all. To see people where they are and to understand what they’re going through.

I’ve been a single parent. Even though I had a lot more support than a lot of folks going through tough times, I know how hard it is. https://t.co/7JlGjvUcqd"
Fri Jul 24 20:40:00 +0000 2020,"This is the United States of America. We don’t settle — we aspire.

Let’s get to work."
Fri Jul 24 18:30:00 +0000 2020,"The hard truth is that we can't just build back to the way things were before these crises — we have to build back better.

President @BarackObama and I discussed how we can do that, and much more: https://t.co/DBqIS5IoN3"
Fri Jul 24 16:46:00 +0000 2020,Our nation is at a crossroads. We can choose four more years of Donald Trump’s divisive politics and failed leadership — or we can forge a new path forward. https://t.co/CHbtVP8IaV
Fri Jul 24 14:32:00 +0000 2020,"Home care workers and child care workers — who are more often women, women of color, and immigrants — have been underpaid, unseen, and undervalued for far too long.

That will change with my administration: https://t.co/RbUFxJ3CYS"
Fri Jul 24 00:30:00 +0000 2020,"Donald Trump’s own staff admits that he fails the most important test of being the American President: the duty to care — for you, for all of us. https://t.co/mJf0xhEYZ5"
Thu Jul 23 23:15:00 +0000 2020,We need a president who listens to someone other than himself.
Thu Jul 23 22:10:00 +0000 2020,This was preventable. https://t.co/NWaHXW8U4K
Thu Jul 23 21:40:00 +0000 2020,"Out of every trial and tribulation, we've always emerged stronger as a nation — and we will again. If we come together, there is not a single thing we cannot accomplish. https://t.co/khTCfexgbX"
