created_at,text
Sun Jul 26 22:29:27 +0000 2020,"RT @HonAhmedHussen: Last week, we announced the #CanadaChildBenefit would increase once again for Canadian families. This tax-free benefit…"
Sun Jul 26 22:29:25 +0000 2020,"RT @HonAhmedHussen: La semaine dernière, nous avons annoncé que L’#ACE augmenterait à nouveau. Cette allocation non imposable contribue à l…"
Sun Jul 26 21:35:30 +0000 2020,RT @MonaFortier: Need help navigating our online programs and services from home? We’ve got you covered. Click the link to access personali…
Sun Jul 26 21:35:28 +0000 2020,RT @MonaFortier: Avez-vous besoin d’un soutien technique pour naviguer les programmes et les services en ligne à partir de chez vous? Nous…
Sun Jul 26 01:23:06 +0000 2020,"RT @FilomenaTassi: Our government is here to support families, as we have been throughout the #COVID19 pandemic. To help Canadian parents g…"
Sun Jul 26 01:23:04 +0000 2020,"RT @FilomenaTassi: Notre gouvernement est là pour soutenir les familles, comme nous l'avons fait tout au long de la pandémie de la #COVID19…"
Sun Jul 26 00:57:12 +0000 2020,RT @HarjitSajjan: Being a member of Prime Minister @JustinTrudeau’s youth council means you can raise your voice on issues that really matt…
Sun Jul 26 00:57:09 +0000 2020,RT @HarjitSajjan: Être un membre du conseil jeunesse du premier ministre @JustinTrudeau veut dire que tu peux faire entendre ta voix sur de…
Fri Jul 24 21:43:20 +0000 2020,"RT @melaniejoly: Small businesses are at the heart of our regional economies. As we recover from the economic crisis, we must support them…"
Fri Jul 24 21:43:17 +0000 2020,"RT @melaniejoly: Les PMES sont au cœur de nos économies régionales. Alors que l’on se relève de la crise économique, on se doit de les appu…"
Fri Jul 24 20:41:58 +0000 2020,RT @WillAAmos: I’m really excited that this is moving forward and that we have a pan-Canadian approach to tackling #plasticpollution. Our g…
Fri Jul 24 20:41:54 +0000 2020,RT @WillAAmos: Je suis ravi que nous ayons maintenant une approche pancanadienne pour lutter contre la #pollutionplastique. Notre gouvernem…
Fri Jul 24 20:28:02 +0000 2020,"RT @CQualtro: As we begin to gradually restart our economy, parents across Canada are eager to get back to work. Today we announced $625M f…"
Fri Jul 24 20:28:00 +0000 2020,"RT @CQualtro: Alors que nous commençons à relancer notre économie, les parents sont impatients de retourner au travail. Nous avons annoncé…"
Fri Jul 24 19:15:51 +0000 2020,"As we safely restart our economy, we’re putting you and your family first. And through the Safe Restart Agreement with the provinces and territories, we’re investing in affordable and high-quality child care so your kids have a safe place to go when you head back to work. https://t.co/wXkfYvpS8X"
Fri Jul 24 19:15:40 +0000 2020,Vous et votre famille êtes au cœur de notre Accord sur la relance sécuritaire avec les provinces et les territoires. On investit donc dans des services de garde abordables et de qualité pour que vos enfants aient un endroit sûr où aller quand vous retournerez au travail. https://t.co/IF8WOwW5mT
Fri Jul 24 18:53:05 +0000 2020,"RT @mclaudebibeau: We’ve launched! I present to you the very first Canadian Agricultural Youth Council!🍁

https://t.co/2dmTUSzxiT https://t…"
Fri Jul 24 18:53:03 +0000 2020,"RT @mclaudebibeau: C’est parti! Je vous présente aujourd’hui le tout premier Conseil canadien de la jeunesse agricole!🍁

https://t.co/k5y4w…"
Fri Jul 24 01:51:41 +0000 2020,"RT @mary_ng: One year since the launch of the @CANHealthNtwrk, we’ve seen the power of how this integrated market helps our innovative entr…"
Fri Jul 24 01:51:38 +0000 2020,"RT @mary_ng: Un an depuis le lancement du réseau @CANHealthNtwrk, ce marché intégré aide nos entrepreneurs dans le domaine des technologies…"
Thu Jul 23 22:55:34 +0000 2020,"The events that unfolded in Nova Scotia on April 18th and 19th were horrific, and they have shaken Canadians across the country. To get the answers that the families of the victims deserve, Minister @BillBlair and @NSGov have announced an Independent Review Panel. More here: ⤵️ https://t.co/AA6DLBkTiZ"
