created_at,text
Sun Jul 19 07:18:18 +0000 2020,@brokenspoke_ @skims Stunning!!!! WOW
Fri Jul 17 16:38:53 +0000 2020,"RT @skims: BACK IN STOCK: The Smoothing Collection — made to wear inside and out, these sporty styles are versatile and flattering. Shop no…"
Fri Jul 17 14:39:46 +0000 2020,🇦🇲 https://t.co/GuSh650Nrc
Fri Jul 17 00:56:43 +0000 2020,🇦🇲 https://t.co/rGDF3iYpxY
Thu Jul 16 22:32:15 +0000 2020,Spice Girls https://t.co/g3DXMKrgCT
Thu Jul 16 21:48:45 +0000 2020,RT @tracyromulus: 17 million Americans with past convictions can vote right now — many might not know it because of confusing state laws.…
Thu Jul 16 21:48:43 +0000 2020,RT @tracyromulus: Felony disenfranchisement is one of the lasting systemic structures keeping people of color—specifically Black people—fro…
Thu Jul 16 21:35:19 +0000 2020,"Coming Soon: @SKIMS Power Mesh — invisible super-strength mesh shapewear made to powerfully smooth and sculpt. Available in 5 colors and in sizes XXS - 4X on Tuesday, July 21 at 9AM PT exclusively at https://t.co/Qsy51Sl2Sd. Join the waitlist now to receive early access to shop. https://t.co/qjRWpIIMRR"
Wed Jul 15 20:24:31 +0000 2020,RT @kkwbeauty: https://t.co/OBeGdwuavO
Wed Jul 15 20:22:37 +0000 2020,RT @kkwbeauty: https://t.co/UCMUMA0vHA
Wed Jul 15 20:22:35 +0000 2020,RT @kkwbeauty: *RESTOCK* More of our bestselling products are back in stock. Shop now at https://t.co/32qaKbav78 #KKWBEAUTY https://t.co/8e…
Wed Jul 15 19:14:08 +0000 2020,"RT @sbagen: My god, this story: Student at Groves HS in Birmingham, Mi, is incarcerated in a juvenile facility on the alleged probation vio…"
Wed Jul 15 17:06:35 +0000 2020,I hope everyone has a great day ✌🏼 https://t.co/p1ivi3h9q1
Wed Jul 15 16:41:12 +0000 2020,"RT @MattHaneySF: There are solutions to homelessness—of course most ppl want to be off street. We must approach people w care, led by profe…"
Wed Jul 15 16:30:04 +0000 2020,Nyadhuor @LAModelsAgency https://t.co/KjfHnVdhwa
Wed Jul 15 16:29:58 +0000 2020,Yvonne @IMGmodels https://t.co/E9fIqXUbfu
Wed Jul 15 16:29:56 +0000 2020,Tsecha @FordModels https://t.co/nojrvV5u6m
Wed Jul 15 16:29:49 +0000 2020,Torin @FreedommodelsLA https://t.co/nCJ7xDSGyQ
Wed Jul 15 16:29:43 +0000 2020,Taylor @Wilhelmina https://t.co/KbQMbYPRhe
Wed Jul 15 16:29:42 +0000 2020,Talea @IPMMODELS https://t.co/x9FF886r5X
Wed Jul 15 16:29:40 +0000 2020,Tabria @NMCurveLA https://t.co/v1YWwIMmD1
Wed Jul 15 16:26:27 +0000 2020,Sparkle @Wilhelmina https://t.co/IKMK9bpOsp
Wed Jul 15 16:26:20 +0000 2020,Solange @IMGmodels https://t.co/E4KLrBPVEY
Wed Jul 15 16:26:15 +0000 2020,Sherica @SelectModelMgmt https://t.co/7IMjkeGW4M
Wed Jul 15 16:26:10 +0000 2020,Seyna - Jag Models https://t.co/pkV8D5AkAx
Wed Jul 15 16:26:05 +0000 2020,Seairra @NMCurveLA https://t.co/tj26kwze6A
Wed Jul 15 16:25:59 +0000 2020,Sasha @NMCurveLA https://t.co/R9VgJJ0xS4
Wed Jul 15 16:25:57 +0000 2020,Sami @TheSocietyNYC https://t.co/ds2TkxNP06
Wed Jul 15 16:25:50 +0000 2020,Sabey @Wilhelmina https://t.co/Tqu7s4cPCl
Wed Jul 15 16:25:48 +0000 2020,Rebekah @IndustryModelNY https://t.co/wL1rD2qUDW
Wed Jul 15 16:25:42 +0000 2020,Precious @IMGmodels https://t.co/xjdxkvAFJ2
Wed Jul 15 16:25:40 +0000 2020,Kaelani @NMCurveLA https://t.co/pgaTW6cG8Z
Wed Jul 15 16:25:38 +0000 2020,Hayley @NMCurveLA https://t.co/Gqo5CVITmJ
