created_at,text
Sun Jul 26 18:26:55 +0000 2020,"If you guys want to learn more about what we’re doing in Florida and how you can help, go check this out tonight. https://t.co/NHm7QVXCta"
Fri Jul 24 20:04:25 +0000 2020,1st of many to come!!! Love our families who enter our doors!!! @IPROMISESchool Village 🏢 https://t.co/7OJoC0omXt
Fri Jul 24 19:30:09 +0000 2020,Shoutout to my brother @ThisIsUD for leadership on this issue for all of us.  🙏🏾✊🏾❤️👑
Fri Jul 24 19:29:29 +0000 2020,This is a fight about their constitutional right to vote being denied. Learn more about how you can help at https://t.co/ASKCSX9b9l. @morethanavote     https://t.co/LtGBRwo8LQ
Fri Jul 24 18:45:00 +0000 2020,"A must watch to understand what this man was fighting for 60 years!!! 🙏🏾👑 The right to vote should not come with a price tag! @morethanavote #CivilRightsICON ✊🏾
 
https://t.co/xpnQkgogue"
Thu Jul 23 19:09:19 +0000 2020,@KDTrey5 🤣🤣🤣🤣🤣🤣🤣🤣 Yo I was going to check on you but figured you didn’t wanna be bothered at the moment. 🥴 @KDTrey5
Thu Jul 23 17:44:47 +0000 2020,Now time to begin prepping for my night out of the town aka the Stage! 😁👑
Thu Jul 23 17:43:45 +0000 2020,Just waking back up from my pregame nap to see about The Washington Football team??? 🤣🤣🤣🤣🤣🤣. Is that real?? No way! Oh man they had a thorough intense long board meeting about that one huh. 🥴🤦🏾‍♂️
Thu Jul 23 17:25:59 +0000 2020,👑x 〰️ Mood. 😤 https://t.co/npcyCEDRJy
Wed Jul 22 21:35:23 +0000 2020,Congrats @MalakiBranham!!! OH-IO 🌰 https://t.co/Rx6hL9SuvO
Wed Jul 22 16:24:13 +0000 2020,👀🙏🏾✊🏾 https://t.co/iLMvBUM0IX
Mon Jul 20 22:21:08 +0000 2020,Go get em Queen! We need your voice and your leadership more than ever.  Good luck tonight and every night! 🙏🏾❤️✊🏾 https://t.co/bJB1Qlxmy4
Mon Jul 20 21:15:39 +0000 2020,🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣 Salute homie! @tobias31 ✊🏾 #JusticeForBreonnaTaylor https://t.co/D2SqQKxF15
Mon Jul 20 19:59:47 +0000 2020,"@pr_RWTW I mean at this point, What More Do You Want From Me?!?! 🗣🗣 “Tyrese voice”"
Mon Jul 20 17:30:44 +0000 2020,Bro I swear I heard that for 15 years! 🤷🏾‍♂️👑 https://t.co/vj8WWTVgDB
Sat Jul 18 04:27:56 +0000 2020,Rest. In. Paradise John Lewis. #CivilRightsICON✊🏾 THANK YOU!! 🙏🏾
Fri Jul 17 21:32:13 +0000 2020,So so so so SORRY Breonna! #JusticeforBreonnaTalyor🙏🏾❤️ https://t.co/6IaaqIKD0u
Fri Jul 17 16:51:02 +0000 2020,This nap about to be so AMAZING/SPECIAL! I can feel it brewing. Ha! 😁 💤 🛏👑
Fri Jul 17 16:47:04 +0000 2020,@BrysonAdair @GregOnDemand216 7 Days A Week
Fri Jul 17 16:46:26 +0000 2020,@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣🤣🤣! Facts. They’ll make zero adjustments and he’ll kill everyone of his kids confident throughout the whole game to a point they’ll be ready to beat him up. But he may be strap so be aware of that. 🤦🏾‍♂️
Fri Jul 17 16:44:39 +0000 2020,RT @LJFamFoundation: From 2010 ➡️ 2020... our original class of I Promise students have grown up &amp; are set to become high school SENIORS...…
Wed Jul 15 16:36:16 +0000 2020,RT @LJFamFoundation: We’re in the business of changing lives and we’re so proud to have our 330 Ambassadors &amp; I PROMISE students understand…
Sun Jul 12 21:45:48 +0000 2020,#FreeWOJ!!  🤜🏻🤛🏾
Fri Jul 10 15:58:55 +0000 2020,I know who I am. This is what I am. 👑 #GreatnessCode drops today on @AppleTV 💪🏾😤🚀 https://t.co/86hoFdQmoD
Thu Jul 09 21:08:01 +0000 2020,@LASparks @KristineAnigwe 🤣🤣🤣🤣🤣🤣. She DOES!!! 😁
Thu Jul 09 20:39:09 +0000 2020,Just left the crib to head to the bubble. Shit felt like I’m headed to do a bid man! Fr. Hated to leave the #JamesGang👑.
Wed Jul 08 17:17:50 +0000 2020,@J1Flight 🤣🤣🤣🤣🤣🤣🤣🤣!!! “Take yo ass to sleep”
Wed Jul 08 17:11:26 +0000 2020,Straight Like That! #TheHeatles 🔥🔥🔥🔥🔥👑 https://t.co/nRKNAyX8yH
Tue Jul 07 19:10:29 +0000 2020,"So so damn sad man!!! They are just innocent, beautiful, strong kids! 😢😢😢😢😢. What’s wrong with people?!?!?!? My thoughts and prayers goes out to each one of their families and May they REST IN PARADISE! 🙏🏾❤️👑 #Kings #Queens https://t.co/kLaAgxhiY8"
Mon Jul 06 23:35:03 +0000 2020,Welcome to the BEATS family @BubbaWallace!! 🙏🏾✊🏾👑 https://t.co/UMIZooEqh8
Mon Jul 06 18:49:39 +0000 2020,Right HERE too with you!! As well as the next generation who follows in my foot steps! Kings and Queens https://t.co/6rO5cex3ed
Sat Jul 04 19:23:35 +0000 2020,"RT @Kaepernick7: Black ppl have been dehumanized, brutalized, criminalized + terrorized by America for centuries, &amp; are expected to join yo…"
