created_at,text
Sun Jul 26 15:47:35 +0000 2020,"RT @realDonaldTrump: My Administration is closely monitoring Hurricane Douglas off Hawaii &amp; Hurricane Hanna, which has now made landfall in…"
Sat Jul 25 22:21:42 +0000 2020,"As Hurricane #Hanna approaches South Texas, we urge everyone in the area to heed the advice and warnings of state and local officials and stay safe. https://t.co/I5EM7DmZQb"
Sat Jul 25 21:07:04 +0000 2020,RT @SecAzar: No President has done more to lower drug prices than President Donald Trump. https://t.co/xjI3ICmL3N
Sat Jul 25 20:19:23 +0000 2020,RT @GOP: “The Senior Saving Model that we developed under the President’s leadership is going to reduce the cost of insulin to $35 a month…
Sat Jul 25 20:17:17 +0000 2020,"RT @GOP: “Today, I am taking a bold and historic and very dramatic action to reduce the price of prescription drugs for American patients a…"
Sat Jul 25 20:16:35 +0000 2020,"RT @GOP: BIG news from the @realDonaldTrump Administration today.
 
This is truly a WIN for all Americans!
https://t.co/HmmAjkmWqx"
Sat Jul 25 19:31:02 +0000 2020,"As we told @CharlieBakerMA on Nantucket, the people of Massachusetts slowed the spread and flattened the curve and MA now has &lt;2% positivity rate. As @HHS_ASH said, we will continue to make sure MA has the resources and guidance to Open Up your Economy and your Schools 🇺🇸 https://t.co/yv30AURFyo"
Sat Jul 25 19:02:47 +0000 2020,Thank you @CharlieBakerMA for a good meeting today. We are here for you and we will get through this together. We remain strong in our message to states: We will make sure you have what you need to see the people of Massachusetts through this virus. https://t.co/gfsJg8ekPT
Sat Jul 25 18:56:12 +0000 2020,"RT @markknoller: After Trump Victory fundraiser on Nantucket, VP Pence met with Gov @CharlieBakerMA, thanking him for steps to reopen Massa…"
Sat Jul 25 18:22:06 +0000 2020,"RT @WhiteHouse: President @realDonaldTrump signed four executive orders yesterday to massively lower prescription drug costs!

Get the fact…"
Sat Jul 25 17:23:53 +0000 2020,RT @FanchonStinger: EXCLUSIVE: My full conversation with @SecondLady Karen Pence on hope for our nation and the faith community’s critical…
Sat Jul 25 01:59:31 +0000 2020,RT @realDonaldTrump: Congratulations @JimRyun! https://t.co/E0wBx1Gjh2
Sat Jul 25 01:59:27 +0000 2020,RT @WhiteHouse: President @realDonaldTrump is taking historic action to reduce the price of prescription drugs! https://t.co/k2u3wjfX57
Sat Jul 25 01:58:57 +0000 2020,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers remarks on lowering drug prices https://t.co/RfHCwpgRCp
Fri Jul 24 22:28:21 +0000 2020,Thank you @GovHolcomb for your strong leadership during this time in our Nation. We are with you and we will stay with you until we put the Coronavirus in past. https://t.co/Vu9VsfzjXD
Fri Jul 24 21:20:03 +0000 2020,"RT @TeamTrump: Vice President @Mike_Pence: ""My big takeaway today is hearing from these extraordinary students about how important it is to…"
Fri Jul 24 21:14:47 +0000 2020,President @realDonaldTrump and I are fully committed to reopening schools this fall. Thank you to all of the Higher Education Leaders at Marian University for the productive conversation around what it will look like to reopen classrooms this fall. https://t.co/jaDSvqtwv2
Fri Jul 24 20:17:04 +0000 2020,"To Open Up America Again, we’ve got to open up America’s schools! https://t.co/8keeeMTXIL"
Fri Jul 24 20:15:36 +0000 2020,"We are grateful to @GM and the plant in Kokomo who have produced more than 17,000 ventilators. Because of the public-private partnerships President @realDonaldTrump initiated, we have nearly 70,000 ventilators in the Strategic National Stockpile. https://t.co/j0PMjsyPHX"
Fri Jul 24 19:24:09 +0000 2020,RT @indgop: These Hoosiers came out to show their support for @VP @Mike_Pence &amp; President @realDonaldTrump! https://t.co/QK3UIyW2Kd
Fri Jul 24 19:13:42 +0000 2020,"RT @HolcombForIN: “Governor, we want the people of Indiana to know that we fully support the decisions you and your administration have mad…"
Fri Jul 24 18:16:58 +0000 2020,"RT @FOX59: WATCH: Vice President Mike Pence discusses reopening schools, colleges at Marian University https://t.co/f3GHanWV2H"
Fri Jul 24 18:07:31 +0000 2020,Thanks to these great Hoosiers for the warm welcome back home! #TrumpPence2020 https://t.co/NAfQZqTleU
Fri Jul 24 17:49:15 +0000 2020,"RT @SecondLady: Wonderful visit to @VAIndianapolis for a productive discussion with Art Therapist Lisa, VA staff, and #Veteran patients. In…"
Fri Jul 24 16:22:13 +0000 2020,"RT @WhiteHouse: ""Today, it is my privilege to present our Nation's highest civilian honor, the Presidential Medal of Freedom, to a legendar…"
Fri Jul 24 15:25:24 +0000 2020,RT @WhiteHouse: LIVE: President @realDonaldTrump presents the Medal of Freedom https://t.co/ohngN9HIkF
Fri Jul 24 15:25:01 +0000 2020,RT @indgop: We’re excited our Hoosier @VP Mike Pence is visiting home today! RT to welcome @Mike_Pence back home again in Indiana. https://…
Fri Jul 24 15:13:12 +0000 2020,"RT @SecondLady: ""There's help for our #Veterans, there's help for Americans. We actually have things we're putting into place. We want peop…"
Fri Jul 24 15:13:01 +0000 2020,"RT @WhiteHouse: This morning, President @realDonaldTrump will present the Medal of Freedom to former Olympian, record-breaking runner, and…"
Fri Jul 24 14:47:02 +0000 2020,"Congratulations to @jimryun on being awarded the Presidential Medal of Freedom by President @realdonaldtrump! Jim’s accomplishments as runner &amp; public servant are only matched by his devotion to God, his family, &amp; our great nation. Congratulations Jim, Anne &amp; the Ryun family! 🇺🇸"
Fri Jul 24 14:40:33 +0000 2020,RT @SecondLady: Looking forward to visiting @VAIndianapolis and learning more about their #ArtTherapy telehealth program for #Veterans. 🎨 🏥
Fri Jul 24 14:34:38 +0000 2020,Hello Indiana! Great to be back in the Hoosier State with @SecondLady!
Fri Jul 24 14:22:20 +0000 2020,RT @realDonaldTrump: The great Jim Ryun will be honored this morning at the White House with the presentation of The Presidential Medal of…
Fri Jul 24 14:15:58 +0000 2020,"Heading to Indiana with @SecondLady for a Coronavirus Briefing with Higher Education Leaders at Marian University. We cannot stress enough the importance of reopening schools this fall, not only will it benefit students but it will also help our economy come roaring back to life. https://t.co/FvBdYtRgXl"
Fri Jul 24 13:05:23 +0000 2020,RT @DavidBrodyCBN: JUST RELEASED: @SecondLady calls on the faith community to help raise awareness on suicide in USA. Offers hope to those…
Fri Jul 24 01:18:23 +0000 2020,"RT @WhiteHouse: Nearly 30,000 federal personnel are deployed in states that need assistance. https://t.co/ZQMrQtzknp"
Fri Jul 24 01:18:02 +0000 2020,RT @RussVought45: Being sworn in as OMB Director by @realDonaldTrump &amp; @VP was a moment I'll never forget. It’s the honor of a lifetime to…
Fri Jul 24 00:17:19 +0000 2020,RT @Elpidophoros: I am grateful to have met with President Trump (@POTUS) and @VP Pence in the @WhiteHouse and communicated our grave disma…
Thu Jul 23 23:52:25 +0000 2020,"RT @BetsyDeVosED: #SchoolChoice is life changing. I want to thank all the students, parents and educators who came out in Columbus today to…"
Thu Jul 23 23:45:22 +0000 2020,RT @realDonaldTrump: WELCOME BACK BASEBALL! https://t.co/dhLSfNkI7L
