created_at,text
Wed Jul 22 11:57:41 +0000 2020,"That shady side eye to y’all who ain’t wearing your recommended, in many places MANDATORY masks. Psh. 😷 https://t.co/9QOzILDrjE"
Tue Jul 21 16:02:52 +0000 2020,"RT @Z100NewYork: JUST ANNOUNCED Our iHeartRadio Music Festival is BACK for its 10th year on Sept. 18 + 19! ❤️

@bts_bighit, @MileyCyrus, @k…"
Tue Jul 21 16:02:43 +0000 2020,"RT @iHeartRadio: 🌟🖤 @MileyCyrus 🖤🌟

#iHeartFestival https://t.co/znCmbBlCvn https://t.co/6HAUsBhvPu"
Sat Jul 04 17:38:56 +0000 2020,"This was in 2017. Feels EVEN MORE relevant right NOW. It ain’t a Party In The USA until we see #LibertyandJusticeFORALL you heard me, FOR ALL! #fuckthefourthuntilthereisfreedom https://t.co/QNRrIknL0R"
Sun Jun 28 11:25:49 +0000 2020,"RT @bbcglasto: 🚨 SPECIAL GUEST ANNOUNCEMENT 🚨 

Today's addition to our Glastonbury Experience Channel is one of last years stand out Pyram…"
Sun Jun 28 03:18:28 +0000 2020,"I look forward to working w you and @GlblCtzn in the future! This is not the end by any means, it is only the beginning. https://t.co/OShvpQm84k"
Sun Jun 28 02:21:57 +0000 2020,"Truly honored to be a part of making sure everyone has equal access to testing, treatments and vaccines. We will keep working together to help fight COVID-19 #globalgoalunite ❤️ https://t.co/3YIZK6ybCa"
Sat Jun 27 21:01:57 +0000 2020,"I dedicated this performance to everyone who is working tirelessly for testing, treatments and vaccines so all of us can come together in places like this empty stadium.... I can’t wait to be together again 💛 https://t.co/05zMGnZazZ #GlobalGoalUnite"
Sat Jun 27 21:01:57 +0000 2020,"During this time of COVID-19, we are coming together in a different way...we are uniting with the goal of ensuring EVERYONE has access to the solutions to end this pandemic."
Sat Jun 27 21:01:56 +0000 2020,"For me, the magic of performing is sharing and celebrating music together...being surrounded by people and feeling their energy!"
Sat Jun 27 19:11:01 +0000 2020,Honored to join PM Solberg @erna_solberg and @GlblCtzn to talk about the disproportionate impact of covid-19 on marginalized communities and how our generation is speaking up to demand action and change! #GlobalGoalUnite https://t.co/OBSuw4sOGX
Sat Jun 27 17:58:04 +0000 2020,"RT @GlblCtznUK: 𝗪𝗘 𝗔𝗥𝗘 𝗟𝗜𝗩𝗘! Watch the #GlobalGoalUnite concert right here 👇

We've already mobilised $6.9 billion to get COVID-19 tests, t…"
Sat Jun 27 17:51:27 +0000 2020,❤️👏 https://t.co/ntxY1qTODV
Sat Jun 27 17:24:15 +0000 2020,Starting soon! #GlobalGoalUnite https://t.co/zcnOxpXbBC
Sat Jun 27 15:32:00 +0000 2020,"RT @GlblCtzn: We’re LIVE for the #GlobalGoalUnite Summit, hosted by @katiecouric! Tune in as world leaders and philanthropists come togethe…"
Sat Jun 27 11:37:18 +0000 2020,"RT @GlblCtznUK: T O D A Y ! 🥳 #GlobalGoalUnite @MileyCyrus 

When? Summit: 2pm BST // Concert: 7pm BST.

Where? All info: https://t.co/cYJJ…"
Fri Jun 26 21:15:40 +0000 2020,"I’m joining @glblctzn &amp; @EU_Commission for the #GlobalGoalUnite Concert to fight for equal access to COVID-19 healthcare for everyone, everywhere. Join us tomorrow: https://t.co/9TZVUifjhs https://t.co/L01j5gxcpv"
Thu Jun 25 19:56:16 +0000 2020,"RT @GlblCtzn: We can’t stop, and we won’t stop fighting for equal access to COVID-19 tests, treatments, and vaccines, and neither will @Mil…"
Tue Jun 23 17:26:10 +0000 2020,RT @marcmalkin: I've talked to @mileycyrus a lot over the years. But this is probably my favorite interview because we spent some real (Zoo…
Mon Jun 22 18:02:27 +0000 2020,"RT @GlblCtznCAN: .@shakira, @Usher, @MileyCyrus, and more are all on deck to perform at #GlobalGoalUnite For Our Future. See who else will…"
Mon Jun 22 17:48:30 +0000 2020,"At a time when we have seen the injustices in our societies increase even more, we now have the opportunity to unite and take a stand for equality and health for all!! Join me on June 27 for a performance that I’m really excited about. https://t.co/9TZVUifjhs"
Mon Jun 22 17:48:14 +0000 2020,"Honored to be a part of #GlobalGoalUnite for Our Future hosted by @GlblCtzn to make sure that EVERYONE, EVERYWHERE has access to the solutions that will help end the COVID-19 pandemic — testing, treatments, and vaccines. https://t.co/J6YHRJ5I8b"
Thu Jun 18 19:13:22 +0000 2020,"@MCistheQUEEN @MileyCyrusBz ...I couldn’t stay Hannah Montana forever and they knew that, but they also didn’t want me to make a mistake that couldn’t be undone. Been so fortunate to have loyal fans (like you) who have always allowed me to experiment and evolve."
Thu Jun 18 19:13:13 +0000 2020,@MCistheQUEEN @MileyCyrusBz First G.A.Y london performance! I wore a dress I knew would piss everybody off and that was around the time I really began to “spread my wings” &amp; felt free. But....also it took a lot of guts because people around me were saying I would lose all my fans and my career would be over
Thu Jun 18 17:45:11 +0000 2020,@mileyshippie @MileyCyrusBz Heart beats for love feels even more relevant now. Celebrating pride month while being an out &amp; proud member of the LGBTQ+ community is such an honor and I am so lucky for those who paved the way for me to live a life full of freedom and love! #PrideWasAProtest
Thu Jun 18 16:47:11 +0000 2020,@downfourit @MileyCyrusBz Now listening to Robot all I can think about is “Ashley Too” .... during those days I did feel a lot of pressure to “conform”  I was lucky I had no “ aunt Catherine” though. My parents have alway encouraged me to be experimental.
Thu Jun 18 15:46:10 +0000 2020,"@rootingforlove @MileyCyrusBz I grew up on rock n roll.  Nirvana, Joan Jett, Blondie..... so I was just super inspired and influenced by the artists my dad rotated on our juke box."
Wed Jun 17 23:09:27 +0000 2020,@GlblCtzn https://t.co/mntvLIkDmC
Wed Jun 17 23:08:26 +0000 2020,"Hi @JustinTrudeau...there are WAY too many beliebers in Canada to ignore @JustinBieber’s call for support! Please join us and support funding for testing, treatments and vaccines for everyone, everywhere. #globalgoalunite. https://t.co/RqfTRiUM5D"
Sat Jun 13 20:35:10 +0000 2020,"Grazie mille ! Looking forward to new funding commitments on June 27 needed to provide access to treatments &amp; a vaccine for everyone, everywhere. #GlobalGoalUnite https://t.co/aLjii17ymo"
Sat Jun 13 16:20:48 +0000 2020,"Thank you! Will you join us on June 27 for #GlobalGoalUnite to help close the funding gap for the most vulnerable? Testing, treatments, and vaccines for everyone everywhere ... We need your leadership! https://t.co/c86AeO4DFz"
Fri Jun 12 21:23:56 +0000 2020,🇳🇱 https://t.co/Lf7sWglZVM
Fri Jun 12 21:22:53 +0000 2020,🇮🇪 https://t.co/Lf7sWglZVM
Fri Jun 12 21:22:31 +0000 2020,🇪🇸 https://t.co/Lf7sWglZVM
Fri Jun 12 21:22:22 +0000 2020,🇮🇹 https://t.co/Lf7sWglZVM
Fri Jun 12 21:19:33 +0000 2020,@MinPres
Fri Jun 12 21:04:11 +0000 2020,"All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world to tackle #COVID19 and the racial injustice of health inequalities. Please join us, PM @LeoVaradkar? #GlobalGoalUnite⭕"
Fri Jun 12 20:46:52 +0000 2020,"Across the Netherlands🇳🇱 you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and the racial injustice of health inequalities. Please join us, PM @MarkRutte? #GlobalGoalUnite⭕️"
Fri Jun 12 20:46:02 +0000 2020,"Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and its disproportionate impact on marginalized communities, especially communities of color. Please join us, PM @sanchezcastejon? #GlobalGoalUnite⭕️"
Fri Jun 12 20:44:59 +0000 2020,"Italy🇮🇹 and the world united in solidarity with Black Lives Matter in the US. We must stay united to tackle #COVID19 and its disproportionate impact on marginalized communities, especially communities of color. Please join us, PM @GiuseppeConteIT? #GlobalGoalUnite⭕️"
Thu Jun 04 02:34:51 +0000 2020,BlackLivesMatter https://t.co/QN73WYcePA
Thu Jun 04 01:24:32 +0000 2020,https://t.co/Htmw0rmpot
