created_at,text
Thu Jul 23 23:10:26 +0000 2020,@lwtsgclden Why not babyyyy
Thu Jul 23 21:59:45 +0000 2020,Emotion filled day today. The love from around the world 10 years on is amazing. Thank you for your loyal support as always. Crazy what 5 normal guys can achieve. Proud ❤️ #10YearsfOneDirection
Thu Jul 23 21:11:35 +0000 2020,@Conor_O_Donohoe It actually is
Thu Jul 23 19:09:47 +0000 2020,@SamFischer Well you are a very lovely man x
Thu Jul 23 18:42:54 +0000 2020,@dearmaxencefvl Why’s that ?
Thu Jul 23 14:25:14 +0000 2020,"It’s the 150 person crew of carpenters, lighting, riggers, sound, stage manager Mill that flew the globe with us. it’s our band, our security boys, tour managers, our managers, our label, Sarah cooking our food for us on the road. Today is a day to celebrate those guys also."
Thu Jul 23 13:13:51 +0000 2020,It’s such a major part of our lives and always will be. Cheers to US today boys and thank you to all you beautiful people who have supported us over the last 10 years. @LiamPayne @Harry_Styles @zaynmalik @Louis_Tomlinson ❤️ #10YearsOfOneDirection
Thu Jul 23 13:13:22 +0000 2020,when I met these four gents there was no way I thought we would go on to do what we did. So many unbelievable memories we shared together. We felt the adoration of millions from around the planet on a daily basis and it was mind blowing. https://t.co/rHeGL8rY7z
Thu Jul 23 12:33:39 +0000 2020,Love you Payno ❤️ https://t.co/9DTj0N4kM2
Thu Jul 23 12:32:57 +0000 2020,@Louis_Tomlinson @Harry_Styles @LiamPayne @zaynmalik Love you ❤️
Tue Jul 21 19:14:46 +0000 2020,@dxrbyniall @hippyityhop Exactly . It’s unbelievable on here
Tue Jul 21 19:12:48 +0000 2020,@fireproofamber @hippyityhop Tell them to stop coming at me coz they know I’ll win 🤣🤣🤣
Tue Jul 21 19:11:17 +0000 2020,"@hippyityhop Niall hasn’t got a hickey, Niall has a spot on his neck like any other normal human"
Sun Jul 19 14:50:52 +0000 2020,That sums up our season. we’re miles off.
Sat Jul 18 18:01:20 +0000 2020,@MTVMusicUK Yeh I’ll take that
