created_at,text
Sun Jul 26 13:21:16 +0000 2020,Very relieved to report yet another day in Scotland with no deaths of people who had tested positive for COVID. The 4 new positive cases (0.2% of people newly tested) will be looked at closely and followed up through Test &amp; Protect. Please keep following all the #FACTS advice. https://t.co/ng9l3FidXg
Sat Jul 25 19:07:00 +0000 2020,"Long day of #COVID decisions, so now  a bit of Sat night 📚 chat to clear my head. ‘Rodham’ by @csittenfeld was everything I hoped for - excellent. Now reading the new @valmcdermid (thanks to the Queen of Crime herself for early proof) - it’s predictably magnificent so far. https://t.co/1Aq16F4IRd"
Sat Jul 25 17:44:57 +0000 2020,"Having reviewed the latest data earlier today, @scotgov is also reimposing 14 day quarantine for travellers returning from Spain. This reinforces the point that these matters are subject to change at short notice &amp; so my advice is to be cautious about non essential foreign travel https://t.co/9xSnyFCv77"
Sat Jul 25 15:50:23 +0000 2020,"Please remember that this is all subject to change. The fact that a country is not on quarantine list when you go there, is not a guarantee it won’t be by time you come back. The virus is volatile, so my advice is to be cautious about non essential foreign travel just now. https://t.co/Ha5oTe8YeZ"
Sat Jul 25 15:25:27 +0000 2020,Another day of no deaths of confirmed cases. New cases being very closely monitored though. Positivity rate still under 1% but even small increases remind us threat of virus still very real. Please keep sticking to #FACTS advice to help us keep it under control. https://t.co/r2Pbz4NVTZ
Sat Jul 25 15:19:34 +0000 2020,"@fidelmacook Sending you best wishes, Fidelma"
Sat Jul 25 08:15:15 +0000 2020,RT @JohnSwinney: My courageous wife in her own fine words. https://t.co/KrYNPB0fwd
Fri Jul 24 20:46:44 +0000 2020,Lovely tribute from Bernard Ponsonby to the irreplaceable Johnny Beattie. https://t.co/VLfXISQdqQ
Fri Jul 24 20:18:44 +0000 2020,@VonnSand Hope she’s doing ok. Tell her I said hi and get well soon x
Fri Jul 24 18:39:00 +0000 2020,"This is so last year, eh @jacindaardern https://t.co/BTHMytt12b https://t.co/D89jBwTh1B"
Fri Jul 24 15:02:11 +0000 2020,"RT @NewYorker: Alexandria Ocasio-Cortez’s rebuttal to Ted Yoho should be studied for its measured cadence, its artful construction, and its…"
Fri Jul 24 14:07:07 +0000 2020,So true. https://t.co/wygaJpXybe
Fri Jul 24 13:58:29 +0000 2020,"Another day in Scotland with no deaths of confirmed cases, and tests coming back positive still under 1%. But we must not drop our guard. Our economy has opened up a lot - so it’s more important than ever that we stick to #FACTS https://t.co/Vk3BCzbdcb"
Fri Jul 24 13:54:50 +0000 2020,"One death is too many, but these figures for July to date illustrate the progress Scotland has made against #COVID. But with a virus, current performance gives no guarantee for the future. The virus will only stay under control if we all do the right things. #FACTS https://t.co/nZFFAwNOi0"
Thu Jul 23 09:44:49 +0000 2020,"FOR INFO: At today’s @scotgov daily #COVID briefing, I’ll give a further update to those of you who have been shielding. You can tune in at 12.15pm"
Thu Jul 23 09:17:37 +0000 2020,"RT @tomfrench85: Not a great start to Boris Johnson's trip to Scotland...

🚨 A new report finds Scotland is already £3.94Billion worse off…"
Thu Jul 23 07:04:44 +0000 2020,The sentiment of my last tweet neatly illustrated in today’s @thetimes cartoon 😉 https://t.co/8rC84Ga6As
Thu Jul 23 06:47:47 +0000 2020,"I welcome the PM to Scotland today. One of the key arguments for independence is the ability of Scotland to take our own decisions, rather than having our future decided by politicians we didn’t vote for, taking us down a path we haven’t chosen. His presence highlights that."
Tue Jul 21 08:18:11 +0000 2020,⏰ A reminder that the @scotgov #COVID briefing today - and from now on - is at the slightly earlier time of 12.15pm
Mon Jul 20 14:27:29 +0000 2020,Really encouraging news. Let’s all keep everything crossed🤞 https://t.co/FFlamLKvJ3
Mon Jul 20 13:08:36 +0000 2020,"No deaths of people confirmed as having COVID were registered yesterday. And 7 new positive cases were confirmed - a reduction compared to recent days, but they will still all be closely examined and contact tracing undertaken as appropriate. https://t.co/pQVDUBFZq9"
Sun Jul 19 21:50:00 +0000 2020,💔 irreplaceable indeed. Thinking of all the O’Hara family tonight @BrendanOHaraMP. RIP Diarmid https://t.co/hRQ1IkIlEi
Sun Jul 19 21:17:21 +0000 2020,"@erica2611 @GirlchampJinty @scotgov @PeterMurrell Thank you, Matthew x"
Sun Jul 19 13:20:58 +0000 2020,"This is still a low number of cases - and fluctuation is to be expected - but they will all be carefully examined, so that any patterns are identified. Test &amp; Protect is also working to break the chains of transmission. 
But we must all play our part by remembering FACTS https://t.co/GcjeRgRhyK"
Sun Jul 19 12:25:41 +0000 2020,@TriciaMarwick Happy Anniversary to you and Frankie x
Sun Jul 19 11:57:20 +0000 2020,"Nice of Boris to send me a birthday pressie 🎉 😂
(And for those who take Twitter a tad too seriously - this is a joke!) https://t.co/DYYjd7HPv7"
Sun Jul 19 10:43:13 +0000 2020,"@ptupdate Thankfully, I got my walk on Dunure beach yesterday. And lovely it was too - with Ailsa Craig in the distance https://t.co/RvKqQWTC1b"
Sun Jul 19 10:22:47 +0000 2020,RT @DaniGaravelli1: Here's my exclusive in-depth @scotonsunday interview with Nicola Sturgeon to mark her 50th birthday. We talked about th…
Sun Jul 19 10:14:47 +0000 2020,"@DaveHow4rd @NHSScotland @ACFraser All good wishes, Amy @ACFraser"
Sun Jul 19 09:47:10 +0000 2020,@ReidEileen1 Thanks E. And what a lovely pic of a very happy place. Look forward to coffee with you there soon xx
Sun Jul 19 09:26:01 +0000 2020,@DaveHow4rd @NHSScotland Happy Birthday to you too. And my very best wishes to your wife!
Sun Jul 19 09:00:47 +0000 2020,"To say I’m overwhelmed by all the cards, flowers and good wishes I have received from across the country for my (ahem) 50th birthday, would be an understatement...so I just wanted to pop on here briefly (before hopefully staying away for the rest of the day!) to say thank you ❤️"
Fri Jul 17 22:13:54 +0000 2020,RT @BBCNewsnight: “The more we find out about #Covid19 the more we realise that it has the potential to have long lasting effects on your o…
Fri Jul 17 22:07:39 +0000 2020,"RT @timesradio: You can now watch Cathy Newman's full interview for 'The Ladder' series with first minister of Scotland Nicola Sturgeon.

L…"
Fri Jul 17 16:22:45 +0000 2020,"📚 lovers: this by @kirstininnes is brilliant. A mix of Scottish politics (poll tax to indyref), music industry/celeb culture, feminism &amp; challenges women face. Exquisite writing &amp; an authentic central character you really care about. Gripping &amp; moving. A literary triumph. https://t.co/ps47Z4fSqI"
Fri Jul 17 13:32:02 +0000 2020,"17 positive cases, which is an incease on yesterday (tho spread across several health boards). As always, these will be examined v closely for any possible connections. Remember if you have symptoms, self isolate and book a test at https://t.co/eSO1YM7pre"
Fri Jul 17 13:21:21 +0000 2020,"Another day yesterday with no deaths registered of people with confirmed #COVID 🙏 
My thanks to everyone across 🏴󠁧󠁢󠁳󠁣󠁴󠁿 - our collective sacrifices have helped get this virus under control. Please keep it up. Let’s not drop our guard now. Remember FACTS #StaySafe https://t.co/W4SncXJMaH"
Fri Jul 17 10:42:46 +0000 2020,@Carer49 @DouglasMaxw3ll I’ll be back before you know it! Btw happy anniversary/birthday
