created_at,text
Sat Jul 18 16:02:30 +0000 2020,This is one of his last interviews we recently did during the Covid quarantine about his new @JohnLewisDoc #GoodTrouble. Thank you for showing us and teaching us what getting into “good trouble” looks like. 🙏🏽
Sat Jul 18 16:02:10 +0000 2020,I know for sure he heard me. I felt good about that. He understood and was so gracious.
Sat Jul 18 16:01:55 +0000 2020,I had a final chance to tell him what I’ve said every time I’ve been in his presence: “Thank you for your courage leading the fight for Freedom. My life as it is would not have been possible without you.”
Sat Jul 18 16:00:58 +0000 2020,"Last week when there were false rumors of Congressman John Lewis’ passing, Gayle and I called and were able to speak with him. He sounded weak but was surprisingly more alert than we expected. https://t.co/8kRRDMTvFm"
Sat Jul 18 01:26:37 +0000 2020,Another “Great Tree” has fallen. Rev C.T. Vivian died today after 95 years. I recall in the ‘80s and ‘90s having him on the Oprah Show many times trying to break down racial barriers. He was a powerful “drum major for justice.” And such a good and gentle man. https://t.co/AqAtuScqT5
Wed Jul 15 16:12:20 +0000 2020,Giving back is the best way to invest in your community. https://t.co/OE4sJsFMON
Wed Jul 15 00:17:39 +0000 2020,👏🏾👏🏾 So proud of you @EmmanuelAcho! https://t.co/wCyGvXxTqb
Fri Jul 10 04:50:54 +0000 2020,"After 13 and a half days quarantined in my guest house, @gayleking and her @cbsthismorning team released from Covid quarantine. https://t.co/KmTbnta7eT"
Wed Jul 08 16:50:56 +0000 2020,"When the #1619Project came out almost a year ago, I stood in tearful applause for the profound offering that it was giving our culture and nation. Today, I am honored to be a part of @nhannahjones’ vision to bring her transformative work to a global audience. Stay tuned, y’all! https://t.co/zcmVlLeSKV"
Wed Jul 01 02:43:40 +0000 2020,".@CourtneyBVance, father of 14-year-old twins, reminds us the importance of VOTING. #OWNSpotlight on @OWNTV https://t.co/AJOdbb15lQ"
Wed Jul 01 02:33:40 +0000 2020,".@KillerMike, father of four children, says we shouldn’t have people that don’t look like the people in the community policing those communities by themselves.  #OWNSpotlight on @OWNTV https://t.co/5nfKUZLkrB"
Wed Jul 01 02:16:21 +0000 2020,"Like most parents, Frank Cooper says whether your kids are six, seven, or grown and out the house, you never stop worrying about them. #OWNSpotlight on @OWNTV https://t.co/tfdxIOnnLW"
Wed Jul 01 02:11:13 +0000 2020,George Floyd’s death has caused a lot of Black parents to have THE TALK earlier than they had planned. @beleafmel is a stay-at-home father of four who also found himself having it with his two kids recently. #OWNSpotlight on @OWNTV https://t.co/ZR6HhaVBKz
Wed Jul 01 00:31:56 +0000 2020,@EdwinaFindley @OWNTV Edwina what a great job as host! Bravo 👏🏽 . To you and all the cast👏🏽👏🏽🤎🤎🤎🤎🤎
Tue Jun 30 22:02:49 +0000 2020,"Joining me for this important conversation will be @tylerperry, @CourtneyBVance, @KillerMike, and fathers who are married, single, gay, professionals, and are stay-at-home. Tune in tonight for our #OWNSpotlight special, “Oprah &amp; 100 Black Fathers” at 10|9c on @OWNTV."
Tue Jun 30 22:02:05 +0000 2020,"Today I’m speaking with 100 Black fathers to better understand the emotional toll they endure and how they show up for their children, their family, and their community. https://t.co/1yeBBjLoYH"
Sun Jun 28 06:14:09 +0000 2020,@Rosie @JOE_BIDEN_USA Our family just finished the final episode of I Know This Much is True. How great were you!!👏🏽👏🏽
Wed Jun 24 04:42:49 +0000 2020,@SHAYSrebellionn 😂😂😂#Greenleaf
Wed Jun 24 04:36:14 +0000 2020,@ImKeithDavid I am. hey You! #Greenleaf
Wed Jun 24 03:13:05 +0000 2020,Hey Y’all👏🏽👏🏽👏🏽  get ready to take your bows. This season EXCELLENCE shining ! #Greenleaf https://t.co/vxIkaNzL3J
Wed Jun 24 03:09:47 +0000 2020,So happy to see you #Greenleaf family out here Trending! 👏🏽👏🏽👏🏽🙌🏾🙌🏾❤️
Tue Jun 23 19:29:15 +0000 2020,They take us to the Mountaintop! The fifth and final season of @GreenleafOWN premieres tonight at 9|8c on @OWNTV. #Greenleaf https://t.co/7qawqbJakH
Thu Jun 18 04:17:13 +0000 2020,@3LWTV @oprahsbookclub @DaReal_JMcBride @IamGMJohnson @youngsinick You went all the way in I see.🙌🏾🙌🏾#BlackoutBestsellerList
Tue Jun 16 15:37:04 +0000 2020,RT @CBSThisMorning: James McBride joins us now to talk about “Deacon King Kong” and how he felt being selected as @oprah's pick for @oprahs…
