created_at,text
Tue Jul 21 01:34:55 +0000 2020,"Our Government continues to have Australians backs as we all fight through the impacts of #COVID19. The situation we’re facing is unpredictable but this is about delivering the support Australians need and the policies our economy requires to reopen, recover and create jobs."
Tue Jul 21 01:34:54 +0000 2020,These supports are a lifeline but our #JobMaker plan is also setting Australia up for our country’s recovery. Our focus remains on reopening the economy where it is safe to do so.
Tue Jul 21 01:34:54 +0000 2020,"#JobKeeper will be extended by six months to the end of March next year and the temporary supplement for those on income support will also be extended until the end of the year, we’ve just announced #auspol #breaking https://t.co/QfA4lLte0Y"
Fri Jul 17 03:33:33 +0000 2020,Our Government remains resolute in holding those responsible to account. We will never forget that terrible day and stand firm for the justice the victims and their loved ones deserve.
Fri Jul 17 03:33:33 +0000 2020,"Today we remember the victims of the downing of MH17, including the 38 Australians who perished. Our thoughts are with their friends and families today on the sixth anniversary of this dreadful event. https://t.co/SsvJSMbdpw"
Thu Jul 16 22:57:28 +0000 2020,"Our priority as a government, on top of dealing with this global pandemic, is creating jobs because that’s what Australians need in these tough times. https://t.co/RDldq7Z61B"
Tue Jul 14 08:15:57 +0000 2020,"Almost 40,000 people have registered interest in our HomeBuilder program so far. It’s delivering jobs not just for tradies and apprentices, but all the other industries that feed into the home building industry and all the jobs that depend on that. https://t.co/soGdKRMiEj"
Tue Jul 14 06:34:28 +0000 2020,RT @MichaelSukkarMP: The Morrison Government’s HomeBuilder program has already led to a 77% jump in new home sales. This means more constru…
Tue Jul 14 04:29:58 +0000 2020,A further 1000 Australian Defence Force personnel are being deployed to Victoria to support the state's #coronavirus response. We will continue to help Victoria with whatever it takes to save lives &amp; livelihoods in the fight against this terrible virus➡️https://t.co/MTJLMfYnvU
Mon Jul 13 03:50:09 +0000 2020,"RT @JoshFrydenberg: Around 5 million Australians, including pensioners, veterans &amp; carers, will begin to receive the Morrison Government's…"
Thu Jul 09 10:50:36 +0000 2020,"We discussed ways to work even more closely together and with likeminded partners and friends to ensure a free, open, inclusive and prosperous Indo-Pacific."
Thu Jul 09 10:50:35 +0000 2020,"Thanks to PM Shinzo Abe of Japan for a very warm Leaders’ meeting this evening. We have developed a very strong relationship over the last two years. We’re closely aligned in values and on our approach to the many post-COVID challenges, especially in our Indo-Pacific region. https://t.co/kYgWSdENuL"
Sun Jul 05 01:26:15 +0000 2020,"There will be time later in the year to pay tribute to Mathias, but Jenny and I just want to wish him, Hayley and their family all the best for their future. But for now, it’s straight back to work."
Sun Jul 05 01:26:15 +0000 2020,I have enjoyed a strong working relationship and friendship with Mathias since we both entered Parliament back in 2007.  This has always enabled us to deal with the challenges we have faced during our many years working together.
Sun Jul 05 01:26:14 +0000 2020,.@MathiasCormann has been a mainstay of our Government since we were elected in 2013 &amp; has been central to the Liberal Party’s roster for a decade. His decision to retire from politics at the end of 2020 caps off a career of service to Australia that has made a real difference. https://t.co/Vt4KS4cCY4
Sun Jul 05 00:18:30 +0000 2020,"With history against us, the strong performance of the Liberal primary vote in an expanded field in a by-election held by the Opposition is welcome. Regardless of the result there is still much to do right across Eden-Monaro, and as a Government we remain committed to that task."
Sun Jul 05 00:18:30 +0000 2020,Thanks also to all of our Liberal members and supporters who have worked so hard in the field over these many weeks. I also commend Kristy McBain for her campaign. These were two very fine candidates.
Sun Jul 05 00:18:29 +0000 2020,It will be while before the final results of the Eden Monaro by-election are determined. For now I would like to thank our Liberal candidate Fiona Kotvojs for all her hard work and diligence during her campaign. https://t.co/58ULicWjik
Sat Jul 04 23:19:35 +0000 2020,"Delighted to join President @Jokowi in welcoming the entry into force of the Indonesia-Australia Comprehensive Economic Partnership Agreement. The agreement unlocks the vast potential of our bilateral economic partnership, driving growth &amp; creating jobs in both countries. #IACEPA https://t.co/gfRh9hzEVf"
Wed Jul 01 01:23:14 +0000 2020,"10,000 more Australians will be able to buy their first home from today with a deposit as little as 5% thanks to our First Home Loan Deposit Scheme. We’re proud to have already helped 10,000 Australians into their first home in the first year of the new scheme. https://t.co/QjDMGJyvLJ"
Thu Jun 25 20:36:28 +0000 2020,"We did it! Australia and NZ will host the 2023 FIFA Women’s World Cup.

For the first time in history, Australians and New Zealanders will be able to experience a global football tournament, right here on home soil. How good! https://t.co/nNkPNRmafC"
Mon Jun 22 03:17:04 +0000 2020,"Today I joined the first drive through of the NorthConnex tunnel in Sydney with @GladysB and @M_McCormackMP.

It’s 9km of congestion-busting beauty. It will be life changing for the area, helping to get families home sooner and safer, and take thousands of trucks off local roads. https://t.co/EIKup21JhW"
Mon Jun 22 01:06:16 +0000 2020,"Just awful news out of the UK with a terrorist incident in Reading. Australia’s deepest sympathies are with the victims, their families and friends and the British people who are already dealing with so much during this COVID crisis."
Wed Jun 17 08:49:51 +0000 2020,"Delighted to join with @BorisJohnson to celebrate today’s launch of negotiations on a free trade agreement between Australia and the UK.

It will mean more jobs, more growth and more opportunities for both our citizens to live and work in each other’s countries post COVID. https://t.co/gToJuuwx95"
Tue Jun 16 04:57:56 +0000 2020,A welcome move forward on the path to a COVIDSafe reopening across Australia. Looking forward to returning to SA to enjoy a locally brewed Coopers. https://t.co/uu9OiR24qH
Thu Jun 11 11:03:01 +0000 2020,"On Anzac Day, I spoke about an incredible young man, Corporal Matt Williams, who is living with brain cancer. 

Earlier today I caught up with him to congratulate him on being this year’s youngest OAM recipient. Really pleased to see him doing so well.

https://t.co/P8pPYqismh"
Thu Jun 11 10:17:55 +0000 2020,"Good to talk to @SwedishPM Löfven again tonight. We swapped notes on our #COVID19 responses and discussed doing more together on digitisation, technology, rare earths, supply chains, and reform of the WTO. https://t.co/gD7sollKvY"
Thu Jun 11 04:14:28 +0000 2020,"It’s going to be a long, tough road out of this crisis but Australia is doing better than many other countries and we’re heading in the right direction. Our government is going to continue to do everything it can to ensure Australia bounces back stronger on the other side. https://t.co/bYALUkPfYJ"
