created_at,text
Mon Jul 27 00:36:09 +0000 2020,"Private equity firms are using the crisis to line their pockets. They bleed companies dry, kill jobs, hurt communities, &amp; threaten our economy. I told two SEC nominees: we need an SEC with the courage to stand up to private equity &amp; #StopWallStreetLooting. https://t.co/ZnBOWrF88X"
Sun Jul 26 22:03:33 +0000 2020,Today we celebrate the 30th anniversary of the landmark Americans with Disabilities Act. But people with disabilities are still fighting for equal opportunity &amp; economic security. Let’s recommit to building a truly inclusive world. #ADA30 https://t.co/XdRddGt7Bc
Sun Jul 26 19:08:04 +0000 2020,My bill to #EndCorruptionNow forces anyone who submits a study to a regulator to disclose who’s paying for it. Sham studies should be thrown out. This is a nerdy but important way to stop Big Tech &amp; other rich &amp; powerful corporations from rigging the rules in their favor.
Sun Jul 26 19:08:04 +0000 2020,"Here’s what you won’t read in Big Tech's bought-and-paid-for research: Amazon, Google, Facebook &amp; Apple have too much power over our economy, society &amp; democracy. They think they're too big to be held accountable. We need to break up Big Tech &amp; stop mergers that kill competition."
Sun Jul 26 19:08:04 +0000 2020,"Big Oil funds junk research that climate change isn’t real. Wall Street peddles sham studies that banking rules hurt the economy. And Amazon &amp; Google pay for a think tank to say Big Tech isn't too big &amp; too powerful.

This is thinly-disguised corruption. https://t.co/CxGh4XEpZz"
Sat Jul 25 16:24:02 +0000 2020,"RT @SenateDems: “We have a health crisis

An economic crisis

And a crisis in our values bearing down upon us—with millions of people about…"
Fri Jul 24 23:10:14 +0000 2020,"Big Ag companies have crushed competition and risked their workers' lives while regulators look the other way. They can't be trusted. We need to massively reform our broken food and farm system to give workers, farmers, and consumers real bargaining power."
Fri Jul 24 23:10:14 +0000 2020,"If meatpacking companies say they’re doing everything required to protect workers from COVID-19, but workers are still getting sick &amp; dying, then voluntary guidance isn’t enough. The next relief bill must include an @OSHA_DOL Emergency Temporary Standard for COVID-19."
Fri Jul 24 23:10:14 +0000 2020,"Giant meatpackers used COVID-19 to jack up prices &amp; exploit workers while exporting record amounts of meat to China. If they were actually concerned about their workers, they would have provided real answers to the serious concerns @SenBooker &amp; I raised. https://t.co/g8VBuxrJ1Q"
Fri Jul 24 22:16:01 +0000 2020,"Venezuela was already suffering from a political, economic, &amp; humanitarian crisis before COVID-19 hit. It would be dangerous &amp; cruel to force Venezuelans in the US to return right now. The Senate should finally do what the House did a year ago this week &amp; pass #VenezuelaTPSNow."
Fri Jul 24 21:15:14 +0000 2020,"Let’s be clear about who is most at risk to lose their homes because of the GOP's failure to act: communities of color. Failing to institute an eviction moratorium would further deepen existing racial injustices.
https://t.co/0Ac0AnxEtJ"
Fri Jul 24 21:14:57 +0000 2020,The federal eviction moratorium ends TONIGHT. Millions could lose their homes because the GOP can’t get their act together to pass a bill. My bill to extend &amp; expand the eviction moratorium for all renters is ready to go. The @SenateGOP needs to stop blocking it &amp; pass it now. https://t.co/WkLsbZIm7m
Fri Jul 24 18:40:23 +0000 2020,"RT @SenSherrodBrown: 🚨The federal eviction moratorium ENDS TONIGHT.🚨
 
Ending this protection puts millions of families at risk of being ev…"
Fri Jul 24 18:04:29 +0000 2020,"RT @MassGovernor: Every traveler coming to Massachusetts, no matter from where, has a responsibility to help keep #COVID19MA out of the Com…"
Fri Jul 24 14:23:09 +0000 2020,"I’m fighting right now to keep people in their homes during this crisis. And I’m also still fighting for my bill to help homebuyers in formerly redlined areas. We should be confronting our history of govt-backed housing discrimination, not repeating it.
https://t.co/oi1DAHoNqs"
Fri Jul 24 14:23:08 +0000 2020,"Housing discrimination still exists, and the Black/white wealth gap is bigger now than when housing discrimination was legal. It's unbelievable that @SecretaryCarson is ripping up the rule that helps communities address the ugly legacy of segregation and housing discrimination."
Fri Jul 24 14:23:08 +0000 2020,"Black and Brown Americans hit hardest by COVID-19 are facing a wave of evictions. Americans are demanding an end to systemic racism. And Trump and @SecretaryCarson think now's the time to gut civil rights laws like the Fair Housing Act. This is disgusting.
https://t.co/87kMXH92lc"
Fri Jul 24 01:36:50 +0000 2020,I asked @JusticeOIG to investigate the role of Attorney General Barr &amp; @TheJusticeDept in the sickening Lafayette Square attacks. I’m glad that IG Horowitz has agreed to review this ugly propaganda event &amp; the appalling attacks in Portland. https://t.co/3wh410NZ1V
Thu Jul 23 22:43:06 +0000 2020,"Trump &amp; his team have repeatedly belittled COVID-19 risks, but more than 140,000 are dead &amp; we can't pretend long-term risks like heart damage &amp; strokes don’t exist. We want to know what the administration is doing about COVID’s chronic health impacts. https://t.co/y2j8oOmucs"
Thu Jul 23 21:37:01 +0000 2020,"About 628,000 tribal households don't have access to reliable internet, and COVID-19 has made it difficult for tribal nations to apply under a rapidly approaching deadline. I urge the @FCC to extend the 2.5GHz Rural Tribal Priority Window for tribal connectivity. #ConnectTribes https://t.co/T8BzqZDg1g"
Thu Jul 23 19:09:08 +0000 2020,Americans can’t wait any longer for the GOP to get their act together on another relief bill. The federal eviction moratorium ends TOMORROW. I’m heading to the Senate floor to urge my colleagues to pass my bill to extend &amp; expand that moratorium. https://t.co/Oe2qq6kP7U
Thu Jul 23 17:32:45 +0000 2020,"I agree with @WhipClyburn: now more than ever, Congress should pass our bill to help millions of Americans getting crushed with student loan debt. https://t.co/nA9ux2oKNP"
Thu Jul 23 16:45:26 +0000 2020,"In 2017, I joined protesters at Logan Airport &amp; Copley Square to fight Trump's #MuslimBan. Today, I’m very glad to celebrate the House passage of the #NoBanAct with @ChrisCoons, @RepJudyChu &amp; many colleagues. @SenateMajLdr McConnell: let's vote on it &amp; repeal this immoral policy. https://t.co/8sfXgXFVCM"
Thu Jul 23 15:57:14 +0000 2020,"Donald Trump and Betsy DeVos have failed our students and failed our schools. Yesterday I told our Massachusetts teachers: we will not allow the lives of students, teachers, and school staff to be used as a bargaining chip to get them the funding they need. https://t.co/Kpcq5AFzgh"
