created_at,text
Mon Jul 06 20:14:13 +0000 2020,"I send my love to Amanda Kloots and Elvis on their unthinkable loss. My heart breaks for Nick Cordero’s family and friends. @Amandakloots, your strength through Nick’s struggle with COVID-19 has been inspiring. You are in my heart today."
Mon Jul 06 18:07:52 +0000 2020,"Happy birthday, @KevinHart4real. I hope you’re not celebrating by camping in your backyard. https://t.co/qMDOTQOTAn"
Mon Jul 06 15:07:30 +0000 2020,"You are strong, you are beautiful, and you are intelligent. I love this so much. https://t.co/73JDeEM91j"
Fri Jul 03 23:22:11 +0000 2020,Getting ready to watch Hamilton for the first time. #Hamilfilm https://t.co/mYMz3q6I0Y
Fri Jul 03 19:15:19 +0000 2020,He’s got some great material. https://t.co/DoWFJrs77g
Fri Jul 03 16:51:19 +0000 2020,This Friday I’m highlighting The Innocence Project. I hope you’ll consider supporting them. https://t.co/hr030H70VZ
Thu Jul 02 00:53:41 +0000 2020,"Seeing everyone’s posts about Carl Reiner makes you realize what an incredible legacy of laughter he left behind. I was inspired by his talent and his humanity, and I send love to his family."
Tue Jun 30 14:16:15 +0000 2020,Go vote! https://t.co/r2w2qR0d5D
Mon Jun 29 21:40:23 +0000 2020,Young CEO Trey Brown got the surprise of a lifetime when he got to meet @Diddy backstage at my show. https://t.co/8a0c6Dp8jy
Sat Jun 27 15:41:21 +0000 2020,"The Season 3 finale of #OMKalen is here. I am so proud of you, @TheKalenAllen. https://t.co/buN3c5ADEU"
Sat Jun 27 03:16:19 +0000 2020,"Congratulations to everyone on my show for winning the Emmy for Outstanding Daytime Talk Show! I knew you were all outstanding, including @andylassner who was out standing in my yard for much of the season."
Fri Jun 26 18:43:09 +0000 2020,"June is LGBTQ+ pride month, and today I am celebrating the inspiring Black celebrities and visionaries I've had on my show. Black lives matter, including LGBTQ+ Black lives. Here are some organizations you can donate to: @translawcenter @snap4freedom @tgijustice @mpjinstitute https://t.co/gbkC3qZNRN"
Fri Jun 26 16:57:13 +0000 2020,"Join me in supporting Pride Live's Stonewall Day, a global livestream event today to benefit LGBTQ+ organizations most affected by COVID-19. #prideliveofficial @TransLifeline @BSAllianceChi @translatina_c @allycoalition https://t.co/34tCDTrfH4"
Fri Jun 26 16:29:01 +0000 2020,Happy birthday to the very funny @SeanHayes. https://t.co/UegtcwTb31
Thu Jun 25 19:52:06 +0000 2020,Tamir Rice would have been 18 today. He was killed by police when he was 12 years old. There have still been no charges filed. Think of all the things he could have been. #BlackLivesMatter https://t.co/KyFNI0AKAJ
Wed Jun 24 19:34:30 +0000 2020,"RT @GavinNewsom: Wear your mask. 

This isn’t about politics. It’s about SCIENCE. 

Protect others. Protect yourself. Help slow the spread…"
Wed Jun 24 17:21:59 +0000 2020,"Read what happened to #ElijahMcClain, and ask yourself what you would do if it happened to someone you knew. #JusticeForElijahMcClain https://t.co/ckb6ybWrWI https://t.co/5FQ9SNz50L"
Tue Jun 23 16:11:47 +0000 2020,Live here? Go vote! https://t.co/y63mLkxMEs
Mon Jun 22 22:50:49 +0000 2020,Emeka is one of my favorite guests from all 17 seasons of my show. https://t.co/Pdbu8HQKki
Mon Jun 22 19:24:59 +0000 2020,We have to make voting more accessible. Pay attention to what’s happening. Speak up. And VOTE. #AllEyesOnKentucky https://t.co/WPbkYvtzGI
Mon Jun 22 15:25:07 +0000 2020,"Here are some of my favorite LGBTQ+ moments from my show. You can support some of these black-led LGBTQ+ organizations here. Happy #Pride! 
@translawcenter @snap4freedom #tgijustice @mpjinstitute @theokraproject @audrelorde. https://t.co/FH93SH24MU"
Sun Jun 21 15:22:46 +0000 2020,Happy #FathersDay! https://t.co/cCzpG92xfc
Sat Jun 20 17:30:15 +0000 2020,Adorable. https://t.co/3g3FAlHdQn
Fri Jun 19 18:57:44 +0000 2020,It’s the #Juneteenth episode of #OMKalen. I hope you’ll watch. https://t.co/baZ07Y15k8
Fri Jun 19 14:50:17 +0000 2020,"For #Juneteenth, @TheKalenAllen is taking over my Instagram all day. Go check it out. https://t.co/zYtoQw19hZ"
Thu Jun 18 22:45:12 +0000 2020,"Tomorrow is #Juneteenth, and my friend @TheKalenAllen is taking over my Instagram. That's two reasons to celebrate. https://t.co/gRjgvIAWfy"
Thu Jun 18 19:04:38 +0000 2020,"#LeadWithLove. Thanks, P&amp;G. https://t.co/NKnbDxtZ37"
Thu Jun 18 18:33:58 +0000 2020,"RT @latimes: Breaking: In a striking rebuke to President Trump, the Supreme Court Thursday rejected his plan to repeal the popular Obama-er…"
Wed Jun 17 21:54:23 +0000 2020,"Happy birthday, @KendrickLamar. I love this performance and I love you. https://t.co/fOL4CwwNsv"
Wed Jun 17 19:14:15 +0000 2020,I love it every time I get to talk to @RickyGervais. #BurningQuestions https://t.co/19eUJLaSqI
Wed Jun 17 17:15:35 +0000 2020,"RT @Phil_Lewis_: 5 years ago on this date, these 9 people were killed by a white supremacist at the Emanuel AME Church in Charleston, SC. #…"
Wed Jun 17 00:33:44 +0000 2020,@crtremitiere I think this shot is worth 8 points.
Tue Jun 16 20:09:34 +0000 2020,All are welcome. https://t.co/UmAkuhOAyH
Tue Jun 16 18:45:57 +0000 2020,Jordan Waller is a dedicated 2nd grade teacher who had a whole lot more cash in her pocket after this game. #ThanksSponsor https://t.co/LTQFooEoAn
Tue Jun 16 17:40:43 +0000 2020,RT @ava: This is a white woman talking honestly about her experiences and its one of the best threads on the criminalization of Black peopl…
Mon Jun 15 23:59:45 +0000 2020,RT @CNN: Atlanta Mayor @KeishaBottoms on Rayshard Brooks’ killing: “People are looking to us to lead. But when these things continue to hap…
Mon Jun 15 23:17:43 +0000 2020,Jennifer Garner’s cat might be the luckiest animal alive. https://t.co/3aBDADPK6D
Mon Jun 15 22:07:25 +0000 2020,"How ever you do it, please remember to wear a mask. Infection numbers are still climbing. https://t.co/jGPsvZkMpM"
Mon Jun 15 21:03:48 +0000 2020,"RT @taylorswift13: As a Tennessean, it makes me sick that there are monuments standing in our state that celebrate racist historical figure…"
Mon Jun 15 15:23:32 +0000 2020,Historic.🌈 https://t.co/YwHX7iW1NF
Fri Jun 12 23:58:01 +0000 2020,This is appalling. Please make sure you’re registered to vote in November. https://t.co/p3s5D5BL7Q
Fri Jun 12 22:08:59 +0000 2020,"""Couldn’t imagine a world where we couldn’t look the ones we love in their eyes. Where we couldn’t hold hands. 53 years ago today, this country witnessed how love wins."" — @official_tWitch 
 
Happy #LovingDay2020, everybody. https://t.co/dZrrXDhtLq"
Fri Jun 12 18:37:32 +0000 2020,My friend @DaxShepard shares his realization about white privilege. https://t.co/FdbS0NSGzA
Fri Jun 12 00:45:34 +0000 2020,"#BreonnasLaw unanimously passed. We can effect change. Let’s keep going. Thanks for the text, @AliciaKeys. 📸: Juniyah Palmer https://t.co/MDwSK8fzRH"
Thu Jun 11 20:31:21 +0000 2020,This was one of my favorite graduation gifts I’ve ever given. https://t.co/j4VTB1vbRw
Thu Jun 11 18:05:26 +0000 2020,I got to speak with @StaceyAbrams before the Georgia primary debacle. Go to https://t.co/n8yDNvQHK5 to help fight for voting rights. https://t.co/5irJjC6RTt
Wed Jun 10 22:51:48 +0000 2020,"I’m so happy to be sharing my mic with @OsopePatrisse. Co-Founder of the #BlackLivesMatter movement, I’ve been grateful for the influence her voice has had on me. Now it’s her turn to share it with all of you, on my Instagram. #ShareTheMicNow https://t.co/zYtoQw19hZ https://t.co/GTVVZKnHXi"
Wed Jun 10 16:13:04 +0000 2020,"Do you know what happened to #BreonnaTaylor?
#JusticeForBreonnaTaylor #SayHerName https://t.co/CHlUUHBO6W"
Tue Jun 09 22:00:31 +0000 2020,This is amazing. https://t.co/Pur4BhWelP
Tue Jun 09 20:55:10 +0000 2020,"I love you, Rickey. #BlackTransLivesMatter https://t.co/Wxixc42ejO"
Tue Jun 09 19:08:31 +0000 2020,Mayor @KeishaBottoms talks about the president. https://t.co/W9wi3dY3wS
Tue Jun 09 17:55:11 +0000 2020,"If you live in one of these states, there’s an election today! #VOTE https://t.co/hFumdBawoz"
Tue Jun 09 16:57:51 +0000 2020,This is a new company my friend @Ludacris started. What a smart idea. @KidNation https://t.co/jE1n5J3DlF
Mon Jun 08 22:40:57 +0000 2020,.@RepJohnLewis has fought for civil rights his entire life. It was an honor to talk with him today. https://t.co/RLRLcDgDii
Mon Jun 08 19:51:28 +0000 2020,.@Ava discussed the profound impact of George Floyd's death. https://t.co/6rEkMPKx45
Mon Jun 08 17:39:31 +0000 2020,.@official_tWitch told me how recent events have changed his marriage to @AllisonHolker. https://t.co/u4LwdS85mF
Sun Jun 07 20:12:15 +0000 2020,"Join me tonight LIVE with @BerniceKing &amp; @TheKingCenter at https://t.co/ZHzGjCT6DX. #OnlineProtest aims to drive real, tangible change. Starts at 7pm ET. I’m on at 8. Let’s amplify the calls for justice for #GeorgeFloyd, #BreonnaTaylor #AhmaudArbery #BlackLivesMatter"
Fri Jun 05 22:59:57 +0000 2020,Dr. @BerniceKing on the resounding words of her father. https://t.co/8vLa9tPIGX
Fri Jun 05 19:01:45 +0000 2020,.@RepValDemings discusses the need for police reform. https://t.co/KhX3zAYNct
Fri Jun 05 13:59:11 +0000 2020,"Today would have been Breonna Taylor’s 27th birthday. A medical worker on the frontline, she wanted to become a nurse. She was shot by police eight times in her home. They had the wrong address. No one has been charged. You can support her family here. https://t.co/4pNPtmWg6Y"
Thu Jun 04 22:16:35 +0000 2020,.@VanJones68 on common ground. https://t.co/t3bQHqSFRy
Thu Jun 04 20:12:07 +0000 2020,I loved getting to talk with Mayor @KeishaBottoms. https://t.co/kzI3cKjs1Y
Thu Jun 04 17:23:44 +0000 2020,The problem with saying nothing. https://t.co/4SJV4Nhfxh
Thu Jun 04 00:13:58 +0000 2020,"My guests over the next few days are Mayor @KeishaBottoms, @BerniceKing, @RepValDemings, and @VanJones68. I hope you’ll watch."
Wed Jun 03 17:15:40 +0000 2020,This. @official_tWitch @Allisonholker https://t.co/YAlnkC4v5J
Mon Jun 01 21:01:36 +0000 2020,Sign a petition. Make a donation. Get informed. Make a phone call. Do it all from here. https://t.co/delWjegA0a https://t.co/HwA9w5kb0l
Mon Jun 01 18:36:43 +0000 2020,"It's #PrideMonth. The protests that came before me allowed me to be the out, successful person I am. I support the protestors demanding change now. We can do better, and I'm starting with myself. I’m committed to using my platform to effect change. #BlackLivesMatter"
Sun May 31 22:18:22 +0000 2020,"I am making a donation to the George Floyd Memorial Fund, the @NAACP_LDF, @BlkLivesMatter, and the @ACLU in support of them, and I hope you will join me if you are able. 

#BlackLivesMatter"
Sun May 31 22:18:11 +0000 2020,"I support the protestors who are exercising their rights and standing up against the horrible injustices that Black people in America face everyday.

#BlackLivesMatter"
