created_at,text
Mon Jul 27 04:46:22 +0000 2020,"I’m always intrigued by true stories. A common man’s extraordinary journey to save his love....this looks very promising @VidyutJammwal , looking forward to #KhudaHaafiz

https://t.co/oPGWFTzySA"
Mon Jul 20 08:43:17 +0000 2020,Go about your life normally but follow the #safenormal. @drjagannath https://t.co/gH1Lg9g7d8
Thu Jul 16 06:03:04 +0000 2020,"This woman can pull off any character with ease. Looking forward to watch the effortlessly amazing @vidya_balan in and as #ShakuntalaDevi. All the best @vikramix @Abundantia_Ent @PrimeVideoIN 

https://t.co/JfN0dcCQjk"
Sun Jul 12 02:32:03 +0000 2020,@juniorbachchan Get well soon brother. Lots of love ♥️
Sun Jul 12 02:31:31 +0000 2020,@SrBachchan Praying for your speedy recovery Sir. Love and prayers 🙏🏻
Tue Jul 07 13:17:15 +0000 2020,He’s got the lyrics bang on 😂 Too cute ♥️ https://t.co/EtAcsxJ1Bu
Mon Jul 06 04:30:08 +0000 2020,Looking forward to doing what we do best! Time we get back to work! #Bellbottom to go on floors next month @vashubhagnani @vaaniofficial @humasqureshi @LaraDutta @ranjit_tiwari @jackkybhagnani @honeybhagnani @monishaadvani @madhubhojwani @nikkhiladvani @EmmayEntertain @poojafilms https://t.co/QmqTLFtnG3
Sun Jul 05 17:22:52 +0000 2020,Brilliant news! Now that’s a progressive move by the government in the right direction. I hope rest of the occupations in the country follow suit. https://t.co/r7tEWFR7JD
Fri Jul 03 02:27:25 +0000 2020,"Woke up to the sad news that legendary choreographer #SarojKhan ji is no more. She made dance look easy almost like anybody can dance, a huge loss for the industry. May her soul rest in peace 🙏🏻"
Mon Jun 29 17:00:21 +0000 2020,Thank you! https://t.co/gikiahMlHD
Mon Jun 29 16:59:54 +0000 2020,@taapsee @DisneyplusHSVIP @advani_kiara @TusshKapoor @offl_Lawrence @Shabinaa_Ent @foxstarhindi Thank you 😁😁😁
Mon Jun 29 16:59:26 +0000 2020,Thank you 🙏🏻 https://t.co/0Yb0P2dy6K
Mon Jun 29 16:56:58 +0000 2020,Thank you Diljit paaji 😁 https://t.co/rCs9oDzAaW
Mon Jun 29 12:34:16 +0000 2020,#TussharEntertainmentHouse #CapeOfGoodFilms @ZeeMusicCompany
Mon Jun 29 12:34:02 +0000 2020,"Watch First day First show of #LaxmmiBomb from the comfort of your homes. Do baatein guaranteed hai : hassoge bhi aur darroge bhi 👻 Only on @DisneyplusHSVIP with #DisneyPlusHotstarVIPMultiplex.

@advani_kiara @TusshKapoor @offl_Lawrence @Shabinaa_Ent @foxstarhindi https://t.co/HZwS4HEB2G"
Mon Jun 29 06:36:41 +0000 2020,"Big news coming today! Tune into @DisneyplusHSVIP twitter handle today at 4:30 PM! 
@ajaydevgn @aliaa08 @juniorbachchan @Varun_dvn https://t.co/yH4liAO9Pb"
Wed Jun 24 09:20:51 +0000 2020,"That’s very kind of you, thank you Claudia 🙏🏻 Its a great initiative that you’ve started to help people get fit during this lockdown. Sending my best wishes to you for this wonderful endeavour. https://t.co/O1H3Nev9QH"
Tue Jun 23 11:11:40 +0000 2020,Great work Samiksha! Those are my favourite dialogues as well 😁 Keep it up. Love and prayers always ♥️ https://t.co/9TAvTA8oCF
Tue Jun 23 04:45:17 +0000 2020,"Teri Mitti is a song which always gives me goosebumps, no matter how many times I hear it, this time was no different ♥️ Thank you Rajat ji for sharing. #CopThatSings :) https://t.co/JTmy6qiSjs https://t.co/FymUgo7u4U"
Mon Jun 22 05:31:43 +0000 2020,"Hamari duniya 71% paani se bani hai lekin uss mein se sirf 2.5% hai fresh paani.Yani har ek boond hai priceless!Zaroorat hai ki paani sirf store nahi,secure karein.Apne 30 saal ke PVC piping systems ke experience se Prince Pipes lekar aaye hain Storefit @Prince_Pipes #PaaniKaBank https://t.co/sM6cA0tg0Y"
Sun Jun 21 10:14:50 +0000 2020,"I’m sure watching your child fall asleep in your arms gives you as much peace as practicing yoga :) Wishing all the amazing fathers, Happy #FathersDay and Happy #InternationalYogaDay everyone! https://t.co/dUuF4n8SWE"
Wed Jun 17 17:43:42 +0000 2020,"Loved it! Please tell Aditya thank you, I’m honoured he chose me for his first sketch . Love and prayers always ♥️ https://t.co/b6LSBmAHBe"
Wed Jun 17 11:06:59 +0000 2020,"RT @moayush: Yoga frees you from your worries. Practice Yoga for a better tomorrow.

Take part in the #MyLifeMyYoga video blogging contest.…"
Tue Jun 16 16:28:33 +0000 2020,"Deeply saddened by the death of our bravehearts in #GalwanValley. We will forever be indebted to them for their invaluable service to the nation.
My heartfelt condolences to their families 🙏🏻 https://t.co/tGOGTU61X6"
Mon Jun 15 04:40:42 +0000 2020,"Kudos to @masksforindia,a not for profit student organization formed by Class X,XI &amp; XII students to help the underprivileged.These bright young minds have distributed 2.4 lakh masks &amp; 3.8 lakh sanitary pads so far!Help save lives,one mask at a time.Donate https://t.co/Clzuu92sk8"
Sun Jun 14 09:21:04 +0000 2020,"Honestly this news has left me shocked and speechless...I remember watching #SushantSinghRajput in Chhichhore and telling my friend Sajid, its producer how much I’d enjoyed the film and wish I’d been a part of it. Such a talented actor...may God give strength to his family 🙏🏻"
Mon Jun 08 08:29:44 +0000 2020,@DharmaMovies #CapeOfGoodFilms @ZeeStudiosInt @Vibzz80 @ZeeMusicCompany
Mon Jun 08 08:29:22 +0000 2020,"The Batras are waiting to meet you again! #GoodNewwz is all set to re-release in #Dubai on 11th June, see you there!

#StaySafe #StayEntertained
#KareenaKapoorKhan @diljitdosanjh @Advani_Kiara @karanjohar @apoorvamehta18 @ShashankKhaitan @raj_a_mehta @NotSoSnob @ZeeStudios_ https://t.co/xcKJtCPoJj"
Sun Jun 07 05:40:00 +0000 2020,"Very excited about the launch of my friend @AnupamPKher’s autobiographical play #KuchBhiHoSaktaHai on his digital platform https://t.co/D4JEzeFlk2, an artistic showcase of his values &amp; life lessons of how people go through challenges &amp; failures to achieve success!My best wishes🤗 https://t.co/CNLLXxPozx"
Sat Jun 06 09:31:28 +0000 2020,"Couldn’t agree more @ImRaina , it’s the need of the hour...#BeStrong, this too shall pass. https://t.co/pOkiowSvUN"
Fri Jun 05 13:53:47 +0000 2020,"How can I forget Abbas Mustan bhai...it’s not just a film for me but a stepping stone in my career, a title which is now synonymous with me. Thank you for giving me #Khiladi 🙏🏻 https://t.co/VEpiUBpQyu"
