created_at,text
Sat Jun 27 00:45:13 +0000 2020,RT @britboy18: OMG the #MoodRingRemixes are FLAWLESS! I loved them both! Thank you so much for this #PRIDE2020 gift @britneyspears I'm gonn…
Sat Jun 27 00:44:57 +0000 2020,RT @BritneyHiatus: Proud to welcome two new girls to the Britney catalogue. #MoodRingRemixes https://t.co/mi0X32JWKQ
Sat Jun 27 00:44:38 +0000 2020,"RT @idolator: She did that! @britneyspears' ""Mood Ring"" remixes are here &amp; they are 🔥 https://t.co/yd1sS552Yl https://t.co/2sHHjkP9Wd"
Sat Jun 27 00:44:15 +0000 2020,"RT @TreySerna: What a great ending to #PrideMonth! At midnight, @britneyspears released not ☝🏼, but ✌🏼 #MoodRing remixes! She’s the gift th…"
Fri Jun 26 19:53:42 +0000 2020,Happy Pride Month ❤️💛💚💙💜 !!!!! Put on your dancing shoes and listen to my exclusive “Mood Ring” playlist on @Deezer …. sending love to you all 💋💋💋 !!!!!!  https://t.co/gDmY7t6TWI https://t.co/mX4HozAQ6e
Fri Jun 26 04:03:49 +0000 2020,Bringing you some cool Mood Ring energy 😉 …. with two new remixes !!!! I hope these make you all want to dance 💃 !!!!! Listen here: https://t.co/ebdyAAYRj2 https://t.co/I3L76losyW
Tue Jun 23 22:20:45 +0000 2020,Happy Pride Month 🌈🌈🌈🌈 !!!! I love my LGBTQ+ fans so much …. you all bring me so much joy and I am proud to support you ❤️🧡💛💚💙💜 !!!! PS Sam …… 🤫🤫🙄😂😜💋 !!!! https://t.co/5JbbzWqn7W
Tue Jun 23 00:50:49 +0000 2020,All you need is love and the beach …. 🌸👙💋 !!!!! https://t.co/tBWc9o7cE4
Tue Jun 02 00:49:33 +0000 2020,PS if you’d like to help …. text FLOYD to 55156 and donate to organizations like #BlackLivesMatter if you are able to. God Bless You ALL !!!! #TheShowMustBePaused
Tue Jun 02 00:49:33 +0000 2020,To start I will be participating in #BlackoutTuesday tomorrow ….. I won’t be posting on social media and I ask you all to do the same. We should use the time away from our devices to focus on what we can do to make the world a better place …. for ALL of us !!!!!
Tue Jun 02 00:49:32 +0000 2020,What the world needs now is love … 🌎💔 my heart breaks for my friends in the black community …. and for everything going on in our country. Right now I think we all should do what we can to listen …. learn … do better …. and use our voices for good. Photo Credit: #danicagim https://t.co/8hDTBwDVGa
Fri May 29 22:47:51 +0000 2020,RT @people: Britney Spears Shares Fave Songs from the '00s — Including Tracks by *NSYNC and Christina Aguilera https://t.co/63AbMob9jP
Fri May 29 22:29:53 +0000 2020,"RT @BritsBitch19: “Mood Ring” by Britney Spears is now #1 in 18 countries including US, Brazil and France #MoodRing https://t.co/OJWFgORoON"
Fri May 29 22:21:13 +0000 2020,"RT @billboard: We spoke to ""Mood Ring"" songwriters Melanie Fontana &amp; Jon Asher about the making of the @britneyspears song and the ""true po…"
Fri May 29 17:16:40 +0000 2020,"RT @idolator: Can you say LEGENDARY? @britneyspears' ""Mood Ring"" is #1 on iTunes: https://t.co/g2rgLamb1x 💍 https://t.co/Ob1nu7LMsc"
Fri May 29 17:16:27 +0000 2020,RT @godkneebitch: Mood Ring is now #1 on iTunes US.. this is Britney’s FIRST #1 of the new decade and first since Make Me in 2016! Congratu…
Fri May 29 04:14:16 +0000 2020,Repurposed this since we didn’t use it: You folks wanted a new album cover ….. ta da there you go 💁🏼‍♀️💁🏼‍♀️💁🏼‍♀️💁🏼‍♀️💁🏼‍♀️!!!! What was requested next is out now ✨🙊🙊💕🌸💍😉 ….. I hope you turn #MoodRing up sooooooo loud 💋💋💋 !!!! https://t.co/xmwWR79k52 https://t.co/XIY4SrgIbo
Tue May 19 20:43:03 +0000 2020,Number ONE 😱 ??!!? Thank you @RollingStone …. what an honor 💋💋💋 !!!!!! https://t.co/GnFH7Mqxjn
Sat May 16 23:48:06 +0000 2020,RT @NASA: It might seem like a crush...🔴 https://t.co/2kUlIYERaF
Sat May 16 17:45:55 +0000 2020,Hey @NASA ….. I received your gift. I know it’s been 20 years since we met on Mars and I just wanted to say ….. aww you shouldn’t have 😜😜😜😂😂😂 !!!!! Have fun up there @NASAPersevere !!!!!
Sat May 16 16:51:51 +0000 2020,20 years since the Oops! 😳 album …. the anticipation and the butterflies 🦋🦋🦋 I felt before it came out were crazy …. all of my expectations were exceeded !!!! And it’s all thanks to you folks …. thank you for sticking with me and growing with me. I am one Lucky girl ⭐️😉. https://t.co/JqXJl8Da85
Fri May 15 15:19:37 +0000 2020,RT @UrbanOutfitters: she's legendary: preorder @britneyspears' iconic Oops...I Did it Again on exclusive clear vinyl with purple and gold s…
Wed May 13 23:43:20 +0000 2020,Smiling for my haters 🌹🌹🌹 https://t.co/VFmbSOfPUK
Sat May 09 00:53:57 +0000 2020,You asked for a new Glory cover and since it went to number one we had to make it happen !!!! Couldn’t have done it without you all 💞😘🌹✨!!!! https://t.co/uWzIXHR6cR
Tue May 05 01:29:42 +0000 2020,Happy B day mamma !!!! Dear God we’ve shared the best laughs known to mankind ... I don’t care I will say it .... I Fucking love ya !!!! And I won’t say the F word anymore ughhhhh 😜🤓 https://t.co/wRw6Q8pY4h
Sun May 03 23:26:48 +0000 2020,I’m having the best day ever .... THANK YOU ☀️☀️☀️☀️ !!!!!! https://t.co/Ws8vaiRmw0
Sun May 03 21:29:01 +0000 2020,RT @Martiijnn: BRITNEY NOTICED US. #JusticeForGlory ✨ https://t.co/m8g9HEFQtz
Tue Apr 07 21:51:08 +0000 2020,Enough said 😜🧼🧼🌸🌸🌸🌸 and thank you to all of the healthcare workers tirelessly working to keep us safe during this time !!!! #WorldHealthDay #ThanksHealthHeroes https://t.co/L8EctjHwAG
Tue Apr 07 00:13:53 +0000 2020,RT @ajmitchell: everytime by @britneyspears - full version on @Vevo https://t.co/rii9soJ13k https://t.co/foXAZ9XHh7
Sat Mar 28 01:08:30 +0000 2020,Oops!…how did 20 years go by so fast 😅😅🙄 ?! I can’t believe it. I remember that red suit was so freaking hot … but the dance was fun 💃🏼 and it made the shoot fly by !!! You have all shown so much support for this song &amp; I thank you for it … sending love to you all ❤️❤️❤️ !! https://t.co/E09TuZXld7
Fri Mar 27 22:37:13 +0000 2020,Happy Birthday @MariahCarey !! You are one of the main reasons I started singing ... your Butterfly 🦋 album never gets old even after 20+ years … it’s simply a classic and I will be listening to it today as I work out in the gym !!! Have a wonderful birthday 💕🦋 !!! God bless. https://t.co/hDXRDsLcDa
Fri Feb 28 20:31:55 +0000 2020,🌹☕️ 🌹 https://t.co/4eFVgvB3Qo
Tue Feb 11 00:31:15 +0000 2020,RT @billboard: Watch @kellyclarkson slay @britneyspears' #Toxic on @KellyClarksonTV 🎤 https://t.co/13mieQF4lx
Mon Feb 03 21:49:48 +0000 2020,RT @RollingStone: Get ‘In the Zone’: Inside the Britney Spears pop-up experience in Los Angeles https://t.co/UJaHE6Z4Vf
Sat Feb 01 01:28:26 +0000 2020,"Listen to the new @y2k2y and @_AlexanderLewis remix of #Toxic, released today in celebration of the opening of @BritneyTheZone! https://t.co/ixyUFYauFL @RCARecords https://t.co/eV48edkPxb"
Fri Jan 31 02:49:43 +0000 2020,"RT @billboard: Want to get into ""The Zone?"" We take you inside @britneyspears immersive pop-up in Los Angeles with @itstetrisbish! https://…"
Fri Jan 31 00:38:49 +0000 2020,RT @billboard: .@britneyspears just gave this #TikTok by @charlidamelio &amp; @derekhough her stamp of approval ✔️ https://t.co/AuFRitsmDd
Fri Jan 31 00:37:29 +0000 2020,"RT @MTVNEWS: At the @BritneyTheZone pop-up in L.A., it's Britney, b*tch all the time 
https://t.co/9VPMk9Ckuh"
Fri Nov 22 20:45:48 +0000 2019,"RT @BritneyTheZone: ⭐️ CALLING. ALL. BRITNEY. FANS. ⭐️ We're doing a SPECIAL giveaway today through Sunday, November 24th. Check out the li…"
Sat Nov 02 17:12:56 +0000 2019,Coming soon !!!! 😜😜😜 I can’t wait to see all of the pics you guys take at @britneythezone .... it’s going to be so fun !!! Hope you’re having a happy Saturday so far friends 🌷🌷🌷 https://t.co/ZGcBp2OJ1J https://t.co/AaLCuTL6J9
Sat Nov 02 01:59:33 +0000 2019,RT @BritneyTheZone: It's time to get in the zone 🌟 Tickets are on sale NOW at https://t.co/F4yeQh2DlP! https://t.co/QtTf8rxcWE
Fri Nov 01 20:25:56 +0000 2019,OMG this looks so cool !!! I can’t wait to see it ⏱⏱⏱🌸🌸🌸 https://t.co/ZGcBp2OJ1J https://t.co/tTjyo27sKw
Fri Aug 23 02:05:19 +0000 2019,The flowers outside my bookstore 🌸 https://t.co/MXKwFXndjc
Tue Aug 20 22:23:57 +0000 2019,"My daddy loves Mitch, @MonsterEnergy, and @NASCAR… and we both can’t wait to see this movie.  Congrats to everyone involved! It opens Sept 12 ✨ https://t.co/Gb5n7iNuZm"
Sat May 04 00:43:51 +0000 2019,🎩 photo credit: @francesiacuzzi https://t.co/7sYqcr3wKc
Sat Jan 12 18:17:31 +0000 2019,"Can you believe that this album was released 20 years ago today?! I can’t. It’s been the journey of a lifetime, but I’m grateful for every moment. Getting to know you all over the years has been such an incredible experience. Thank you for all your support ❤️ #BabyOneMoreTime20 https://t.co/vbj10cDn2C"
Fri Jan 04 17:09:32 +0000 2019,"I appreciate your prayers and support for my family during this time. Thank you, and love you all… always."
Fri Jan 04 17:09:32 +0000 2019,I had to make the difficult decision to put my full focus and energy on my family at this time. I hope you all can understand. More information on ticket refunds is available on https://t.co/SBF4WxXT31.
Fri Jan 04 17:09:32 +0000 2019,"However, it’s important to always put your family first… and that’s the decision I had to make. A couple of months ago, my father was hospitalized and almost died. We’re all so grateful that he came out of it alive, but he still has a long road ahead of him."
Fri Jan 04 17:09:31 +0000 2019,"I don’t even know where to start with this, because this is so tough for me to say. I will not be performing my new show Domination. I’ve been looking forward to this show and seeing all of you this year, so doing this breaks my heart. https://t.co/kHgFAVTjNA"
Sun Dec 30 19:22:12 +0000 2018,@thebrooklyncat Can’t wait to see you in Vegas!!!!
Sun Dec 30 19:18:43 +0000 2018,RT @Randy_Haas: I Will Not Miss @BritneySpears Domination For ANYTHING In 2019! 😍 #BritneyDomination #BritneySpears https://t.co/dSOtVix1gl
Sat Dec 29 18:01:11 +0000 2018,See you in Vegas!!! 🎂💕 https://t.co/7q6HxBFBnO
Wed Dec 26 19:52:32 +0000 2018,@arielura Happy early birthday! Can't wait to celebrate with you 🎂
Wed Dec 26 19:50:43 +0000 2018,@Kerrionce See you all in Vegas ❤️
Wed Dec 26 19:47:45 +0000 2018,Awwww this is so sweet! Can't wait to see you all in Vegas! https://t.co/fK8MUEq6Y7
Tue Dec 25 17:49:32 +0000 2018,I hope everyone has a very very merry Christmas today. Celebrate and be grateful for all the good things you have in your life. I love you all!!! ❄️🎄❤️
Fri Dec 21 17:46:35 +0000 2018,Choose your own identity and desires #MyPrerogative https://t.co/pKN5mQw4qN
Thu Dec 20 17:55:01 +0000 2018,"This is one of the most exquisite things I’ve ever seen!!!
🎨: Sister Golden Shop https://t.co/LXF7e1GaHd"
Thu Dec 20 01:55:18 +0000 2018,https://t.co/5zI7HAn8Mw
Thu Dec 20 01:54:02 +0000 2018,Excited to get back on stage in Vegas ✨ #BritneyDomination https://t.co/Cv729NvOeg
Wed Dec 19 21:58:13 +0000 2018,💋💋💋 https://t.co/4LgskN8AcE
Wed Dec 19 18:26:07 +0000 2018,🌹🌹🌹 https://t.co/Sw7nXTB63G
Wed Dec 19 01:18:00 +0000 2018,Love wearing my favorite 3D @SOPHIAWEBSTER shoes during the holidays! 🎄👠🎄 https://t.co/K5AJXT0yg5
Tue Dec 18 20:34:14 +0000 2018,https://t.co/m0eYvSSrD4
Tue Dec 18 20:32:41 +0000 2018,Working hard and having some fun in rehearsals with these amazing mates!! 🎀🎀🎀 #BritneyDomination https://t.co/8CBx6Q503i
Tue Dec 18 18:01:41 +0000 2018,Bold. Provocative. Desirable. That’s the scent of #MyPrerogative https://t.co/9a7N5lUhBI
Mon Dec 17 18:13:33 +0000 2018,"Here’s another little throwback to celebrate #BabyOneMoreTime20! On this day in 1999, the official video for “From the Bottom of My Broken Heart” premiered 💕

 …Baby One More Time limited edition picture disc vinyl is out now https://t.co/zkfyKhbS4m https://t.co/Rw07tRnSiy"
Thu Dec 13 00:55:36 +0000 2018,Joy to the world!!! 🎄🎄🎄 https://t.co/XMBoAd2izI
Wed Dec 12 22:16:40 +0000 2018,I was freaking hungry!!!!! 💋 💋 💋 https://t.co/GvGxLYowZJ
Wed Dec 12 00:19:43 +0000 2018,Be free. Be fierce. Be you. #MyPrerogative https://t.co/FDAezLI1eA
Tue Dec 04 17:55:08 +0000 2018,What a beautiful sunrise 🌅 https://t.co/3SLoNGzq99
Tue Dec 04 00:53:52 +0000 2018,https://t.co/6dB1X64tDk
Mon Dec 03 21:47:35 +0000 2018,Thank you all for the wonderful birthday messages yesterday!!! Feeling SO loved 🎀
Thu Nov 29 20:59:56 +0000 2018,🎀🎀🎀 https://t.co/fBumzy38PJ
Mon Nov 26 20:15:50 +0000 2018,Can’t believe the “...Baby One More Time” video has officially turned 20... I still remember filming this like it was yesterday! #BabyOneMoreTime20 https://t.co/lDkXDMkF3C https://t.co/u0sAArLGYZ
Fri Nov 23 21:39:20 +0000 2018,RT @TheBritneyArmy: Happy #BlackFriday! Shop the @BritneySpears Holiday Collection + Limited Edition Black Friday Hoodie now and take advan…
Fri Nov 23 20:26:21 +0000 2018,Celebrate your individuality with the ones you love #MyPrerogative https://t.co/xuG6JlgvgQ
Wed Nov 21 19:41:05 +0000 2018,The 2018 Holiday Collection is available now in the webstore 🎁🎄 PS. there’s a limited edition hoodie and sale launching on #BlackFriday! https://t.co/8Mbn8Yi4Fc https://t.co/hBAXtWJS3p
Tue Nov 20 22:32:34 +0000 2018,"I couldn’t ask for a better gift this year, knowing that I’m getting back to Vegas to see you all at the new residency at Park MGM. Tickets are on sale now! See you soon 🎁https://t.co/KYA36Rqz7J https://t.co/yURf6kcm8p"
Mon Nov 19 23:19:05 +0000 2018,"Another gem from the ...Baby One More Time album!!! ""Sometimes"" will always have a special place in my heart. Can you believe the album turns 20 in January???!!! #BabyOneMoreTime20 limited edition picture disc vinyl is out on Friday 💕 https://t.co/qxWSsmGOyh https://t.co/wTvThesITu"
Thu Nov 15 20:58:46 +0000 2018,Do what moves you #MyPrerogative https://t.co/VmK4EDreAb
Thu Nov 15 18:03:57 +0000 2018,Thinking of the Malibu community ❤️ https://t.co/dKU207uWO7
Wed Nov 14 00:10:32 +0000 2018,"New Vegas residency. New show. Cannot wait to see you all!!! 
Get your tickets now! https://t.co/HXzoF5fEu1 
#BritneyDomination https://t.co/jHEQbxNfFa"
Mon Nov 12 18:39:02 +0000 2018,Dinner with my boys at one of our favorite spots 🎀🎀🎀 https://t.co/mYMAXEjTkO
Mon Nov 12 01:06:41 +0000 2018,Help support long-term recovery for low-income individuals and families affected by the #HillFire and #WoolseyFire by making a donation to the Southern California Disaster Relief Fund. Donate online at  https://t.co/A3d9rx40nl or text ‘UWVC’ at 41444 for Ventura County ❤️ https://t.co/sfYIjnvmSz
Fri Nov 09 21:30:39 +0000 2018,Picture this #MyPrerogative https://t.co/dpYTArsWCl
Thu Nov 08 17:56:49 +0000 2018,"Last night, people went to the #Borderline with their friends to just have fun and sadly not everyone made it home because of senseless gun violence. Praying for the victims and their families 💛 #ThousandOaks"
Wed Nov 07 19:22:22 +0000 2018,https://t.co/0KAvhsWU8v
Tue Nov 06 00:36:49 +0000 2018,Who do you think is going to make the cut for my new show?! #BritneyDomination https://t.co/gcQtatFv84
Tue Nov 06 00:33:36 +0000 2018,Teachin’ the new boys some new moves at auditions 😉 #BritneyDomination https://t.co/Qfrj3b0Jud
Mon Nov 05 18:09:56 +0000 2018,Took a nice hike over the weekend 🌿🍃🌿 https://t.co/oovv63PSea
Thu Nov 01 20:04:51 +0000 2018,See #MyPrerogative through different lenses 📷 https://t.co/21k7Ock6EB
Fri Oct 26 17:11:25 +0000 2018,"VEGAS!!! I’ve missed you, and can’t wait to get back to my second home! Got some fun things in the works for this show 😉 see you all soon ❤️🖤❤️
Tickets on sale now https://t.co/KYA36Rqz7J  #BritneyDomination https://t.co/e4ITBMTPBc"
Wed Oct 24 17:48:16 +0000 2018,RT @TheBritneyArmy: There's a special @britneyspears issue of @pollstar out now! Read the cover story here: https://t.co/jWYFQqCpGF https:/…
Tue Oct 23 20:07:24 +0000 2018,@VegasneyBitch Thank you so much! 💕
Tue Oct 23 20:05:11 +0000 2018,@britneys_diner Thank you! ❤️
Tue Oct 23 20:03:01 +0000 2018,@FaelFreitas ❤️❤️
Tue Oct 23 20:00:38 +0000 2018,@GlitterNStuds ❤️
Tue Oct 23 19:59:56 +0000 2018,@claire_wrightxx Thank you so much!! ❤️
Tue Oct 23 19:55:29 +0000 2018,Your support over the years has meant the absolute world to me!! Love you all! ❤️❤️❤️  https://t.co/oW8BCyStpL
