created_at,text
Sun Jul 26 23:31:58 +0000 2020,Magical moments captured by me ✨💍💖 💿: The First Thing You See - Bruno Major https://t.co/mNrwl3Dnkd
Sun Jul 26 02:30:26 +0000 2020,YALL DON’T RUIN PLL FOR ME PLS
Sun Jul 26 00:24:37 +0000 2020,"@maxehrich No babe, THE TEA 😂☕️"
Sun Jul 26 00:22:20 +0000 2020,@maxehrich You honestly just wanna use the term “receipts” again 😂😂😂
Sun Jul 26 00:21:43 +0000 2020,@maxehrich HAHAHAHAHAHA
Sun Jul 26 00:21:14 +0000 2020,@maxehrich just followed my Fiancé on Twitter... let’s just say when I take a twitter break I mean it!!!!😂😂😂
Fri Jul 24 18:53:21 +0000 2020,Feeling so grateful so I wrote something... https://t.co/LmG5NpS6na
Fri Jul 24 18:52:53 +0000 2020,🤍 @maxehrich took this after telling me to close my eyes on the way to propose to me 🥺🥰 Love you honey.. https://t.co/MnyvUpxibr
Thu Jul 23 14:48:26 +0000 2020,"My partner. Here’s to our future!!!! 😩😭❤️🥰😍

Ps. THANK YOU @KRITIKOZZZ FOR HIDING BEHIND ROCKS AND CAPTURING THE ENTIRE THING!!! I love you boo!!!"
Thu Jul 23 14:48:26 +0000 2020,You never pressure me to be anything other than myself.And you make me want to be the best version of myself. I’m honored to accept your hand in marriage. I love you more than a caption could express but I’m ecstatic to start a family and life with you. I love you forever my baby
Thu Jul 23 14:48:25 +0000 2020,"else’s partner. 

@maxehrich - 
I knew I loved you the moment I met you.
It was something I can’t describe to anyone who hasn’t experienced it firsthand but luckily you did too.. I’ve never felt so unconditionally loved by someone in my life (other than my parents) flaws and all https://t.co/Az3TO60ujf"
Thu Jul 23 14:48:23 +0000 2020,"When I was a little girl, my birth dad always called me his “little partner” - something that might’ve sounded strange without his southern cowboy like accent. To me it made perfect sense. And today that word makes perfect sense again but today I’m officially going to be someone https://t.co/8IboUPjWcC"
Tue Jul 21 19:01:17 +0000 2020,Do NOT pretend to know about someone’s mental illness if you do not personally know them. Check yourself.
Tue Jul 21 18:53:03 +0000 2020,It’s also amazing to me that people really think they actually know what some celebrities are going thru. Maybe take a step back and remember you don’t know everything about everyone even if you do watch them on tv
Tue Jul 21 18:28:37 +0000 2020,It would be nice if for once people can put down the meme making apps and pray for someone who’s struggling with mental illness. What  happened to compassion?
Mon Jul 20 19:03:43 +0000 2020,RT @SelenaLaLeyenda: Don't miss the Selena: 'Dreaming of You' 25th Anniversary special only on @Beats1! ♥️ Celebrate the 25th anniversary w…
Mon Jul 20 19:03:39 +0000 2020,"RT @TWLOHA: Our friends at @Proplr have teamed up with @ddlovato to give you the chance to win clothing, art, &amp; more! Through the Propeller…"
Sat Jul 18 03:57:43 +0000 2020,Ummmm I’m literally crying cause y’all are so ffffff sweet 🥺🥺🥺😩😩😩💗💗💗💗
Sat Jul 18 03:55:35 +0000 2020,"RT @ddllegend: people often downplay her success, talent and even her as a person yet demi is one of the most giving and talented artists o…"
Thu Jul 16 21:42:11 +0000 2020,"I’m just so grateful we became close in their final years. Rest easy with all our loved ones up there.. especially Uncle Billy. I love you so much... 💔💔💔

- Demi"
Thu Jul 16 21:42:11 +0000 2020,My sweet sweet Aunt Virginia... They told us we had more time with you.. I’m devastated to say goodbye to you and that angelic heart of yours. You took care of Mimaw and Papa like no one else and I can never thank you enough.. https://t.co/SOy5Kw6ubm
Wed Jul 15 18:32:00 +0000 2020,Round 2 of @Proplr auction items are now live! Enter now by taking action 💗 https://t.co/3bR7T1w6yC https://t.co/St7u4Vq694
Tue Jul 14 00:36:44 +0000 2020,"My heart goes out to your loved ones at this time.. ❤️🕊

- Demi"
Tue Jul 14 00:36:43 +0000 2020,"RIP Naya Rivera. I’ll forever cherish the opportunity to play your girlfriend on Glee. The character you played was groundbreaking for tons of closeted (at the time) queer girls like me, and your ambition and accomplishments were inspiring to Latina women all over the world. https://t.co/oCML03M9Kw"
Fri Jul 10 00:38:32 +0000 2020,"I don’t tweet often but sometimes my tweets come true so, together let’s manifest on twitter that Naya will be found safe and sound!! Come on y’all! Let’s put this energy out there: they will find her healthy and alive!! 🙏🏼🙏🏼🙏🏼"
Tue Jul 07 16:28:33 +0000 2020,💗 https://t.co/3bR7T1w6yC https://t.co/SkfK9HVNuu
Tue Jul 07 16:28:32 +0000 2020,💗 https://t.co/3bR7T1w6yC https://t.co/wWdVlzSvBu
Tue Jul 07 16:28:32 +0000 2020,Demi has partnered with @Proplr to auction off a collection of items that have been pulled from her closet as well as some of her photography. New items will be added each week! Start taking action and enter for the first batch of items now 💗 https://t.co/3bR7T1w6yC https://t.co/xjZqAVMEhm
Tue Jul 07 14:09:45 +0000 2020,https://t.co/2xn9ekGwYP
Tue Jul 07 14:09:17 +0000 2020,"Demi for @bustle 🖤 

https://t.co/thv47u5Cn9 https://t.co/dDbmKZFsnE"
Tue Jul 07 14:07:50 +0000 2020,RT @bustle: Blessing your timeline with our cover star #DemiLovato (📷: @KRITIKOZZZ) https://t.co/dOxPgfbwCi https://t.co/8Lx11ogzWr
Sat Jul 04 23:38:19 +0000 2020,"#BlackLivesMatter 🖤 

- Demi https://t.co/F6KEV9Ie9A"
Sat Jul 04 20:17:14 +0000 2020,"Here’s how you can demand #justiceforvanessaguillen!! 

- Demi https://t.co/DDE2X3ZdnT"
Sat Jul 04 19:25:17 +0000 2020,"Today is not a break... Demand change and justice for those around you. We are not free until we’re all FREE ❤️ 

- Demi https://t.co/zyQwZsqUew"
Fri Jul 03 20:56:03 +0000 2020,"Houston show up! 💜🙏🏼#JusticeForVanessa 

- Demi https://t.co/siLAfvDAFc"
Mon Jun 29 05:04:02 +0000 2020,"An unforgettable experience being the Grand Marshal of the West Hollywood parade at Pride 6 years ago. Happy pride to my LQBTQIA+ family y’all. I love you 😘 🌈🏳️‍🌈❤️🧡💛💚💙💜💗

- Demi https://t.co/ZD99i8kTI3"
Mon Jun 29 03:44:15 +0000 2020,"🤪🤓❤️

⁃ Demi https://t.co/0bjCWKCpCH"
Fri Jun 26 18:49:14 +0000 2020,"Soooo excited to announce that EUROVISION SONG CONTEST: THE STORY OF FIRE SAGA is out right NOW on @netflix!!! 💗🎉💖🎬 Can’t wait for you to meet Katiana😝

It means so much to me to have had the opportunity to work with Will Ferrell and Rachel McAdams💕

- Demi https://t.co/GhtlcEnIgX"
Fri Jun 26 18:43:07 +0000 2020,💗🎬📽️ https://t.co/DEPejNUZnJ
Fri Jun 26 04:25:29 +0000 2020,"RT @FallonTonight: In this round of Google Translate Songs, @ddlovato’s song “Sorry Not Sorry” gets a hilarious remix! #FallonAtHome https:…"
Thu Jun 25 23:16:52 +0000 2020,"RT @FallonTonight: Tonight on #FallonAtHome: @SHAQ, @JohnLithgow, &amp; music from @ozuna! Plus, a special appearance from @ddlovato! https://t…"
Thu Jun 25 16:48:35 +0000 2020,RT @KellyClarksonTV: What exactly does an Icelandic pop star sound like? 🤔 Find out more about Demi Lovato's character in her new movie #Eu…
Thu Jun 25 01:35:57 +0000 2020,RT @KellyClarksonTV: IT'S HAPPENING! 🤗 Don't miss the one and only Demi Lovato (@ddlovato) plus @David_Boreanaz and a powerful story from o…
Wed Jun 24 18:48:23 +0000 2020,"🖤
https://t.co/r4vhz5kcz8 https://t.co/WNDi4MYi53"
Tue Jun 23 22:22:17 +0000 2020,"Demi will be appearing on @REALPRIDELIVE's #StonewallDay 💖🌈 It will benefit LGBTQIA+ orgs including @BSAllianceChi @allycoalition @TransLatina_C &amp; @TransLifeline! 

Tune in to @LogoTV's Youtube or Facebook on Friday June 26th at 1pm ET https://t.co/pzPbjuaq6m"
