created_at,text
Mon Jul 27 03:58:21 +0000 2020,@cleantechnica Giga Berlin will come together at an impossible-seeming speed. The prefabricated construction method in Germany is extremely impressive.
Mon Jul 27 03:40:56 +0000 2020,Almost a decade ago. Original Dragon in background.
Mon Jul 27 03:24:13 +0000 2020,@PPathole @RhiddhiD Ya just can’t beat BR
Mon Jul 27 03:16:48 +0000 2020,https://t.co/Ufay65lZJj
Mon Jul 27 03:07:00 +0000 2020,@AVRWC Planet Claire is 🔥🔥
Mon Jul 27 02:44:22 +0000 2020,@cybrtrck Fair point! Will discuss with team.
Mon Jul 27 02:43:12 +0000 2020,@RhiddhiD He was amazing
Mon Jul 27 02:41:32 +0000 2020,"Great song
https://t.co/wj4YdJglSH"
Mon Jul 27 02:39:55 +0000 2020,"@spotted_model @cleantechnica Nickel is the biggest challenge for high-volume, long-range batteries! Australia &amp; Canada are doing pretty well. US nickel production is objectively very lame. Indonesia 🇮🇩 is great! https://t.co/0MeEE5wRfo"
Mon Jul 27 02:34:10 +0000 2020,@PicklePunchD @cleantechnica 🤣🤣
Mon Jul 27 02:31:23 +0000 2020,@SamTalksTesla That’s me! Haha
Mon Jul 27 02:30:48 +0000 2020,@cleantechnica This has a lot of potential. Lithium is pretty much everywhere.
Sun Jul 26 21:36:25 +0000 2020,@Teslarati Whoa cool
Sun Jul 26 21:36:12 +0000 2020,@TheOnion 🤣🤣
Sun Jul 26 21:21:11 +0000 2020,@Kristennetten @yourfavgas @ajtourville Has to be blue steel :)
Sun Jul 26 21:17:59 +0000 2020,"@Mattiecola @ajtourville We need high Brinell hardness &amp; high corrosion resistance. Because of Cybertruck’s faceted nature, formability is not important."
Sun Jul 26 21:10:27 +0000 2020,@flcnhvy @yourfavgas @ajtourville I really want to do this! Will be great fun. Could be both LA and Austin.
Sun Jul 26 20:56:46 +0000 2020,@yourfavgas @ajtourville Turning them into shade for an outdoor restaurant here in Boca
Sun Jul 26 20:55:42 +0000 2020,@ajtourville Cool
Sun Jul 26 20:46:06 +0000 2020,@flcnhvy @Ghost_TeslaPhx @28delayslater @CrewTesla @jrosinski97 @marc_benton @ray4tesla Yes
Sun Jul 26 20:33:06 +0000 2020,@Ghost_TeslaPhx @28delayslater @CrewTesla @jrosinski97 @marc_benton @ray4tesla Not impossible
Sun Jul 26 20:29:46 +0000 2020,@WholeMarsBlog Those were the days! 🤣🤣
Sun Jul 26 14:59:13 +0000 2020,RT @ccsakuras: https://t.co/emkzCfGarZ
Sun Jul 26 11:14:10 +0000 2020,"RT @MKBHD: NEW VIDEO - Why Tesla Model Y is Their Most Important Car! [Auto Focus Ep 5]

https://t.co/3lC3l2Rgcj https://t.co/L65zAxYcTr"
Sun Jul 26 02:04:01 +0000 2020,@teslaownersSV @PPathole @maureendowd Ring of Fire https://t.co/gSJ3Np4CAP
Sun Jul 26 02:01:37 +0000 2020,@iliketeslas @PJHORNAK @RandyVegetables I know! Congratulations to the people of Bolivia 🇧🇴!!
Sun Jul 26 01:59:45 +0000 2020,@PPathole @maureendowd The song I whistle most is Strangers in the Night
Sun Jul 26 01:55:54 +0000 2020,@RandyVegetables Some of whom seriously think Tesla toppled the Bolivian govt (sigh) https://t.co/yC5gaa12DW
Sun Jul 26 00:24:07 +0000 2020,@maureendowd Great song
Sun Jul 26 00:23:39 +0000 2020,@karaswisher @maureendowd @elon Haha thanks Kara :)
Sun Jul 26 00:23:08 +0000 2020,@erikmaza @maureendowd For sure
Sun Jul 26 00:02:07 +0000 2020,"@TheFavoritist @NASASpaceflight @BocaChicaGal Yeah, we’re hunkering down here until the hurricane passes"
Sat Jul 25 23:18:13 +0000 2020,@Adolfo_MorenoS @historyofarmani Exactly!
Sat Jul 25 21:40:42 +0000 2020,Cool Model 3 review by @iamjamiefoxx https://t.co/hJDD7BjkE3
Sat Jul 25 10:04:25 +0000 2020,@teslacn Tesla will add a power lift gate at no cost
Sat Jul 25 09:51:05 +0000 2020,"@HansNoordsij Agreed, hydrogen fool sells make no sense"
Sat Jul 25 03:42:29 +0000 2020,Pronouns suck
Sat Jul 25 03:35:00 +0000 2020,"@historyofarmani Also, we get our lithium from Australia"
Sat Jul 25 03:06:07 +0000 2020,@nichegamer 🤣🤣
Fri Jul 24 22:33:15 +0000 2020,"@akinfermo Yeah, would have been way better just to send everyone $6k"
Fri Jul 24 22:31:07 +0000 2020,I bet no one on 🌹 Twitter even *has* a guillotine! Poseurs …
Fri Jul 24 16:28:27 +0000 2020,@engineers_feed [slow drag on cigarette) Facebook? Haven’t heard that name in years …
Fri Jul 24 16:21:01 +0000 2020,🌹 Twitter sucks
Fri Jul 24 15:38:53 +0000 2020,"@stevenbonchev @APompliano Something like that. If politicians could legislate wealth, everyone would be a trillionaire."
Fri Jul 24 15:01:39 +0000 2020,"These are jammed to gills with special interests earmarks. If we do a stimulus at all, it should just be direct payments to consumers."
Fri Jul 24 14:55:30 +0000 2020,@PPathole Pretty much
Fri Jul 24 14:53:54 +0000 2020,"Goal of government should be to maximize the happiness of the people. Giving each person money allows them to decide what meets their needs, rather than the blunt tool of legislation, which creates self-serving special interests."
Fri Jul 24 14:50:53 +0000 2020,"As a reminder, I’m in *favor* of universal basic income"
Fri Jul 24 14:44:46 +0000 2020,Another government stimulus package is not in the best interests of the people imo
Fri Jul 24 14:39:07 +0000 2020,"Tesla solar panels are $1.49/Watt 
https://t.co/5LpLhqgAzw"
Fri Jul 24 14:12:12 +0000 2020,@realDonaldTrump @Tesla Thank you on behalf of the Tesla team. We look forward to building Giga Texas!
Fri Jul 24 14:10:27 +0000 2020,@SciGuySpace Competition ensures companies work hard to serve the needs of their customers
Fri Jul 24 13:12:38 +0000 2020,@schristakos @PUBG Something fun is coming
Fri Jul 24 03:22:56 +0000 2020,@vincent13031925 @UniversalPics @TomCruise @SpaceX Could be great!
Fri Jul 24 02:14:28 +0000 2020,@teslaownersSV @cleantechnica That’s a great idea!
Thu Jul 23 23:55:59 +0000 2020,"@Tesla We are actually looking for revolutionary actuaries for Tesla Insurance! Please inquire, if interested."
Thu Jul 23 23:19:05 +0000 2020,"@cleantechnica Tbh, we are just a bit less foolish than before"
Thu Jul 23 23:12:15 +0000 2020,"RT @Commercial_Crew: While in orbit, astronauts @AstroBehnken and @Astro_Doug performed a habitability assessment of the @SpaceX Crew Drago…"
Thu Jul 23 18:00:44 +0000 2020,"@Teslarati Retail investors like @hyperchangetv are remarkably insightful. Also, @ARKInvest."
Thu Jul 23 17:29:13 +0000 2020,"@SciGuySpace Especially for boost stage, which is volumetrically constrained, CH4 is way better than H2. Soviet CH4 engine prototypes from 80’s were very advanced. Glad to see reusability is being factored in."
