created_at,text
Fri Jul 17 10:34:26 +0000 2020,Aur for the last 1 year &amp; 6 months Dono ghar pe hain...!!! https://t.co/waceG4EnyS
Fri Jul 03 09:07:02 +0000 2020,"My first genuine teacher in the film industry. She taught me for hours how to do the ‘dip’ for film dancing. One of the most caring, loving &amp; inspiring persona i have ever met. Will miss you Sarojji. May Allah bless her soul. Thank u for looking after me."
Sun Jun 28 06:33:47 +0000 2020,28 years and counting... and thank u @gaurikhan for capturing this moment. https://t.co/UC8FZUiF5X
Sun Jun 28 06:33:16 +0000 2020,Don’t know when my passion became my purpose and then turned into my profession. Thank u all for so many years of allowing me to entertain you. More than my professionalism I believe my passionalism will see me through many more years of service to all of you. https://t.co/svjEDYZ0TU
Sun Jun 14 11:23:41 +0000 2020,"He loved me so much...I will miss him so much. His energy, enthusiasm and his full happy smile. May Allah bless his soul and my condolences to his near and dear ones. This is extremely sad....and so shocking!! https://t.co/skIhYEQxeO"
Tue Jun 02 12:40:54 +0000 2020,"RT @MumbaiPolice: Rakh Do Gaj Ki Doori,Na Dilon Mein Faasla
Hum Ek hain,Jung Ek Hai.

While our frontline warriors battle it out with coron…"
Mon Jun 01 11:09:08 +0000 2020,Thank you all for getting us in touch with the little one. We all pray he finds strength to deal with the most unfortunate loss of a parent. I know how it feels...Our love and support is with you baby. https://t.co/2Z8aHXzRjb
Fri May 29 10:09:05 +0000 2020,"Kolkata, with unity comes strength and resilience. Let’s get through this together and help out those affected by Amphan. https://t.co/XR5R0iGfQ2"
Tue May 26 09:16:51 +0000 2020,All my career my friend colleague and absolutely madly talented @MadhuriDixit is the one person who I have always looked upto and have learnt my craft from. What a lovely voice &amp; how beautiful is she!!!  Awesome.  https://t.co/41Hi5ZgyUh
Mon May 25 18:39:38 +0000 2020,"May the blessings of Allah see us through these times. In the end, it’s Faith that keeps us going... Eid Mubarak to all. May He shower all with love, peace and prosperity always."
Fri May 22 11:06:39 +0000 2020,"My prayers, thoughts &amp; love to those affected by the devastation caused by cyclone Amphan in Bengal &amp; Odisha. The news has left me feeling hollow. Each &amp; everyone of them is my own. Like my family. We must stay strong through these testing times until we can smile together again."
Fri May 15 18:36:20 +0000 2020,Lockdown lessons... https://t.co/yYhAwseLBv
Fri May 15 17:45:04 +0000 2020,"We all started the journey of making films with Dreamz Unlimited. Abhijeet was my most resilient &amp; solid ally. V did some good, some wrong but always believed v will sail through because strong team members like him were there to look after the rest of us. Will miss u my friend. https://t.co/ZpXMr1NWlz"
Thu May 14 10:22:32 +0000 2020,"Let’s support the brave health officials and medical teams that are leading the fight against the coronavirus by contributing towards supplies and personal protective equipment (PPE). A little help can go a long way. @MeerFoundation

https://t.co/zfUWD5GnrD https://t.co/qMG39nau8B"
Thu May 14 07:23:57 +0000 2020,"Watch the ‘Dil Se Shukriya’ concert 14th May 2020, 7 PM onwards. Organised by the @DelhiPolice, this virtual concert is to express gratitude to the Corona Warriors who are working at all times to ensure that we remain safe. #DilSeShukriya https://t.co/rtrHxSk1o5"
Sun May 10 14:27:53 +0000 2020,"I stand in solidarity with Maharashtra police @DGPMaharashtra. 
Thank u to @AnilDeshmukhNCP @MumbaiPolice for relentless efforts in the face of this adversity. Very grateful to doctors, medical staff, health workers who are leading the fight against the virus on the frontlines. https://t.co/u8Rq7RWjr5"
Sat May 09 12:19:40 +0000 2020,"Since we’ve all got a bit of time on our hands in quarantine, thought I can get us all to work a bit... in a fun, creative and... spooky way! #SpookSRK
Read on for more details. https://t.co/MNh8Osq3ND"
Fri May 08 10:47:12 +0000 2020,.@tkriders collaborated with HADCO Ltd. to 'Do the Knight thing' &amp; distribute as many as 1k food hampers to the needy who are struggling because of the lockdown in Trinidad &amp; Tobago. Proud of u my boys! https://t.co/wHAYgSvnNv
Fri May 08 06:10:53 +0000 2020,"How far would you go to battle the demons within? Our second web series, #Betaal, a horror-thriller, releases May 24, @NetflixIndia. 
@ItsViineetKumar @AahanaKumra #PatrickGraham @iamnm 
@RedChilliesEnt @gaurikhan @_GauravVerma @blumhouse #SKGlobal https://t.co/D9LSxtxU9L"
Wed May 06 08:18:29 +0000 2020,Saw the film when it was doing Festival rounds and it touched a chord with the whole team at @RedChilliesEnt Am so moved you appreciate. It’s a sad truth that character actors get forgotten. Look after yourself my friend and be safe &amp; healthy https://t.co/4uKm1Zf5S2
