created_at,text
Sun Jul 26 20:31:34 +0000 2020,"There are 100 days until the November elections.

We’ve already registered 100,000 new voters, and I’m on a mission with @WhenWeAllVote and @MichelleObama to register 100,000 more.

Get registered now and make your voice heard: https://t.co/o1hfZHIh1M https://t.co/RJZw2eHaLg"
Sun Jul 26 20:28:20 +0000 2020,"RT @MichelleObama: We are just 100 Days away from the 2020 election. And the truth is, this election could not be more important for the fu…"
Sat Jul 25 16:23:36 +0000 2020,Checking this out all day. https://t.co/LwfZvdEQ69
Fri Jul 24 18:09:56 +0000 2020,Me neither. This was the hardest I’ve laughed in a while. You are unbelievably funny my friend. Thank you so much again for coming on the show. #Annie https://t.co/3W6wCllIpZ
Fri Jul 24 15:17:07 +0000 2020,Coming up next... Market Crunch. #FallonTonight https://t.co/L4nqC3gxMc
Fri Jul 24 15:07:02 +0000 2020,I never knew I was in 2018’s Christmas Pen Pals!?!? @lifetimetv you have my permission to use my name for any generic ambient conversation in all holiday movies going forward. Thank you. https://t.co/lzA50OLFtZ #ChristmasPenPals4Eva
Fri Jul 24 13:26:18 +0000 2020,RT @FallonTonight: Can you say… Person! Woman! Man! Camera! TV! #FallonTonight https://t.co/9dHIMedoIx
Fri Jul 24 13:25:56 +0000 2020,Can you say “cognitively there”? https://t.co/ygm9ZmYNLN
Fri Jul 24 04:41:06 +0000 2020,"The Tonight Show (@arnettwill, @MichaelaCoel, and music from @HERMusicx) https://t.co/DwRxCw39Ig #FallonTonight https://t.co/kM35TmsJF3"
Thu Jul 23 19:54:15 +0000 2020,RT @FallonTonight: Tweet out how your summer is going with the hashtag #MySummerInSixWords and it could be on the show! https://t.co/s9cvfJ…
Thu Jul 23 19:52:26 +0000 2020,"Feel the heat, smell the breath. #MySummerInSixWords"
Thu Jul 23 19:51:23 +0000 2020,"It's time for Tonight Show Hashtags! Use six words to describe how your summer is going, and tag it with #MySummerInSixWords. Could be on the show!"
Thu Jul 23 18:30:38 +0000 2020,"RT @WubbaNub: You heard it first exclusively from @parentsmagazine, we have teamed up with comedian and Tonight Show host @jimmyfallon to b…"
Thu Jul 23 12:19:58 +0000 2020,"FREE WIFI? Go on, GIT!  https://t.co/MCyeE1w0k0 #FallonTonight"
