created_at,text
Wed Jul 22 17:14:28 +0000 2020,RT @ACLU: Get up to speed on the unconstitutional crackdown on protesters’ rights. We can’t allow this to continue in Portland — or anywher…
Tue Jul 21 21:45:08 +0000 2020,"RT @SerenaWinters: Tobias Harris’ media availability today lasted 59 seconds.

He had one message. 

“We want to make sure that Daniel Came…"
Mon Jul 06 21:29:15 +0000 2020,"When we protest racism in America, people think we are protesting America itself. Why is that the reaction? Because America was built by men who believed in and benefitted from racism. Plain and simple. 

If we plan to move forward, these confederate monuments must come down. https://t.co/j2IgZ8Nr7D"
Tue Jun 30 19:05:16 +0000 2020,🙌🏻 https://t.co/5sT8YTlK5N
Mon Jun 22 18:13:02 +0000 2020,RT @KingJames: Said it last week about GA.  This is SYSTEMIC RACISM and OPPRESSION.  So angry man. 😤😤😤 #BlackLivesMatter ✊🏾 #MoreThanaVote…
Mon Jun 22 18:06:02 +0000 2020,RT @AndersonPaak: 🗣 WHO SAID IT WAS A #LOCKDOWN?!? Video and song out now EVERYWHERE! Directed by the goat himself Dave Meyers. Many thanks…
Fri Jun 19 00:19:52 +0000 2020,"RT @Pharrell: .@GovBillLee, please join Virginia and New York and make Juneteenth a paid holiday in Tennessee for state employees. Thank yo…"
Mon Jun 08 18:42:01 +0000 2020,"ARREST THE COPS THAT KILLED #BREONNATAYLOR. 

And outlaw “no knock” warrants in every state right after that."
Mon Jun 08 14:59:51 +0000 2020,RT @JessicaBiel: Calling all mamas ❤️ We are all part of this. https://t.co/vhhS94bh6I
Sun Jun 07 01:50:32 +0000 2020,"RT @ColorOfChange: We're not backing down, #BreonnaTaylor deserves justice. The officers who murdered her still have not been charged. Now…"
Fri Jun 05 17:50:53 +0000 2020,"RT @MarkJonesESPN: Imagine what we don’t see from police when the cameras aren’t rolling. 
More police brutality. This elderly man gets sho…"
Thu Jun 04 18:19:18 +0000 2020,RT @NAACP: Tuned in! #JusticeforAhmaudArbery
Mon Jun 01 01:42:02 +0000 2020,"RT @KingJames: Media showing this???? I bet you they’re not. 🤦🏾‍♂️! You know why, cause this is unity, peaceful, beautiful and love!"
Sat May 30 23:03:41 +0000 2020,@lindseyyok @MNFreedomFund 🙏🏻
Sat May 30 23:03:30 +0000 2020,@Zo0oks @MNFreedomFund 🙏🏻
Sat May 30 23:03:19 +0000 2020,@itsbrianaleigh @MNFreedomFund 🙏🏼
Sat May 30 22:57:58 +0000 2020,RT @KingJames: MANDATORY LISTEN!!!! @KillerMike always on point! So passionate and smart(knowledgeable) as hell!! Man I love you G! Salute…
Sat May 30 22:06:03 +0000 2020,Please join me in supporting the Minneapolis protestors by donating to the @mnfreedomfund. The freedom fund is combatting the harms of incarceration by paying bail for low income individuals who cannot otherwise afford: https://t.co/tFr8Jh7TUX
Thu May 07 05:40:52 +0000 2020,"If you’re not outraged, you should be. Justice for #AhmaudArbery. https://t.co/VyYaVK4NQY"
Fri May 01 02:16:19 +0000 2020,"Spring Summer 2020. Thanks for this, Internet. https://t.co/I3mdWPTjiN"
Thu Apr 30 19:53:47 +0000 2020,"RT @amazonmusic: If you start this playlist at exactly 9:57PM tonight, by the time you finish….it’s gonna be May 😎 

Press play on @jtimber…"
Thu Apr 30 01:15:37 +0000 2020,"Made a playlist of some stuff I’m listening to right now 💯 @amazonmusic 
https://t.co/UPzdjhjZLP https://t.co/dw43d71ULT"
